targets,yards_per_coverage_snap,draft_season,missed_tackles,catch_rate,team_name,tackles,coverage_percent,jersey_number,dropped_ints,player_game_count,eligible_season,grades_tackle,yards,receptions,forced_incompletion_rate,grades_coverage_defense,interceptions,snap_counts_coverage,grades_run_defense,snap_counts_pass_play,penalties,forced_incompletes,team,coverage_snaps_per_target,stops,declined_penalties,position,longest,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,player,franchise_id,yards_after_catch,avg_depth_of_target,pass_break_ups,qb_rating_against,coverage_snaps_per_reception,assists,grades_pass_rush_defense,player_id,touchdowns
19,0.7,2023,4,73.7,CIN,23,93,27,0,15,2023,61.4,188,14,10.5,53,1,281,59,302,0,2,CIN,13.9,4,0,S,45,12.5,53.1,13.4,81.8,Jordan Battle,7,42,11.2,1,100.3,18.9,5,45.5,98857,1
20,2.2,2024,4,65,SEA,9,100,28,0,5,2024,26.9,205,13,5,35.6,0,99,27,99,1,1,SEA,4.7,1,0,CB,50,30.8,29.5,15.8,0,Nehemiah Pritchett,29,75,11.4,1,115.6,7.2,0,,98875,1
4,1.3,2023,0,75,SEA,4,97.4,30,0,5,2023,80.5,48,3,25,70.3,0,37,62.1,38,0,1,SEA,9,1,0,S,38,0,71.9,16,75,AJ Finley,29,20,9.8,0,114.6,12,0,59.1,98887,0
9,1.4,2024,1,55.6,JAX,5,100,24,0,6,2024,26.3,69,5,11.1,65,0,53,26.5,53,1,1,JAX,5.6,0,0,CB,27,12.5,50.6,13.8,78.9,Deantre Prince,15,30,13.1,1,117.4,10,2,,98888,1
36,1.3,2021,4,61.1,NYJ,23,100,26,0,11,2021,32.7,295,22,2.8,61.2,2,243,40.1,243,1,1,NYJ,6.2,2,1,CB,44,14.8,56,13.4,41.8,Brandin Echols,22,87,15.2,1,91.8,10.1,0,,98900,3
0,0,2023,0,,CHI,0,1,96,0,9,2023,62.9,0,0,,59.3,0,1,42.1,104,0,0,CHI,,1,0,DI,,0,45.5,,83.6,Zacch Pickens,6,0,,0,0,,1,57.6,98911,0
0,0,2022,0,,PIT,1,6.9,98,0,5,2022,71.6,0,0,,61.8,0,2,73.8,29,0,0,PIT,,0,0,ED,,0,68.3,,80.2,DeMarvin Leal,25,0,,0,0,,0,55.4,98919,0
2,1.2,2022,4,100,JAX,4,2.8,44,0,17,2022,44.1,15,2,0,60.9,0,16,69.2,571,5,0,JAX,6.5,13,0,ED,11,44.4,68.2,7.5,55.1,Travon Walker,15,20,-2.5,0,97.9,6.5,1,65.2,98940,0
3,1.2,2023,2,33.3,CLV,3,4.1,57,0,16,2023,61.1,12,1,0,58.4,0,10,86.1,242,0,0,CLV,3.3,3,0,ED,12,33.3,83.3,12,90.1,Isaiah McGuire,8,10,2.7,0,46.5,10,1,67.1,98948,0
61,1.1,2023,4,83.6,HST,36,89.7,39,0,17,2023,53.2,522,51,1.6,55.3,1,504,70.4,562,2,1,HST,7.8,14,0,LB,70,7.8,62.4,10.2,64.4,Henry To'oTo'o,13,395,3.1,1,117.3,9.4,11,59,98982,4
