Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
George Pickens,DAL,WR,9,Yes,Yes,No,9,No,No,,17,3,2,0.6667,0.3333,32,1,2,,,10.6667,-8.6019,0.3333,3.9708,3.9708,0.3333,1,0.1111,0.8889,,,,,,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,5,No,No,No,4,No,No,1,17,1,,,0.25,7,,,,,7,-7.3641,,2.9001,2.9001,0.25,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,16,No,No,Yes,16,No,No,,16,7,3,0.4286,0.4375,169,1,6,,,24.1429,-11.3543,0.1429,13.3699,13.3699,0.4375,2,0.25,0.75,5,,,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,13,No,No,No,13,No,No,,15,1,,,0.0769,12,,1,,,12,-9.0461,,1.5474,1.5474,0.0909,,0.1538,0.8462,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,2,No,No,No,1,No,Yes,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Calcaterra,PHI,TE,1,No,No,No,1,No,No,,15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Rashod Bateman,BLT,WR,5,No,No,No,4,No,Yes,,13,1,,,0.25,36,,1,,,36,-13.75,,1.1226,1.1226,0.25,,0.25,0.75,1,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,7,No,No,No,7,No,No,,13,3,,,0.4286,53,,2,,,17.6667,-12.1209,,4.9249,4.9249,0.6,,0.5714,0.4286,1,,,,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,10,No,No,No,9,No,No,,16,3,2,0.6667,0.3333,16,1,2,1,0.3333,5.3333,-7.2981,0.3333,6.1435,6.1435,0.3333,1,0.8889,0.1111,1,,1,1,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,5,Yes,Yes,No,5,No,No,,15,2,1,0.5,0.4,56,,,,,28,-12.4067,,4.2332,4.2332,0.4,1,0.2,0.8,1,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,1,No,Yes,No,1,No,No,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,10,No,No,No,10,No,No,,16,2,,,0.2,49,,2,,,24.5,-11.1959,,4.0133,4.0133,0.2,,0.8,0.2,1,,,,,,,,,,,,,,,,
Roman Wilson,PIT,WR,5,Yes,Yes,Yes,5,No,No,,13,,,,,,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,
Trey Benson,ARZ,RB,2,No,No,No,2,No,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Tonges,SF,TE,8,No,No,No,7,No,No,,16,,,,,,,,,,,,,,,,,0.5714,,,0.4286,,,,,,,,,,,,,,,
Beaux Collins,NYG,WR,3,No,No,No,3,No,No,,9,1,,,0.3333,5,,1,,,5,-6.3628,,1.603,1.603,0.3333,,,1,,,,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,9,No,Yes,No,6,No,Yes,0.6667,13,,,,,,,,,,,,,,,,,0.1667,0.1667,,,,,,,,,,,,,,,,,
RJ Harvey,DEN,RB,2,No,Yes,No,2,No,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Tipton,NO,WR,3,No,No,Yes,3,No,No,,13,1,,,0.3333,15,,1,,,15,-10.4097,,2.0314,2.0314,0.3333,,,1,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,1,No,No,No,1,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Konata Mumpfield,LA,WR,6,No,No,No,5,Yes,Yes,,17,1,,,0.2,9,,,,,9,-7.4539,,1.2868,1.2868,0.2,,0.2,0.8,,,,,,,,,,,,,,,,,
Brenton Strange,JAX,TE,4,No,Yes,No,4,No,No,,12,,,,,,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,5,Yes,No,No,4,No,No,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Horton,SEA,WR,3,No,No,No,3,No,No,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,12,No,No,No,11,No,No,,17,4,3,0.75,0.3636,45,3,4,,,11.25,-8.8941,0.75,11.2419,11.2419,0.3333,,0.4545,0.3636,1,0.1818,1,,,,,,,,,,,,,,
Cole Kmet,CHI,TE,4,No,No,No,2,No,No,,16,1,,,0.5,20,,1,,,20,-11.7623,,2.4973,2.4973,0.5,,0.5,,1,0.5,1,1,,,,,,,,,,,,,
Tyreek Hill,MIA,WR,4,No,No,No,4,No,No,,4,1,,,0.25,19,,1,,,19,-11.9321,,3.2972,3.2972,0.25,,0.75,0.25,,,,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,8,No,No,No,6,No,No,,15,3,,,0.5,55,,2,,,18.3333,-9.924,,5.5947,5.5947,0.4286,,0.5,0.5,2,,1,1,,,,,,,,,,,,,
Demarcus Robinson,SF,WR,6,No,No,No,6,No,Yes,,14,,,,,,,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,
Johnny Mundt,JAX,TE,1,No,Yes,No,1,No,No,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Durham Smythe,CHI,TE,2,No,No,No,2,No,No,,17,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Greg Dulcich,MIA,TE,5,Yes,No,No,5,No,No,,10,,,,,,,,,,,,,,,,,0.4,,,0.6,,,,,,,,,,,,,,,
Rashid Shaheed,SEA,WR,13,No,No,No,13,No,Yes,,18,4,,,0.3077,83,,1,,,20.75,-10.8858,,8.9115,8.9115,0.3333,,0.6154,0.3846,1,,,,,,,,,,,,,,,,
Gunnar Helm,TEN,TE,3,No,No,No,3,No,No,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Justin Jefferson,MIN,WR,21,No,No,No,21,No,No,,17,8,1,0.125,0.381,180,,7,,,22.5,-11.1231,,13.3547,13.3547,0.5,1,0.1905,0.8095,4,,,,,,,,,,,,,,,,
Brock Wright,DET,TE,2,Yes,Yes,No,2,No,No,,11,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,
Brandin Cooks,BUF,WR,4,No,No,No,4,No,No,,15,,,,,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,6,No,No,No,5,No,No,,15,3,1,0.3333,0.6,44,1,2,,,14.6667,-9.1074,0.3333,5.3211,5.3211,0.5,,0.4,0.6,1,,,,,,,,,,,,,,,,
Luke McCaffrey,WAS,WR,3,No,No,No,3,No,No,,9,,,,,,,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,
Terrance Ferguson,LA,TE,2,No,No,No,2,No,No,,13,1,,,0.5,3,,1,,,3,-6.3218,,1.3971,1.3971,0.5,,1,,,,,,,,,,,,,,,,,,
Samori Toure,NO,WR,1,No,No,No,1,No,No,,1,1,,,1,9,,1,,,9,-7.4539,,1.4128,1.4128,1,,,1,,,1,,,,,,,,,,,,,,
David Njoku,CLV,TE,8,Yes,Yes,No,7,No,No,,12,2,,,0.2857,27,,1,,,13.5,-9.535,,3.0818,3.0818,0.2857,,0.4286,0.1429,1,0.4286,,,,,,,,,,,,,,,
Brock Bowers,LV,TE,12,No,Yes,No,12,No,No,0.0833,12,3,,,0.25,46,,3,,,15.3333,-10.138,,4.9613,4.9613,0.25,,0.5,0.0833,1,0.3333,,,,,,,,,,,,,,,
Jalin Hyatt,NYG,WR,4,Yes,No,No,4,No,No,,8,3,,,0.75,64,,2,,,21.3333,-11.302,,5.4031,5.4031,0.75,,0.25,0.75,1,,1,1,,,,,,,,,,,,,
Nick Kallerup,SEA,TE,1,No,No,No,1,No,No,,9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,1,No,No,Yes,1,No,No,,12,,,,,,,,,,,,,1.6798,1.6798,,,1,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,5,No,Yes,No,5,No,No,,17,1,1,1,0.2,3,1,1,,,3,-6.3218,1,1.499,1.499,0.2,,0.6,0.4,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,3,No,Yes,No,3,No,No,1,17,1,,,0.3333,-3,,,,,-3,-6.1191,,1.454,1.454,0.5,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,12,No,Yes,No,12,No,No,,16,4,,,0.3333,53,,3,,,13.25,-9.1056,,11.1258,11.1258,0.4444,,0.75,0.25,1,,1,1,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,6,No,No,No,6,No,No,,17,2,,,0.3333,14,,1,,,7,-6.8825,,4.9499,4.9499,0.3333,,0.3333,0.6667,,,1,1,,,,,,,,,,,,,
Romeo Doubs,GB,WR,6,No,No,No,6,No,Yes,,16,1,,,0.1667,6,,,,,6,-6.9491,,1.2372,1.2372,0.1667,,,1,,,1,,,,,,,,,,,,,,
Alex Bachman,LV,WR,1,No,No,No,1,No,No,,13,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,2,No,No,Yes,2,Yes,Yes,,6,2,1,0.5,1,16,,2,,,8,-7.339,,3.0538,3.0538,1,1,0.5,0.5,,,,,,,,,,,,,,,,,
Noah Fant,CIN,TE,7,No,No,No,6,No,No,,15,,,,,,,,,,,,,,,,,0.1667,,,0.8333,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,6,Yes,Yes,No,6,No,No,,14,3,,,0.5,32,,2,,,10.6667,-8.1419,,7.5046,7.5046,0.5,,0.3333,0.6667,1,,2,1,,,,,,,,,,,,,
George Kittle,SF,TE,7,No,No,No,6,No,Yes,,11,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,9,No,Yes,No,9,No,No,,17,,,,,,,,,,,,,,,,,0.4444,,,0.5556,,,,,,,,,,,,,,,
Keenan Allen,LAC,WR,11,No,Yes,No,11,No,Yes,,17,1,,,0.0909,5,,1,,,5,-6.3628,,3.4686,3.4686,0.1111,,0.4545,0.5455,,,,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,9,No,No,No,7,No,No,,14,,,,,,,,,,,,,,,,,0.7143,0.2857,,,,,,,,,,,,,,,,,
Treylon Burks,WAS,WR,4,No,No,No,4,No,No,,8,2,,,0.5,22,,1,,,11,-8.5222,,3.1481,3.1481,0.5,,,1,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,3,No,No,No,3,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
