Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Luke Musgrave,GB,TE,20,Yes,No,No,15,2,No,Yes,0.1333,18,0.1333,,2,9,,4.7515,6.269,6.269,0.125,7,,2,1,2,,1,25,7,3,,,,,,,118.8,1.6667,12.5,,12.5,3.5,1.5,1,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,,,,,,0.8667
Christian Kirk,JAX,WR,42,Yes,No,No,34,15,No,Yes,0.4412,208,0.7059,0.2941,14,13.8667,5,3.0878,27.5973,27.5973,0.3846,8,,11,0.7333,11,,0.7333,183,60,23,,1,0.0909,,3,0.2,86.3,5.3824,12.2,,16.6364,5.4545,2.0909,7,18.3,29.3,23.8,29.3,29.3,32.3,26.8,29.3,29.3,29.3,23.8,29.3,29.3,,,,2,,
Puka Nacua,LA,WR,97,Yes,No,No,92,42,No,No,0.4565,336,0.3913,0.5978,40,8,4,3.3758,73.343,73.343,0.4667,11,2,35,0.8333,33,1,0.7857,472,294,101,1,7,0.2121,0.0109,12,0.2857,129.4,5.1304,11.2381,0.0238,14.303,8.9091,3.0606,20,59.2,92.2,75.7,92.2,92.2,95.2,78.7,92.2,92.2,92.2,75.7,92.2,92.2,5,2,2,2,1,
Joe Mixon,HST,RB,116,Yes,No,No,60,14,No,No,0.2333,-28,0.0167,,8,-2,,3.1503,23.1135,23.1135,0.1505,14,,12,0.8571,11,,0.7857,126,151,48,1,2,0.1818,0.9833,7,0.5,104.2,2.1,9,0.0714,11.4545,13.7273,4.3636,6,12.6,23.6,18.1,29.1,23.6,26.6,21.1,23.6,23.6,23.6,18.1,23.6,23.6,1,,,,,
Kristian Wilkerson,LV,WR,4,Yes,No,No,3,1,No,Yes,0.3333,4,,1,1,4,,2.9502,1.6759,1.6759,0.3333,2,,1,1,1,,1,9,5,4,,,,,,,104.2,3,9,,9,5,4,1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,,,,,
James Proche,CLV,WR,4,Yes,No,Yes,4,1,No,Yes,0.25,-1,0.75,,,-1,,-3.1699,1.4522,1.4522,0.3333,9,,1,1,1,,1,3,4,4,,1,1,0.25,,,79.2,0.75,3,,3,4,4,,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,
Kadarius Toney,CLV,WR,3,Yes,No,Yes,3,1,No,Yes,0.3333,-5,,1,,-5,,-4.1596,1.5767,1.5767,0.5,3,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,36,Yes,No,Yes,24,12,No,No,0.5,40,0.0417,0.2083,9,3.3333,1,2.1842,17.911,17.911,0.4286,8,1,11,0.9167,10,,0.8333,104,97,14,1,1,0.1,0.2083,3,0.25,102.8,4.3333,8.6667,0.0833,10.4,9.7,1.4,4,10.12,20.12,15.12,20.12,25.12,23.12,18.12,19.12,19.12,19.12,14.12,25.3,19.3,1,,1,,,0.5417
Gus Edwards,LAC,RB,44,Yes,Yes,No,28,1,No,No,0.0357,1,,,,1,,-4.7294,1.2849,1.2849,0.0294,11,,1,1,1,,1,1,,,,,,1,,,79.2,0.0357,1,,1,,,,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,
Malik Nabers,NYG,WR,134,Yes,No,No,120,43,No,Yes,0.3583,461,0.175,0.825,43,10.7209,7,0.963,79.9469,79.9469,0.3945,15,5,31,0.7209,28,3,0.6512,390,172,99,2,8,0.2857,,7,0.1628,100,3.25,9.0698,0.0465,13.9286,6.1429,3.5357,16,51,79,65,79,79,82,68,79,79,79,65,79,79,3,2,1,,,
Raheem Blackshear,CAR,RB,7,Yes,No,No,4,,No,Yes,,,0.25,,,,,,,,,16,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,60,Yes,No,Yes,58,23,No,Yes,0.3966,71,0.8103,0.1379,20,3.087,1,2.5533,40.69,40.69,0.46,17,,22,0.9565,22,,0.9565,205,177,32,,1,0.0455,0.0517,13,0.5652,118.3,3.5345,8.913,,9.3182,8.0455,1.4545,9,26.5,48.5,37.5,48.5,48.5,51.5,40.5,48.5,48.5,48.5,37.5,48.5,48.5,1,1,1,1,,
Tank Dell,HST,WR,96,Yes,No,No,86,28,No,Yes,0.3256,436,0.1628,0.8372,23,15.5714,9,0.5471,58.9868,58.9868,0.35,14,4,21,0.75,19,2,0.6786,269,58,8,1,,,,3,0.1071,107.6,3.1279,9.6071,0.0357,14.1579,3.0526,0.4211,11,38.9,57.9,48.4,57.9,57.9,60.9,51.4,57.9,57.9,57.9,48.4,57.9,57.9,4,2,6,1,2,
Alexander Mattison,LV,RB,65,Yes,No,Yes,31,7,Yes,Yes,0.2258,,,,3,,,5.446,14.5351,14.5351,0.1273,14,,5,0.7143,5,,0.7143,81,80,22,,3,0.6,1,2,0.2857,109.8,2.6129,11.5714,,16.2,16,4.4,3,8.1,13.1,10.6,15.6,13.1,13.1,10.6,13.1,13.1,13.1,10.6,13.1,13.1,,,,,,
Cade Otton,TB,TE,118,Yes,No,Yes,54,20,No,Yes,0.3704,85,0.1111,0.0185,18,4.25,2,2.0985,34.5755,34.5755,0.1923,14,1,15,0.75,13,,0.65,177,127,71,1,3,0.2308,,6,0.3,93.1,3.2778,8.85,0.05,13.6154,9.7692,5.4615,8,17.7,30.7,24.2,30.7,37.2,33.7,27.2,30.7,30.7,30.7,24.2,37.2,30.7,3,,2,,,0.8704
Ray-Ray McCloud,ATL,WR,89,Yes,No,No,67,17,No,Yes,0.2537,12,0.5373,0.4627,13,0.7059,1,-1.7097,27.2707,27.2707,0.2208,17,1,13,0.7647,12,,0.7059,69,111,25,1,,,,10,0.5882,77.8,1.0299,4.0588,0.0588,5.75,9.25,2.0833,3,6.9,18.9,12.9,18.9,18.9,18.9,12.9,18.9,18.9,18.9,12.9,18.9,18.9,1,,,,,
Sione Vaki,DET,RB,7,Yes,No,Yes,4,,No,Yes,,,,,,,,,,,,11,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Mitchell,DET,TE,6,Yes,No,No,4,,No,Yes,,,0.25,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
Eric Saubert,SF,TE,42,Yes,No,No,26,2,No,Yes,0.0769,5,0.1538,0.0769,1,2.5,,-6.0795,4.4015,4.4015,0.0606,17,,2,1,2,,1,,,,,,,,,,118.8,,,,,,,1,6,8,7,8,9,8,7,8,8,8,7,9,8,2,1,1,,1,0.7692
Xavier Weaver,ARZ,WR,11,Yes,No,No,10,,No,Yes,,,0.1,0.9,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Collier,LV,RB,4,Yes,No,Yes,3,,Yes,Yes,,,,,,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Fisk,LAC,TE,51,Yes,No,Yes,31,4,Yes,Yes,0.129,8,,,1,2,,0.3157,5.4166,5.4166,0.1,9,,4,1,4,,1,24,16,4,,1,0.25,0.0323,,,91.7,0.7742,6,,6,4,1,1,2.4,6.4,4.4,6.4,8.4,6.4,4.4,6.4,6.4,6.4,4.4,8.4,6.4,,,,,,0.9677
Brian Robinson,WAS,RB,102,Yes,Yes,No,40,3,No,No,0.075,5,0.025,0.025,1,1.6667,,0.8877,4.8602,4.8602,0.039,14,,3,1,3,,1,23,18,4,,,,0.95,1,0.3333,98.6,0.575,7.6667,,7.6667,6,1.3333,1,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,1,,,,,
Alvin Kamara,NO,RB,81,Yes,No,No,47,6,Yes,Yes,0.1277,-12,0.0213,,5,-2,,6.9668,9.5793,9.5793,0.0984,14,,6,1,6,,1,77,89,8,,,,0.9787,2,0.3333,118.8,1.6383,12.8333,,12.8333,14.8333,1.3333,2,7.7,13.7,10.7,16.7,13.7,13.7,10.7,13.7,13.7,13.7,10.7,13.7,13.7,,,,,,
Kendre Miller,NO,RB,12,Yes,No,No,7,1,No,No,0.1429,,0.1429,,,,,-5.8271,1.4732,1.4732,0.125,6,,1,1,,,,,,,1,,,0.8571,,,39.6,,,1,,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,HST,WR,66,Yes,No,No,61,24,No,No,0.3934,266,0.1311,0.8689,23,11.0833,3,-3.246,48.8575,48.8575,0.4138,12,4,16,0.6667,12,,0.5,129,38,14,,2,0.1667,,4,0.1667,31.4,2.1148,5.375,,10.75,3.1667,1.1667,7,12.9,24.9,18.9,24.9,24.9,27.9,21.9,24.9,24.9,24.9,18.9,24.9,24.9,5,,5,,,
Braxton Berrios,MIA,WR,8,Yes,No,No,6,,No,Yes,,,0.3333,0.6667,,,,,1.8641,1.8641,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erick All,CIN,TE,49,Yes,Yes,Yes,36,8,No,Yes,0.2222,-1,0.1944,0.0556,4,-0.125,,-2.0889,11.9582,11.9582,0.2051,9,,8,1,7,,0.875,28,27,11,1,,,0.0833,1,0.125,81.3,0.7778,3.5,0.125,4,3.8571,1.5714,1,2.8,9.8,6.3,9.8,13.3,9.8,6.3,9.8,9.8,9.8,6.3,13.3,9.8,,,,,,0.6667
DK Metcalf,SEA,WR,115,Yes,No,No,99,25,No,Yes,0.2525,348,0.0808,0.9192,22,13.92,9,-1.6029,52.3014,52.3014,0.2577,15,3,19,0.76,14,,0.56,183,33,14,3,1,0.0714,,2,0.08,92.6,1.8485,7.32,0.12,13.0714,2.3571,1,6,24.3,38.3,31.3,38.3,38.3,41.3,34.3,38.3,38.3,38.3,31.3,38.3,38.3,3,1,3,2,1,
Mark Andrews,BLT,TE,91,Yes,No,Yes,75,26,No,Yes,0.3467,327,0.48,0.2,20,12.5769,5,-0.0043,48.2527,48.2527,0.3421,17,1,21,0.8077,20,1,0.7692,245,55,14,1,,,0.0133,,,131.1,3.2667,9.4231,0.0385,12.25,2.75,0.7,14,36.5,56.5,46.5,56.5,66.5,59.5,49.5,56.5,56.5,56.5,46.5,66.5,56.5,2,2,2,2,2,0.3067
Parker Washington,JAX,WR,66,Yes,No,No,52,6,No,Yes,0.1154,73,0.2885,0.6923,4,12.1667,1,-3.6063,12.9438,12.9438,0.1034,17,,5,0.8333,4,,0.6667,28,7,5,1,1,0.25,0.0192,1,0.1667,116.7,0.5385,4.6667,0.1667,7,1.75,1.25,2,8.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,2,1,1,,1,
MyCole Pruitt,PIT,TE,59,Yes,No,No,30,7,No,Yes,0.2333,22,0.1333,0.0333,4,3.1429,,-5.6181,15.8109,15.8109,0.1707,12,,3,0.4286,3,,0.4286,9,3,,,,,0.0667,,,50.3,0.3,1.2857,,3,1,,1,6.9,9.9,8.4,9.9,11.4,9.9,8.4,9.9,9.9,9.9,8.4,11.4,9.9,1,1,1,,1,0.7667
Allen Robinson,DET,WR,14,Yes,No,Yes,13,2,No,Yes,0.1538,7,0.3846,0.6154,2,3.5,,-1.3486,2.7274,2.7274,0.1538,12,1,2,1,2,1,1,9,2,,,,,,,,85.4,0.6923,4.5,,4.5,1,,2,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,,
Breece Hall,NYJ,RB,125,Yes,Yes,No,59,23,No,Yes,0.3898,-19,0.0339,,13,-0.8261,1,-1.5654,38.4015,38.4015,0.1983,16,,18,0.7826,18,,0.7826,105,146,35,,3,0.1667,0.9661,8,0.3478,100.2,1.7797,4.5652,,5.8333,8.1111,1.9444,6,16.5,34.5,25.5,43.5,34.5,37.5,28.5,34.5,34.5,34.5,25.5,34.5,34.5,3,1,,1,,
Trent Sherfield,MIN,WR,23,Yes,Yes,No,20,2,No,Yes,0.1,10,0.55,0.4,,5,,7.0005,4.11,4.11,0.1,17,,2,1,2,,1,27,17,,,,,,,,158.3,1.35,13.5,,13.5,8.5,,2,8.7,10.7,9.7,10.7,10.7,10.7,9.7,10.7,10.7,10.7,9.7,10.7,10.7,1,1,,,,0.05
Jha'Quan Jackson,TEN,WR,5,Yes,No,Yes,3,,No,Yes,,,1,,,,,,1.6815,1.6815,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,NE,WR,12,Yes,No,No,10,2,No,Yes,0.2,52,,1,1,26,1,-4.1152,3.7818,3.7818,0.25,5,1,2,1,1,,0.5,17,2,,1,,,,,,79.2,1.7,8.5,0.5,17,2,,1,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,,,,
Rakim Jarrett,TB,WR,16,Yes,Yes,Yes,10,2,No,No,0.2,24,,1,1,12,,6.8433,3.0482,3.0482,0.1538,10,,2,1,2,,1,31,7,1,,,,,,,118.8,3.1,15.5,,15.5,3.5,0.5,2,3.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,,,,,,
Julian Hill,MIA,TE,95,Yes,Yes,No,39,5,No,Yes,0.1282,25,0.1795,0.0513,2,5,,-3.3984,7.7079,7.7079,0.0641,16,,4,0.8,4,,0.8,18,8,2,,,,0.0256,,,81.7,0.4615,3.6,,4.5,2,0.5,,1.8,5.8,3.8,5.8,7.8,5.8,3.8,5.8,5.8,5.8,3.8,7.8,5.8,1,,,,,0.7436
Dameon Pierce,HST,RB,20,Yes,No,No,10,,No,No,,,,,,,,,,,,11,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,26,Yes,No,No,15,6,No,Yes,0.4,-2,,,2,-0.3333,,1.2381,8.8839,8.8839,0.24,15,,6,1,5,,0.8333,43,47,9,1,1,0.2,1,1,0.1667,96.5,2.8667,7.1667,0.1667,8.6,9.4,1.8,3,4.3,9.3,6.8,11.8,9.3,9.3,6.8,9.3,9.3,9.3,6.8,9.3,9.3,,,,,,
Pierre Strong,CLV,RB,17,Yes,No,No,11,2,No,Yes,0.1818,-2,0.0909,0.0909,2,-1,,-4.9823,2.9267,2.9267,0.1667,13,,1,0.5,1,,0.5,2,6,,,,,0.8182,,,56.3,0.1818,1,,2,6,,,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,
Jacob Kibodi,CLV,RB,3,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,3,Yes,No,No,2,,No,No,,,0.5,0.5,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,62,Yes,No,No,15,3,No,Yes,0.2,9,,0.0667,,3,,-2.5258,4.7181,4.7181,0.0566,16,,2,0.6667,2,,0.6667,11,3,,,,,,,,72.9,0.7333,3.6667,,5.5,1.5,,1,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,,,,,,0.9333
Josh Palmer,LAC,WR,101,Yes,No,Yes,93,15,No,Yes,0.1613,258,0.2688,0.7312,11,17.2,5,4.2581,28.4655,28.4655,0.1948,15,3,12,0.8,11,2,0.7333,211,36,12,,,,,1,0.0667,115.3,2.2688,14.0667,,19.1818,3.2727,1.0909,11,21.1,32.1,26.6,32.1,32.1,35.1,29.6,32.1,32.1,32.1,26.6,32.1,32.1,,,,,,
Antonio Gibson,NE,RB,40,Yes,No,Yes,14,7,No,Yes,0.5,-16,0.1429,0.0714,4,-2.2857,,-1.5393,11.771,11.771,0.2258,17,,6,0.8571,6,,0.8571,30,43,9,,,,0.7857,4,0.5714,84.5,2.1429,4.2857,,5,7.1667,1.5,1,3,9,6,12,9,9,6,9,9,9,6,9,9,,,,,,
Tutu Atwell,LA,WR,96,Yes,No,No,84,21,No,Yes,0.25,415,0.381,0.619,19,19.7619,9,2.5286,43.3642,43.3642,0.25,17,3,19,0.9048,15,1,0.7143,283,29,3,3,,,,1,0.0476,113.7,3.369,13.4762,0.1429,18.8667,1.9333,0.2,13,28.3,43.3,35.8,43.3,43.3,46.3,38.8,43.3,43.3,43.3,35.8,43.3,43.3,,,,,,
David Moore,CAR,WR,73,Yes,No,No,66,12,No,Yes,0.1818,132,0.0909,0.8939,11,11,3,-2.744,28.4457,28.4457,0.2105,17,1,9,0.75,7,1,0.5833,68,20,6,1,1,0.1429,,1,0.0833,102.1,1.0303,5.6667,0.0833,9.7143,2.8571,0.8571,3,12.8,19.8,16.3,19.8,19.8,19.8,16.3,19.8,19.8,19.8,16.3,19.8,19.8,2,1,2,,1,0.0152
Justin Shorter,LV,TE,8,Yes,No,No,4,,No,No,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Josiah Deguara,JAX,TE,8,Yes,No,No,5,1,No,Yes,0.2,-3,,0.2,1,-3,,-3.8652,2.7,2.7,0.1429,13,,1,1,1,,1,2,5,2,,,,0.2,,,79.2,0.4,2,,2,5,2,,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,1,,,,,0.6
Amon-Ra St. Brown,DET,WR,205,Yes,Yes,No,186,43,No,Yes,0.2312,402,0.3387,0.6613,37,9.3488,2,1.7916,83.4652,83.4652,0.2471,17,4,39,0.907,36,1,0.8372,434,152,38,,4,0.1111,,9,0.2093,132,2.3333,10.093,,12.0556,4.2222,1.0556,26,65.68,101.68,83.68,101.68,101.68,104.68,86.68,101.68,101.68,101.68,83.68,101.75,101.75,12,3,5,2,2,
Isaiah Williams,CIN,WR,5,Yes,No,No,5,2,No,Yes,0.4,4,0.8,0.2,2,2,,-4.9978,2.9183,2.9183,0.4,8,,1,0.5,1,,0.5,2,6,6,,2,2,,1,0.5,56.3,0.4,1,,2,6,6,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,
Braelon Allen,NYJ,RB,71,Yes,Yes,No,37,11,No,Yes,0.2973,21,0.0541,,7,1.9091,,-0.4882,15.8497,15.8497,0.1746,17,,9,0.8182,8,,0.7273,67,57,21,1,1,0.125,0.9459,1,0.0909,88.1,1.8108,6.0909,0.0909,8.375,7.125,2.625,3,6.7,14.7,10.7,18.7,14.7,14.7,10.7,14.7,14.7,14.7,10.7,14.7,14.7,,,,,,
Elijah Higgins,ARZ,TE,66,Yes,No,No,54,11,No,Yes,0.2037,53,0.1111,0.0556,6,4.8182,,1.6434,17.8118,17.8118,0.2075,17,,10,0.9091,10,,0.9091,97,58,18,,1,0.1,0.037,,,103.4,1.7963,8.8182,,9.7,5.8,1.8,5,9.7,19.7,14.7,19.7,24.7,19.7,14.7,19.7,19.7,19.7,14.7,24.7,19.7,,,,,,0.7963
Dan Chisena,CAR,WR,1,Yes,No,No,1,,No,Yes,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,CAR,WR,48,Yes,No,No,46,9,No,Yes,0.1957,31,0.6522,0.3478,8,3.4444,,3.5241,15.5366,15.5366,0.2647,10,,8,0.8889,8,,0.8889,90,58,9,,1,0.125,,2,0.2222,108.3,1.9565,10,,11.25,7.25,1.125,3,9,17,13,17,17,17,13,17,17,17,13,17,17,1,,,,,
Jonnu Smith,MIA,TE,82,Yes,Yes,No,64,27,No,Yes,0.4219,156,0.125,0.2031,23,5.7778,1,1.0675,44.1955,44.1955,0.375,17,,24,0.8889,21,,0.7778,227,128,39,1,,,0.0625,3,0.1111,114,3.5469,8.4074,0.037,10.8095,6.0952,1.8571,14,27.7,48.7,38.2,48.7,59.2,51.7,40.2,47.7,47.7,47.7,37.2,59.2,47.7,2,1,,1,,0.6094
Harrison Bryant,LV,TE,37,Yes,No,Yes,13,3,Yes,Yes,0.2308,-1,0.2308,,3,-0.3333,,2.528,4.0895,4.0895,0.0938,13,,3,1,3,,1,25,26,5,,,,,,,101.4,1.9231,8.3333,,8.3333,8.6667,1.6667,2,2.5,5.5,4,5.5,7,5.5,4,5.5,5.5,5.5,4,7,5.5,,,,,,0.7692
Tylan Wallace,BLT,WR,30,Yes,No,Yes,22,3,No,Yes,0.1364,11,0.4091,0.5909,3,3.6667,,1.155,4.3616,4.3616,0.125,17,,3,1,3,,1,24,13,3,,,,,2,0.6667,100,1.0909,8,,8,4.3333,1,1,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,1,,,,,
Erik Ezukanma,MIA,WR,3,Yes,No,No,2,,No,Yes,,,0.5,0.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,30,Yes,No,No,19,3,No,Yes,0.1579,-7,,,1,-2.3333,,4.9595,6.0566,6.0566,0.1154,17,,2,0.6667,2,,0.6667,32,37,24,,1,0.5,1,1,0.3333,141.7,1.6842,10.6667,,16,18.5,12,2,9.2,11.2,10.2,12.2,11.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,1,1,,,,
Quentin Johnston,LAC,WR,129,Yes,No,Yes,116,30,Yes,Yes,0.2586,373,0.1034,0.8966,22,12.4333,8,-0.1503,58.5571,58.5571,0.2885,15,5,25,0.8333,21,2,0.7,251,102,37,1,3,0.1429,,6,0.2,114.7,2.1638,8.3667,0.0333,11.9524,4.8571,1.7619,12,43.1,64.1,53.6,64.1,64.1,67.1,56.6,64.1,64.1,64.1,53.6,64.1,64.1,4,3,3,1,3,
Johnny Wilson,PHI,WR,46,Yes,No,No,29,2,No,Yes,0.069,19,0.1724,0.7586,2,9.5,,-8.0881,3.1644,3.1644,0.05,16,,,,,,,,,,,,,0.069,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,87,Yes,No,No,16,3,No,Yes,0.1875,17,,,2,5.6667,,-0.8729,8.005,8.005,0.0405,17,1,2,0.6667,2,1,0.6667,18,14,4,,,,,,,122.2,1.125,6,,9,7,2,2,7.8,9.8,8.8,9.8,10.8,9.8,8.8,9.8,9.8,9.8,8.8,10.8,9.8,1,1,1,,1,1
Cody Schrader,LA,RB,1,Yes,No,No,1,1,No,Yes,1,,,,,,,0.1729,1.2433,1.2433,1,1,,1,1,1,,1,6,6,2,,,,1,,,91.7,6,6,,6,6,2,,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,
Blake Whiteheart,CLV,TE,36,Yes,No,Yes,22,4,No,Yes,0.1818,36,,0.0455,4,9,1,2.3956,10.5036,10.5036,0.1333,11,1,4,1,4,1,1,38,7,2,,,,0.0455,,,145.8,1.7273,9.5,,9.5,1.75,0.5,2,9.8,13.8,11.8,13.8,15.8,13.8,11.8,13.8,13.8,13.8,11.8,15.8,13.8,2,1,1,1,1,0.9091
Garrett Wilson,NYJ,WR,188,Yes,Yes,No,167,46,No,Yes,0.2754,324,0.1617,0.8323,42,7.0435,5,0.3554,90.0609,90.0609,0.2659,17,3,40,0.8696,36,1,0.7826,360,221,60,1,14,0.3889,0.006,15,0.3261,97.5,2.1557,7.8261,0.0217,10,6.1389,1.6667,17,41,77,59,77,77,80,61,76,76,76,58,77,76,5,1,2,,1,
Jeff Wilson,MIA,RB,10,Yes,Yes,No,4,1,No,Yes,0.25,1,,,,1,,1.2706,1.6235,1.6235,0.1429,9,,1,1,1,,1,7,6,1,,,,1,,,95.8,1.75,7,,7,6,1,,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,
Kenny McIntosh,SEA,RB,14,Yes,No,No,9,,No,Yes,,,,,,,,,,,,11,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deuce Vaughn,DAL,RB,10,Yes,Yes,No,4,1,No,No,0.25,-4,,,,-4,,-5.5699,1.6316,1.6316,0.1111,6,,,,,,,,,,,,,1,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,6,Yes,No,Yes,4,,No,Yes,,,0.25,0.75,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,71,Yes,Yes,No,64,14,No,No,0.2188,8,0.2344,0.7656,14,0.5714,1,-0.9447,27.8224,27.8224,0.2917,16,,13,0.9286,12,,0.8571,67,110,34,1,1,0.0833,,12,0.8571,86.6,1.0469,4.7857,0.0714,5.5833,9.1667,2.8333,5,6.7,18.7,12.7,18.7,18.7,18.7,12.7,18.7,18.7,18.7,12.7,18.7,18.7,2,,1,,,
Ty Johnson,BUF,RB,18,Yes,No,Yes,10,2,No,Yes,0.2,21,,,2,10.5,1,11.1326,3.1302,3.1302,0.1333,17,,2,1,2,,1,47,26,7,,,,1,1,0.5,118.8,4.7,23.5,,23.5,13,3.5,2,4.7,6.7,5.7,7.7,6.7,6.7,5.7,6.7,6.7,6.7,5.7,6.7,6.7,1,,,,,
Nick Muse,MIN,TE,5,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Kareem Hunt,KC,RB,101,Yes,No,No,47,10,No,No,0.2128,-22,,,6,-2.2,,0.4967,19.5111,19.5111,0.1087,13,,8,0.8,8,,0.8,63,81,24,,2,0.25,0.9362,6,0.6,92.9,1.3404,6.3,,7.875,10.125,3,4,6.3,14.3,10.3,18.3,14.3,14.3,10.3,14.3,14.3,14.3,10.3,14.3,14.3,4,,,,,0.0638
