Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,DeepTargetTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsHero
Bub Means,NO,WR,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.75,,0.25,,,,,,,,,
Will Mallory,IND,TE,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,
Noah Fant,SEA,TE,66,No,No,No,62,9,Yes,Yes,9,1,0.1452,7,0.7778,50,31,9,26,1,0.1429,0.0161,2.8889,89.8,0.8065,5.5556,-0.5155,7.1429,4.4286,1.2857,2,18.5907,18.5907,0.1364,5,12,8.5,12,15.5,12,8.5,12,12,12,8.5,15.5,12,,14,0.1452,1,0.5484,,,,1,0.2903,0.1111,,,
CeeDee Lamb,DAL,WR,65,No,No,No,64,14,Yes,Yes,12,0.8571,0.2188,7,0.5,61,8,12,113,2,0.2857,,8.0714,61.9,0.9531,4.3571,-2.9254,8.7143,1.1429,1.7143,4,22.0804,22.0804,0.2154,6.1,13.1,9.6,13.1,13.1,13.1,9.6,13.1,13.1,13.1,9.6,13.1,13.1,3,16,0.4844,5,0.5156,1,1,3,3,,0.2143,,,
Peyton Hendershot,KC,TE,5,No,No,No,5,1,No,Yes,1,1,0.2,1,1,10,7,3,3,,,,3,108.3,2,10,3.6782,10,7,3,,1.4234,1.4234,0.2,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,,7,0.2,,0.4,,,,,0.4,,,,
Jordan Akins,CLV,TE,32,No,No,No,30,8,No,Yes,8,1,0.2667,6,0.75,45,18,9,40,,,,5,88,1.5,5.625,-0.8553,7.5,3,1.5,2,11.3284,11.3284,0.25,4.5,10.5,7.5,10.5,13.5,10.5,7.5,10.5,10.5,10.5,7.5,13.5,10.5,,17,0.2,1,0.2667,,,,1,0.5333,0.125,,,
Nick Vannett,TEN,TE,18,No,No,No,14,5,No,Yes,4,0.8,0.3571,4,0.8,24,10,3,31,,,,6.2,126.3,1.7143,4.8,-1.8265,6,2.5,0.75,3,13.4795,13.4795,0.2778,14.4,18.4,16.4,18.4,20.4,18.4,16.4,18.4,18.4,18.4,16.4,20.4,18.4,3,17,,1,0.0714,,2,1,,0.9286,,2,1,
Ja'Lynn Polk,NE,WR,21,No,No,No,21,3,No,Yes,2,0.6667,0.1429,1,0.3333,4,,,28,,,,9.3333,42.4,0.1905,1.3333,-6.4544,4,,,,5.6847,5.6847,0.1429,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,15,0.8571,1,0.1429,,,,,,,,,
Jared Wiley,KC,TE,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,
James Cook,BUF,RB,35,No,No,No,35,6,No,Yes,5,0.8333,0.1714,5,0.8333,36,40,8,-1,,,0.9714,-0.1667,91.7,1.0286,6,-0.1039,7.2,8,1.6,2,8.3683,8.3683,0.1714,3.6,8.6,6.1,11.1,8.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,,16,,,0.0286,,,,,,,,,
