Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Stefon Diggs,HST,WR,17,No,Yes,No,17,4,No,No,2,0.5,0.2353,2,0.5,51,16,,88,,0.8235,22,95.8,3,12.75,1.9457,25.5,8,,2,7.3199,7.3199,0.2353,5.1,7.1,6.1,7.1,7.1,7.1,6.1,7.1,7.1,7.1,6.1,7.1,7.1,8,0.1765,,,,,2,,1,1,,,,,
Ben Sinnott,WAS,TE,3,No,Yes,Yes,3,,No,No,,,,,,,,,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.3333,,,,
Zay Jones,ARZ,WR,4,No,Yes,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,32,No,Yes,No,32,6,No,No,5,0.8333,0.1875,5,0.8333,86,9,5,88,,0.5,14.6667,118.8,2.6875,14.3333,5.0131,17.2,1.8,1,4,11.3064,11.3064,0.1875,8.6,13.6,11.1,13.6,13.6,13.6,11.1,13.6,13.6,13.6,11.1,13.6,13.6,17,0.5,,1,,,1,,,,,,,,
Brandon Aiyuk,SF,WR,9,No,No,No,9,1,No,Yes,,,0.1111,,,,,,26,,0.3333,26,39.6,,,-13.0114,,,,,1.931,1.931,0.1111,,,,,,,,,,,,,,7,0.6667,,,,,1,,,,,,,,
Allen Lazard,NYJ,WR,28,No,Yes,No,28,7,No,Yes,4,0.5714,0.25,3,0.4286,66,32,18,109,0.0357,0.3571,15.5714,116.7,2.3571,9.4286,-0.4472,22,10.6667,6,3,16.8035,16.8035,0.25,12.6,15.6,14.1,15.6,15.6,15.6,14.1,15.6,15.6,15.6,14.1,15.6,15.6,12,0.6071,1,,1,1,3,1,1,1,,1,0.1429,1,0.3333
Darnell Mooney,ATL,WR,5,No,No,No,5,1,No,No,,,0.2,,,,,,21,,0.8,21,,,,-11.2393,,,,,3.4345,3.4345,0.2,,,,,,,,,,,,,,16,0.2,1,,,,1,1,,,,,,,
Jeremy Ruckert,NYJ,TE,13,No,Yes,No,12,4,No,Yes,3,0.75,0.3333,3,0.75,21,5,4,14,0.25,0.3333,3.5,86.5,1.75,5.25,-1.0141,7,1.6667,1.3333,2,6.3224,6.3224,0.3077,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,17,0.4167,,,,,,1,,,,,,,
Kalif Raymond,DET,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,6,No,Yes,No,5,2,No,No,1,0.5,0.4,1,0.5,3,,,30,0.4,0.6,15,95.8,0.6,1.5,-7.1095,3,,,1,5.7442,5.7442,0.3333,6.3,7.3,6.8,7.3,7.8,7.3,6.8,7.3,7.3,7.3,6.8,7.8,7.3,11,,1,,1,1,1,1,,,,,,,
Curtis Samuel,BUF,WR,21,No,Yes,No,21,4,No,No,1,0.25,0.1905,1,0.25,38,2,,87,,0.4762,21.75,66.7,1.8095,9.5,-1.4909,38,2,,1,8.8973,8.8973,0.1905,3.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,14,0.5238,1,,,,2,1,,,,,,,
Chase Brown,CIN,RB,26,No,Yes,No,21,4,Yes,Yes,4,1,0.1905,4,1,23,11,5,23,,,5.75,130.2,1.0952,5.75,-1.4125,5.75,2.75,1.25,3,15.6608,15.6608,0.1538,14.3,18.3,16.3,20.3,18.3,18.3,16.3,18.3,18.3,18.3,16.3,18.3,18.3,16,0.1429,2,,2,2,,3,,,0.8571,,,1,0.25
Najee Harris,PIT,RB,13,No,Yes,No,9,1,No,No,1,1,0.1111,1,1,10,9,1,1,0.1111,,1,108.3,1.1111,10,4.2706,10,9,1,1,2.0976,2.0976,0.0769,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,17,0.1111,,,,,,1,,,0.7778,,,,
Daniel Bellinger,NYG,TE,5,No,Yes,No,5,,No,Yes,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Drew Sample,CIN,TE,16,No,Yes,No,10,2,No,No,2,1,0.2,2,1,14,7,2,7,0.6,0.1,3.5,135.4,1.4,7,0.575,7,3.5,1,2,8.1827,8.1827,0.125,7.4,9.4,8.4,9.4,10.4,9.4,8.4,9.4,9.4,9.4,8.4,10.4,9.4,17,0.2,1,,1,1,,1,,,0.1,,,,
Devontez Walker,BLT,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,4,No,Yes,Yes,3,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.6667,,,,
