Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TouchdownsTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Nick Westbrook-Ikhine,MIA,WR,75,Yes,No,Yes,60,5,No,1,Yes,5,1,,0.0833,3,1,0.6,23,9,5,25,1,0.3333,,0.4333,0.5667,3,,,5,71.3,0.3833,4.6,-1.8147,7.6667,3,1.6667,3,9.7457,9.7457,0.0758,2.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,1,15,,2,,0.4,,,
Ronnie Rivers,LA,RB,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,
Elijah Arroyo,SEA,TE,55,No,No,No,44,9,No,2,No,8,0.8889,1,0.2045,7,1,0.7778,62,41,6,32,,,0.5682,0.2955,0.0909,8,,,3.5556,95.4,1.4091,6.8889,0.7408,8.8571,5.8571,0.8571,2,16.2269,16.2269,0.18,5.2,12.2,8.7,12.2,15.7,12.2,7.7,11.2,11.2,11.2,7.7,15.7,11.2,2,13,,,0.0455,,,,
Darius Slayton,NYG,WR,121,Yes,No,No,105,21,No,4,Yes,17,0.8095,3,0.2,14,2,0.6667,164,82,13,162,1,0.0714,,0.1524,0.8476,17,,,7.7143,106.1,1.5619,7.8095,0.5396,11.7143,5.8571,0.9286,6,36.9496,36.9496,0.1875,22.4,36.4,29.4,36.4,36.4,39.4,32.4,36.4,36.4,36.4,29.4,36.4,36.4,3,14,1,2,,0.0952,,,
Jake Ferguson,DAL,TE,176,Yes,No,No,148,28,No,3,Yes,26,0.9286,3,0.1892,25,3,0.8929,142,84,32,73,,,0.4324,0.4932,0.0743,21,2,0.0714,2.6071,111.6,0.9595,5.0714,-1.2421,5.68,3.36,1.28,7,50.0561,50.0561,0.1677,25.2,50.2,37.7,50.2,62.7,53.2,39.7,49.2,49.2,49.2,36.7,62.7,49.2,6,17,2,1,,0.0357,2,,
Davante Adams,LA,WR,112,No,Yes,No,94,34,No,6,No,24,0.7059,11,0.3617,21,4,0.6176,166,4,3,265,,,,0.1489,0.8511,30,1,0.0294,7.7941,113.5,1.766,4.8824,-2.5229,7.9048,0.1905,0.1429,16,78.4456,78.4456,0.3091,46.6,67.6,57.1,67.6,67.6,70.6,60.1,67.6,67.6,67.6,57.1,67.6,67.6,15,14,5,1,,0.0294,5,,
Dare Ogunbowale,HST,RB,29,No,No,Yes,18,5,No,1,Yes,4,0.8,,0.2778,4,,0.8,19,14,7,10,,,,0.1667,0.0556,1,,,2,82.5,1.0556,3.8,-2.6472,4.75,3.5,1.75,,7.033,7.033,0.1852,1.9,5.9,3.9,7.9,5.9,5.9,3.9,5.9,5.9,5.9,3.9,5.9,5.9,1,17,,,0.7778,,,,
Nico Collins,HST,WR,135,No,Yes,Yes,130,35,No,5,No,24,0.6857,4,0.2692,23,4,0.6571,202,71,36,231,,,,0.1923,0.8077,35,3,0.0857,6.6,80.9,1.5538,5.7714,-1.2951,8.7826,3.087,1.5652,10,67.362,67.362,0.2713,19.2,42.2,30.7,42.2,42.2,45.2,32.7,41.2,41.2,41.2,29.7,42.2,41.2,8,15,,,,,,,
Jerry Jeudy,CLV,WR,158,No,No,Yes,144,38,Yes,8,Yes,27,0.7105,3,0.2639,19,3,0.5,161,40,5,308,,,0.0069,0.1042,0.8889,33,1,0.0263,8.1053,39.5,1.1181,4.2368,-3.2642,8.4737,2.1053,0.2632,12,61.4791,61.4791,0.2621,16.1,35.1,25.6,35.1,35.1,38.1,28.6,35.1,35.1,35.1,25.6,35.1,35.1,6,17,,4,,0.1053,,,
Emari Demercado,ARZ,RB,42,No,No,No,37,6,No,,Yes,5,0.8333,,0.1622,5,,0.8333,23,6,13,19,2,0.4,,0.0541,0.027,2,1,0.1667,3.1667,122.2,0.6216,3.8333,-2.888,4.6,1.2,2.6,1,10.0482,10.0482,0.1622,8.3,13.3,10.8,15.8,13.3,13.3,10.8,13.3,13.3,13.3,10.8,13.3,13.3,1,13,1,,0.9189,,,1,
