Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsInEndzone,ReceptionsHero
Grant Calcaterra,PHI,TE,20,No,No,Yes,10,3,No,No,,0.3,20,0.4,0.1,2,6.6667,,141,0.7605,5.7377,5.7377,0.15,1,15,2,3,1,3,2,1,25,5,3,1,,,2.5,8.3333,8.3333,1.6667,1,2,8.5,11.5,10,11.5,13,11.5,10,11.5,11.5,11.5,10,13,11.5,,,,0.5,,,,
Rashod Bateman,BLT,WR,60,No,Yes,No,55,5,No,Yes,1,0.0909,31,0.1273,0.8727,2,6.2,,107.5,-2.2061,7.6684,7.6684,0.0893,2,13,,3,0.6,3,,0.6,19,5,1,1,,,0.3455,3.8,6.3333,1.6667,0.3333,2,7.9,10.9,9.4,10.9,10.9,10.9,9.4,10.9,10.9,10.9,9.4,10.9,10.9,,,,,,,1,
Pharaoh Brown,ARZ,TE,8,No,No,Yes,7,,No,No,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Rico Dowdle,CAR,RB,46,No,No,No,33,5,No,Yes,,0.1515,7,0.0606,0.3939,,1.4,,48.8,-1.0218,6.8393,6.8393,0.119,,17,,5,1,4,,0.8,26,19,4,,,,0.7879,5.2,6.5,4.75,1,2,2.6,6.6,4.6,8.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,1,0.5455,0.2,,,,,
Ricky Pearsall,SF,WR,47,No,No,No,44,5,No,No,,0.1136,53,0.2045,0.7955,4,10.6,,114.2,3.0483,8.7642,8.7642,0.1111,,9,2,5,1,5,2,1,57,4,3,,,,1.2955,11.4,11.4,0.8,0.6,4,5.7,10.7,8.2,10.7,10.7,10.7,8.2,10.7,10.7,10.7,8.2,10.7,10.7,,,,,,,,
Chris Olave,NO,WR,89,No,No,Yes,83,17,No,Yes,1,0.2048,133,0.3855,0.6145,13,7.8235,,141.9,1.371,27.649,27.649,0.1932,2,16,3,16,0.9412,15,3,0.8824,147,34,5,2,1,0.0667,1.7711,8.6471,9.8,2.2667,0.3333,8,26.7,41.7,34.2,41.7,41.7,44.7,37.2,41.7,41.7,41.7,34.2,41.7,41.7,1,,0.0588,,,,1,
Jerome Ford,CLV,RB,40,No,No,No,32,7,No,Yes,,0.2188,12,,,1,1.7143,,87.5,-1.3258,11.1087,11.1087,0.1892,2,13,,7,1,6,,0.8571,35,24,6,,,,1.0938,5,5.8333,4,1,,3.5,9.5,6.5,12.5,9.5,9.5,6.5,9.5,9.5,9.5,6.5,9.5,9.5,1,0.9375,0.1429,0.0625,1,0.1429,,
George Pickens,DAL,WR,80,No,No,No,78,12,No,Yes,1,0.1538,120,0.0769,0.9231,9,10,1,146.5,6.2495,22.3199,22.3199,0.1558,2,17,1,12,1,11,1,0.9167,173,73,40,1,2,0.1818,2.2179,14.4167,15.7273,6.6364,3.6364,9,23.3,34.3,28.8,34.3,34.3,37.3,31.8,34.3,34.3,34.3,28.8,34.3,34.3,1,,0.0833,,,,1,
Jeremy McNichols,WAS,RB,23,No,No,Yes,17,3,No,No,,0.1765,9,0.2353,,1,3,,105.6,2.8239,4.0902,4.0902,0.1364,,17,1,3,1,3,1,1,28,19,5,,,,1.6471,9.3333,9.3333,6.3333,1.6667,1,2.8,5.8,4.3,7.3,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,,0.7647,,,,,,
Ryan Miller,TB,WR,7,No,Yes,No,5,1,No,Yes,,0.2,14,0.4,0.6,1,14,,118.8,4.1866,1.8581,1.8581,0.1429,,13,,1,1,1,,1,14,,,,,,2.8,14,14,,,,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,,,,,,
Brock Wright,DET,TE,42,No,No,No,29,6,No,No,1,0.2069,23,0.2069,0.1379,2,3.8333,,113.9,-2.32,10.3929,10.3929,0.1667,1,11,1,5,0.8333,4,,0.6667,24,14,3,1,,,0.8276,4,6,3.5,0.75,2,8.4,12.4,10.4,12.4,14.4,12.4,10.4,12.4,12.4,12.4,10.4,14.4,12.4,,,,0.6552,,,1,
Brandin Cooks,BUF,WR,51,No,No,No,49,3,Yes,Yes,,0.0612,20,0.3878,0.5918,3,6.6667,,72.9,-3.2863,4.5588,4.5588,0.0612,,15,1,3,1,2,,0.6667,11,3,1,,,,0.2245,3.6667,5.5,1.5,0.5,1,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,0.0204,0.3333,,,,,
A.J. Brown,PHI,WR,50,No,No,No,44,12,Yes,Yes,,0.2727,91,0.1818,0.8182,9,7.5833,,67.4,1.7519,22.3809,22.3809,0.25,2,15,3,11,0.9167,9,1,0.75,108,46,15,,,,2.4545,9,12,5.1111,1.6667,7,10.8,19.8,15.3,19.8,19.8,22.8,18.3,19.8,19.8,19.8,15.3,19.8,19.8,,,,,,,,
Luke McCaffrey,WAS,WR,9,No,No,No,9,2,No,Yes,1,0.2222,28,0.1111,0.8889,1,14,,158.3,14.1866,6.3975,6.3975,0.25,1,9,,2,1,2,,1,48,29,,2,,,5.3333,24,24,14.5,,2,16.8,18.8,17.8,18.8,18.8,18.8,17.8,18.8,18.8,18.8,17.8,18.8,18.8,,,,,,,1,
Terrance Ferguson,LA,TE,29,No,Yes,No,27,1,Yes,Yes,,0.037,5,0.5926,0.2963,1,5,,91.7,-0.48,5.7664,5.7664,0.037,,13,,1,1,1,,1,6,1,1,,,,0.2222,6,6,1,1,,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,0.1111,,,,
Samori Toure,NO,WR,2,No,No,No,2,,No,Yes,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,CLV,TE,65,No,No,No,60,20,No,Yes,2,0.3333,133,0.4333,0.0667,17,6.65,,113.5,1.0183,33.1016,33.1016,0.339,3,12,3,17,0.85,16,3,0.8,165,68,35,2,2,0.125,2.75,8.25,10.3125,4.25,2.1875,5,28.5,44.5,36.5,44.5,52.5,47.5,39.5,44.5,44.5,44.5,36.5,52.5,44.5,1,,0.05,0.5,1,0.05,2,
Brock Bowers,LV,TE,64,No,Yes,No,61,20,No,Yes,4,0.3279,175,0.541,0.2131,13,8.75,,151.9,2.8279,41.435,41.435,0.3509,5,12,4,17,0.85,17,3,0.85,219,88,28,4,,,3.5902,10.95,12.8824,5.1765,1.6471,12,45.9,62.9,54.4,62.9,71.4,65.9,57.4,62.9,62.9,62.9,54.4,71.4,62.9,,,,0.2459,,,3,
Jalin Hyatt,NYG,WR,15,No,No,No,14,2,Yes,Yes,,0.1429,19,0.3571,0.6429,2,9.5,,16.7,-6.2297,2.4992,2.4992,0.1429,,8,,1,0.5,1,,0.5,4,,1,,,,0.2857,2,4,,1,,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,
Xavier Legette,CAR,WR,58,No,No,No,58,10,No,Yes,1,0.1724,95,0.4655,0.5345,6,9.5,,105,1.2854,19.4625,19.4625,0.1818,2,15,3,9,0.9,8,2,0.8,92,19,4,,,,1.5862,9.2,11.5,2.375,0.5,5,9.2,17.2,13.2,17.2,17.2,17.2,13.2,17.2,17.2,17.2,13.2,17.2,17.2,,,,,,,,
Johnny Mundt,JAX,TE,23,No,No,No,19,3,No,Yes,,0.1579,17,0.1053,0.1579,1,5.6667,,92.4,1.6462,4.1782,4.1782,0.1304,,16,1,3,1,2,,0.6667,25,17,3,,,,1.3158,8.3333,12.5,8.5,1.5,2,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,,,,0.7368,,,,
Durham Smythe,CHI,TE,15,Yes,Yes,Yes,12,2,No,Yes,,0.1667,10,0.25,0.1667,1,5,,60.4,-2.5799,2.4948,2.4948,0.1429,,17,,2,1,1,,0.5,8,4,1,,,,0.6667,4,8,4,1,,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,1,0.1667,0.5,0.4167,,,,
Greg Dulcich,MIA,TE,26,Yes,No,Yes,24,11,No,Yes,1,0.4583,74,0.375,0.2083,8,6.7273,,140.5,3.1592,18.2011,18.2011,0.44,2,10,5,11,1,9,3,0.8182,115,59,18,1,1,0.1111,4.7917,10.4545,12.7778,6.5556,2,5,16.5,25.5,21,25.5,30,28.5,23,24.5,24.5,24.5,20,30,24.5,,,,0.4167,2,0.1818,1,
Rashid Shaheed,SEA,WR,84,Yes,No,No,83,15,No,Yes,,0.1807,80,0.3133,0.6867,10,5.3333,,89.2,-1.4472,23.5359,23.5359,0.1852,2,18,1,12,0.8,12,1,0.8,81,29,10,,1,0.0833,0.9759,5.4,6.75,2.4167,0.8333,5,8.1,20.1,14.1,20.1,20.1,20.1,14.1,20.1,20.1,20.1,14.1,20.1,20.1,,,,,4,0.2667,,
Gunnar Helm,TEN,TE,35,No,No,Yes,31,6,No,Yes,,0.1935,38,0.5161,0.0323,2,6.3333,,99.3,0.9685,8.3646,8.3646,0.2,,16,3,6,1,6,3,1,47,9,4,,,,1.5161,7.8333,7.8333,1.5,0.6667,2,4.7,10.7,7.7,10.7,13.7,10.7,7.7,10.7,10.7,10.7,7.7,13.7,10.7,,,,0.4516,,,,
Justin Jefferson,MIN,WR,75,No,No,No,71,22,Yes,Yes,1,0.3099,175,0.2676,0.7324,19,7.9545,,91.9,3.9056,39.4111,39.4111,0.3284,3,17,7,21,0.9545,19,5,0.8636,253,103,46,1,1,0.0526,3.5634,11.5,13.3158,5.4211,2.4211,13,31.3,50.3,40.8,50.3,50.3,53.3,43.8,50.3,50.3,50.3,40.8,50.3,50.3,,,,,2,0.0909,1,
Brenton Strange,JAX,TE,54,No,No,No,46,15,No,Yes,,0.3261,82,0.3478,0.2826,8,5.4667,,103.1,1.8141,23.1297,23.1297,0.3061,3,12,4,15,1,13,3,0.8667,131,64,21,,4,0.3077,2.8478,8.7333,10.0769,4.9231,1.6154,6,13.1,26.1,19.6,26.1,32.6,29.1,22.6,26.1,26.1,26.1,19.6,32.6,26.1,1,,0.0667,0.3696,,,,
Kaleb Johnson,PIT,RB,3,No,Yes,No,2,,No,Yes,,,,0.5,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,
Rhamondre Stevenson,NE,RB,44,Yes,No,Yes,35,7,No,Yes,,0.2,26,,0.1429,2,3.7143,,101.2,1.4354,9.7919,9.7919,0.175,1,14,,7,1,7,,1,58,32,8,,,,1.6571,8.2857,8.2857,4.5714,1.1429,1,4.8,11.8,8.3,15.3,11.8,11.8,7.3,10.8,10.8,10.8,7.3,11.8,10.8,,0.8571,,,1,0.1429,,
Tory Horton,SEA,WR,26,No,No,No,26,3,No,Yes,,0.1154,23,0.2692,0.7308,2,7.6667,,115.3,4.4192,4.3134,4.3134,0.12,,8,2,3,1,3,2,1,35,12,8,,,,1.3462,11.6667,11.6667,4,2.6667,2,3.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,,,,,,,,
Travis Kelce,KC,TE,71,No,No,No,63,24,No,Yes,1,0.381,125,0.4762,0.2698,18,5.2083,,87.8,0.3653,41.5634,41.5634,0.381,4,17,2,21,0.875,18,2,0.75,174,83,49,2,3,0.1667,2.7619,7.25,9.6667,4.6111,2.7222,9,29.4,47.4,38.4,47.4,56.4,50.4,41.4,47.4,47.4,47.4,38.4,56.4,47.4,3,,0.125,0.254,2,0.0833,1,
Tyreek Hill,MIA,WR,14,No,No,No,13,,No,Yes,,,,0.3846,0.6154,,,,,,2.9487,2.9487,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Kmet,CHI,TE,58,Yes,Yes,Yes,47,7,No,Yes,1,0.1489,69,0.2766,0.3617,5,9.8571,,119,-1.1582,12.6188,12.6188,0.1296,1,16,1,6,0.8571,4,,0.5714,50,17,8,1,,,1.0638,7.1429,12.5,4.25,2,3,11,15,13,15,17,15,13,15,15,15,13,17,15,1,0.0426,0.1429,0.3191,,,1,
Demarcus Robinson,SF,WR,62,Yes,No,No,59,5,No,Yes,,0.0847,39,0.4237,0.5593,4,7.8,,92.5,-1.0636,7.2226,7.2226,0.0862,,14,1,5,1,4,1,0.8,31,3,2,,,,0.5254,6.2,7.75,0.75,0.5,2,3.1,7.1,5.1,7.1,7.1,7.1,5.1,7.1,7.1,7.1,5.1,7.1,7.1,1,,0.2,0.0169,,,,
Savion Williams,GB,WR,7,No,Yes,Yes,7,4,No,No,,0.5714,1,0.7143,0.2857,3,0.25,,90.6,0.3686,6.2164,6.2164,0.5714,1,12,,4,1,4,,1,23,22,10,,2,0.5,3.2857,5.75,5.75,5.5,2.5,,2.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,,,,,3,0.75,,
Kimani Vidal,LAC,RB,45,No,Yes,Yes,28,3,No,No,,0.1071,9,0.0714,,1,3,,42.4,-5.1887,4.49,4.49,0.075,1,13,,2,0.6667,1,,0.3333,4,2,,,,,0.1429,1.3333,4,2,,1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1,0.8929,0.3333,0.0357,,,,
RJ Harvey,DEN,RB,45,No,Yes,Yes,40,9,No,No,,0.225,22,0.1,0.2,2,2.4444,,92.1,-0.3233,14.0058,14.0058,0.225,1,17,,8,0.8889,7,,0.7778,55,40,8,,2,0.2857,1.375,6.1111,7.8571,5.7143,1.1429,2,5.5,12.5,9,16,12.5,12.5,9,12.5,12.5,12.5,9,12.5,12.5,1,0.675,0.1111,0.025,1,0.1111,,
Mason Tipton,NO,WR,29,No,No,No,28,2,No,Yes,,0.0714,11,0.2857,0.6786,2,5.5,,16.7,-6.4474,3.3286,3.3286,0.069,1,13,,1,0.5,1,,0.5,2,6,,,,,0.0714,1,2,6,,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,0.0357,,,1,0.5,,
Kylen Granson,PHI,TE,8,No,No,Yes,7,1,No,No,,0.1429,3,0.2857,0.1429,,3,,83.3,-2.3218,1.5384,1.5384,0.125,,17,1,1,1,1,1,1,4,1,,,,,0.5714,4,4,1,,1,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,,,0.5714,,,,
Konata Mumpfield,LA,WR,31,No,No,Yes,31,8,No,No,1,0.2581,75,0.2258,0.7742,1,9.375,,80.7,-1.2602,14.3272,14.3272,0.2667,2,17,4,6,0.75,5,3,0.625,51,5,2,1,,,1.6452,6.375,10.2,1,0.4,5,11.1,16.1,13.6,16.1,16.1,16.1,13.6,16.1,16.1,16.1,13.6,16.1,16.1,1,,0.125,,,,1,
Derius Davis,LAC,WR,8,No,Yes,Yes,8,1,No,No,,0.125,-4,0.25,0.625,1,-4,,79.2,-1.4851,1.4759,1.4759,0.1429,,11,,1,1,1,,1,3,7,-1,,,,0.375,3,3,7,-1,,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,0.125,,,1,1,,
George Kittle,SF,TE,58,Yes,No,No,52,15,No,Yes,1,0.2885,97,0.2692,0.1154,11,6.4667,,122.5,1.1289,23.5992,23.5992,0.2727,3,11,4,14,0.9333,13,3,0.8667,121,43,26,1,,,2.3269,8.0667,9.3077,3.3077,2,8,18.1,31.1,24.6,31.1,37.6,34.1,27.6,31.1,31.1,31.1,24.6,37.6,31.1,1,,0.0667,0.6154,2,0.1333,1,
Zaire Mitchell-Paden,NO,TE,5,Yes,Yes,No,2,,Yes,Yes,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Dalton Schultz,HST,TE,70,No,No,No,66,10,No,Yes,,0.1515,76,0.3333,0.1364,8,7.6,,118.8,6.5488,19.496,19.496,0.1538,,17,2,10,1,8,1,0.8,145,66,9,,,,2.197,14.5,18.125,8.25,1.125,5,14.5,22.5,18.5,22.5,26.5,25.5,21.5,22.5,22.5,22.5,18.5,26.5,22.5,1,,0.1,0.5303,,,,1
Anthony Gould,IND,WR,8,No,No,Yes,8,2,No,Yes,,0.25,-2,0.875,0.125,2,-1,,79.2,-1.8048,3.3425,3.3425,0.25,,11,,2,1,2,,1,6,8,1,,,,0.75,3,3,4,0.5,,0.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,,,,1,0.5,,
Keenan Allen,LAC,WR,73,No,Yes,Yes,72,23,No,No,2,0.3194,161,0.375,0.625,15,7,,99.7,1.4886,42.1135,42.1135,0.3382,4,17,4,19,0.8261,17,3,0.7391,199,71,46,,2,0.1176,2.7639,8.6522,11.7059,4.1765,2.7059,11,19.9,36.9,28.4,36.9,36.9,39.9,31.4,36.9,36.9,36.9,28.4,36.9,36.9,,,,,1,0.0435,,
Isaiah Likely,BLT,TE,52,Yes,No,No,48,14,No,Yes,3,0.2917,106,0.6667,0.2083,5,7.5714,,129.2,1.7818,27.747,27.747,0.2857,3,14,2,13,0.9286,11,1,0.7857,130,60,4,1,1,0.0909,2.7083,9.2857,11.8182,5.4545,0.3636,6,18,29,23.5,29,34.5,32,25.5,28,28,28,22.5,34.5,28,1,,0.0714,0.125,,,1,
Jared Wiley,KC,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Michael Bandy,DEN,WR,2,No,No,No,2,,No,Yes,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treylon Burks,WAS,WR,19,No,No,Yes,19,2,No,No,1,0.1053,22,0.2632,0.6842,,11,,70.8,-1.773,5.4432,5.4432,0.1176,1,8,1,1,0.5,1,1,0.5,13,1,1,,1,1,0.6842,6.5,13,1,1,1,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,,,0.0526,,,,
James Cook,BUF,RB,46,Yes,Yes,No,42,9,Yes,No,,0.2143,42,,,,4.6667,,94.9,-0.2455,12.7568,12.7568,0.2,,17,1,8,0.8889,7,,0.7778,61,31,5,,,,1.4524,6.7778,8.7143,4.4286,0.7143,2,6.1,13.1,9.6,16.6,13.1,13.1,9.6,13.1,13.1,13.1,9.6,13.1,13.1,,1,,,,,,
Travis Vokolek,ARZ,TE,1,No,No,No,1,,No,Yes,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Vannett,LA,TE,3,No,No,Yes,3,,No,No,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Noah Fant,CIN,TE,47,No,No,No,41,10,No,No,1,0.2439,43,0.3659,0.0488,7,4.3,,129.2,0.5351,17.007,17.007,0.2222,1,15,2,10,1,9,1,0.9,70,33,16,1,2,0.2222,1.7073,7,7.7778,3.6667,1.7778,2,13,22,17.5,22,26.5,22,17.5,22,22,22,17.5,26.5,22,,,,0.5854,,,1,
CeeDee Lamb,DAL,WR,54,No,No,No,53,16,No,Yes,,0.3019,149,0.3208,0.6415,10,9.3125,,55.2,-1.4227,28.9612,28.9612,0.3077,2,14,2,12,0.75,10,2,0.625,104,24,10,,,,1.9623,6.5,10.4,2.4,1,5,10.4,20.4,15.4,20.4,20.4,23.4,18.4,20.4,20.4,20.4,15.4,20.4,20.4,2,0.0377,0.125,,,,,
Ray Davis,BUF,RB,9,Yes,Yes,No,8,2,Yes,No,,0.25,13,,,,6.5,,39.6,-7.5363,2.9144,2.9144,0.2222,,17,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.5,,,,,
DeeJay Dallas,JAX,RB,1,No,No,No,1,,No,Yes,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,48,No,No,No,40,8,No,Yes,,0.2,23,0.075,0.05,1,2.875,,93.2,-0.1511,11.3184,11.3184,0.1905,,17,2,7,0.875,7,2,0.875,51,31,11,,,,1.275,6.375,7.2857,4.4286,1.5714,3,5.1,12.1,8.6,15.6,12.1,12.1,8.6,12.1,12.1,12.1,8.6,12.1,12.1,,0.875,,,,,,
Drake Dabney,GB,TE,2,No,No,No,2,,Yes,Yes,,,,0.5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Ladd McConkey,LAC,WR,96,Yes,No,No,95,27,No,Yes,2,0.2842,235,0.5895,0.4,16,8.7037,1,85.4,0.5413,47.4451,47.4451,0.3,5,16,1,19,0.7037,17,,0.6296,220,68,23,1,,,2.3158,8.1481,12.9412,4,1.3529,10,28,45,36.5,45,45,48,39.5,45,45,45,36.5,45,45,,,,0.0105,,,,
JuJu Smith-Schuster,KC,WR,42,No,No,No,39,9,No,Yes,1,0.2308,43,0.359,0.641,7,4.7778,,45.8,0.368,17.9274,17.9274,0.2432,3,17,,7,0.7778,6,,0.6667,60,27,10,,,,1.5385,6.6667,10,4.5,1.6667,4,6,12,9,12,12,12,9,12,12,12,9,12,12,1,,0.1111,,,,,
Romeo Doubs,GB,WR,52,No,Yes,No,48,13,No,Yes,2,0.2708,128,0.2083,0.7917,9,9.8462,,121.6,0.6955,23.1345,23.1345,0.26,2,16,3,11,0.8462,9,1,0.6923,113,36,13,1,2,0.2222,2.3542,8.6923,12.5556,4,1.4444,6,17.3,26.3,21.8,26.3,26.3,29.3,24.8,26.3,26.3,26.3,21.8,26.3,26.3,1,,0.0769,,,,1,
Alex Bachman,LV,WR,2,No,No,No,2,1,No,Yes,,0.5,6,0.5,0.5,1,6,,104.2,2.0509,1.4776,1.4776,0.5,,13,,1,1,1,,1,9,3,2,,,,4.5,9,9,3,2,1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,
Dalevon Campbell,CAR,WR,1,No,Yes,No,1,,No,No,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,11,No,No,Yes,10,5,No,Yes,1,0.5,58,0.3,0.7,3,11.6,1,19.2,-3.1585,7.9678,7.9678,0.5,1,6,3,3,0.6,2,2,0.4,28,1,,,,,2.8,5.6,14,0.5,,1,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,,,,,,,
Nick Kallerup,SEA,TE,4,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Lucas Krull,DEN,TE,3,No,No,Yes,3,2,No,Yes,,0.6667,11,0.6667,,2,5.5,,62.5,-2.1873,2.8555,2.8555,0.6667,,3,,1,0.5,1,,0.5,9,2,1,,,,3,4.5,9,2,1,,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,,,0.3333,,,,
Tyler Johnson,NYJ,WR,27,No,No,No,27,4,No,Yes,,0.1481,25,0.4074,0.5926,2,6.25,,115.6,5.0557,6.2159,6.2159,0.1818,,12,,4,1,4,,1,47,22,-4,,,,1.7407,11.75,11.75,5.5,-1,2,4.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,,,,,,,,
Chig Okonkwo,TEN,TE,64,No,No,No,59,12,No,Yes,,0.2034,58,0.4576,0.1356,7,4.8333,,112.2,0.0497,20.1846,20.1846,0.2069,1,17,3,10,0.8333,8,2,0.6667,77,26,10,1,,,1.3051,6.4167,9.625,3.25,1.25,5,13.7,21.7,17.7,21.7,25.7,21.7,17.7,21.7,21.7,21.7,17.7,25.7,21.7,1,,0.0833,0.4068,1,0.0833,,
Ke'Shawn Williams,CIN,WR,2,No,No,No,2,1,No,No,,0.5,4,,1,1,4,,87.5,-1.0498,1.42,1.42,0.5,,11,1,1,1,1,1,1,5,1,1,,,,2.5,5,5,1,1,,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,
Isaiah Hodgins,NYG,WR,38,No,No,No,34,5,No,Yes,1,0.1471,54,0.4706,0.5294,2,10.8,1,150.4,2.3401,7.0687,7.0687,0.1429,1,7,1,5,1,5,1,1,53,8,,1,,,1.5588,10.6,10.6,1.6,,3,11.3,16.3,13.8,16.3,16.3,16.3,13.8,16.3,16.3,16.3,13.8,16.3,16.3,,,,,,,1,1
Devin Singletary,NYG,RB,26,No,No,No,21,2,No,Yes,,0.0952,4,0.0476,0.2857,,2,,95.8,0.8806,2.8588,2.8588,0.08,,17,1,2,1,2,1,1,14,10,3,,,,0.6667,7,7,5,1.5,,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,0.6667,,,,,,
Gage Larvadain,CLV,WR,30,No,No,No,27,4,No,No,,0.1481,28,0.3704,0.6296,4,7,,101,1.6576,5.8224,5.8224,0.1379,,13,,4,1,3,,0.75,35,12,6,,1,0.3333,1.2963,8.75,11.6667,4,2,1,3.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,1,,0.25,,,,,
Trayveon Williams,CLV,RB,11,No,No,No,10,3,No,No,,0.3,-13,0.1,,3,-4.3333,,72.9,-1.9261,5.3294,5.3294,0.2727,,6,,2,0.6667,2,,0.6667,11,18,3,,,,1.1,3.6667,5.5,9,1.5,,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,0.8,,0.1,3,1,,
