Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentWideRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Michael Pittman,IND,WR,153,Yes,Yes,No,143,30,No,Yes,26,0.8667,0.2098,22,0.7333,175,92,32,145,1,,0.2238,27,2,0.0667,4.8333,109.7,1.2238,5.8333,-0.8313,0.0333,7.9545,4.1818,1.4545,9,52.5548,52.5548,0.2128,29.5,51.5,40.5,51.5,51.5,54.5,43.5,51.5,51.5,51.5,40.5,51.5,51.5,17,4,1,,2,,4,0.1818,0.7483,7,0.028,,1
Malik Washington,MIA,WR,106,Yes,No,Yes,98,24,No,Yes,19,0.7917,0.2449,18,0.75,146,103,41,98,1,0.0408,0.5,17,5,0.2083,4.0833,72.6,1.4898,6.0833,-0.3487,0.0417,8.1111,5.7222,2.2778,9,37.7324,37.7324,0.2376,14.6,32.6,23.6,32.6,32.6,35.6,26.6,32.6,32.6,32.6,23.6,32.6,32.6,17,3,,2,,,5,0.2778,0.449,4,0.0102,,
Jakobie Keeney-James,GB,WR,8,Yes,Yes,Yes,6,2,No,No,2,1,0.3333,2,1,15,,10,15,,,0.3333,2,,,7.5,97.9,2.5,7.5,0.2124,,7.5,,5,,2.8359,2.8359,0.3333,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,1,,1,,,,,0.6667,,,,
Jonathan Taylor,IND,RB,134,Yes,Yes,No,91,26,No,Yes,25,0.9615,0.2857,23,0.8846,172,203,50,-37,2,0.8681,0.0659,10,6,0.2308,-1.4231,107.1,1.8901,6.6154,0.669,0.0769,7.4783,8.8261,2.1739,8,39.2185,39.2185,0.2097,23.2,46.2,34.7,57.7,46.2,49.2,37.7,46.2,46.2,46.2,34.7,46.2,46.2,17,1,,1,1,,3,0.1304,0.0659,2,,,
Troy Franklin,DEN,WR,157,No,Yes,No,141,31,No,No,28,0.9032,0.2199,25,0.8065,191,91,24,142,2,,0.4326,21,6,0.1935,4.5806,87,1.3546,6.1613,-0.3419,0.0645,7.64,3.64,0.96,9,60.6972,60.6972,0.223,30.1,55.1,42.6,55.1,55.1,58.1,44.6,54.1,54.1,54.1,41.6,55.1,54.1,17,6,3,4,2,1,3,0.12,0.5674,7,,,1
Laquon Treadwell,IND,WR,4,Yes,Yes,No,4,,No,Yes,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,0.75,,,,
Tim Patrick,JAX,WR,39,No,Yes,No,28,3,No,No,3,1,0.1071,3,1,22,22,5,,,,0.4286,3,1,0.3333,,97.2,0.7857,7.3333,2.3147,,7.3333,7.3333,1.6667,1,4.69,4.69,0.0938,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,16,,,,,,,,0.5714,1,,,
Brian Thomas,JAX,WR,117,No,Yes,No,105,18,No,No,17,0.9444,0.1714,14,0.7778,141,45,9,154,,,0.2,16,,,8.5556,117.8,1.3429,7.8333,0.0488,,10.0714,3.2143,0.6429,7,30.8245,30.8245,0.1636,20.1,34.1,27.1,34.1,34.1,37.1,30.1,34.1,34.1,34.1,27.1,34.1,34.1,14,4,2,2,1,1,2,0.1429,0.8,2,,,
DeAndre Hopkins,BLT,WR,52,No,Yes,Yes,49,6,No,No,5,0.8333,0.1224,4,0.6667,27,6,1,48,,,0.2857,6,,,8,76.4,0.551,4.5,-2.9479,,6.75,1.5,0.25,2,10.3481,10.3481,0.1364,2.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,17,2,,1,,,,,0.7143,,,,
Josh Reynolds,NYJ,WR,40,No,No,No,37,8,No,No,7,0.875,0.2162,5,0.625,49,10,7,55,1,,0.1892,5,,,6.875,79.7,1.3243,6.125,-1.0409,0.125,9.8,2,1.4,3,14.0135,14.0135,0.2222,4.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,5,3,,1,,,1,0.2,0.8108,1,,,1
Noah Gray,KC,TE,77,No,No,No,54,8,No,No,8,1,0.1481,8,1,51,20,7,31,,0.0185,0.3704,7,1,0.125,3.875,93.2,0.9444,6.375,-0.2072,,6.375,2.5,0.875,4,12.0462,12.0462,0.1143,5.1,13.1,9.1,13.1,17.1,13.1,9.1,13.1,13.1,13.1,9.1,17.1,13.1,16,3,,3,,,,,0.0926,,0.5185,,
Chimere Dike,TEN,WR,131,No,Yes,No,113,19,No,No,14,0.7368,0.1681,13,0.6842,76,53,5,46,1,,0.7257,14,7,0.3684,2.4211,110.9,0.6726,4,-2.1121,0.0526,5.8462,4.0769,0.3846,6,38.3111,38.3111,0.1681,19.6,32.6,26.1,32.6,32.6,32.6,26.1,32.6,32.6,32.6,26.1,32.6,32.6,17,1,2,1,2,2,,,0.2743,4,,,
Simi Fehoko,ARZ,WR,10,Yes,No,No,9,,No,Yes,,,,,,,,,,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,0.7778,,,,
Xavier Hutchinson,HST,WR,131,Yes,Yes,No,121,16,No,Yes,10,0.625,0.1322,9,0.5625,56,13,3,111,,,0.1901,14,,,6.9375,103.1,0.4628,3.5,-3.5326,,6.2222,1.4444,0.3333,2,32.0916,32.0916,0.1368,17.6,26.6,22.1,26.6,26.6,26.6,22.1,26.6,26.6,26.6,22.1,26.6,26.6,17,1,3,1,2,1,,,0.8099,6,,,
T.J. Hockenson,MIN,TE,129,No,No,Yes,100,26,No,No,21,0.8077,0.26,18,0.6923,108,70,28,104,2,0.01,0.33,18,4,0.1538,4,102.7,1.08,4.1538,-2.6733,0.0769,6,3.8889,1.5556,9,50.4553,50.4553,0.2149,22.8,40.8,31.8,40.8,49.8,43.8,34.8,40.8,40.8,40.8,31.8,49.8,40.8,15,2,2,2,2,1,3,0.1667,0.15,7,0.51,1,
Stone Smartt,NYJ,TE,19,Yes,No,No,12,5,No,Yes,5,1,0.4167,5,1,42,26,22,16,,,0.5,5,,,3.2,101.7,3.5,8.4,2.3551,,8.4,5.2,4.4,2,6.8005,6.8005,0.2632,4.2,9.2,6.7,9.2,11.7,9.2,6.7,9.2,9.2,9.2,6.7,11.7,9.2,8,3,,3,,,1,0.2,0.1667,,0.3333,,
Ian Thomas,LV,TE,38,No,No,No,15,1,No,No,1,1,0.0667,1,1,5,8,2,-3,,0.0667,0.0667,,,,-3,87.5,0.3333,5,-0.8652,,5,8,2,1,1.6179,1.6179,0.0294,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,15,,,,,,,,0.1333,,0.7333,,
Zay Flowers,BLT,WR,119,No,Yes,Yes,116,31,No,No,26,0.8387,0.2672,20,0.6452,180,128,21,140,5,,0.3707,25,7,0.2258,4.5161,66.6,1.5517,5.8065,-0.7528,0.1613,9,6.4,1.05,7,53.7081,53.7081,0.2925,16,36,26,36,36,39,27,34,34,34,24,36,34,17,3,1,2,,,4,0.2,0.6293,2,,,
Michael Wilson,ARZ,WR,194,Yes,No,No,178,38,No,Yes,31,0.8158,0.2135,31,0.8158,285,96,33,249,,,0.2472,35,1,0.0263,6.5526,76,1.6011,7.5,0.5764,,9.1935,3.0968,1.0645,15,62.4858,62.4858,0.2111,28.5,59.5,44,59.5,59.5,62.5,47,59.5,59.5,59.5,44,59.5,59.5,17,7,1,7,,,2,0.0645,0.7528,2,,,1
Hunter Henry,NE,TE,115,Yes,No,Yes,92,22,No,Yes,19,0.8636,0.2391,16,0.7273,166,120,19,103,3,0.0217,0.4783,18,2,0.0909,4.6818,124.4,1.8043,7.5455,0.7951,0.1364,10.375,7.5,1.1875,9,49.0123,49.0123,0.2075,28.6,44.6,36.6,44.6,52.6,47.6,39.6,44.6,44.6,44.6,36.6,52.6,44.6,17,1,3,1,2,1,,,0.1196,6,0.3804,,
Dalton Kincaid,BUF,TE,58,Yes,No,No,47,12,No,Yes,11,0.9167,0.2553,11,0.9167,122,106,31,31,,,0.5319,10,4,0.3333,2.5833,136.8,2.5957,10.1667,3.4387,,11.0909,9.6364,2.8182,7,21.7959,21.7959,0.2264,18.2,29.2,23.7,29.2,34.7,32.2,26.7,29.2,29.2,29.2,23.7,34.7,29.2,12,2,1,2,1,1,,,0.1915,4,0.2766,,
Jakobi Meyers,JAX,WR,133,No,Yes,No,121,35,No,No,31,0.8857,0.2893,28,0.8,216,37,11,258,1,,0.4298,28,3,0.0857,7.3714,90,1.7851,6.1714,-1.2014,0.0286,7.7143,1.3214,0.3929,13,53.5999,53.5999,0.28,27.6,55.6,41.6,55.6,55.6,58.6,44.6,55.6,55.6,55.6,41.6,55.6,55.6,16,5,1,3,1,1,,,0.5702,3,,,1
Gabe Davis,BUF,WR,34,Yes,No,No,30,7,No,Yes,6,0.8571,0.2333,5,0.7143,40,8,5,50,1,,0.0333,6,,,7.1429,85.4,1.3333,5.7143,-1.2774,0.1429,8,1.6,1,4,15.8787,15.8787,0.2188,10,15,12.5,15,15,15,12.5,15,15,15,12.5,15,15,6,3,2,3,1,1,,,0.9333,3,0.0333,,
Zavier Scott,MIN,RB,19,Yes,Yes,Yes,17,7,No,No,7,1,0.4118,7,1,46,65,33,-19,,0.9412,,4,2,0.2857,-2.7143,94,2.7059,6.5714,0.5526,,6.5714,9.2857,4.7143,3,12.5768,12.5768,0.3889,4.6,11.6,8.1,15.1,11.6,11.6,8.1,11.6,11.6,11.6,8.1,11.6,11.6,11,1,,1,,,2,0.2857,,2,0.0588,,
Jahmyr Gibbs,DET,RB,126,No,No,No,81,36,No,Yes,34,0.9444,0.4444,33,0.9167,273,329,34,-51,1,0.8765,0.0864,25,9,0.25,-1.4167,126,3.3704,7.5833,1.6614,0.0278,8.2727,9.9697,1.0303,13,58.508,58.508,0.3158,45.3,78.3,61.8,94.8,78.3,81.3,64.8,78.3,78.3,78.3,61.8,78.3,78.3,17,1,,1,3,,9,0.2727,0.037,6,,,
Cody White,SEA,WR,12,Yes,Yes,No,12,1,No,Yes,1,1,0.0833,1,1,9,3,1,6,,,0.5,,,,6,104.2,0.75,9,2.0509,,9,3,1,,1.4052,1.4052,0.1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,9,,,,,,,,0.5,,,,
Tay Martin,WAS,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,
Jaylen Wright,MIA,RB,14,Yes,No,Yes,13,5,No,Yes,5,1,0.3846,3,0.6,13,22,9,-18,1,0.9231,0.0769,2,2,0.4,-3.6,64.6,1,2.6,-3.0953,0.2,4.3333,7.3333,3,1,7.2913,7.2913,0.3571,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,10,2,,,,,,,,,,,
Austin Hooper,NE,TE,59,Yes,No,Yes,47,11,No,Yes,10,0.9091,0.234,10,0.9091,96,59,13,46,,,0.0851,9,1,0.0909,4.1818,133.3,2.0426,8.7273,2.2103,,9.6,5.9,1.3,5,20.1386,20.1386,0.2245,15.6,25.6,20.6,25.6,30.6,25.6,20.6,25.6,25.6,25.6,20.6,30.6,25.6,16,1,1,1,1,1,1,0.1,0.1702,4,0.7447,,
Justin Watson,HST,WR,10,Yes,Yes,No,10,2,No,Yes,2,1,0.2,2,1,15,11,2,4,,,0.9,2,,,2,97.9,1.5,7.5,2.2145,,7.5,5.5,1,,2.8078,2.8078,0.2222,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3,1,,1,,,,,0.1,1,,,
Rashee Rice,KC,WR,76,No,Yes,No,72,28,No,No,26,0.9286,0.3889,20,0.7143,183,145,52,85,1,0.0139,0.4722,25,10,0.3571,3.0357,88.8,2.5417,6.5357,0.3833,0.0357,9.15,7.25,2.6,9,44.5588,44.5588,0.4375,18.3,38.3,28.3,38.3,38.3,41.3,31.3,38.3,38.3,38.3,28.3,38.3,38.3,8,4,1,,,,7,0.35,0.5139,4,,,
Ty Chandler,MIN,RB,5,Yes,Yes,Yes,4,1,No,No,1,1,0.25,1,1,2,8,,-6,,1,,,,,-6,79.2,0.5,2,-3.0893,,2,8,,,1.0944,1.0944,0.2,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,3,,,,,,,,,,,,
Britain Covey,PHI,WR,8,No,Yes,No,7,1,No,No,,,0.1429,,,,,,5,,,0.4286,1,,,5,39.6,,,-6.3628,,,,,,1.6494,1.6494,0.2,,,,,,,,,,,,,,6,,,,,,,,0.5714,,,,
Mo Alie-Cox,IND,TE,45,Yes,Yes,No,30,6,No,Yes,3,0.5,0.2,3,0.5,31,10,2,37,,,0.0333,4,,,6.1667,65.3,1.0333,5.1667,-1.2493,,10.3333,3.3333,0.6667,1,8.5384,8.5384,0.1364,3.1,6.1,4.6,6.1,7.6,6.1,4.6,6.1,6.1,6.1,4.6,7.6,6.1,17,1,,,,,,,0.0333,2,0.9333,,
Ollie Gordon,MIA,RB,36,Yes,No,Yes,15,3,No,Yes,2,0.6667,0.2,2,0.6667,4,11,3,-8,,0.8,0.2,1,1,0.3333,-2.6667,70.1,0.2667,1.3333,-4.5027,,2,5.5,1.5,,5.4299,5.4299,0.0909,0.4,2.4,1.4,3.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,17,,,,,,,,,1,,,
Bryce Oliver,TEN,WR,7,No,Yes,No,5,1,No,No,1,1,0.2,1,1,8,3,2,5,,,,1,,,5,100,1.6,8,1.6372,,8,3,2,,1.4109,1.4109,0.2,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,3,,,,,,,,1,,,,
Tyrone Tracy,NYG,RB,82,No,No,No,58,18,No,No,16,0.8889,0.3103,15,0.8333,146,169,47,-17,1,0.8793,0.069,7,5,0.2778,-0.9444,100.5,2.5172,8.1111,2.0399,0.0556,9.7333,11.2667,3.1333,7,28.3739,28.3739,0.25,13.6,28.6,21.1,36.1,28.6,31.6,23.1,27.6,27.6,27.6,20.1,28.6,27.6,15,,,,,,3,0.2,0.0517,2,,,
Michael Mayer,LV,TE,89,No,No,No,66,18,No,No,14,0.7778,0.2727,14,0.7778,113,95,39,25,,0.0303,0.1818,16,4,0.2222,1.3889,53.2,1.7121,6.2778,0.111,,8.0714,6.7857,2.7857,7,26.0396,26.0396,0.2143,11.3,25.3,18.3,25.3,32.3,28.3,21.3,25.3,25.3,25.3,18.3,32.3,25.3,13,1,,1,,,3,0.2143,0.0455,3,0.7424,,
Ben Yurosek,MIN,TE,18,Yes,Yes,Yes,9,2,No,No,2,1,0.2222,2,1,14,8,2,6,,,0.1111,1,,,3,95.8,1.5556,7,0.809,,7,4,1,1,2.844,2.844,0.1111,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,12,,,,,,,,0.1111,,0.7778,,
Devin Culp,TB,TE,5,No,Yes,No,5,,No,Yes,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,0.2,,0.4,,
Jelani Woods,NYJ,TE,7,No,No,No,5,1,No,Yes,1,1,0.2,1,1,4,2,1,2,,,,,,,2,83.3,0.8,4,-2.3701,,4,2,1,,1.3047,1.3047,0.1667,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,4,1,,1,,,,,,,1,,
Marvin Harrison,ARZ,WR,117,No,No,No,105,19,No,Yes,14,0.7368,0.181,10,0.5263,84,25,8,153,2,,0.219,16,,,8.0526,42.4,0.8,4.4211,-3.1912,0.1053,8.4,2.5,0.8,4,29.8355,29.8355,0.1743,8.4,18.4,13.4,18.4,18.4,18.4,13.4,18.4,18.4,18.4,13.4,18.4,18.4,12,3,,,,,,,0.781,1,,,1
Jordan Watkins,SF,WR,3,No,No,Yes,3,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Tank Bigsby,PHI,RB,23,No,Yes,No,12,2,No,No,2,1,0.1667,2,1,30,36,28,-6,,0.9167,,,,,-3,118.8,2.5,15,9.8709,,15,18,14,1,2.7826,2.7826,0.1,3,5,4,6,5,5,4,5,5,5,4,5,5,16,,,,,,3,1.5,0.0833,,,,
Treyton Welch,NO,TE,3,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,
Xavier Gipson,PHI,WR,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
Cedrick Wilson,MIA,WR,26,Yes,No,Yes,18,6,No,Yes,5,0.8333,0.3333,4,0.6667,36,24,19,41,,,0.2222,4,,,6.8333,82.6,2,6,-1.1906,,9,6,4.75,3,13.4786,13.4786,0.24,3.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,10,2,2,1,,,2,0.5,0.7222,3,0.0556,,
Brashard Smith,KC,RB,38,No,No,No,33,17,No,No,12,0.7059,0.5152,11,0.6471,73,93,15,-16,1,0.5758,0.2424,12,7,0.4118,-0.9412,93.5,2.2121,4.2941,-1.8677,0.0588,6.6364,8.4545,1.3636,2,27.2755,27.2755,0.5,13.3,24.3,18.8,29.8,24.3,24.3,18.8,24.3,24.3,24.3,18.8,24.3,24.3,17,,,,1,,3,0.2727,0.1818,4,,,
Sean Tucker,TB,RB,23,Yes,No,Yes,14,7,No,Yes,5,0.7143,0.5,4,0.5714,28,31,9,2,1,1,,3,1,0.1429,0.2857,106,2,4,-2.3429,0.1429,7,7.75,2.25,1,13.7342,13.7342,0.3333,8.8,12.8,10.8,14.8,12.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,17,,,,1,,1,0.25,,3,,,
John FitzPatrick,GB,TE,42,Yes,Yes,No,30,6,No,No,5,0.8333,0.2,4,0.6667,27,29,12,4,1,,0.0667,1,,,0.6667,76.4,0.9,4.5,-1.0121,0.1667,6.75,7.25,3,2,11.1699,11.1699,0.1818,2.7,6.7,4.7,6.7,8.7,6.7,4.7,6.7,6.7,6.7,4.7,8.7,6.7,15,,,,,,,,0.0667,2,0.8667,,
De'Von Achane,MIA,RB,115,No,No,No,92,36,No,Yes,33,0.9167,0.3913,29,0.8056,162,193,67,-26,4,0.6087,0.2717,22,12,0.3333,-0.7222,113.2,1.7609,4.5,-1.689,0.1111,5.5862,6.6552,2.3103,7,64.2384,64.2384,0.3273,34.2,63.2,48.7,77.7,63.2,66.2,51.7,63.2,63.2,63.2,48.7,63.2,63.2,16,1,2,1,3,1,6,0.2069,0.087,8,0.0326,,1
Mike Evans,TB,WR,62,Yes,No,Yes,57,17,No,Yes,12,0.7059,0.2982,9,0.5294,77,3,,151,,,0.2281,12,,,8.8824,84.7,1.3509,4.5294,-3.147,,8.5556,0.3333,,7,30.1084,30.1084,0.3148,13.7,22.7,18.2,22.7,22.7,22.7,18.2,22.7,22.7,22.7,18.2,22.7,22.7,8,8,2,3,1,1,,,0.7719,3,,,
Xavier Smith,LA,WR,33,Yes,No,No,24,5,No,Yes,5,1,0.2083,5,1,55,25,6,30,,,0.625,4,,,6,112.5,2.2917,11,4.452,,11,5,1.2,2,7.2851,7.2851,0.1562,5.5,10.5,8,10.5,10.5,10.5,8,10.5,10.5,10.5,8,10.5,10.5,16,,,,,,,,0.375,1,,,
Kenneth Walker,SEA,RB,62,No,No,No,47,13,No,No,12,0.9231,0.2766,12,0.9231,58,86,13,-25,,0.6809,0.1702,5,2,0.1538,-1.9231,85.3,1.234,4.4615,-1.257,,4.8333,7.1667,1.0833,1,18.7266,18.7266,0.2407,5.8,17.8,11.8,23.8,17.8,17.8,11.8,17.8,17.8,17.8,11.8,17.8,17.8,17,,,,,,1,0.0833,0.0851,1,0.0638,,
Lil'Jordan Humphrey,DEN,WR,57,No,Yes,No,46,7,No,No,4,0.5714,0.1522,4,0.5714,28,10,2,40,,,0.3043,5,,,5.7143,66.4,0.6087,4,-2.7692,,7,2.5,0.5,2,13.0644,13.0644,0.14,2.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,10,1,,1,,,,,0.6739,,0.0217,,
Keon Coleman,BUF,WR,94,Yes,No,No,77,18,No,Yes,18,1,0.2338,16,0.8889,126,30,14,119,2,,0.1948,16,1,0.0556,6.6111,132.9,1.6364,7,0.0287,0.1111,7.875,1.875,0.875,11,38.5537,38.5537,0.1978,24.6,40.6,32.6,40.6,40.6,43.6,35.6,40.6,40.6,40.6,32.6,40.6,40.6,13,4,2,4,2,2,,,0.8052,5,,,
Tyler Lockett,LV,WR,111,No,No,No,96,14,No,No,12,0.8571,0.1458,8,0.5714,66,18,2,76,3,,0.7292,11,,,5.4286,69.3,0.6875,4.7143,-1.8142,0.2143,8.25,2.25,0.25,5,29.2332,29.2332,0.1474,6.6,14.6,10.6,14.6,14.6,14.6,10.6,14.6,14.6,14.6,10.6,14.6,14.6,17,3,,1,,,,,0.2708,,,,
Jordan Addison,MIN,WR,128,Yes,Yes,Yes,110,21,No,No,19,0.9048,0.1909,18,0.8571,138,31,24,133,1,,0.1545,18,1,0.0476,6.3333,125.8,1.2545,6.5714,-0.4542,0.0476,7.6667,1.7222,1.3333,9,38.7965,38.7965,0.1795,25.8,43.8,34.8,43.8,43.8,46.8,37.8,43.8,43.8,43.8,34.8,43.8,43.8,14,3,1,2,2,1,1,0.0556,0.8455,6,,,1
David Martin-Robinson,TEN,TE,9,No,Yes,No,8,3,No,No,2,0.6667,0.375,2,0.6667,15,7,2,22,,0.125,0.125,1,,,7.3333,78.5,1.875,5,-2.7637,,7.5,3.5,1,2,4.6171,4.6171,0.3333,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,15,,,,,,,,0.125,,0.625,,
Travis Homer,CHI,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
Jayden Higgins,HST,WR,110,Yes,Yes,No,103,20,No,Yes,17,0.85,0.1942,16,0.8,147,53,9,142,,,0.2718,12,,,7.1,97.3,1.4272,7.35,0.3472,,9.1875,3.3125,0.5625,9,30.7443,30.7443,0.1942,14.7,30.7,22.7,30.7,30.7,33.7,25.7,30.7,30.7,30.7,22.7,30.7,30.7,17,3,1,2,,,,,0.7184,2,0.0097,,
Skyy Moore,SF,WR,14,No,No,No,14,2,No,No,1,0.5,0.1429,1,0.5,15,18,15,5,,,0.4286,1,,,2.5,75,1.0714,7.5,1.2743,,15,18,15,1,3.0776,3.0776,0.1538,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,17,,,,,,2,2,0.5714,,,,
Shane Zylstra,DET,TE,32,No,No,No,25,1,No,Yes,1,1,0.04,1,1,5,,,5,,,0.4,,,,5,87.5,0.2,5,-1.48,,5,,,,1.3755,1.3755,0.0357,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,5,1,,1,,,,,0.12,,0.48,,
Malik Heath,GB,WR,32,No,Yes,No,23,3,No,Yes,3,1,0.1304,3,1,27,12,7,15,,,0.2609,3,,,5,104.2,1.1739,9,2.5974,,9,4,2.3333,2,4.4776,4.4776,0.12,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,11,,,,,,1,0.3333,0.6957,,0.0435,,
Jalen Royals,KC,WR,8,No,No,No,7,,No,No,,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,0.8571,,,,
Nate Adkins,DEN,TE,28,No,Yes,No,20,7,No,No,6,0.8571,0.35,3,0.4286,21,10,3,26,2,0.05,0.15,6,2,0.2857,3.7143,89.9,1.05,3,-3.616,0.2857,7,3.3333,1,2,13.0274,13.0274,0.3043,8.1,11.1,9.6,11.1,12.6,11.1,9.6,11.1,11.1,11.1,9.6,12.6,11.1,9,1,1,,1,,,,0.1,2,0.7,,
Tre Harris,LAC,WR,102,No,Yes,No,96,12,No,No,10,0.8333,0.125,9,0.75,88,52,36,71,,,0.3438,10,2,0.1667,5.9167,95.1,0.9167,7.3333,0.4816,,9.7778,5.7778,4,5,19.9608,19.9608,0.1263,8.8,17.8,13.3,17.8,17.8,17.8,13.3,17.8,17.8,17.8,13.3,17.8,17.8,17,2,1,1,,,2,0.2222,0.6458,2,0.0104,1,
Luke Schoonmaker,DAL,TE,46,No,No,No,39,10,No,No,10,1,0.2564,7,0.7,79,62,17,25,2,,0.1795,5,,,2.5,93.3,2.0256,7.9,1.8218,0.2,11.2857,8.8571,2.4286,5,15.736,15.736,0.2326,7.9,14.9,11.4,14.9,18.4,14.9,11.4,14.9,14.9,14.9,11.4,18.4,14.9,17,3,,1,,,,,0.0256,1,0.7949,,
Darius Cooper,PHI,WR,33,No,Yes,No,29,3,No,No,2,0.6667,0.1034,2,0.6667,29,6,4,33,,,0.4138,1,,,11,97.9,1,9.6667,1.6952,,14.5,3,2,2,4.9473,4.9473,0.125,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,13,,,,,,,,0.5862,,,,
Jack Stoll,NO,TE,29,No,Yes,No,24,6,No,Yes,4,0.6667,0.25,4,0.6667,35,11,5,37,,0.125,0.2083,4,,,6.1667,121.5,1.4583,5.8333,-1.4446,,8.75,2.75,1.25,1,10.3346,10.3346,0.2609,9.5,13.5,11.5,13.5,15.5,13.5,11.5,13.5,13.5,13.5,11.5,15.5,13.5,15,,1,,1,1,,,0.0417,1,0.625,1,
Russell Gage,SF,WR,7,No,Yes,No,7,,No,Yes,,,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.1429,,,,
