"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"131","Travis Hunter","JAX","WR","7","2025","212","72.4","8.4","368","17.8","44","6.3","17.0","0.21","28","63.6","298","42.6","18.4","1.41","6.77","10.64","120","4.29","68","2.43","1","11.1","5","3","0","7","33","18.0","9","0.32","12","0.057","3","6.8","33","75.0","8","18.2","5","3","60.0","1","72.0","23.7","-0.9","34.4","63.7","","1.9","0.30","9.1","63.8","79.3","11.3","0.37","78.3"
"132","Devaughn Vele","NO","WR","13","2025","230","45.7","12.3","441","13.1","36","2.8","8.2","0.16","25","69.4","293","22.5","10.2","1.27","8.14","11.72","39","1.56","3","0.12","2","15.4","3","3","2","6","24","8.4","0","","19","0.083","1","2.8","27","75.0","0","","11","10","90.9","3","112.4","18.7","-0.5","56.5","40.0","3.5","","0.29","5.1","66.3","70.5","5.4","0.31","70.5"
"133","Jake Tonges","SF","TE","16","2025","219","36.8","5.4","242","6.2","45","2.8","8.2","0.21","34","75.6","293","18.3","7.0","1.34","6.51","8.62","156","4.59","44","1.29","5","15.2","7","5","4","0","30","8.7","2","0.06","21","0.096","0","","39","86.7","6","13.3","8","4","50.0","0","129.2","20.5","-0.8","8.2","30.1","60.7","0.9","0.43","5.8","93.3","85.2","5.3","0.39","85.2"
"134","David Njoku","CLV","TE","12","2025","258","53.6","5.3","238","8.8","45","3.8","10.5","0.17","33","73.3","293","24.4","12.2","1.14","6.51","8.88","172","5.21","69","2.09","4","28.6","7","3","3","2","34","12.8","3","0.09","11","0.043","2","4.4","36","80.0","5","11.1","6","5","83.3","1","101.4","18.1","-0.4","14.7","31.4","53.9","","0.33","7.2","86.3","75.0","6.3","0.29","75.0"
"135","Jaylin Noel","HST","WR","17","2025","195","30.2","9.2","322","7.2","35","2.1","6.0","0.18","26","74.3","292","17.2","7.4","1.50","8.34","11.23","105","4.04","26","1.00","2","8.3","5","0","0","9","30","7.6","0","","13","0.067","1","2.9","27","77.1","6","17.1","3","3","100.0","0","105.9","20.8","0.7","31.8","67.2","","1.0","0.35","4.0","68.4","75.4","4.4","0.37","71.8"
"136","Tyler Lockett","TEN, LV","WR","17","2025","349","54.0","7.1","362","10.5","51","3.0","9.3","0.15","32","62.7","291","17.1","9.0","0.83","5.71","9.09","83","2.59","20","0.63","1","5.9","2","2","1","3","39","10.9","1","0.03","14","0.040","4","7.8","40","78.4","3","5.9","9","4","44.4","0","76.5","18.6","-1.5","27.5","72.5","","","0.19","3.9","67.1","94.6","5.6","0.27","94.6"
"137","Kalif Raymond","DET","WR","15","2025","194","34.6","5.9","165","4.9","28","1.9","5.4","0.14","24","85.7","289","19.3","7.2","1.49","10.32","12.04","163","6.79","26","1.08","1","3.1","2","0","0","2","20","5.6","1","0.04","14","0.072","1","3.6","25","89.3","5","17.9","3","3","100.0","0","121.6","15.1","3.3","57.7","41.8","0.5","","0.31","4.1","60.8","48.5","3.2","0.25","47.7"
"138","Noah Fant","CIN","TE","15","2025","193","30.9","3.6","142","3.4","39","2.6","6.7","0.20","34","87.2","288","19.2","7.6","1.49","7.38","8.47","179","5.26","57","1.68","3","9.4","3","2","2","2","26","6.8","2","0.06","13","0.067","1","2.6","36","92.3","2","5.1","3","2","66.7","0","123.1","20.2","0.8","8.8","25.4","64.8","1.0","0.40","5.2","77.8","64.4","4.3","0.33","64.4"
"139","Daniel Bellinger","NYG","TE","16","2025","196","33.4","9.0","235","5.9","26","1.6","5.3","0.13","19","73.1","286","17.9","8.1","1.46","11.00","15.05","135","7.11","50","2.63","2","10.5","6","2","0","2","15","4.6","1","0.05","14","0.071","2","7.7","23","88.5","1","3.8","4","1","25.0","0","134.5","13.3","3.2","13.8","40.3","34.2","11.7","0.30","3.7","59.6","48.4","3.0","0.25","48.4"
"140","Darren Waller","MIA","TE","9","2025","148","53.0","11.3","385","22.8","34","3.8","13.7","0.23","24","70.6","283","31.4","16.0","1.91","8.32","11.79","82","3.42","18","0.75","6","54.5","7","7","6","6","27","16.4","1","0.04","19","0.128","0","","26","76.5","1","2.9","9","7","77.8","1","135.2","26.2","-0.4","37.8","40.5","21.6","","0.60","9.9","88.7","64.6","7.2","0.43","64.3"
"141","Tyler Higbee","LA","TE","10","2025","173","49.4","6.3","228","8.2","36","3.6","10.8","0.21","25","69.4","281","28.1","11.6","1.62","7.81","11.24","141","5.64","32","1.28","3","10.7","8","2","1","3","27","11.8","0","","17","0.098","3","8.3","29","80.6","6","16.7","7","3","42.9","1","120.3","19.5","0.5","15.0","25.4","59.0","0.6","0.41","7.1","71.1","62.3","6.2","0.36","62.3"
"142","Brandin Cooks","NO, BUF","WR","15","2025","324","59.2","14.3","500","14.4","35","2.3","7.4","0.11","24","68.6","279","18.6","8.9","0.86","7.97","11.63","49","2.04","15","0.63","0","0.0","1","1","0","12","27","8.4","0","","14","0.043","3","8.6","27","77.1","1","2.9","7","5","71.4","1","92.4","12.3","-0.7","59.9","39.5","","0.6","0.16","3.5","51.9","60.2","4.0","0.19","60.2"
"143","Demarcus Robinson","SF","WR","14","2025","246","48.9","13.3","466","14.5","35","2.5","7.6","0.14","22","62.9","276","19.7","7.9","1.12","7.89","12.55","42","1.91","12","0.55","1","3.7","3","3","1","8","24","8.5","2","0.09","15","0.061","3","8.6","26","74.3","1","2.9","6","5","83.3","0","96.8","15.2","-0.9","59.8","39.8","0.4","","0.24","4.2","58.2","64.7","4.6","0.26","64.2"
"144","John Metchie","NYJ, PHI","WR","16","2025","239","43.9","5.4","259","8.1","48","3.0","10.7","0.20","33","68.8","274","17.1","10.3","1.15","5.71","8.30","144","4.36","33","1.00","2","11.1","5","1","0","0","38","12.5","1","0.03","15","0.063","4","8.3","42","87.5","7","14.6","7","2","28.6","0","79.7","24.0","-1.1","63.2","36.0","","0.8","0.30","4.5","71.9","76.6","4.8","0.31","75.3"
"145","Malik Nabers","NYG","WR","4","2025","127","80.4","16.9","542","50.8","32","8.0","24.4","0.25","18","56.3","271","67.8","30.2","2.13","8.47","15.06","51","2.83","42","2.33","2","50.0","3","6","2","10","29","35.8","3","0.17","11","0.087","2","6.3","21","65.6","1","3.1","3","2","66.7","1","79.0","32.3","-1.0","76.4","23.6","","","0.45","14.3","57.1","70.2","17.6","0.55","70.2"
"146","Cedric Tillman","CLV","WR","13","2025","283","58.2","11.2","414","15.4","37","2.8","8.8","0.13","21","56.8","270","20.8","10.9","0.95","7.30","12.86","65","3.10","18","0.86","2","16.7","4","3","1","4","29","11.5","1","0.05","13","0.046","1","2.7","26","70.3","0","","6","3","50.0","0","86.5","15.3","-1.0","68.9","31.1","","","0.21","4.6","60.0","74.6","5.7","0.26","74.6"
"147","Tyreek Hill","MIA","WR","4","2025","94","69.6","12.9","374","50.1","29","7.3","23.8","0.31","21","72.4","265","66.3","33.8","2.82","9.14","12.62","68","3.24","19","0.90","1","14.3","2","1","1","6","20","25.6","3","0.14","17","0.181","1","3.4","24","82.8","1","3.4","2","0","0.0","0","97.6","33.0","0.5","58.5","40.4","","1.1","0.57","13.4","53.5","53.8","13.5","0.57","53.8"
"148","Austin Hooper","NE","TE","16","2025","185","32.1","9.0","224","5.5","25","1.6","5.3","0.14","21","84.0","263","16.4","6.3","1.42","10.52","12.52","91","4.33","29","1.38","2","6.7","5","2","2","2","19","5.9","1","0.05","13","0.070","1","4.0","23","92.0","1","4.0","5","4","80.0","1","137.2","15.1","2.5","16.2","9.2","74.1","0.5","0.32","3.7","59.3","43.9","2.7","0.24","43.9"
"149","Jahan Dotson","PHI","WR","17","2025","386","67.1","14.5","507","12.1","35","2.1","7.0","0.09","18","51.4","262","15.4","7.5","0.68","7.49","14.56","52","2.89","16","0.89","1","3.8","5","1","0","10","24","7.5","0","","10","0.026","0","","19","54.3","0","","3","3","100.0","1","49.9","11.0","-1.2","57.8","42.0","0.3","","0.13","3.0","50.2","66.0","3.9","0.17","66.0"
"150","Luke Musgrave","GB","TE","17","2025","195","35.3","7.9","244","6.0","31","1.8","6.3","0.16","24","77.4","252","14.8","6.6","1.29","8.13","10.50","78","3.25","17","0.71","0","0.0","1","0","0","4","23","7.5","0","","11","0.056","3","9.7","29","93.5","2","6.5","7","3","42.9","0","100.5","17.0","0.4","12.3","30.3","57.4","","0.25","2.9","49.2","52.6","3.1","0.27","52.6"
"151","Tommy Tremble","CAR","TE","17","2025","258","44.2","4.1","147","4.5","36","2.1","7.0","0.14","27","75.0","249","14.6","7.5","0.97","6.92","9.22","174","6.44","82","3.04","2","8.3","5","1","1","0","28","9.1","6","0.22","10","0.039","2","5.6","29","80.6","1","2.8","3","2","66.7","0","111.9","15.5","0.3","12.4","36.4","48.4","2.7","0.25","3.8","63.9","60.5","3.6","0.23","60.5"
"152","Tyrell Shavers","BUF","WR","17","2025","170","29.1","13.6","299","8.7","22","1.3","4.4","0.13","15","68.2","245","14.4","6.2","1.44","11.14","16.33","89","5.93","12","0.80","1","3.4","0","1","1","4","13","4.1","0","","10","0.059","0","","15","68.2","0","","3","2","66.7","2","120.5","12.9","2.3","65.9","25.3","8.8","","0.27","2.7","45.5","39.9","2.3","0.23","39.9"
"153","Isaac TeSlaa","DET","WR","17","2025","272","43.5","14.6","393","10.3","27","1.6","4.6","0.10","16","59.3","239","14.1","5.2","0.88","8.85","14.94","57","3.56","22","1.38","6","17.1","11","10","5","4","25","6.3","0","","14","0.051","0","","18","66.7","1","3.7","6","4","66.7","4","112.5","11.0","-0.8","74.6","25.0","0.4","","0.28","4.5","75.9","63.1","3.7","0.23","63.1"
"154","Christian Kirk","HST","WR","13","2025","267","54.9","6.8","319","9.3","47","3.6","10.6","0.18","28","59.6","239","18.4","7.9","0.90","5.09","8.54","116","4.14","35","1.25","1","5.0","6","3","1","4","35","11.6","2","0.07","12","0.045","2","4.3","35","74.5","5","10.6","7","2","28.6","0","53.4","19.8","-1.8","27.7","71.5","","0.7","0.22","4.5","57.9","83.2","6.4","0.31","83.2"
"155","Terrance Ferguson","LA","TE","13","2025","162","34.2","18.3","458","11.0","25","1.9","5.5","0.15","11","44.0","231","17.8","6.4","1.43","9.24","21.00","43","3.91","11","1.00","3","8.3","3","7","3","13","23","7.6","0","","9","0.056","2","8.0","15","60.0","0","","5","3","60.0","0","100.2","16.0","-1.2","23.5","48.1","28.4","","0.32","4.0","52.1","60.2","4.6","0.37","60.0"
"156","Dyami Brown","JAX","WR","14","2025","181","33.6","14.4","532","13.3","37","2.6","7.9","0.20","20","54.1","227","16.2","6.8","1.25","6.14","11.35","34","1.70","27","1.35","1","3.8","9","4","1","8","32","9.7","1","0.05","13","0.072","7","18.9","29","78.4","4","10.8","7","4","57.1","0","70.4","22.4","-3.0","72.4","27.6","","","0.28","3.6","50.7","81.8","5.8","0.44","78.8"
"157","Jaylin Lane","WAS","WR","15","2025","182","35.3","14.1","438","12.6","31","2.1","7.3","0.17","16","51.6","225","15.0","7.5","1.24","7.26","14.06","37","2.31","26","1.63","0","0.0","2","3","0","7","20","7.3","0","","10","0.055","4","12.9","22","71.0","3","9.7","6","3","50.0","0","48.5","20.1","-1.9","60.4","39.6","","","0.21","2.5","38.2","47.9","3.2","0.26","47.4"
"158","Jack Bech","LV","WR","16","2025","178","31.4","8.9","239","7.8","27","1.7","5.6","0.15","20","74.1","224","14.0","7.2","1.26","8.30","11.20","69","3.45","27","1.35","0","0.0","3","0","0","2","19","5.8","1","0.05","11","0.062","1","3.7","23","85.2","0","","7","4","57.1","0","82.9","17.6","0.5","76.4","23.0","0.6","","0.24","2.7","42.4","47.3","3.0","0.27","47.3"
"159","Rashod Bateman","BLT","WR","13","2025","296","73.1","12.3","444","16.9","36","2.8","10.5","0.12","19","52.8","224","17.2","8.8","0.76","6.22","11.79","41","2.16","18","0.95","2","11.1","8","3","2","6","24","10.9","3","0.16","12","0.041","3","8.3","23","63.9","0","","5","4","80.0","1","78.9","14.1","-2.1","87.8","11.8","","0.3","0.19","4.3","55.4","61.8","4.8","0.21","61.8"
"160","Jonnu Smith","PIT","TE","17","2025","273","46.0","4.4","229","7.3","52","3.1","9.5","0.19","38","73.1","222","13.1","6.1","0.81","4.27","5.84","181","4.76","61","1.61","2","7.7","7","2","1","3","37","10.1","5","0.13","10","0.037","4","7.7","44","84.6","12","23.1","7","4","57.1","0","93.6","18.9","-2.7","16.8","45.1","36.6","1.5","0.31","5.0","85.2","91.4","5.4","0.32","87.0"
"161","Kyle Williams","NE","WR","17","2025","169","27.6","18.2","383","8.7","21","1.2","4.2","0.12","10","47.6","209","12.3","4.7","1.24","9.95","20.90","85","8.50","6","0.60","3","9.7","0","2","2","8","17","5.0","0","","7","0.041","1","4.8","13","61.9","0","","1","0","0.0","0","122.8","14.8","-0.1","89.9","10.1","","","0.29","2.9","49.2","43.1","2.5","0.25","42.1"
"162","Davis Allen","LA","TE","17","2025","179","28.5","4.1","134","2.5","33","1.9","5.5","0.18","24","72.7","208","12.2","4.4","1.16","6.30","8.67","155","6.46","37","1.54","3","6.5","7","3","2","1","21","5.2","1","0.04","12","0.067","3","9.1","30","90.9","2","6.1","4","1","25.0","0","119.3","15.0","-0.4","26.3","17.3","55.3","1.1","0.35","3.7","62.8","64.3","3.8","0.36","64.3"
"163","Chris Moore","WAS","WR","14","2025","210","45.7","15.4","324","10.4","21","1.5","5.5","0.10","11","52.4","207","14.8","7.4","0.99","9.86","18.82","54","4.91","19","1.73","1","6.3","1","2","1","6","17","6.6","0","","10","0.048","3","14.3","15","71.4","0","","6","2","33.3","1","102.7","11.9","0.4","82.4","17.6","","","0.18","2.8","38.6","42.6","3.0","0.20","42.1"
"164","Jayden Reed","GB","WR","7","2025","110","52.6","8.2","180","10.2","22","3.1","12.4","0.20","19","86.4","207","29.6","13.6","1.88","9.41","10.89","86","4.53","20","1.05","1","10.0","4","1","1","2","15","13.9","3","0.16","8","0.073","0","","20","90.9","4","18.2","2","1","50.0","0","121.0","24.2","1.6","20.9","73.6","1.8","3.6","0.44","6.9","48.5","38.0","5.4","0.33","36.6"
"165","Greg Dortch","ARZ","WR","12","2025","207","38.4","1.7","55","1.7","33","2.8","7.1","0.16","29","87.9","206","17.2","6.5","1.00","6.24","7.10","200","6.90","30","1.03","3","15.8","7","1","1","2","25","8.3","10","0.34","10","0.048","2","6.1","31","93.9","14","42.4","5","2","40.0","0","123.0","17.7","0.3","25.1","72.5","","2.4","0.36","6.3","75.1","64.3","5.4","0.28","57.5"
"166","Jalen Tolbert","DAL","WR","13","2025","255","49.6","11.5","368","10.3","32","2.5","6.8","0.13","18","56.3","203","15.6","5.9","0.80","6.34","11.28","53","2.94","19","1.06","1","3.8","4","4","1","5","19","6.3","3","0.17","12","0.047","1","3.1","22","68.8","1","3.1","3","1","33.3","2","72.8","13.8","-2.0","54.1","45.9","","","0.18","3.6","46.3","59.5","4.6","0.23","59.5"
"167","Luke McCaffrey","WAS","WR","9","2025","96","30.1","15.4","231","11.7","15","1.7","5.9","0.16","11","73.3","203","22.6","11.1","2.11","13.53","18.45","69","6.27","7","0.64","3","25.0","2","2","1","4","9","5.7","0","","6","0.063","0","","11","73.3","2","13.3","2","2","100.0","2","154.9","18.8","3.8","60.4","39.6","","","0.53","5.7","51.3","29.4","3.3","0.31","29.4"
"168","Tyler Johnson","NYJ","WR","12","2025","151","34.6","13.7","219","9.4","16","1.3","4.6","0.11","12","75.0","197","16.4","10.2","1.30","12.31","16.42","64","5.33","19","1.58","1","9.1","2","1","1","5","9","4.1","3","0.25","8","0.053","2","12.5","14","87.5","0","","2","1","50.0","0","136.7","14.3","3.3","58.9","41.1","","","0.25","3.1","37.7","30.5","2.5","0.20","30.5"
"169","Adam Trautman","DEN","TE","17","2025","166","24.7","5.4","124","2.7","23","1.4","3.8","0.14","20","87.0","195","11.5","5.0","1.17","8.48","9.75","107","5.35","36","1.80","1","4.0","1","1","1","0","13","3.4","4","0.20","11","0.066","1","4.3","22","95.7","0","","3","3","100.0","0","116.5","9.6","1.6","9.0","25.3","65.1","0.6","0.27","2.7","45.5","36.1","2.1","0.22","36.1"
"170","Isaiah Williams","NYJ","WR","15","2025","202","38.0","2.8","96","3.4","34","2.3","8.0","0.17","26","76.5","193","12.9","8.5","0.96","5.68","7.42","129","4.96","34","1.31","0","0.0","1","0","0","0","28","9.7","1","0.04","10","0.050","2","5.9","28","82.4","12","35.3","3","2","66.7","0","89.5","20.5","-0.5","31.7","67.8","","0.5","0.24","3.2","47.7","54.6","3.6","0.26","53.1"
"171","Tutu Atwell","LA","WR","10","2025","133","33.0","20.0","300","8.2","15","1.5","3.9","0.11","6","40.0","192","19.2","6.3","1.44","12.80","32.00","67","11.17","3","0.50","1","3.7","1","1","0","6","9","3.4","0","","4","0.030","0","","9","60.0","0","","4","1","25.0","1","81.9","11.9","2.5","36.1","63.9","","","0.23","3.1","31.2","33.8","3.4","0.25","33.8"
"172","David Sills","ATL","WR","17","2025","297","50.7","11.0","373","9.3","34","2.0","6.2","0.11","18","52.9","191","11.2","5.2","0.64","5.62","10.61","60","3.33","28","1.56","2","10.5","6","2","1","5","22","6.2","2","0.11","9","0.030","3","8.8","22","64.7","2","5.9","5","3","60.0","0","77.0","12.2","-2.7","59.6","40.1","0.3","","0.17","2.9","49.1","64.4","3.8","0.22","64.4"
"173","Ja'Tavion Sanders","CAR","TE","13","2025","211","46.9","5.4","183","7.3","34","2.6","8.7","0.16","29","85.3","190","14.6","7.8","0.90","5.59","6.55","84","2.90","34","1.17","1","6.7","10","3","1","1","24","10.3","8","0.28","8","0.038","1","2.9","32","94.1","2","5.9","3","1","33.3","0","99.8","17.8","-1.4","17.5","60.2","21.8","0.5","0.26","4.2","54.0","63.0","4.8","0.30","63.0"
"174","Jackson Hawes","BUF","TE","17","2025","88","15.0","7.1","135","3.9","19","1.1","3.8","0.22","16","84.2","187","11.0","4.7","2.13","9.84","11.69","95","5.94","35","2.19","3","10.3","3","1","1","3","5","1.6","1","0.06","13","0.148","1","5.3","17","89.5","0","","2","1","50.0","0","147.3","17.3","2.8","5.7","18.2","76.1","","0.60","3.1","52.7","34.6","2.0","0.39","34.6"
"175","Tim Patrick","JAX","WR","16","2025","141","23.2","11.6","279","6.1","24","1.5","4.5","0.17","15","62.5","187","11.7","4.9","1.33","7.79","12.47","56","3.73","9","0.60","3","10.3","9","5","2","3","15","4.1","1","0.07","10","0.071","4","16.7","21","87.5","1","4.2","8","4","50.0","0","108.9","18.9","-0.8","60.3","39.7","","","0.37","3.2","51.7","52.8","3.3","0.37","52.8"
"176","Adam Thielen","MIN, PIT","WR","16","2025","224","37.5","9.0","307","7.9","34","2.1","6.5","0.15","19","55.9","186","11.6","5.4","0.83","5.47","9.79","53","2.79","16","0.84","0","0.0","3","1","0","2","26","7.3","1","0.05","10","0.045","4","11.8","26","76.5","1","2.9","11","7","63.6","0","71.4","16.7","-2.2","41.1","58.5","","0.4","0.18","2.5","39.6","53.9","3.4","0.24","53.9"
"177","Zay Jones","ARZ","WR","8","2025","163","49.8","13.9","223","11.3","16","2.0","5.8","0.10","12","75.0","183","22.9","9.7","1.12","11.44","15.25","34","2.83","12","1.00","0","0.0","2","1","0","4","14","8.0","0","","7","0.043","0","","13","81.3","0","","1","0","0.0","1","86.2","12.1","2.4","69.9","30.1","","","0.19","3.8","30.3","29.9","3.7","0.18","29.9"
"178","Elijah Arroyo","SEA","TE","13","2025","133","34.8","9.1","228","7.8","25","1.9","7.0","0.19","15","60.0","179","13.8","5.6","1.35","7.16","11.93","70","4.67","20","1.33","1","4.5","5","1","0","5","16","7.0","0","","7","0.053","0","","17","68.0","0","","6","4","66.7","0","55.7","18.1","-0.9","18.8","18.8","60.9","1.5","0.28","2.9","37.9","51.5","4.0","0.39","51.5"
"179","Jeremy Ruckert","NYJ","TE","17","2025","173","28.3","3.8","105","3.1","28","1.6","5.7","0.16","23","82.1","179","10.5","6.4","1.03","6.39","7.78","91","3.96","40","1.74","1","6.7","3","2","1","0","19","5.9","0","","8","0.046","2","7.1","26","92.9","0","","6","5","83.3","0","105.2","15.6","-0.2","13.3","15.6","69.9","1.2","0.27","2.8","46.9","43.1","2.5","0.25","43.1"
"180","Noah Gray","KC","TE","16","2025","214","33.0","5.6","184","4.6","33","2.1","6.0","0.15","21","63.6","178","11.1","4.8","0.83","5.39","8.48","114","5.43","35","1.67","0","0.0","2","1","0","0","26","7.1","1","0.05","9","0.042","3","9.1","25","75.8","3","9.1","4","3","75.0","0","77.6","14.7","-1.8","17.8","31.3","49.5","1.4","0.18","2.4","38.8","59.1","3.7","0.28","59.1"
"181","Jalen McMillan","TB","WR","4","2025","74","50.0","11.5","173","16.9","15","3.8","11.9","0.20","12","80.0","178","44.5","18.3","2.41","11.87","14.83","60","5.00","9","0.75","0","0.0","1","0","0","2","7","8.5","1","0.08","8","0.108","2","13.3","14","93.3","2","13.3","2","2","100.0","0","88.3","23.1","3.5","79.7","20.3","","","0.40","7.5","29.9","25.4","6.4","0.34","24.9"
"182","Jordan Whittington","LA","WR","17","2025","194","30.9","6.5","156","2.9","24","1.4","4.0","0.12","18","75.0","171","10.1","3.6","0.88","7.13","9.50","94","5.22","33","1.83","0","0.0","1","0","0","2","17","4.2","2","0.11","7","0.036","2","8.3","21","87.5","2","8.3","2","1","50.0","0","94.3","11.8","-0.1","41.8","57.2","0.5","0.5","0.19","2.1","36.3","40.6","2.4","0.20","38.6"
"183","Mitchell Evans","CAR","TE","17","2025","122","20.9","4.0","88","2.7","22","1.3","4.3","0.18","19","86.4","171","10.1","5.2","1.40","7.77","9.00","107","5.63","29","1.53","2","8.3","3","2","1","0","14","4.5","1","0.05","9","0.074","1","4.5","21","95.5","2","9.1","1","1","100.0","0","110.4","19.0","1.1","5.7","18.0","76.2","","0.40","2.8","48.2","37.9","2.2","0.31","37.3"
"184","Tanner Hudson","CIN","TE","13","2025","106","19.9","6.2","148","4.2","24","1.8","4.8","0.23","19","79.2","168","12.9","5.0","1.58","7.00","8.84","83","4.37","35","1.84","2","7.1","6","4","2","2","16","5.0","1","0.05","8","0.075","0","","21","87.5","0","","3","1","33.3","1","106.3","24.7","0.1","19.8","46.2","31.1","2.8","0.45","3.7","47.8","41.2","3.2","0.39","41.2"
"185","Roman Wilson","PIT","WR","13","2025","144","33.2","13.7","273","12.1","20","1.5","5.0","0.14","12","60.0","166","12.8","6.5","1.15","8.30","13.83","67","5.58","18","1.50","2","9.5","1","1","1","8","17","6.5","1","0.08","7","0.049","1","5.0","15","75.0","4","20.0","4","1","25.0","0","120.0","15.0","-0.3","81.9","18.1","","","0.28","3.0","39.6","31.7","2.4","0.22","31.7"
"186","Tory Horton","SEA","WR","8","2025","126","54.1","16.0","353","18.0","22","2.8","10.0","0.17","13","59.1","161","20.1","7.7","1.28","7.32","12.38","32","2.46","16","1.23","5","31.3","4","6","4","6","17","11.4","3","0.23","7","0.056","1","4.5","15","68.2","0","","5","3","60.0","0","121.4","17.9","-1.7","78.6","21.4","","","0.47","7.4","59.1","49.6","6.2","0.39","49.6"
"187","Josh Oliver","MIN","TE","15","2025","103","20.9","3.4","61","2.0","18","1.2","4.3","0.17","15","83.3","160","10.7","5.7","1.55","8.89","10.67","105","7.00","18","1.20","4","26.7","5","0","0","0","12","4.0","1","0.07","9","0.087","0","","16","88.9","1","5.6","3","2","66.7","0","143.3","14.5","2.2","5.8","15.5","78.6","","0.53","3.7","55.0","30.8","2.1","0.30","30.8"
"188","Brycen Tremayne","CAR","WR","16","2025","107","19.2","8.5","144","4.6","17","1.1","3.5","0.16","14","82.4","160","10.0","5.0","1.50","9.41","11.43","58","4.14","13","0.93","0","0.0","1","0","0","1","14","4.7","1","0.07","7","0.065","0","","16","94.1","0","","3","2","66.7","1","105.9","20.0","1.8","63.6","35.5","","0.9","0.28","1.9","30.0","29.6","1.9","0.28","29.6"
"189","Lil'Jordan Humphrey","NYG, DEN","WR","10","2025","148","37.5","11.6","266","10.5","23","2.3","6.6","0.16","13","56.5","156","15.6","6.3","1.05","6.78","12.00","36","2.77","10","0.77","1","8.3","4","3","1","4","16","8.0","1","0.08","9","0.061","0","","14","60.9","0","","4","3","75.0","0","73.8","16.3","-1.5","63.5","35.1","1.4","","0.23","3.5","34.6","49.2","4.9","0.33","49.2"
"190","Gunner Olszewski","NYG","WR","16","2025","66","11.4","11.1","144","3.8","13","0.8","2.7","0.20","10","76.9","145","9.1","4.2","2.20","11.15","14.50","73","7.30","22","2.20","1","5.3","2","3","1","4","7","2.2","0","","7","0.106","0","","10","76.9","2","15.4","4","2","50.0","0","138.3","23.6","3.0","48.5","51.5","","","0.53","2.2","34.8","25.4","1.6","0.39","25.4"
"191","Charlie Kolar","BLT","TE","17","2025","93","18.5","9.8","117","3.5","12","0.7","2.8","0.13","10","83.3","142","8.4","4.3","1.53","11.83","14.20","53","5.30","9","0.90","2","8.7","2","1","1","1","7","2.6","1","0.10","9","0.097","0","","11","91.7","0","","2","2","100.0","0","155.6","12.9","3.6","5.4","8.6","86.0","","0.39","2.1","36.2","20.6","1.2","0.22","20.6"
"192","Kevin Austin","NO","WR","8","2025","134","40.0","7.5","172","7.6","23","2.9","8.0","0.17","13","56.5","140","17.5","6.8","1.04","6.09","10.77","58","4.46","11","0.85","1","11.1","2","2","1","2","19","9.6","1","0.08","7","0.052","4","17.4","20","87.0","1","4.3","3","0","0.0","0","89.0","17.4","-1.2","64.2","35.8","","","0.25","4.1","33.0","44.3","5.5","0.33","44.3"
"193","Julian Hill","MIA","TE","14","2025","92","20.9","3.7","73","2.8","20","1.4","5.1","0.22","15","75.0","140","10.0","5.2","1.52","7.00","9.33","111","7.40","37","2.47","0","0.0","3","1","0","1","13","5.0","2","0.13","6","0.065","1","5.0","16","80.0","3","15.0","1","1","100.0","0","72.9","12.5","0.5","4.3","17.4","76.1","2.2","0.34","2.2","31.0","32.5","2.3","0.35","32.5"
"194","Theo Wease","MIA","WR","3","2025","32","37.2","14.0","140","22.9","10","3.3","13.0","0.31","6","60.0","139","46.3","24.4","4.34","13.90","23.17","63","10.50","7","1.17","1","33.3","1","1","0","2","9","15.3","0","","6","0.188","0","","8","80.0","0","","2","0","0.0","0","97.9","33.3","4.5","90.6","9.4","","","0.81","8.6","25.9","19.0","6.3","0.59","19.0"
"195","Devontez Walker","BLT","WR","11","2025","58","18.4","26.6","213","9.7","8","0.7","3.1","0.14","6","75.0","136","12.4","6.3","2.34","17.00","22.67","22","3.67","1","0.17","3","21.4","1","2","2","5","8","4.8","0","","5","0.086","1","12.5","8","100.0","0","","1","0","0.0","0","156.3","18.6","6.0","79.3","20.7","","","0.65","3.4","37.6","20.5","1.9","0.35","20.5"
"196","Dont'e Thornton","LV","WR","15","2025","224","43.1","17.2","517","18.3","30","2.0","6.8","0.13","10","33.3","135","9.0","4.8","0.60","4.50","13.50","37","3.70","23","2.30","0","0.0","2","0","0","9","27","8.9","0","","7","0.031","2","6.7","16","53.3","1","3.3","8","3","37.5","1","9.0","15.2","-5.3","68.8","31.3","","","0.10","1.6","23.5","62.3","4.2","0.28","62.3"
