"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"70","Kendre Miller","NO","RB","7","2025","47","193","27.6","4.11","1","0","9","2.1","18","9.3","0.0","2.1","44.7","53.2","14","0.30","102","2.17","52.8","1.94","29","61.7","127","0","4.38","55.2","16","34.0","62","1","3.88","25.0","4.8","33.3","33.2","4.7"
"71","Jaleel McLaughlin","DEN","RB","8","2025","37","187","23.4","5.05","1","0","8","5.4","31","16.6","11.1","2.7","59.5","29.7","8","0.22","75","2.03","40.1","3.03","20","54.1","96","0","4.80","50.0","16","43.2","84","1","5.25","68.8","3.9","31.4","27.7","3.5"
"72","Dylan Sampson","CLV","RB","15","2025","65","175","11.7","2.69","0","0","12","3.1","45","25.7","0.0","","29.2","60.0","9","0.14","146","2.25","83.4","0.45","38","58.5","142","0","3.74","36.8","25","38.5","38","0","1.52","20.0","5.9","88.6","87.8","5.9"
"73","Trey Benson","ARZ","RB","4","2025","29","160","40.0","5.52","0","0","4","6.9","81","50.6","20.0","","34.5","58.6","8","0.28","94","3.24","58.8","2.28","10","34.5","21","0","2.10","30.0","19","65.5","139","0","7.32","36.8","8.9","35.4","36.7","9.2"
"74","Jaret Patterson","LAC","RB","6","2025","41","159","26.5","3.88","1","0","7","2.4","22","13.8","16.7","2.4","48.8","51.2","6","0.15","92","2.24","57.9","1.63","17","41.5","55","0","3.24","35.3","24","58.5","104","1","4.33","58.3","4.3","25.7","31.1","5.2"
"75","Brashard Smith","KC","RB","17","2025","44","151","8.9","3.43","0","1","5","","0","","4.8","","40.9","52.3","2","0.05","69","1.57","45.7","1.86","30","68.2","86","0","2.87","30.0","10","22.7","44","0","4.40","50.0","3.7","63.3","80.6","4.7"
"76","Jaydon Blue","DAL","RB","5","2025","38","129","25.8","3.39","1","1","7","2.6","27","20.9","10.0","2.6","36.8","63.2","4","0.11","60","1.58","46.5","1.82","23","60.5","67","0","2.91","34.8","15","39.5","62","1","4.13","40.0","4.1","20.4","23.0","4.6"
"77","Miles Sanders","DAL","RB","4","2025","20","117","29.3","5.85","1","1","5","5.0","49","41.9","12.5","5.0","50.0","40.0","3","0.15","60","3.00","51.3","2.85","10","50.0","32","0","3.20","40.0","10","50.0","85","1","8.50","60.0","6.9","27.7","24.7","6.2"
"78","Zavier Scott","MIN","RB","11","2025","32","114","10.4","3.56","0","2","6","","0","","9.1","","50.0","43.8","3","0.09","74","2.31","64.9","1.25","17","53.1","37","0","2.18","35.3","12","37.5","63","0","5.25","75.0","3.7","40.2","45.4","4.1"
"79","Antonio Gibson","NE","RB","5","2025","25","106","21.2","4.24","1","1","6","8.0","36","34.0","28.6","4.0","44.0","56.0","1","0.04","64","2.56","60.4","1.68","11","44.0","27","0","2.45","27.3","11","44.0","53","1","4.82","54.5","3.6","18.2","19.9","4.0"
"80","Chris Brooks","GB","RB","17","2025","27","106","6.2","3.93","0","0","5","","0","","0.0","","44.4","40.7","1","0.04","61","2.26","57.5","1.67","18","66.7","84","0","4.67","55.6","8","29.6","26","0","3.25","25.0","1.9","32.7","37.3","2.2"
"81","Raheem Mostert","LV","RB","12","2025","22","104","8.7","4.73","0","0","5","4.5","37","35.6","0.0","","40.9","45.5","1","0.05","82","3.73","78.8","1.00","17","77.3","101","0","5.94","47.1","5","22.7","3","0","0.60","20.0","2.5","29.4","30.2","2.5"
"82","DJ Giddens","IND","RB","9","2025","26","96","10.7","3.69","0","0","5","","0","","3.7","","42.3","50.0","2","0.08","64","2.46","66.7","1.23","12","46.2","47","0","3.92","50.0","14","53.8","49","0","3.50","35.7","1.1","9.6","19.2","2.1"
