Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Andre Baccellia,ARZ,WR,8,Yes,No,No,2,No,Yes,0.5,0.5,5,1,1,1,0.5,1,1,3,6,3,-3,1,1,1,-3,79.2,1.5,3,-1.9408,3,6,3,1.6358,1.6358,0.125,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,2,2,,,,,,,,,,,,
Ty Johnson,BUF,RB,39,No,No,Yes,28,No,Yes,0.25,0.2143,17,15,13,0.8667,0.5357,12,0.8,129,180,75,-63,15,15,1,-4.2,124.7,4.6071,8.6,2.8153,10.75,15,6.25,22.6756,22.6756,0.3947,18.9,30.9,24.9,36.9,30.9,33.9,27.9,30.9,30.9,30.9,24.9,30.9,30.9,0.5357,4,0.3333,2,5,,,,1,1,,,,,
Van Jefferson,TEN,WR,43,Yes,No,No,7,No,No,0.2857,0.7143,16,1,1,1,0.1429,1,1,12,17,3,-5,1,1,1,-5,116.7,1.7143,12,7.8404,12,17,3,2.7929,2.7929,0.0233,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,1,,,,,,,,,,
Kareem Hunt,KC,RB,36,No,No,No,9,No,Yes,,,17,6,5,0.8333,0.6667,5,0.8333,45,63,22,-22,6,6,1,-3.6667,97.9,5,7.5,1.6053,9,12.6,4.4,8.9804,8.9804,0.1667,4.5,9.5,7,12,9.5,9.5,7,9.5,9.5,9.5,7,9.5,9.5,1,2,0.4,1,3,,,,,,,,,,
Derrick Henry,BLT,RB,14,No,No,No,3,No,Yes,,,17,2,2,1,0.6667,2,1,8,14,3,-6,2,2,1,-3,83.3,2.6667,4,-2.1191,4,7,1.5,3.1563,3.1563,0.1429,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,1,,,,,,,,,1,1,,,,
Chase Brown,CIN,RB,32,No,Yes,No,18,No,No,0.2222,0.0556,17,12,12,1,0.6667,11,0.9167,57,102,25,-50,12,12,1,-4.1667,86.5,3.1667,4.75,-0.9581,5.1818,9.2727,2.2727,16.7818,16.7818,0.375,5.7,16.7,11.2,22.2,16.7,16.7,11.2,16.7,16.7,16.7,11.2,16.7,16.7,0.7222,6,0.5455,,1,,,,,,,,,,
Curtis Samuel,BUF,WR,13,Yes,No,No,2,No,Yes,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,4,No,No,No,2,No,Yes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Devontez Walker,BLT,WR,3,No,No,No,1,No,Yes,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Drummond,ATL,WR,7,Yes,No,No,1,No,Yes,,1,9,1,1,1,1,1,1,3,7,1,-4,1,1,1,-4,79.2,3,3,-1.4851,3,7,1,1.6722,1.6722,0.1429,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,1,,,,,,,,,,,
