Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsContestedTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,TouchdownsTotal
Bijan Robinson,ATL,RB,34,No,No,No,25,16,No,Yes,16,1,0.64,16,1,82,152,42,-70,0.64,0.08,16,16,1,-4.375,88,3.28,5.125,-0.2834,5.125,9.5,2.625,28.7857,28.7857,0.4706,8.2,24.2,16.2,32.2,24.2,24.2,16.2,24.2,24.2,24.2,16.2,24.2,24.2,17,0.28,4,4,0.25,2,,,,,,
Jaleel McLaughlin,DEN,RB,15,Yes,No,No,11,6,No,Yes,5,0.8333,0.5455,5,0.8333,3,34,13,-38,0.6364,0.2727,6,6,1,-6.3333,79.2,0.2727,0.5,-4.5696,0.6,6.8,2.6,7.5048,7.5048,0.4,0.3,5.3,2.8,7.8,5.3,5.3,2.8,5.3,5.3,5.3,2.8,5.3,5.3,16,0.0909,,2,0.4,,,,,,,
Calvin Austin,PIT,WR,10,Yes,No,No,6,6,No,Yes,6,1,1,6,1,28,34,13,-6,,0.6667,6,6,1,-1,86.1,4.6667,4.6667,-0.9617,4.6667,5.6667,2.1667,9.3413,9.3413,0.6,2.8,8.8,5.8,8.8,8.8,8.8,5.8,8.8,8.8,8.8,5.8,8.8,8.8,17,0.3333,1,1,0.1667,1,,,,,,
Jacob Cowing,SF,WR,5,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,9,13,5,-4,,0.6667,1,1,1,-4,104.2,3,9,4.5149,9,13,5,3.6983,3.6983,0.2,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,15,0.3333,,,,1,,,,,,
Mike Williams,PIT,WR,22,Yes,No,No,10,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.5,,,,,,,,,,
Derius Davis,LAC,WR,9,Yes,No,Yes,8,2,No,Yes,2,1,0.25,2,1,24,33,8,-9,,0.875,2,2,1,-4.5,116.7,3,12,7.6777,12,16.5,4,3.4111,3.4111,0.2222,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,15,0.125,1,1,0.5,,,,,,,
Kylen Granson,IND,TE,15,Yes,No,No,2,2,No,No,2,1,1,2,1,19,28,8,-9,,,2,2,1,-4.5,106.3,9.5,9.5,4.1451,9.5,14,4,3.1579,3.1579,0.1333,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,17,,1,,,1,1,,,,,
Devin Thompkins,CAR,WR,3,No,No,No,2,1,No,Yes,1,1,0.5,1,1,2,5,,-3,0.5,0.5,1,1,1,-3,79.2,1,2,-2.9408,2,5,,2.7,2.7,0.3333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,7,,,,,1,,,,,,
Kimani Vidal,LAC,RB,3,Yes,No,Yes,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,1.6816,1.6816,,,,,,,,,,,,,,,10,,,,,,,,,,,
Mason Tipton,NO,WR,19,No,No,No,7,,No,No,,,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5714,,,,,,,,,,
Tyreek Hill,MIA,WR,69,Yes,No,No,31,9,No,Yes,9,1,0.2903,8,0.8889,41,63,14,-27,,0.3871,9,9,1,-3,85.6,1.3226,4.5556,-0.3399,5.125,7.875,1.75,13.9282,13.9282,0.1304,4.1,12.1,8.1,12.1,12.1,12.1,8.1,12.1,12.1,12.1,8.1,12.1,12.1,17,0.6129,,,,1,,,1,0.1111,,
Demarcus Robinson,LA,WR,27,Yes,No,Yes,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
Travis Kelce,KC,TE,40,No,No,No,15,7,No,Yes,7,1,0.4667,7,1,36,47,10,-11,,0.2,7,7,1,-1.5714,88.1,2.4,5.1429,0.0699,5.1429,6.7143,1.4286,12.5163,12.5163,0.175,3.6,10.6,7.1,10.6,14.1,10.6,7.1,10.6,10.6,10.6,7.1,14.1,10.6,16,0.4667,1,1,0.1429,4,0.3333,,,,,
Cole Kmet,CHI,TE,55,No,No,No,8,2,No,Yes,2,1,0.25,2,1,22,27,3,-5,,0.625,2,2,1,-2.5,112.5,2.75,11,5.3811,11,13.5,1.5,3.0068,3.0068,0.0364,2.2,4.2,3.2,4.2,5.2,4.2,3.2,4.2,4.2,4.2,3.2,5.2,4.2,17,,1,,,,0.375,,,,,
Zack Moss,CIN,RB,8,Yes,No,No,6,4,No,Yes,4,1,0.6667,4,1,33,49,12,-16,0.8333,,4,4,1,-4,101,5.5,8.25,2.6432,8.25,12.25,3,5.9547,5.9547,0.5,3.3,7.3,5.3,9.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,8,0.1667,2,1,0.25,,,,,,,
Rhamondre Stevenson,NE,RB,24,Yes,No,Yes,18,10,No,Yes,9,0.9,0.5556,8,0.8,34,55,4,-27,0.8333,0.0556,10,10,1,-2.7,80.8,1.8889,3.4,-2.4179,4.25,6.875,0.5,17.0472,17.0472,0.4167,3.4,11.4,7.4,15.4,11.4,11.4,7.4,11.4,11.4,11.4,7.4,11.4,11.4,15,0.0556,1,,,1,0.0556,,1,0.1,,
Brenton Strange,JAX,TE,24,Yes,No,No,7,,No,No,,,,,,,,,,0.1429,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.5714,,,,,
Justin Jefferson,MIN,WR,34,No,No,Yes,17,7,No,Yes,7,1,0.4118,7,1,53,69,22,-16,,0.4706,7,7,1,-2.2857,98.2,3.1176,7.5714,2.2158,7.5714,9.8571,3.1429,10.98,10.98,0.2059,6.18,13.18,9.68,13.18,13.18,13.18,9.68,13.18,13.18,13.18,9.68,13.4,13.4,17,0.5294,1,1,0.1429,1,,,,,,
Rashid Shaheed,NO,WR,10,No,No,No,5,2,No,No,2,1,0.4,2,1,19,22,1,-3,,0.6,2,2,1,-1.5,106.3,3.8,9.5,3.6655,9.5,11,0.5,3.4537,3.4537,0.2,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,6,0.4,1,,,,,,,,,
