Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,AlignmentInlineRoutesPercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,AveragesPerReceptionYardsAfterContact,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,TargetsContestedTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero
Tyrell Shavers,BUF,WR,2,No,Yes,No,2,No,No,,3,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,5,No,No,No,5,No,No,,17,0.6,3,1,0.3333,0.6,159,,0.4,3,53,3,121.5,2,,8.1355,8.1355,0.6,,1,0.3333,51,,10.2,17,51,,1,11.1,12.1,11.6,12.1,12.1,12.1,11.6,12.1,12.1,12.1,11.6,12.1,12.1,,,1,1,1,,,,,,
Dallas Goedert,PHI,TE,8,No,No,Yes,8,No,No,,10,0.625,2,1,0.5,0.25,42,1,0.25,2,21,1,39.6,-11.1474,0.5,4.7873,4.7873,0.25,0.125,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Roschon Johnson,CHI,RB,9,No,No,No,3,No,No,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,13,No,No,No,13,No,No,,11,0.2308,4,1,0.25,0.3077,139,,0.7692,4,34.75,4,106.3,-3.5555,,8.6607,8.6607,0.3077,,1,0.25,38,,2.9231,9.5,38,,1,9.8,10.8,10.3,10.8,10.8,10.8,10.3,10.8,10.8,10.8,10.3,10.8,10.8,,,3,1,1,,,,,,
Calvin Ridley,TEN,WR,25,No,No,Yes,25,Yes,Yes,,17,0.2,14,7,0.5,0.56,494,2,0.8,14,35.2857,12,66.4,-4.1271,0.1429,35.5023,35.5023,0.56,,4,0.2857,132,6,5.28,9.4286,33,1.5,4,31.2,35.2,33.2,35.2,35.2,38.2,36.2,35.2,35.2,35.2,33.2,35.2,35.2,,,2,3,1,2,1,,,2,1
DJ Chark,LAC,WR,2,No,No,No,2,No,No,,7,,1,,,0.5,17,,1,1,17,,39.6,-11.6653,,3.983,3.983,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Raheem Mostert,MIA,RB,3,No,No,No,3,No,No,,13,0.3333,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,14,No,Yes,No,13,Yes,No,,11,0.5385,3,,,0.2308,83,,0.4615,3,27.6667,2,39.6,-12.0213,,4.5162,4.5162,0.2143,,,,,,,,,,,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,,,,,,,,,,,
Kyle Pitts,ATL,TE,17,No,Yes,No,15,Yes,No,,17,0.4667,1,1,1,0.0667,20,,0.2667,,20,1,158.3,24.2377,,1.6938,1.6938,0.0588,0.2667,1,1,36,16,2.4,36,36,16,1,9.6,10.6,10.1,10.6,11.1,10.6,10.1,10.6,10.6,10.6,10.1,11.1,10.6,,,,1,,,,,,,
Dante Pettis,NO,WR,2,No,No,Yes,2,Yes,Yes,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,12,No,No,No,12,No,No,,17,0.6667,2,2,1,0.1667,73,,0.25,2,36.5,2,118.8,38.6236,,4.1698,4.1698,0.1667,0.0833,2,1,104,31,8.6667,52,52,15.5,2,10.4,12.4,11.4,12.4,12.4,15.4,14.4,12.4,12.4,12.4,11.4,12.4,12.4,7,3.5,,,,1,1,,,,1
Terry McLaurin,WAS,WR,29,No,No,No,29,Yes,Yes,,17,0.2414,18,10,0.5556,0.6207,647,1,0.7586,17,35.9444,16,123.6,2.474,0.0556,47.5016,47.5016,0.6207,,7,0.3889,283,38,9.7586,15.7222,40.4286,5.4286,7,40.3,47.3,43.8,47.3,47.3,50.3,46.8,47.3,47.3,47.3,43.8,47.3,47.3,16,2.2857,4,2,1,3,1,,,1,1
Ainias Smith,PHI,WR,1,No,No,Yes,1,No,No,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,9,No,No,Yes,8,No,Yes,,7,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Reagor,LAC,WR,1,No,Yes,Yes,1,No,No,,8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,27,Yes,No,No,25,No,Yes,,16,0.56,6,3,0.5,0.24,101,1,0.04,5,16.8333,1,85.4,-5.9053,0.1667,19.5246,19.5246,0.2222,0.4,2,0.3333,23,2,0.92,3.8333,11.5,1,2,8.3,10.3,9.3,10.3,11.3,10.3,9.3,10.3,10.3,10.3,9.3,11.3,10.3,2,1,3,1,1,1,,,,2,
Carson Steele,KC,RB,1,No,No,No,1,No,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bates,WAS,TE,12,No,No,No,8,Yes,Yes,,17,,1,1,1,0.125,32,,,,32,1,39.6,-12.8846,,2.0808,2.0808,0.0833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Alex Erickson,NE,WR,1,No,No,No,1,Yes,No,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,9,No,No,No,8,No,No,,17,0.25,4,2,0.5,0.5,110,,0.75,4,27.5,4,97.9,-4.0734,,7.4038,7.4038,0.4444,,1,0.25,30,4,3.75,7.5,30,4,1,9,10,9.5,10,10,10,9.5,10,10,10,9.5,10,10,2,2,,1,,1,,,,,
Dawson Knox,BUF,TE,9,No,Yes,No,9,No,No,,16,0.3333,3,2,0.6667,0.3333,63,,0.2222,3,21,1,109.7,7.3015,,5.6194,5.6194,0.3333,0.4444,2,0.6667,57,13,6.3333,19,28.5,6.5,2,5.7,7.7,6.7,7.7,8.7,7.7,6.7,7.7,7.7,7.7,6.7,8.7,7.7,7,3.5,1,,,,,,,1,1
Noah Brown,WAS,WR,8,No,No,Yes,8,No,Yes,,11,,1,,,0.125,41,,1,1,41,1,39.6,-15,,5.3522,5.3522,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Marcedes Lewis,CHI,TE,5,No,No,No,1,No,No,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,20,No,Yes,Yes,14,No,No,0.7857,16,0.2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Palmer,TB,WR,4,No,No,Yes,4,Yes,Yes,,15,0.5,2,1,0.5,0.5,74,,0.5,1,37,1,83.3,-3.4495,,4.5481,4.5481,0.5,,1,0.5,19,1,4.75,9.5,19,1,1,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,1,,,,,,,,
Tucker Kraft,GB,TE,12,No,No,No,11,No,No,,17,0.5455,,,,,,,0.1818,,,,,,,0.625,0.625,,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payne Durham,TB,TE,2,No,No,Yes,2,Yes,Yes,,16,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,2,No,No,Yes,1,No,Yes,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najee Harris,PIT,RB,11,No,No,No,10,No,No,0.9,17,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,1,No,No,No,1,No,No,,11,1,1,,,1,26,,,,26,1,39.6,-11.1524,,1.427,1.427,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,9,No,No,No,9,Yes,No,0.1111,14,0.6667,1,,,0.1111,13,,0.2222,,13,,39.6,-8.9145,,2.9824,2.9824,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Tyreik McAllister,LV,WR,1,No,Yes,Yes,1,Yes,Yes,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devontez Walker,BLT,WR,2,No,No,No,2,No,No,,7,,2,1,0.5,1,68,1,1,1,34,2,39.6,-13.1651,0.5,4.1724,4.1724,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,15,No,No,No,12,Yes,Yes,0.4167,12,0.4167,,,,,,,0.0833,,,,,,,,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaheim Bell,NE,TE,1,No,No,No,1,Yes,No,,13,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,7,No,No,No,2,No,No,,17,0.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,9,No,No,Yes,8,No,No,,17,0.375,,,,,,,0.25,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,5,Yes,No,No,5,No,Yes,,11,0.2,,,,,,,0.8,,,,,,,3.2207,3.2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,8,No,No,No,8,Yes,Yes,,17,0.125,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,HST,WR,4,No,No,No,4,No,Yes,,8,0.5,1,1,1,0.25,19,,0.5,1,19,,118.8,9.0679,,1.6558,1.6558,0.25,,1,1,21,2,5.25,21,21,2,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,5,No,No,No,3,No,No,,17,0.3333,1,,,0.3333,18,,,1,18,,39.6,-12.9732,,2.3182,2.3182,0.2,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Kalif Raymond,DET,WR,1,No,No,Yes,1,No,No,,12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,17,No,No,No,17,No,No,,16,0.2941,7,4,0.5714,0.4118,201,2,0.7059,7,28.7143,6,39.6,-9.6853,0.2857,17.661,17.661,0.4118,,1,0.1429,21,,1.2353,3,21,,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,,,,,3,,,,,
Brandon Aiyuk,SF,WR,10,No,No,No,10,No,Yes,,7,0.2,2,2,1,0.2,39,2,0.8,,19.5,1,39.6,-11.0692,1,7.3779,7.3779,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,
Allen Lazard,NYJ,WR,11,No,No,No,11,No,No,,12,0.6364,2,2,1,0.1818,47,,0.3636,1,23.5,1,135.4,6.8312,,3.7195,3.7195,0.1818,,1,0.5,36,7,3.2727,18,36,7,1,9.6,10.6,10.1,10.6,10.6,10.6,10.1,10.6,10.6,10.6,10.1,10.6,10.6,1,1,,1,,1,,,,,
Andrei Iosivas,CIN,WR,12,No,No,No,12,No,No,,17,0.5,4,4,1,0.3333,103,,0.5,4,25.75,4,95.8,3.3753,,7.2296,7.2296,0.3333,,2,0.5,61,5,5.0833,15.25,30.5,2.5,2,6.1,8.1,7.1,8.1,8.1,8.1,7.1,8.1,8.1,8.1,7.1,8.1,8.1,4,2,,,,3,1,,,,
Jacob Cowing,SF,WR,1,Yes,No,No,1,No,Yes,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,17,No,No,No,17,No,No,,17,0.6471,7,3,0.4286,0.4118,222,,0.3529,7,31.7143,7,110.1,-2.6167,,17.0959,17.0959,0.4118,,2,0.2857,73,4,4.2941,10.4286,36.5,2,2,13.3,15.3,14.3,15.3,15.3,15.3,14.3,15.3,15.3,15.3,14.3,15.3,15.3,1,0.5,,1,,1,,,,,1
Ronnie Bell,SF,WR,2,No,No,No,2,Yes,Yes,,8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,20,No,Yes,No,12,Yes,No,1,17,,1,1,1,0.0833,32,,,1,32,1,39.6,-6.6,,2.0946,2.0946,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Jaleel McLaughlin,DEN,RB,4,No,No,No,4,No,No,0.75,16,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Swaim,CLV,TE,5,No,No,No,1,No,No,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,18,No,No,No,15,No,No,,17,0.8667,1,1,1,0.0667,17,,0.0667,1,17,,118.8,9.3193,,2.2474,2.2474,0.0556,0.0667,1,1,21,4,1.4,21,21,4,1,2.1,3.1,2.6,3.1,3.6,3.1,2.6,3.1,3.1,3.1,2.6,3.6,3.1,3,3,,,,1,1,,,,1
Cordarrelle Patterson,PIT,RB,1,No,No,No,1,No,No,1,13,,1,1,1,1,12,,,1,12,,156.3,2.6226,,2.8188,2.8188,1,,1,1,12,,12,12,12,,1,7.2,8.2,7.7,8.7,8.2,8.2,7.7,8.2,8.2,8.2,7.7,8.2,8.2,,,1,1,1,,,,,1,
Isiah Pacheco,KC,RB,3,Yes,No,No,2,Yes,Yes,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,12,No,Yes,No,6,No,Yes,0.8333,17,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,19,No,Yes,Yes,14,Yes,Yes,0.7143,15,,,,,,,,0.2857,,,,,,,1.8333,1.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,4,No,Yes,No,2,No,Yes,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Corley,NYJ,WR,5,No,Yes,No,5,No,No,,7,0.4,1,,,0.2,22,,0.6,1,22,1,39.6,-11.9241,,1.4222,1.4222,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Moore,CLV,WR,27,No,No,No,27,No,No,0.037,17,0.5926,6,2,0.3333,0.2222,153,,0.3704,6,25.5,4,47.9,-7.3584,,13.1105,13.1105,0.2222,,2,0.3333,26,3,0.963,4.3333,13,1.5,2,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,,,1,,,,,,,1,
Rachaad White,TB,RB,10,No,No,Yes,8,Yes,Yes,0.75,16,0.125,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,9,No,No,No,9,No,No,,17,0.2222,2,1,0.5,0.2222,104,,0.7778,2,52,2,135.4,12,,3.9925,3.9925,0.2222,,1,0.5,54,,6,27,54,,1,11.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,,,1,1,1,,,,,,
Ty Johnson,BUF,RB,7,No,No,No,7,Yes,No,0.4286,17,0.2857,2,2,1,0.2857,42,,0.2857,2,21,1,118.8,17.2348,,3.5834,3.5834,0.2857,,2,1,64,22,9.1429,32,32,11,2,6.4,8.4,7.4,9.4,8.4,8.4,7.4,8.4,8.4,8.4,7.4,8.4,8.4,6,3,,,,,,,,,
Kareem Hunt,KC,RB,4,Yes,No,No,3,Yes,Yes,0.6667,13,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Jefferson,PIT,WR,21,No,No,No,21,No,No,,17,0.1905,3,,,0.1429,85,,0.8095,3,28.3333,3,39.6,-12.1261,,4.6028,4.6028,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Powell,MIN,WR,4,No,No,Yes,4,No,No,,17,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,11,No,No,No,9,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,24,No,No,No,24,No,No,,17,0.3333,10,4,0.4,0.4167,297,,0.6667,9,29.7,8,70,-2.3086,,29.5458,29.5458,0.4167,,3,0.3,103,8,4.2917,10.3,34.3333,2.6667,3,10.3,13.3,11.8,13.3,13.3,16.3,14.8,13.3,13.3,13.3,11.8,13.3,13.3,6,2,2,,,2,1,,,1,
Jeff Wilson,MIA,RB,1,No,No,No,1,No,No,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny McIntosh,SEA,RB,2,No,Yes,No,2,No,Yes,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,3,No,No,No,3,No,Yes,,4,0.3333,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,18,No,No,No,17,Yes,Yes,,16,0.2941,5,3,0.6,0.2941,169,,0.7059,5,33.8,4,127.1,4.9325,,15.8292,15.8292,0.2941,,2,0.4,92,11,5.4118,18.4,46,5.5,2,15.2,17.2,16.2,17.2,17.2,17.2,16.2,17.2,17.2,17.2,16.2,17.2,17.2,6,3,2,1,1,1,,,,1,
Quentin Johnston,LAC,WR,9,No,No,No,9,No,No,,15,,3,,,0.3333,104,,1,3,34.6667,3,39.6,-12.0358,,6.0675,6.0675,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Johnny Wilson,PHI,WR,5,No,No,Yes,5,No,No,,16,0.4,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josiah Deguara,JAX,TE,1,Yes,No,No,1,Yes,Yes,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,5,No,No,No,3,No,No,0.6667,17,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,9,Yes,No,No,5,No,Yes,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,CAR,WR,20,No,Yes,No,20,Yes,No,,10,0.85,7,4,0.5714,0.35,184,,0.15,6,26.2857,6,101.8,6.0698,,16.8317,16.8317,0.35,,4,0.5714,126,9,6.3,18,31.5,2.25,4,24.6,28.6,26.6,28.6,28.6,31.6,29.6,28.6,28.6,28.6,26.6,28.6,28.6,,,3,2,2,1,1,,,1,
Jonnu Smith,MIA,TE,10,No,No,No,7,No,No,0.1429,17,0.4286,1,1,1,0.1429,19,,0.2857,1,19,,39.6,-10.5955,,2.131,2.131,0.1,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Bryant,LV,TE,4,No,No,No,2,No,No,,13,0.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,3,No,No,No,3,No,No,,17,0.3333,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,3,No,No,Yes,3,Yes,Yes,,6,0.6667,,,,,,,0.3333,,,,,,,1.8943,1.8943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,4,No,Yes,No,1,Yes,No,,16,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Palmer,LAC,WR,9,No,No,Yes,9,No,Yes,,15,0.3333,2,1,0.5,0.2222,82,,0.6667,1,41,2,95.8,8.7663,,3.4525,3.4525,0.2222,,1,0.5,45,12,5,22.5,45,12,1,4.5,5.5,5,5.5,5.5,5.5,5,5.5,5.5,5.5,5,5.5,5.5,9,9,,,,,,,,,
Antonio Gibson,NE,RB,6,No,No,No,3,Yes,No,0.3333,17,,1,,,0.3333,29,,0.3333,1,29,1,39.6,-18.4286,,2.4682,2.4682,0.1667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Moore,ARZ,WR,1,Yes,No,No,1,No,No,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,9,No,Yes,No,9,No,Yes,,17,0.4444,3,2,0.6667,0.3333,117,1,0.5556,3,39,3,42.4,2.8899,0.3333,7.1923,7.1923,0.3333,,1,0.3333,50,1,5.5556,16.6667,50,1,1,5,6,5.5,6,6,6,5.5,6,6,6,5.5,6,6,,,,,,1,,,,,
David Moore,CAR,WR,22,No,Yes,No,21,Yes,No,,17,0.381,6,2,0.3333,0.2857,103,,0.619,5,17.1667,3,96.5,-3.8774,,13.3289,13.3289,0.2727,,2,0.3333,39,2,1.8571,6.5,19.5,1,2,9.9,11.9,10.9,11.9,11.9,11.9,10.9,11.9,11.9,11.9,10.9,11.9,11.9,2,1,1,1,1,1,1,,,2,
Dalton Schultz,HST,TE,11,No,No,Yes,11,Yes,Yes,,17,0.1818,1,,,0.0909,29,,0.3636,1,29,1,39.6,-11.2203,,2.2622,2.2622,0.0909,0.4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,15,Yes,No,No,11,No,Yes,,15,0.3636,2,1,0.5,0.1818,33,,0.2727,2,16.5,,95.8,2.5614,,5.9951,5.9951,0.1333,0.3636,1,0.5,26,7,2.3636,13,26,7,1,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,2,2,,,,,,,,,
Keenan Allen,CHI,WR,21,No,No,No,20,No,No,,15,0.5,9,2,0.2222,0.45,220,,0.5,6,24.4444,7,76.6,-8.5752,,21.6357,21.6357,0.4286,,2,0.2222,25,8,1.25,2.7778,12.5,4,2,8.5,10.5,9.5,10.5,10.5,10.5,9.5,10.5,10.5,10.5,9.5,10.5,10.5,2,1,5,1,1,,,,,2,
Isaiah Likely,BLT,TE,18,No,No,No,18,No,No,,16,0.5556,5,1,0.2,0.2778,117,,0.1111,5,23.4,4,48.8,-6.5191,,9.6439,9.6439,0.2778,0.3333,1,0.2,26,5,1.4444,5.2,26,5,1,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,,,1,,,,,,,1,
Amon-Ra St. Brown,DET,WR,9,No,No,Yes,8,No,No,,17,0.25,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.35,4.35,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,6,No,No,Yes,5,No,Yes,,15,,4,2,0.5,0.8,109,1,1,4,27.25,4,39.6,-11.7173,0.25,8.6507,8.6507,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
James Cook,BUF,RB,10,No,No,No,9,Yes,No,0.8889,16,0.1111,1,1,1,0.1111,25,1,,1,25,1,39.6,-5.0667,1,2.9333,2.9333,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treylon Burks,TEN,WR,6,No,No,Yes,6,No,No,,5,0.1667,2,,,0.3333,88,,0.8333,2,44,2,,-15,,4.2037,4.2037,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Akins,CLV,TE,9,No,No,No,9,No,No,,17,0.5556,,,,,,,0.2222,,,,,,,,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Vannett,TEN,TE,6,No,No,Yes,5,Yes,Yes,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Fant,SEA,TE,12,No,Yes,No,11,No,Yes,,14,0.7273,2,,,0.1818,42,,,2,21,1,,-10.6181,,4.7808,4.7808,0.1667,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
CeeDee Lamb,DAL,WR,17,No,Yes,No,17,No,No,,16,0.4118,5,2,0.4,0.2941,123,,0.5882,5,24.6,3,87.5,1.6353,,12.1432,12.1432,0.2941,,2,0.4,63,24,3.7059,12.6,31.5,12,2,12.3,14.3,13.3,14.3,14.3,14.3,13.3,14.3,14.3,14.3,13.3,14.3,14.3,21,10.5,3,1,1,,,1,0.5,2,
Tony Pollard,TEN,RB,17,No,No,Yes,15,Yes,Yes,0.8667,16,0.1333,1,1,1,0.0667,20,,,1,20,1,118.8,11.7381,,1.8641,1.8641,0.0588,,1,1,22,2,1.4667,22,22,2,1,2.2,3.2,2.7,3.7,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,1,1,,,,1,1,,,,
Romeo Doubs,GB,WR,11,No,No,No,11,No,No,,13,0.1818,4,1,0.25,0.3636,103,,0.8182,4,25.75,3,53.1,-6.204,,8.7388,8.7388,0.3636,,1,0.25,25,6,2.2727,6.25,25,6,1,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,2,2,2,,,,,,,,1
