Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,playerStatsFirstDownsReceiving,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,ReceptionsHero,TouchdownsTotal
Hassan Haskins,LAC,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
Jalen Brooks,DAL,WR,4,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
Kevin Austin,NO,WR,2,Yes,No,No,1,1,No,Yes,,,1,,,,,,,,,,,1,1,1,1,,39.6,,,-6.0386,,,,,1.3899,1.3899,0.5,,,,,,,,,,,,,,,8,,,,,
Marquise Brown,KC,WR,1,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,3,7,,-4,,,,1,,1,1,1,-4,79.2,3,3,-1.4851,,3,7,,1.6722,1.6722,1,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,2,,,,,
KaVontae Turpin,DAL,WR,4,Yes,No,No,4,4,No,Yes,4,1,1,3,0.75,11,16,8,-7,1,1,0.3333,0.75,0.25,4,4,1,-1.75,77.1,2.75,2.75,-2.7444,0.25,3.6667,5.3333,2.6667,5.5997,5.5997,1,1.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,,17,,,,,
Davante Adams,NYJ,WR,6,No,No,No,2,2,No,No,2,1,1,2,1,19,23,15,-4,,2,1,1,,2,2,1,-2,106.3,9.5,9.5,4.0009,,9.5,11.5,7.5,3.199,3.199,0.3333,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,14,1,,,,
Nico Collins,HST,WR,4,Yes,No,No,3,3,No,Yes,3,1,1,3,1,1,12,5,-11,,1,0.3333,0.3333,0.6667,3,3,1,-3.6667,79.2,0.3333,0.3333,-4.3037,,0.3333,4,1.6667,5.118,5.118,0.75,0.1,3.1,1.6,3.1,3.1,3.1,1.6,3.1,3.1,3.1,1.6,3.1,3.1,,12,,,,,
Jerry Jeudy,CLV,WR,4,No,No,No,2,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
Darius Slayton,NYG,WR,8,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
Miles Sanders,CAR,RB,4,No,No,No,2,2,No,No,2,1,1,2,1,3,13,7,-10,,1,0.5,0.5,0.5,2,2,1,-5,79.2,1.5,1.5,-3.8239,,1.5,6.5,3.5,2.7883,2.7883,0.5,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,1,11,,,,,
