Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsHero
DeeJay Dallas,JAX,RB,4,No,Yes,No,2,,No,,No,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Tony Pollard,TEN,RB,133,No,Yes,No,104,25,No,2,No,22,0.88,,0.2404,20,0.8,133,89,32,58,0.0096,0.0481,2,2.32,88.8,1.2788,5.32,-0.9925,6.65,4.45,1.6,8,36.1625,36.1625,0.188,13.3,33.3,23.3,43.3,33.3,36.3,26.3,33.3,33.3,33.3,23.3,33.3,33.3,,17,0.9327,2,1,0.05,0.0096,,,2,0.08,,,
Romeo Doubs,GB,WR,143,No,No,No,142,34,No,14,Yes,33,0.9706,5,0.2394,29,0.8529,217,75,28,189,0.1972,0.8028,30,5.5588,120.2,1.5282,6.3824,-0.1672,7.4828,2.5862,0.9655,18,68.4541,68.4541,0.2378,45.7,74.7,60.2,74.7,74.7,77.7,63.2,74.7,74.7,74.7,60.2,74.7,74.7,11,16,,11,2,0.069,,4,4,1,0.0294,,,
Drake Dabney,GB,TE,7,Yes,Yes,Yes,6,2,No,1,No,1,0.5,,0.3333,1,0.5,3,1,1,10,0.5,,,5,56.3,0.5,1.5,-5.5453,3,1,1,,3.2608,3.2608,0.2857,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,1,2,,1,,,0.5,,,,,,,
Ladd McConkey,LAC,WR,218,No,Yes,Yes,217,51,Yes,4,Yes,42,0.8235,3,0.235,36,0.7059,344,171,51,254,0.6636,0.3272,37,4.9804,100.4,1.5853,6.7451,0.418,9.5556,4.75,1.4167,17,83.218,83.218,0.2339,52.4,88.4,70.4,88.4,88.4,91.4,73.4,88.4,88.4,88.4,70.4,88.4,88.4,8,16,,1,8,0.2222,0.0092,3,2,4,0.0784,,,
JuJu Smith-Schuster,KC,WR,135,No,No,No,130,27,No,6,Yes,24,0.8889,2,0.2077,21,0.7778,182,82,39,120,0.4385,0.5615,20,4.4444,91.7,1.4,6.7407,0.5703,8.6667,3.9048,1.8571,12,43.6125,43.6125,0.2,24.2,45.2,34.7,45.2,45.2,48.2,37.7,45.2,45.2,45.2,34.7,45.2,45.2,4,17,,4,1,0.0476,,1,1,1,0.037,,,
Alex Bachman,LV,WR,7,No,No,No,7,3,No,,Yes,2,0.6667,,0.4286,2,0.6667,12,3,2,14,0.4286,0.5714,2,4.6667,74.3,1.7143,4,-2.2539,6,1.5,1,2,4.2225,4.2225,0.4286,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,13,,,,,,,,,,,,
Dalevon Campbell,CAR,WR,3,No,No,No,3,,No,,Yes,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Austin Trammell,JAX,WR,10,No,No,No,10,2,Yes,1,Yes,1,0.5,,0.2,,,,,,9,0.4,0.6,1,4.5,,,,-6.2063,,,,,2.8033,2.8033,0.2,,,,,,,,,,,,,,,6,,,,,,,,,,,,
Malik Turner,SF,WR,2,No,Yes,No,2,,No,,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Kene Nwangwu,NYJ,RB,8,Yes,No,No,7,,No,,Yes,,,,,,,,,,,0.1429,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.7143,,,,,,,,,,,
Travis Vokolek,ARZ,TE,2,No,No,No,2,,No,,No,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.5,,,,,,,
Nick Vannett,LA,TE,4,No,No,No,4,,No,,Yes,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,0.5,,,,,,,
CeeDee Lamb,DAL,WR,186,No,No,No,186,48,No,10,No,43,0.8958,3,0.2581,35,0.7292,264,90,43,247,0.3226,0.6667,44,5.1458,68.4,1.4194,5.5,-0.9214,7.5429,2.5714,1.2286,11,91.9193,91.9193,0.2581,26.4,61.4,43.9,61.4,61.4,64.4,46.9,61.4,61.4,61.4,43.9,61.4,61.4,10,14,0.0108,5,3,0.0857,,,,5,0.1042,,,1
Noah Fant,CIN,TE,96,No,Yes,No,92,26,No,2,No,24,0.9231,2,0.2826,23,0.8846,195,131,47,86,0.2717,0.1087,18,3.3077,123.6,2.1196,7.5,1.1221,8.4783,5.6957,2.0435,9,42.2127,42.2127,0.2708,31.5,54.5,43,54.5,66,57.5,46,54.5,54.5,54.5,43,66,54.5,3,15,,1,2,0.087,0.6196,2,2,,,,,
Isaiah Likely,BLT,TE,107,No,No,Yes,104,22,No,2,Yes,19,0.8636,,0.2115,18,0.8182,138,53,13,101,0.7788,0.0962,14,4.5909,92.8,1.3269,6.2727,-0.1713,7.6667,2.9444,0.7222,6,31.3414,31.3414,0.2056,13.8,31.8,22.8,31.8,40.8,34.8,25.8,31.8,31.8,31.8,22.8,40.8,31.8,2,14,,2,,,0.125,,,1,0.0455,,,
George Kittle,SF,TE,121,No,No,No,116,28,No,4,Yes,28,1,,0.2414,28,1,256,136,49,120,0.2759,0.0948,20,4.2857,128.6,2.2069,9.1429,2.6631,9.1429,4.8571,1.75,17,47.8519,47.8519,0.2314,37.6,65.6,51.6,65.6,79.6,68.6,54.6,65.6,65.6,65.6,51.6,79.6,65.6,6,11,0.0086,4,1,0.0357,0.6207,2,,,,,,
Zaire Mitchell-Paden,NO,TE,9,No,Yes,No,6,3,No,1,Yes,3,1,1,0.5,2,0.6667,17,5,1,20,0.3333,,1,6.6667,81.3,2.8333,5.6667,-1.434,8.5,2.5,0.5,1,6.8121,6.8121,0.3333,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,1,8,0.6667,,,,,,,1,0.3333,,,
Dalton Schultz,HST,TE,241,No,No,No,227,72,No,4,Yes,65,0.9028,2,0.3172,62,0.8611,508,227,70,330,0.2819,0.0881,51,4.5833,100.7,2.2379,7.0556,0.5228,8.1935,3.6613,1.129,25,115.6439,115.6439,0.2988,56.8,118.8,87.8,118.8,149.8,121.8,90.8,118.8,118.8,118.8,87.8,149.8,118.8,5,17,0.0088,2,6,0.0968,0.6211,1,1,1,0.0139,,,
Anthony Gould,IND,WR,12,No,No,No,12,1,Yes,,Yes,1,1,,0.0833,1,1,3,,,3,0.9167,0.0833,1,3,79.2,0.25,3,-2.4499,3,,,,1.3216,1.3216,0.0833,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,11,,,,,,,,,,,,
Hayden Rucci,MIA,TE,3,Yes,Yes,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,
Keenan Allen,LAC,WR,198,No,No,No,196,81,No,12,Yes,71,0.8765,2,0.4133,61,0.7531,492,168,93,433,0.4082,0.5918,71,5.3457,89.1,2.5102,6.0741,-0.4272,8.0656,2.7541,1.5246,34,125.8431,125.8431,0.4091,55.2,116.2,85.7,116.2,116.2,119.2,88.7,116.2,116.2,116.2,85.7,116.2,116.2,8,17,,8,9,0.1475,,1,1,5,0.0617,,,
James Cook,BUF,RB,100,Yes,No,No,82,20,No,2,Yes,18,0.9,,0.2439,16,0.8,108,56,12,70,0.0122,,6,3.5,105.8,1.3171,5.4,-1.2759,6.75,3.5,0.75,4,30.6302,30.6302,0.2,16.8,32.8,24.8,40.8,32.8,35.8,27.8,32.8,32.8,32.8,24.8,32.8,32.8,1,17,0.9878,1,1,0.0625,,1,,,,,,
Treylon Burks,WAS,WR,42,No,Yes,No,42,7,No,,Yes,4,0.5714,2,0.1667,4,0.5714,31,12,5,38,0.1429,0.8571,6,5.4286,28.6,0.7381,4.4286,-2.1573,7.75,3,1.25,2,14.8666,14.8666,0.1667,3.1,7.1,5.1,7.1,7.1,7.1,5.1,7.1,7.1,7.1,5.1,7.1,7.1,2,8,,,1,0.25,,,,,,,,
Michael Bandy,DEN,WR,6,No,No,No,6,4,No,,Yes,4,1,,0.6667,4,1,50,27,2,23,0.8333,0.1667,3,5.75,158.3,8.3333,12.5,5.8152,12.5,6.75,0.5,3,5.4805,5.4805,0.6667,11,15,13,15,15,15,13,15,15,15,13,15,15,1,4,,,,,,1,,,,,,
Keaton Mitchell,BLT,RB,17,No,No,Yes,16,2,No,,Yes,2,1,,0.125,2,1,21,18,1,3,0.125,0.0625,,1.5,110.4,1.3125,10.5,4.438,10.5,9,0.5,1,2.6433,2.6433,0.1176,2.1,4.1,3.1,5.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,,13,0.6875,,,,0.125,,,,,,,
DJ Moore,CHI,WR,203,No,No,No,199,23,No,5,Yes,17,0.7391,2,0.1156,16,0.6957,170,72,21,127,0.3869,0.603,16,5.5217,105.3,0.8543,7.3913,0.5059,10.625,4.5,1.3125,7,38.4174,38.4174,0.1139,26.08,42.08,34.08,42.08,42.08,45.08,36.08,41.08,41.08,41.08,33.08,42.1,41.1,3,17,0.0101,3,2,0.125,,1,1,,,1,0.0435,
Bucky Irving,TB,RB,67,Yes,No,Yes,47,6,No,1,Yes,5,0.8333,,0.1277,3,0.5,9,6,1,18,0.0638,0.1702,2,3,56.3,0.1915,1.5,-5.0191,3,2,0.3333,,10.0687,10.0687,0.0896,0.9,3.9,2.4,5.4,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,1,10,0.766,,,,,,,1,0.1667,,,
Josh Oliver,MIN,TE,46,Yes,Yes,Yes,37,11,No,2,No,10,0.9091,,0.2973,9,0.8182,93,56,12,46,0.1892,0.1081,6,4.1818,141.5,2.5135,8.4545,1.9652,10.3333,6.2222,1.3333,6,17.5924,17.5924,0.2391,21.3,30.3,25.8,30.3,34.8,30.3,25.8,30.3,30.3,30.3,25.8,34.8,30.3,3,15,,1,,,0.7027,2,,,,,,
Nick Chubb,HST,RB,84,No,Yes,Yes,59,12,Yes,1,Yes,8,0.6667,,0.2034,6,0.5,41,15,7,44,,0.0678,2,3.6667,58,0.6949,3.4167,-3.294,6.8333,2.5,1.1667,,16.9708,16.9708,0.1429,4.1,10.1,7.1,13.1,10.1,10.1,7.1,10.1,10.1,10.1,7.1,10.1,10.1,1,15,0.9322,1,,,,,,2,0.1667,,,
Michael Carter,ARZ,RB,111,No,No,No,91,24,No,,Yes,19,0.7917,,0.2637,16,0.6667,144,112,35,53,0.044,0.0549,2,2.2083,82.6,1.5824,6,-0.326,9,7,2.1875,6,33.772,33.772,0.2162,14.4,30.4,22.4,38.4,30.4,33.4,25.4,30.4,30.4,30.4,22.4,30.4,30.4,3,13,0.9011,,3,0.1875,,,,3,0.125,,,
Tyjae Spears,TEN,RB,71,No,Yes,No,56,12,No,1,No,11,0.9167,,0.2143,11,0.9167,93,62,7,33,0.0893,0.0179,4,2.75,99,1.6607,7.75,1.1929,8.4545,5.6364,0.6364,2,18.5831,18.5831,0.169,9.3,20.3,14.8,25.8,20.3,20.3,14.8,20.3,20.3,20.3,14.8,20.3,20.3,,13,0.8929,1,5,0.4545,,,,,,,,
Isaiah Davis,NYJ,RB,84,No,No,No,66,15,No,1,Yes,12,0.8,,0.2273,10,0.6667,119,83,18,56,0.0455,0.0455,4,3.7333,90.7,1.803,7.9333,1.1561,11.9,8.3,1.8,5,21.3872,21.3872,0.1786,11.9,21.9,16.9,26.9,21.9,24.9,19.9,21.9,21.9,21.9,16.9,21.9,21.9,1,16,0.9091,,2,0.2,,,,1,0.0667,,,
Colby Parkinson,LA,TE,128,No,No,No,99,27,No,3,Yes,26,0.963,1,0.2727,24,0.8889,237,133,41,123,0.1313,0.2323,14,4.5556,142.8,2.3939,8.7778,2.1996,9.875,5.5417,1.7083,16,46.2312,46.2312,0.2109,47.7,71.7,59.7,71.7,83.7,74.7,62.7,71.7,71.7,71.7,59.7,83.7,71.7,9,15,,3,3,0.125,0.6364,4,1,2,0.0741,,,
Isaiah Bond,CLV,WR,113,No,Yes,No,112,9,No,2,No,7,0.7778,,0.0804,4,0.4444,22,3,,39,0.4286,0.5714,8,4.3333,51.6,0.1964,2.4444,-3.6967,5.5,0.75,,1,15.1183,15.1183,0.0796,2.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,1,16,,1,,,,,,,,,,
Rome Odunze,CHI,WR,146,No,No,Yes,142,32,No,5,No,26,0.8125,4,0.2254,25,0.7812,299,169,48,190,0.3662,0.6338,26,5.9375,136.8,2.1056,9.3438,2.5898,11.96,6.76,1.92,20,59.9949,59.9949,0.2192,47.9,72.9,60.4,72.9,72.9,75.9,63.4,72.9,72.9,72.9,60.4,72.9,72.9,6,12,,4,3,0.12,,3,2,1,0.0312,,,
Brenden Bates,CLV,TE,9,No,Yes,No,8,2,No,1,No,2,1,,0.25,2,1,10,2,1,8,,,1,4,87.5,1.25,5,-1.4009,5,1,0.5,1,2.7147,2.7147,0.2222,1,3,2,3,4,3,2,3,3,3,2,4,3,,9,,1,,,1,,,,,,,
Jacory Croskey-Merritt,WAS,RB,41,No,Yes,No,28,5,No,,Yes,4,0.8,,0.1786,4,0.8,42,28,14,16,0.1071,0.0357,1,3.2,101.7,1.5,8.4,1.7613,10.5,7,3.5,1,7.1886,7.1886,0.122,4.2,8.2,6.2,10.2,8.2,8.2,6.2,8.2,8.2,8.2,6.2,8.2,8.2,,17,0.8571,,,,,,,,,,,
Josh Downs,IND,WR,156,No,No,No,151,60,No,10,Yes,51,0.85,1,0.3974,43,0.7167,308,89,51,267,0.8344,0.1656,53,4.45,92.9,2.0397,5.1333,-1.1455,7.1628,2.0698,1.186,23,89.9728,89.9728,0.3846,48.8,91.8,70.3,91.8,91.8,94.8,73.3,91.8,91.8,91.8,70.3,91.8,91.8,12,16,,5,5,0.1163,,3,1,5,0.0833,,,
Tetairoa McMillan,CAR,WR,188,Yes,No,Yes,186,49,No,9,Yes,43,0.8776,,0.2634,33,0.6735,281,95,38,275,0.2366,0.7634,41,5.6122,80.4,1.5108,5.7347,-0.8443,8.5152,2.8788,1.1515,20,75.5516,75.5516,0.2606,34.1,67.1,50.6,67.1,67.1,70.1,53.6,67.1,67.1,67.1,50.6,67.1,67.1,7,17,,3,5,0.1515,,1,,6,0.1224,,,
Khalil Herbert,NYJ,RB,13,Yes,No,No,6,,No,,Yes,,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.8333,,,,,,,,,,,
Quinshon Judkins,CLV,RB,75,Yes,Yes,No,61,17,No,3,Yes,17,1,,0.2787,14,0.8235,97,65,25,40,0.0328,0.0656,4,2.3529,65.9,1.5902,5.7059,-0.6579,6.9286,4.6429,1.7857,4,27.7524,27.7524,0.2267,9.7,23.7,16.7,30.7,23.7,23.7,16.7,23.7,23.7,23.7,16.7,23.7,23.7,1,14,0.8689,2,,,0.0328,,,1,0.0588,1,0.0588,
Devaughn Vele,NO,WR,81,No,No,No,77,11,No,1,Yes,8,0.7273,1,0.1429,8,0.7273,65,21,4,64,0.3636,0.5844,9,5.8182,117.6,0.8442,5.9091,-0.7532,8.125,2.625,0.5,5,22.7492,22.7492,0.1358,12.5,20.5,16.5,20.5,20.5,20.5,16.5,20.5,20.5,20.5,16.5,20.5,20.5,1,13,,1,,,0.0519,1,1,,,,,
Tyler Allgeier,ATL,RB,54,No,No,No,41,4,No,,Yes,4,1,,0.0976,4,1,18,6,2,12,0.0244,0.122,1,3,85.4,0.439,4.5,-2.0189,4.5,1.5,0.5,1,7.608,7.608,0.0741,1.8,5.8,3.8,7.8,5.8,5.8,3.8,5.8,5.8,5.8,3.8,5.8,5.8,1,17,0.8537,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,30,No,No,No,30,4,No,1,Yes,4,1,,0.1333,3,0.75,34,17,5,19,0.1333,0.8667,4,4.75,60.4,1.1333,8.5,2.278,11.3333,5.6667,1.6667,2,6.1822,6.1822,0.1333,3.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,,10,,1,1,0.3333,,,,1,0.25,,,
Foster Moreau,NO,TE,30,No,No,No,30,7,Yes,,Yes,5,0.7143,,0.2333,5,0.7143,47,26,12,29,0.2667,0.0667,6,4.1429,50,1.5667,6.7143,0.1131,9.4,5.2,2.4,2,10.4691,10.4691,0.2333,4.7,9.7,7.2,9.7,12.2,9.7,7.2,9.7,9.7,9.7,7.2,12.2,9.7,1,11,,,,,0.6667,,,,,,,
Trayveon Williams,CLV,RB,17,No,Yes,No,11,,No,,No,,,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.6364,,,,0.2727,,,,,,,
Isaiah Hodgins,NYG,WR,67,No,No,No,63,6,No,2,No,4,0.6667,,0.0952,4,0.6667,20,2,,29,0.4127,0.5714,5,4.8333,71.5,0.3175,3.3333,-3.0684,5,0.5,,1,10.8448,10.8448,0.0896,2,6,4,6,6,6,4,6,6,6,4,6,6,1,7,,2,,,0.0159,,,,,,,
Devin Singletary,NYG,RB,40,No,No,No,29,2,No,1,No,2,1,,0.069,2,1,14,10,3,4,0.069,0.3103,,2,95.8,0.4828,7,0.8806,7,5,1.5,,4.0621,4.0621,0.05,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,17,0.6207,1,,,,,,,,,,
Gage Larvadain,CLV,WR,54,No,Yes,No,53,9,No,1,No,9,1,,0.1698,6,0.6667,57,28,6,39,0.3962,0.6038,9,4.3333,84,1.0755,6.3333,0.2164,9.5,4.6667,1,3,12.6998,12.6998,0.1667,5.7,11.7,8.7,11.7,11.7,11.7,8.7,11.7,11.7,11.7,8.7,11.7,11.7,,13,,,2,0.3333,,,,2,0.2222,,,
David Sills,ATL,WR,115,No,No,No,115,14,No,3,Yes,12,0.8571,,0.1217,11,0.7857,98,38,17,70,0.4522,0.5478,6,5,95.8,0.8522,7,0.6403,8.9091,3.4545,1.5455,3,19.6478,19.6478,0.1217,9.8,20.8,15.3,20.8,20.8,20.8,15.3,20.8,20.8,20.8,15.3,20.8,20.8,2,17,,2,,,,,,,,,,
Zamir White,LV,RB,16,No,No,No,8,2,No,,Yes,1,0.5,,0.25,1,0.5,4,3,1,2,,,,1,56.3,0.5,2,-3.7294,4,3,1,,2.6307,2.6307,0.125,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,5,1,,,,,,,,,,,
Ameer Abdullah,IND,RB,31,No,No,No,28,7,No,1,Yes,7,1,,0.25,7,1,55,39,15,16,0.0357,0.1071,3,2.2857,99.4,1.9643,7.8571,1.6168,7.8571,5.5714,2.1429,1,9.8554,9.8554,0.2258,5.5,12.5,9,16,12.5,12.5,9,12.5,12.5,12.5,9,12.5,12.5,1,13,0.8571,1,2,0.2857,,,,,,,,
Jauan Jennings,SF,WR,182,No,No,No,179,40,No,13,Yes,35,0.875,3,0.2235,31,0.775,244,90,53,205,0.2905,0.7095,37,5.125,115,1.3631,6.1,-0.3133,7.871,2.9032,1.7097,15,71.9397,71.9397,0.2198,47.4,78.4,62.9,78.4,78.4,81.4,64.9,77.4,77.4,77.4,61.9,78.4,77.4,9,15,,10,4,0.129,,4,2,2,0.05,,,
Teagan Quitoriano,ATL,TE,5,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,1,,,,,,,
Tanner Conner,MIA,TE,35,No,No,No,32,4,Yes,1,Yes,4,1,,0.125,3,0.75,27,14,2,19,0.4688,0.2188,1,4.75,92.7,0.8438,6.75,-0.009,9,4.6667,0.6667,1,5.9575,5.9575,0.1143,2.7,5.7,4.2,5.7,7.2,5.7,4.2,5.7,5.7,5.7,4.2,7.2,5.7,1,9,,1,,,0.3125,,,1,0.25,,,
Quintin Morris,JAX,TE,27,No,Yes,No,22,4,No,,No,4,1,,0.1818,4,1,30,18,4,12,0.2273,0.1818,3,3,137.5,1.3636,7.5,1.3269,7.5,4.5,1,2,7.2299,7.2299,0.1481,9,13,11,13,15,13,11,13,13,13,11,15,13,1,13,0.0455,,,,0.5455,1,,,,,,
Ashton Dulin,IND,WR,27,No,No,No,25,2,No,,Yes,2,1,,0.08,2,1,59,47,19,12,0.12,0.84,2,6,118.8,2.36,29.5,22.5509,29.5,23.5,9.5,2,2.7967,2.7967,0.0741,5.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,,12,,,,,0.04,,,,,,,
Ja'Tavion Sanders,CAR,TE,81,No,Yes,Yes,76,22,No,1,Yes,22,1,,0.2895,21,0.9545,151,55,29,103,0.6316,0.1711,17,4.6818,95.3,1.9868,6.8636,0.2995,7.1905,2.619,1.381,6,34.8739,34.8739,0.2716,15.1,36.1,25.6,36.1,46.6,39.1,28.6,36.1,36.1,36.1,25.6,46.6,36.1,6,13,,1,3,0.1429,0.1974,,,1,0.0455,,,
Jahdae Walker,CHI,WR,27,No,No,No,27,3,No,,Yes,2,0.6667,1,0.1111,2,0.6667,22,8,1,21,0.2593,0.7407,2,7,88.2,0.8148,7.3333,0.1586,11,4,0.5,,5.8374,5.8374,0.1111,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,1,7,,,,,,,,,,,,
Moliki Matavao,NO,TE,8,No,No,No,7,1,No,1,Yes,1,1,,0.1429,1,1,4,,,4,0.5714,,1,4,83.3,0.5714,4,-2.0667,4,,,,1.3399,1.3399,0.125,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,6,,1,,,0.4286,,,,,,,
Tahj Washington,MIA,WR,10,No,Yes,Yes,10,2,No,,No,2,1,,0.2,2,1,18,9,3,9,0.4,0.6,2,4.5,104.2,1.8,9,2.7937,9,4.5,1.5,,2.8251,2.8251,0.2,0.8,2.8,1.8,2.8,2.8,2.8,0.8,1.8,1.8,1.8,0.8,2.8,1.8,1,6,,,,,,,,,,,,
Dareke Young,SEA,WR,8,No,No,No,8,1,No,1,Yes,,,,0.125,,,,,,8,0.125,0.875,1,8,39.6,,,-7.5106,,,,,1.5587,1.5587,0.125,,,,,,,,,,,,,,,9,,,,,,,,,,,,
Mack Hollins,NE,WR,127,No,No,No,125,29,No,3,Yes,25,0.8621,2,0.232,25,0.8621,179,47,15,164,0.216,0.752,25,5.6552,89.5,1.432,6.1724,-0.4985,7.16,1.88,0.6,10,48.5642,48.5642,0.2283,23.9,48.9,36.4,48.9,48.9,51.9,39.4,48.9,48.9,48.9,36.4,48.9,48.9,4,15,,3,2,0.08,0.032,1,1,,,,,
Juwan Johnson,NO,TE,220,No,No,No,217,55,No,11,Yes,50,0.9091,,0.2535,44,0.8,351,151,50,254,0.6175,0.1613,44,4.6182,99.3,1.6175,6.3818,-0.2359,7.9773,3.4318,1.1364,20,78.9389,78.9389,0.25,40.1,84.1,62.1,84.1,106.1,87.1,64.1,83.1,83.1,83.1,61.1,106.1,83.1,2,17,0.0092,8,4,0.0909,0.212,1,,3,0.0545,1,0.0182,1
David Montgomery,DET,RB,95,No,No,No,62,15,No,1,Yes,12,0.8,,0.2419,12,0.8,123,89,36,50,,0.0323,2,3.3333,100.8,1.9839,8.2,1.5507,10.25,7.4167,3,7,21.4865,21.4865,0.1613,16.42,28.42,22.42,34.42,28.42,31.42,25.42,28.42,28.42,28.42,22.42,28.45,28.45,2,17,0.9677,1,4,0.3333,,,,,,,,
Andrew Ogletree,IND,TE,31,No,Yes,Yes,20,4,No,2,No,4,1,,0.2,3,0.75,23,8,4,20,0.25,0.15,2,5,88.5,1.15,5.75,-0.8974,7.6667,2.6667,1.3333,1,5.5278,5.5278,0.129,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,1,15,,1,,,0.6,,,,,,,
Jaylen Warren,PIT,RB,78,No,No,Yes,58,9,No,,Yes,7,0.7778,,0.1552,7,0.7778,107,86,61,26,,0.0345,1,2.8889,153.2,1.8448,11.8889,5.3009,15.2857,12.2857,8.7143,5,14.7591,14.7591,0.1154,16.7,23.7,20.2,27.2,23.7,26.7,23.2,23.7,23.7,23.7,20.2,23.7,23.7,2,16,0.8621,,4,0.5714,0.1034,1,,,,,,
Kendrick Bourne,SF,WR,150,No,No,No,149,23,No,6,Yes,21,0.913,,0.1544,18,0.7826,186,90,65,117,0.2349,0.7651,17,5.087,82.2,1.2483,8.087,1.6361,10.3333,5,3.6111,10,34.8365,34.8365,0.1533,18.6,36.6,27.6,36.6,36.6,39.6,30.6,36.6,36.6,36.6,27.6,36.6,36.6,2,16,,4,3,0.1667,,,,2,0.087,,,
Hassan Haskins,LAC,RB,28,No,No,No,20,2,No,,Yes,2,1,,0.1,2,1,11,8,2,3,0.1,0.1,,1.5,89.6,0.55,5.5,-0.562,5.5,4,1,,2.5506,2.5506,0.0714,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,11,0.8,,,,,,,,,,,
Jack Bech,LV,WR,82,No,No,No,80,18,No,5,Yes,17,0.9444,,0.225,15,0.8333,120,39,19,92,0.2125,0.775,13,5.1111,71.3,1.5,6.6667,0.2392,8,2.6,1.2667,6,30.6132,30.6132,0.2195,12,27,19.5,27,27,30,22.5,27,27,27,19.5,27,27,3,16,,3,1,0.0667,0.0125,,,1,0.0556,,,
Kevin Austin,NO,WR,53,No,No,No,52,10,No,1,Yes,10,1,,0.1923,6,0.6,45,22,6,43,0.4231,0.5769,9,4.3,70.8,0.8654,4.5,-1.5836,7.5,3.6667,1,3,20.3072,20.3072,0.1887,4.5,10.5,7.5,10.5,10.5,10.5,7.5,10.5,10.5,10.5,7.5,10.5,10.5,1,8,,,1,0.1667,,,,3,0.3,,,
