Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Pierre Strong,CLV,RB,6,,,,,
Dameon Pierce,HST,RB,2,,,,,
Blake Corum,LA,RB,2,,,,,
Breece Hall,NYJ,RB,15,,,,,
Trent Sherfield,MIN,WR,4,,,,,
Jha'Quan Jackson,TEN,WR,3,,,,,
Tyquan Thornton,NE,WR,4,2,,,56,
Tutu Atwell,LA,WR,21,9,5,72,112,5
Justin Shorter,LV,TE,3,,,,,
Amon-Ra St. Brown,DET,WR,53,28,23,352,339,118
David Moore,CAR,WR,18,8,5,64,98,4
Charlie Woerner,ATL,TE,3,,,,,
Mason Kinsey,TEN,WR,6,,,,,
Josh Palmer,LAC,WR,20,5,5,86,65,21
Antonio Gibson,NE,RB,7,1,1,11,9,2
Jonnu Smith,MIA,TE,8,2,2,30,29,1
Harrison Bryant,LV,TE,5,,,,,
Tylan Wallace,BLT,WR,6,1,1,12,10,2
Braelon Allen,NYJ,RB,6,,,,,
Josiah Deguara,JAX,TE,1,,,,,
Adam Thielen,CAR,WR,19,5,4,61,50,15
Elijah Higgins,ARZ,TE,8,3,3,41,29,12
Chris Manhertz,NYG,TE,1,,,,,
Blake Whiteheart,CLV,TE,7,1,,,6,
Erik Ezukanma,MIA,WR,1,,,,,
Emanuel Wilson,GB,RB,12,,,,,
Quentin Johnston,LAC,WR,20,6,4,69,86,10
Johnny Wilson,PHI,WR,11,3,1,9,23,3
Deuce Vaughn,DAL,RB,1,,,,,
Jeff Wilson,MIA,RB,1,,,,,
Kenny McIntosh,SEA,RB,1,,,,,
Kameron Johnson,TB,WR,3,,,,,
Dyami Brown,WAS,WR,13,4,2,43,58,7
Garrett Wilson,NYJ,WR,30,11,3,46,149,8
Brandon Powell,MIN,WR,4,,,,,
Kareem Hunt,KC,RB,7,,,,,
Derrick Henry,BLT,RB,11,,,,,
Ty Johnson,BUF,RB,6,,,,,
Van Jefferson,PIT,WR,7,,,,,
Rachaad White,TB,RB,16,,,,,
Cam Grandy,CIN,TE,1,,,,,
Elijah Moore,CLV,WR,27,6,2,14,60,2
