Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Justin Jefferson,MIN,WR,170,No,Yes,Yes,167,42,No,No,14,0.3333,0.2515,586,6,0.006,0.2814,0.7126,34,,,13.9524,39.6,-9.0059,0.1429,118.0788,118.0788,0.3443,9,17,9,9,6,
Ryan Miller,TB,WR,34,No,Yes,Yes,32,7,No,Yes,5,0.7143,0.2188,88,1,,0.5312,0.4688,6,,,12.5714,39.6,-8.5868,0.1429,13.4105,13.4105,0.2258,1,11,2,,1,
Rashid Shaheed,NO,WR,47,No,No,No,45,16,No,No,6,0.375,0.3556,383,1,,0.2667,0.7333,15,,,23.9375,39.6,-11.074,0.0625,33.6427,33.6427,0.4324,2,6,5,2,8,
Greg Dulcich,NYG,TE,42,No,Yes,No,41,7,No,No,2,0.2857,0.1707,52,2,,0.4146,0.2439,5,,,7.4286,39.6,-7.4318,0.2857,12.7621,12.7621,0.1842,1,9,,,1,0.3415
Craig Reynolds,DET,RB,9,No,Yes,Yes,6,1,No,No,,,0.1667,3,,0.8333,,0.1667,,,,3,39.6,-6.5094,,1.4274,1.4274,0.1429,,14,,,,
Johnny Mundt,MIN,TE,61,No,Yes,Yes,57,5,No,No,3,0.6,0.0877,39,1,,0.3333,0.2281,2,,,7.8,39.6,-8.1369,0.2,11.0727,11.0727,0.1163,2,17,,1,,0.4386
Durham Smythe,MIA,TE,44,No,Yes,No,26,8,No,No,6,0.75,0.3077,76,4,,0.4615,0.0769,4,,,9.5,39.6,-8.152,0.5,14.7879,14.7879,0.2105,2,17,2,2,1,0.4615
Xavier Legette,CAR,WR,135,No,No,No,128,32,Yes,Yes,14,0.4375,0.25,625,9,,0.2812,0.7188,25,2,0.0625,19.5312,39.6,-10.1303,0.2812,66.1438,66.1438,0.2883,4,16,6,5,15,
J.J. Taylor,HST,RB,7,No,No,Yes,4,1,No,No,1,1,0.25,-5,1,0.75,,0.25,1,1,1,-5,39.6,-5.8711,1,1.2596,1.2596,0.1429,,4,,,,
Brandon Johnson,PIT,WR,1,No,Yes,No,1,,No,No,,,,,,,,1,,,,,,,,,,,,3,,,,
