Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Steven Sims,BLT,WR,2,No,No,No,2,No,No,,9,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,55,No,No,No,44,No,Yes,,12,0.4091,0.4091,0.1818,13,16,14.5,16,17.5,16,14.5,16,16,16,14.5,17.5,16,5,1,3,0.6,1,0.1136,3,0.6,70,21,6,79,,2,15.8,104.2,1.5909,14,3.6859,,23.3333,7,2,3,12.0806,12.0806,0.0909,1,1,,1,1,,,,
Jase McClellan,ATL,RB,1,No,No,No,1,No,Yes,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,152,No,No,No,152,No,Yes,0.0132,17,,0.3289,0.6579,98.3,127.3,112.8,127.3,127.3,130.3,115.8,127.3,127.3,127.3,112.8,127.3,127.3,47,5,34,0.7234,10,0.3092,29,0.617,563,174,73,648,2,35,13.7872,134.1,3.7039,11.9787,2.333,0.0426,19.4138,6,2.5172,28,104.7383,104.7383,0.3092,14,2,2,7,4,5,0.1724,,
D'Andre Swift,CHI,RB,60,No,No,No,44,No,Yes,0.8409,17,,0.0227,0.1364,,,,,,,,,,,,,,2,,,,,0.0455,,,,,,38,,1,19,,,,-8.3333,,,,,,3.5256,3.5256,0.0333,,,,,,,,,
Adam Trautman,DEN,TE,44,Yes,No,No,24,No,Yes,0.0417,17,0.5833,0.2083,0.1667,12.7,15.7,14.2,15.7,17.2,15.7,14.2,15.7,15.7,15.7,14.2,17.2,15.7,3,,3,1,1,0.125,3,1,67,23,-1,50,,3,16.6667,158.3,2.7917,22.3333,11.4807,,22.3333,7.6667,-0.3333,3,7.7065,7.7065,0.0682,1,,,1,1,,,,
Ben Sims,GB,TE,12,No,No,No,11,No,Yes,,16,0.8182,0.0909,0.0909,2.8,3.8,3.3,3.8,4.3,3.8,3.3,3.8,3.8,3.8,3.3,4.3,3.8,2,,1,0.5,1,0.1818,1,0.5,28,10,,34,,,17,95.8,2.5455,14,2.4179,,28,10,,1,6.0749,6.0749,0.1667,1,,,,,,,,
DeAndre Carter,CHI,WR,9,No,No,No,9,Yes,Yes,,13,,0.4444,0.5556,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,1,,1,1,,0.1111,1,1,14,,,14,,1,14,118.8,1.5556,14,4.1866,,14,,,1,1.3132,1.3132,0.1111,,,,,,,,,
Robbie Chosen,MIA,WR,8,No,Yes,No,8,No,Yes,,2,,0.25,0.75,,,,,,,,,,,,,,3,,1,0.3333,2,0.375,,,,,,44,,3,14.6667,,,,-10.0252,,,,,,6.026,6.026,0.375,2,,,,,,,,
Kayshon Boutte,NE,WR,64,No,No,No,64,No,No,,15,,0.0938,0.9062,15.9,24.9,20.4,24.9,24.9,27.9,23.4,24.9,24.9,24.9,20.4,24.9,24.9,17,1,11,0.6471,1,0.2656,9,0.5294,159,41,17,239,2,12,14.0588,60.7,2.4844,9.3529,-0.5267,0.1176,17.6667,4.5556,1.8889,8,37.8878,37.8878,0.2656,1,1,,,,1,0.1111,,
Hunter Long,LA,TE,13,Yes,Yes,Yes,10,No,No,,17,0.9,0.1,,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,1,,1,1,,0.1,1,1,18,8,4,10,,,10,118.8,1.8,18,10.2315,,18,8,4,1,3.2896,3.2896,0.0769,,,,,,,,,
Hunter Henry,NE,TE,69,No,No,No,61,No,No,,16,0.4426,0.4754,0.082,20.2,30.2,25.2,30.2,35.2,33.2,28.2,30.2,30.2,30.2,25.2,35.2,30.2,16,5,13,0.8125,3,0.2623,10,0.625,142,35,6,190,1,12,11.875,112,2.3279,8.875,-0.0105,0.0625,14.2,3.5,0.6,9,32.4356,32.4356,0.2319,4,3,,1,1,,,,
Nelson Agholor,BLT,WR,43,No,No,No,43,No,Yes,,14,0.0698,0.5349,0.3953,23.2,31.2,27.2,31.2,31.2,34.2,30.2,31.2,31.2,31.2,27.2,31.2,31.2,9,2,9,1,2,0.2093,8,0.8889,112,28,12,110,,9,12.2222,158.1,2.6047,12.4444,3.6603,,14,3.5,1.5,7,18.5195,18.5195,0.2093,2,1,,2,2,,,,
Jakobi Meyers,LV,WR,87,No,No,No,86,Yes,Yes,,15,,0.3372,0.6628,35.8,54.8,45.3,54.8,54.8,57.8,48.3,54.8,54.8,54.8,45.3,54.8,54.8,35,9,22,0.6286,2,0.407,19,0.5429,298,44,16,497,1,27,14.2,80.4,3.4651,8.5143,-1.2735,0.0286,15.6842,2.3158,0.8421,18,64.3921,64.3921,0.4023,3,6,1,1,1,,,,
Gabe Davis,JAX,WR,50,No,No,Yes,50,No,No,,10,,0.22,0.78,8.3,13.3,10.8,13.3,13.3,13.3,9.8,12.3,12.3,12.3,9.8,13.3,12.3,20,4,10,0.5,6,0.4,5,0.25,93,16,3,296,1,14,14.8,25.6,1.86,4.65,-5.3151,0.05,18.6,3.2,0.6,4,43.9217,43.9217,0.4,7,1,,,,2,0.4,,
Dalton Kincaid,BUF,TE,51,No,Yes,No,48,No,Yes,,13,0.1667,0.6667,0.1667,17.7,23.7,20.7,23.7,26.7,26.7,23.7,23.7,23.7,23.7,20.7,26.7,23.7,18,1,7,0.3889,3,0.375,6,0.3333,117,35,10,273,1,10,15.1667,75.5,2.4375,6.5,-4.1713,0.0556,19.5,5.8333,1.6667,6,41.0367,41.0367,0.3529,4,,,1,1,1,0.1667,,
D.J. Turner,LV,WR,28,No,No,No,27,Yes,Yes,,12,,0.6667,0.3333,7.1,8.1,7.6,8.1,8.1,8.1,7.6,8.1,8.1,8.1,7.6,8.1,8.1,2,1,1,0.5,1,0.0741,1,0.5,11,,,25,,1,12.5,106.3,0.4074,5.5,-3.4803,,11,,,1,5.525,5.525,0.0714,1,1,,1,1,,,,
Jahmyr Gibbs,DET,RB,73,No,Yes,Yes,61,No,No,0.8197,17,,0.082,0.0984,,,,,,,,,,,,,,2,,,,,0.0328,,,,,,30,,1,15,39.6,,,-9.2947,,,,,,2.8714,2.8714,0.0274,1,,,,,,,,
Odell Beckham,MIA,WR,27,No,Yes,No,27,Yes,Yes,,9,,0.4074,0.5926,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,6,,2,0.3333,1,0.2222,1,0.1667,11,1,,83,1,5,13.8333,39.6,0.4074,1.8333,-7.8787,0.1667,11,1,,1,12.1418,12.1418,0.2222,1,,,,,,,,
Ian Thomas,CAR,TE,7,No,No,No,2,No,Yes,,5,1,,,,,,,,,,,,,,,,1,,,,,0.5,,,,,,17,,,17,,,,-11.6807,,,,,,1.5826,1.5826,0.1429,,,,,,,,,
Zay Flowers,BLT,WR,103,No,No,No,103,No,No,,17,,0.2913,0.7087,58.8,83.8,71.3,83.8,83.8,86.8,74.3,83.8,83.8,83.8,71.3,83.8,83.8,40,5,28,0.7,4,0.3883,25,0.625,408,48,34,610,1,29,15.25,121.7,3.9612,10.2,0.0063,0.025,16.32,1.92,1.36,25,85.8932,85.8932,0.3883,5,2,,3,2,4,0.16,,
Cody White,SEA,WR,5,No,No,No,5,No,Yes,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tay Martin,TEN,WR,1,No,No,Yes,1,No,Yes,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,91,Yes,No,No,91,No,No,,16,,0.2637,0.7363,34.4,45.4,39.9,45.4,45.4,48.4,41.9,44.4,44.4,44.4,38.9,45.4,44.4,17,3,12,0.7059,3,0.1868,11,0.6471,174,36,12,244,1,14,14.3529,138.2,1.9121,10.2353,0.4279,0.0588,15.8182,3.2727,1.0909,8,39.068,39.068,0.1868,3,3,2,3,3,,,,
Simi Fehoko,LAC,WR,29,No,No,No,29,No,Yes,,8,,0.069,0.931,6.7,10.7,8.7,10.7,10.7,10.7,8.7,10.7,10.7,10.7,8.7,10.7,10.7,10,2,4,0.4,1,0.3448,4,0.4,67,14,6,138,,6,13.8,63.3,2.3103,6.7,-2.806,,16.75,3.5,1.5,4,18.3508,18.3508,0.3448,1,1,,,,,,,
Eric Tomlinson,LAC,TE,7,No,No,No,5,No,Yes,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,54,No,No,Yes,53,No,Yes,0.0189,16,,0.3396,0.6415,6.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,8,,4,0.5,1,0.1509,4,0.5,62,4,1,122,,3,15.25,76,1.1698,7.75,-2.3746,,15.5,1,0.25,3,16.4043,16.4043,0.1481,1,,3,,,,,,
Ezekiel Elliott,DAL,RB,29,Yes,No,No,22,No,Yes,0.7727,15,,0.1818,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Smartt,LAC,TE,21,No,No,No,21,Yes,Yes,,14,0.3333,0.4762,0.1905,7.8,11.8,9.8,11.8,13.8,11.8,9.8,11.8,11.8,11.8,9.8,13.8,11.8,7,2,6,0.8571,,0.3333,4,0.5714,78,16,4,114,1,5,16.2857,96.1,3.7143,11.1429,-0.0163,0.1429,19.5,4,1,4,14.8807,14.8807,0.3333,,2,,,,,,,
T.J. Hockenson,MIN,TE,56,No,Yes,Yes,54,No,No,,10,0.463,0.4074,0.1296,16.1,24.1,20.1,24.1,28.1,27.1,23.1,24.1,24.1,24.1,20.1,28.1,24.1,14,3,11,0.7857,1,0.2593,8,0.5714,161,43,16,204,1,9,14.5714,97.6,2.9815,11.5,1.4801,0.0714,20.125,5.375,2,8,26.2593,26.2593,0.25,1,1,,,,,,,
Tim Patrick,DET,WR,55,No,Yes,Yes,54,No,No,,16,,0.2778,0.7222,8,12,10,12,12,12,10,12,12,12,10,12,12,8,1,5,0.625,,0.1481,4,0.5,80,13,11,136,,6,17,45.8,1.4815,10,-0.8712,,20,3.25,2.75,4,18.2358,18.2358,0.1455,,,,,,1,0.25,,
Brian Thomas,JAX,WR,109,No,Yes,No,109,Yes,Yes,0.0092,17,,0.3119,0.6789,43.1,61.1,52.1,61.1,61.1,64.1,55.1,61.1,61.1,61.1,52.1,61.1,61.1,32,2,24,0.75,4,0.2936,18,0.5625,311,69,16,433,4,26,13.5312,97.3,2.8532,9.7188,0.3368,0.125,17.2778,3.8333,0.8889,17,62.2634,62.2634,0.2936,4,1,,2,2,1,0.0556,,
DeAndre Hopkins,KC,WR,73,No,Yes,No,72,No,Yes,,16,,0.2361,0.7639,29.2,45.2,37.2,45.2,45.2,48.2,40.2,45.2,45.2,45.2,37.2,45.2,45.2,25,3,18,0.72,4,0.3472,16,0.64,232,33,3,345,1,20,13.8,107.4,3.2222,9.28,-0.7514,0.04,14.5,2.0625,0.1875,14,54.656,54.656,0.3425,4,1,1,1,1,,,,
Josh Reynolds,JAX,WR,37,No,Yes,No,37,Yes,Yes,,9,,0.1892,0.8108,9.3,12.3,10.8,12.3,12.3,12.3,10.8,12.3,12.3,12.3,10.8,12.3,12.3,9,1,4,0.4444,2,0.2432,3,0.3333,33,-3,-2,125,,8,13.8889,82.2,0.8919,3.6667,-6.1727,,11,-1,-0.6667,2,19.4523,19.4523,0.2432,2,,,1,1,,,,
Noah Gray,KC,TE,53,Yes,No,No,46,No,Yes,0.087,17,0.6304,0.1304,0.1522,27.3,36.3,31.8,36.3,40.8,39.3,34.8,36.3,36.3,36.3,31.8,40.8,36.3,11,2,9,0.8182,3,0.2391,9,0.8182,153,40,7,155,,6,14.0909,118.8,3.3261,13.9091,3.8339,,17,4.4444,0.7778,8,26.8919,26.8919,0.2075,3,2,,2,2,1,0.1111,,
Jonathan Taylor,IND,RB,67,No,Yes,No,49,Yes,Yes,0.9388,14,,,0.0612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,40,Yes,No,No,39,No,Yes,,16,,0.359,0.641,8.1,10.1,9.1,10.1,10.1,10.1,9.1,10.1,10.1,10.1,9.1,10.1,10.1,5,,2,0.4,1,0.1282,2,0.4,21,4,,72,,5,14.4,52.9,0.5385,4.2,-5.5896,,10.5,2,,2,11.1203,11.1203,0.125,1,,,1,1,,,,
Javon Baker,NE,WR,6,No,No,No,5,No,No,,10,,0.2,0.8,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,3,,1,0.3333,,0.6,1,0.3333,12,-1,,48,,2,16,46.5,2.4,4,-6.493,,12,-1,,1,5.4,5.4,0.5,,,,,,,,,
Laquon Treadwell,IND,WR,2,No,No,No,2,No,No,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant DuBose,MIA,WR,9,No,Yes,No,8,No,Yes,,3,,0.5,0.5,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2,,1,0.5,,0.25,1,0.5,13,1,,28,,2,14,70.8,1.625,6.5,-3.0706,,13,1,,1,5.4542,5.4542,0.2222,,,,,,,,,
Tim Jones,JAX,WR,12,No,Yes,No,12,Yes,Yes,,16,,0.5,0.5,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,1,,1,1,,0.0833,1,1,11,1,1,10,,,10,112.5,0.9167,11,3.5,,11,1,1,1,1.3316,1.3316,0.0833,,,,,,,,,
Tyler Goodson,IND,RB,15,No,Yes,No,13,Yes,Yes,0.8462,16,,0.0769,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,SF,RB,49,No,No,No,41,Yes,Yes,0.8049,12,0.0488,0.0732,0.0732,,,,,,,,,,,,,,1,,,,,0.0244,,,,,,18,,,18,39.6,,,-9.2121,,,,,,1.6833,1.6833,0.0204,,,,,,,,,
Feleipe Franks,CAR,TE,2,No,No,No,2,No,Yes,,15,0.5,0.5,,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,3,1,2,0.6667,,1.5,1,0.3333,12,1,,44,,2,14.6667,46.5,6,4,-6.7842,,12,1,,1,5.093,5.093,1.5,,,,,,,,,
Tre Tucker,LV,WR,87,No,No,No,86,Yes,Yes,,17,,0.2558,0.7442,17.5,26.5,22,26.5,26.5,29.5,25,26.5,26.5,26.5,22,26.5,26.5,20,4,10,0.5,1,0.2326,9,0.45,115,13,3,252,,16,12.6,59.4,1.3372,5.75,-3.2983,,12.7778,1.4444,0.3333,9,35.8835,35.8835,0.2299,2,2,,1,1,1,0.1111,,
Michael Pittman,IND,WR,110,No,Yes,No,108,Yes,Yes,,16,,0.2407,0.7593,54.1,78.1,66.1,78.1,78.1,81.1,69.1,78.1,78.1,78.1,66.1,78.1,78.1,43,13,32,0.7442,4,0.3981,24,0.5581,421,110,61,601,,35,13.9767,75.8,3.8981,9.7907,0.1472,,17.5417,4.5833,2.5417,23,79.2684,79.2684,0.3909,4,5,1,2,2,,,,
Malik Washington,MIA,WR,53,No,No,No,49,No,Yes,,14,0.0204,0.551,0.4286,6.8,10.8,8.8,10.8,10.8,10.8,8.8,10.8,10.8,10.8,8.8,10.8,10.8,5,1,4,0.8,,0.102,4,0.8,68,7,2,79,,3,15.8,118.8,1.3878,13.6,3.2398,,17,1.75,0.5,4,9.2139,9.2139,0.0943,,1,,,,,,,
Greg Dortch,ARZ,WR,56,No,Yes,Yes,56,Yes,No,0.0714,17,,0.5714,0.3571,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,3,1,1,0.3333,,0.0536,1,0.3333,13,2,2,37,,1,12.3333,47.9,0.2321,4.3333,-4.3035,,13,2,2,,5.9639,5.9639,0.0536,,1,,,,,,,
Terrell Jennings,NE,RB,4,No,No,No,3,No,No,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Akers,MIN,RB,23,No,Yes,Yes,15,No,No,0.9333,16,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaMycal Hasty,NE,RB,8,No,No,No,6,No,No,0.8333,13,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DEN,RB,70,Yes,No,No,44,No,Yes,0.9091,17,0.0455,0.0455,,3.4,4.4,3.9,4.9,4.4,4.4,3.9,4.4,4.4,4.4,3.9,4.4,4.4,3,,2,0.6667,,0.0682,1,0.3333,34,24,2,38,,,12.6667,77.1,0.7727,11.3333,4.795,,34,24,2,1,5.1518,5.1518,0.0429,,,,,,,,,
Tip Reiman,ARZ,TE,27,No,Yes,Yes,15,Yes,No,,17,0.8,0.0667,0.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,97,Yes,No,No,93,No,Yes,,17,,0.1505,0.8495,62.72,89.72,76.22,89.72,89.72,92.72,79.22,89.72,89.72,89.72,76.22,90,90,52,10,34,0.6538,9,0.5591,27,0.5192,436,68,18,780,4,40,15,59.9,4.6882,8.3846,-1.7007,0.0769,16.1481,2.5185,0.6667,25,109.5142,109.5142,0.5361,9,7,1,3,3,,,,
Tyrell Shavers,BUF,WR,5,No,Yes,No,5,No,Yes,,3,,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Chark,LAC,WR,13,No,No,No,13,Yes,Yes,,7,,0.0769,0.9231,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,4,,1,0.25,1,0.3077,1,0.25,12,,,58,,4,14.5,39.6,0.9231,3,-6.9303,,12,,,,8.5621,8.5621,0.3077,1,,,,,,,,
Darnell Washington,PIT,TE,20,No,No,No,14,No,Yes,,17,0.7857,0.1429,0.0714,7.1,10.1,8.6,10.1,11.6,10.1,8.6,10.1,10.1,10.1,8.6,11.6,10.1,4,,3,0.75,1,0.2857,3,0.75,71,32,12,50,,3,12.5,77.1,5.0714,17.75,8.6656,,23.6667,10.6667,4,3,11.5369,11.5369,0.2,1,,,,,1,0.3333,,
Zach Ertz,WAS,TE,96,No,No,Yes,92,Yes,Yes,,17,0.413,0.5,0.087,44.2,62.2,53.2,62.2,71.2,65.2,56.2,62.2,62.2,62.2,53.2,71.2,62.2,24,5,20,0.8333,4,0.2609,18,0.75,262,42,17,311,,17,12.9583,132.3,2.8478,10.9167,1.4203,,14.5556,2.3333,0.9444,18,47.607,47.607,0.25,5,3,,3,3,1,0.0556,,
Audric Estime,DEN,RB,8,Yes,No,No,5,No,Yes,0.8,13,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,15,No,No,No,8,No,No,,13,0.625,0.25,0.125,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,1,,1,1,,0.125,1,1,14,3,1,11,,1,11,118.8,1.75,14,5.2598,,14,3,1,1,1.5019,1.5019,0.0667,,,,,,,,,
Brady Russell,SEA,TE,1,No,No,No,1,Yes,Yes,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Allen,LA,TE,26,Yes,Yes,Yes,24,No,No,0.0417,14,0.5833,0.2083,0.1667,,,,,,,,,,,,,,1,,,,,0.0417,,,,,,15,,1,15,39.6,,,-10.6391,,,,,,1.3127,1.3127,0.0385,,,,,,,,,
Keon Coleman,BUF,WR,58,No,No,No,57,No,No,,13,,0.1579,0.8421,25.6,34.6,30.1,34.6,34.6,37.6,33.1,34.6,34.6,34.6,30.1,34.6,34.6,14,3,10,0.7143,1,0.2456,9,0.6429,196,54,15,215,,13,15.3571,131.5,3.4386,14,3.7954,,21.7778,6,1.6667,9,31.6238,31.6238,0.2414,1,1,1,1,,,,,
John Samuel Shenker,LV,TE,5,No,No,No,4,No,No,0.25,7,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,SEA,WR,88,Yes,Yes,Yes,88,No,No,,17,,0.2614,0.7386,32.8,49.8,41.3,49.8,49.8,52.8,44.3,49.8,49.8,49.8,41.3,49.8,49.8,23,2,18,0.7826,3,0.2614,17,0.7391,268,35,4,320,1,14,13.913,108.6,3.0455,11.6522,1.8876,0.0435,15.7647,2.0588,0.2353,16,47.6842,47.6842,0.2614,3,2,1,1,1,1,0.0588,,
Lil'Jordan Humphrey,DEN,WR,43,Yes,No,No,42,No,Yes,,17,,0.5714,0.4286,13.9,16.9,15.4,16.9,16.9,16.9,15.4,16.9,16.9,16.9,15.4,16.9,16.9,10,2,5,0.5,3,0.2381,3,0.3,79,35,1,137,,5,13.7,53.8,1.881,7.9,-1.3566,,26.3333,11.6667,0.3333,3,24.224,24.224,0.2326,4,,,1,,,,,
River Cracraft,MIA,WR,13,No,No,No,13,No,Yes,,8,,0.3846,0.6154,3.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,3,1,3,1,,0.2308,2,0.6667,31,2,1,43,1,2,14.3333,100.7,2.3846,10.3333,0.3212,0.3333,15.5,1,0.5,2,5.9375,5.9375,0.2308,,1,,,,,,,
Jordan Addison,MIN,WR,108,No,Yes,Yes,108,No,No,0.0093,15,,0.3148,0.6759,31.7,45.7,38.7,45.7,45.7,48.7,41.7,45.7,45.7,45.7,38.7,45.7,45.7,27,2,19,0.7037,1,0.25,14,0.5185,197,11,7,387,1,20,14.3333,85,1.8241,7.2963,-2.507,0.037,14.0714,0.7857,0.5,14,47.8401,47.8401,0.25,2,,2,2,1,1,0.0714,,
De'Von Achane,MIA,RB,78,No,No,No,71,No,Yes,0.6761,17,0.0282,0.1408,0.1549,5.8,8.8,7.3,10.3,8.8,8.8,7.3,8.8,8.8,8.8,7.3,8.8,8.8,4,1,3,0.75,,0.0563,3,0.75,58,14,4,59,,1,14.75,116.7,0.8169,14.5,6.2388,,19.3333,4.6667,1.3333,3,8.1846,8.1846,0.0513,,1,,,,,,,
Mike Evans,TB,WR,94,No,Yes,Yes,94,No,Yes,,14,,0.2766,0.7234,62.8,93.8,78.3,93.8,93.8,96.8,81.3,93.8,93.8,93.8,78.3,93.8,93.8,48,7,35,0.7292,5,0.5106,31,0.6458,508,104,41,664,2,40,13.8333,79.2,5.4043,10.5833,0.9776,0.0417,16.3871,3.3548,1.3226,28,91.7347,91.7347,0.5106,5,5,2,2,2,2,0.0645,,
Xavier Smith,LA,WR,2,Yes,Yes,Yes,2,No,No,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,48,No,Yes,No,30,No,No,0.8333,11,,,0.1667,7.7,8.7,8.2,9.2,8.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,1,,1,1,,0.0333,1,1,17,1,,16,,1,16,158.3,0.5667,17,6.3333,,17,1,,1,3.548,3.548,0.0208,1,,1,1,,,,,
Ramel Keyton,LV,WR,5,No,No,No,5,Yes,Yes,,8,,,1,,,,,,,,,,,,,,2,,,,1,0.4,,,,,,28,,1,14,39.6,,,-9.1995,,,,,,4.8999,4.8999,0.4,1,,,,,,,,
Sean Tucker,TB,RB,11,No,Yes,Yes,11,No,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John FitzPatrick,GB,TE,5,No,No,No,4,No,Yes,,9,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Fortson,KC,TE,3,No,Yes,Yes,3,Yes,Yes,,3,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Bigsby,JAX,RB,37,No,Yes,No,31,Yes,Yes,0.9355,16,,,0.0645,,,,,,,,,,,,,,1,1,1,1,,0.0323,,,,,,13,,1,13,39.6,,,-7.0476,,,,,,1.3371,1.3371,0.027,,,,,,,,,
Mike Woods,CLV,WR,33,No,No,Yes,32,No,No,,5,0.125,0.1562,0.7188,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,5,,1,0.2,,0.1562,1,0.2,16,4,,80,,4,16,40.4,0.5,3.2,-7.1382,,16,4,,1,13.2252,13.2252,0.1515,,,,,,,,,
Tyrone Tracy,NYG,RB,63,Yes,No,No,47,No,Yes,0.8298,17,,0.1277,0.0426,6.2,7.2,6.7,7.7,7.2,7.2,6.7,7.2,7.2,7.2,6.7,7.2,7.2,2,,1,0.5,1,0.0426,1,0.5,2,,,24,,1,12,95.8,0.0426,1,-6.1517,,2,,,1,4.9432,4.9432,0.0317,1,,1,1,1,,,,
Michael Mayer,LV,TE,41,No,No,No,31,Yes,Yes,,11,0.4839,0.4194,0.0968,2.9,3.9,3.4,3.9,4.4,3.9,3.4,3.9,3.9,3.9,3.4,4.4,3.9,5,1,2,0.4,,0.1613,1,0.2,29,10,,68,1,4,13.6,51.3,0.9355,5.8,-3.7692,0.2,29,10,,1,8.3284,8.3284,0.122,,,,,,,,,
