Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetsContestedTotal,ReceptionsContested
Britain Covey,PHI,WR,5,No,No,No,3,3,No,Yes,3,1,1,3,1,16,24,1,-8,1,0.3333,,0.6667,2,2,0.6667,-2.6667,88.9,5.3333,5.3333,0.1722,5.3333,8,0.3333,1,6.2956,6.2956,0.6,1.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,5,0.3333,,,,2,,,,
Jaylen Wright,MIA,RB,20,No,No,No,12,4,No,Yes,3,0.75,0.3333,1,0.25,,5,2,-13,1,1,0.8333,0.1667,,,,-3.25,39.6,,,-5.9398,,5,2,,7.6534,7.6534,0.2,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,15,,2,0.5,,1,,,,
Tyler Scott,CHI,WR,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,5,8,1,-3,,,,1,1,1,1,-3,87.5,5,5,0.0592,5,8,1,,1.6252,1.6252,1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,11,,,,,,,,,
Tyrone Tracy,NYG,RB,67,No,Yes,No,40,28,No,Yes,26,0.9286,0.7,21,0.75,163,218,73,-71,6,0.2857,0.775,0.125,18,10,0.3571,-2.5357,74,4.075,5.8214,0.0117,7.7619,10.381,3.4762,7,42.2763,42.2763,0.4179,16.3,37.3,26.8,47.8,37.3,40.3,29.8,37.3,37.3,37.3,26.8,37.3,37.3,17,0.1,5,0.1786,,3,,,,
Michael Mayer,LV,TE,42,No,No,No,24,3,No,Yes,2,0.6667,0.125,2,0.6667,,2,,-5,,,,0.25,1,,,-1.6667,70.1,,,-5.3351,,1,,,7.1945,7.1945,0.0714,,2,1,2,3,2,1,2,2,2,1,3,2,11,0.125,,,,1,0.625,,,
Marvin Harrison,ARZ,WR,97,No,No,No,69,,No,Yes,,,,,,,,,,,,,0.2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7536,,,,,,,,
Mo Alie-Cox,IND,TE,31,No,Yes,No,10,1,No,Yes,1,1,0.1,1,1,6,7,,-1,,,,0.2,1,1,1,-1,91.7,0.6,6,1.0986,6,7,,,1.6152,1.6152,0.0323,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,17,,,,,1,0.8,,,
Bryce Oliver,TEN,WR,6,No,No,No,3,,No,No,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.6667,,,,,,,,
Sean Tucker,TB,RB,10,No,No,No,6,4,No,Yes,4,1,0.6667,4,1,34,46,13,-12,1,0.25,1,,1,1,0.25,-3,102.1,5.6667,8.5,2.8318,8.5,11.5,3.25,3,5.7192,5.7192,0.4,3.4,7.4,5.4,9.4,7.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,17,,,,,,,,,
Ramel Keyton,LV,WR,4,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,
Joseph Fortson,KC,TE,2,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
John FitzPatrick,GB,TE,3,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,,,
Tank Bigsby,JAX,RB,25,No,Yes,No,11,9,No,Yes,8,0.8889,0.8182,6,0.6667,48,63,10,-27,3,0.5,1,,4,3,0.3333,-3,40.3,4.3636,5.3333,-0.3433,8,10.5,1.6667,1,12.7364,12.7364,0.36,4.8,10.8,7.8,13.8,10.8,10.8,7.8,10.8,10.8,10.8,7.8,10.8,10.8,16,,2,0.2222,,,,,,
Mike Woods,CLV,WR,34,No,No,No,22,1,No,Yes,1,1,0.0455,1,1,4,6,3,-2,,,,0.2273,1,1,1,-2,83.3,0.1818,4,-1.4991,4,6,3,,1.4987,1.4987,0.0294,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,5,0.7273,,,,,0.0455,,,
Zach Pascal,ARZ,WR,5,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,
Xavier Gipson,NYJ,WR,25,No,No,No,18,3,No,Yes,3,1,0.1667,3,1,10,19,4,-9,1,0.3333,,0.4444,3,3,1,-3,80.6,0.5556,3.3333,-1.7568,3.3333,6.3333,1.3333,,4.5463,4.5463,0.12,1,4,2.5,4,4,4,2.5,4,4,4,2.5,4,4,17,0.5556,,,,,,,,
Cedrick Wilson,NO,WR,43,No,No,No,23,4,No,Yes,4,1,0.1739,4,1,20,36,6,-16,2,0.5,,0.5652,1,,,-4,87.5,0.8696,5,0.6776,5,9,1.5,1,6.5094,6.5094,0.093,2,6,4,6,6,6,4,6,6,6,4,6,6,15,0.4348,,,,,,,,
Keon Coleman,BUF,WR,56,No,No,No,35,2,No,Yes,2,1,0.0571,2,1,20,27,10,-7,1,0.5,,0.1143,2,2,1,-3.5,108.3,0.5714,10,5.2871,10,13.5,5,,3.2314,3.2314,0.0357,2,4,3,4,4,4,3,4,4,4,3,4,4,13,0.8857,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,63,Yes,No,No,32,11,No,Yes,11,1,0.3438,11,1,68,95,52,-27,7,0.6364,,0.5938,10,9,0.8182,-2.4545,92.4,2.125,6.1818,0.9694,6.1818,8.6364,4.7273,2,16.3214,16.3214,0.1746,6.8,17.8,12.3,17.8,17.8,17.8,12.3,17.8,17.8,17.8,12.3,17.8,17.8,17,0.3438,,,,,0.0625,,,
Jordan Addison,MIN,WR,69,No,No,No,41,12,No,Yes,12,1,0.2927,11,0.9167,32,74,20,-47,4,0.3636,,0.439,10,9,0.75,-3.9167,79.2,0.7805,2.6667,-1.7959,2.9091,6.7273,1.8182,,18.9401,18.9401,0.1739,3.2,14.2,8.7,14.2,14.2,14.2,8.7,14.2,14.2,14.2,8.7,14.2,14.2,15,0.561,1,0.0833,,5,,,,
Tyler Lockett,SEA,WR,94,Yes,No,No,59,6,No,Yes,6,1,0.1017,6,1,11,26,6,-15,,,,0.3051,6,6,1,-2.5,79.2,0.1864,1.8333,-3.48,1.8333,4.3333,1,1,9.7835,9.7835,0.0638,1.1,7.1,4.1,7.1,7.1,7.1,4.1,7.1,7.1,7.1,4.1,7.1,7.1,17,0.6949,,,,,,,,
De'Von Achane,MIA,RB,109,No,No,No,89,57,No,Yes,56,0.9825,0.6404,55,0.9649,370,541,169,-204,14,0.2545,0.6404,0.3146,40,36,0.6316,-3.5789,128.8,4.1573,6.4912,0.7238,6.7273,9.8364,3.0727,18,107.6016,107.6016,0.5229,73,128,100.5,155.5,128,131,103.5,128,128,128,100.5,128,128,17,0.0449,1,0.0175,6,13,,,,
Mike Evans,TB,WR,77,No,No,No,42,1,No,Yes,1,1,0.0238,1,1,6,6,1,,,,,0.119,1,1,1,,91.7,0.1429,6,-0.0386,6,6,1,,1.1808,1.1808,0.013,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,14,0.881,,,,,,,,
Xavier Smith,LA,WR,3,Yes,No,No,3,1,No,Yes,1,1,0.3333,1,1,-5,,,-5,,,,0.6667,1,1,1,-5,79.2,-1.6667,-5,-9.1596,-5,,,,1.6816,1.6816,0.3333,-0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,15,0.3333,,,,,,,,
Kenneth Walker,SEA,RB,55,Yes,No,No,44,36,No,Yes,35,0.9722,0.8182,34,0.9444,206,321,88,-118,6,0.1765,0.8409,0.0682,18,15,0.4167,-3.2778,90.5,4.6818,5.7222,0.1575,6.0588,9.4412,2.5882,12,53.6495,53.6495,0.6545,20.6,54.6,37.6,71.6,54.6,57.6,40.6,54.6,54.6,54.6,37.6,54.6,54.6,11,0.0909,1,0.0278,,7,,,1,1
Andrei Iosivas,CIN,WR,83,No,Yes,No,57,2,Yes,Yes,2,1,0.0351,2,1,4,10,2,-6,1,0.5,,0.5088,2,1,0.5,-3,79.2,0.0702,2,-2.9408,2,5,1,,3.7484,3.7484,0.0241,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,17,0.4912,,,,1,,,,
Brandon Aiyuk,SF,WR,14,No,No,No,7,1,No,Yes,1,1,0.1429,1,1,2,6,1,-4,,,,0.2857,1,1,1,-4,79.2,0.2857,2,-2.4851,2,6,1,,1.7271,1.7271,0.0714,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,7,0.7143,,,,,,,,
Allen Lazard,NYJ,WR,98,No,No,No,58,6,No,Yes,4,0.6667,0.1034,3,0.5,17,20,7,-5,1,0.3333,,0.4138,6,4,0.6667,-0.8333,95.8,0.2931,2.8333,-3.181,5.6667,6.6667,2.3333,1,10.4364,10.4364,0.0612,7.7,10.7,9.2,10.7,10.7,10.7,9.2,10.7,10.7,10.7,9.2,10.7,10.7,12,0.5517,1,0.1667,1,2,0.0345,,,
Darnell Mooney,ATL,WR,81,Yes,No,No,51,9,No,Yes,9,1,0.1765,9,1,19,47,7,-28,,,0.0588,0.3529,9,6,0.6667,-3.1111,79.2,0.3725,2.1111,-2.775,2.1111,5.2222,0.7778,1,15.4139,15.4139,0.1111,1.9,10.9,6.4,10.9,10.9,10.9,6.4,10.9,10.9,10.9,6.4,10.9,10.9,16,0.5882,,,,,,,,
Jeremy Ruckert,NYJ,TE,51,No,No,No,27,11,No,Yes,10,0.9091,0.4074,9,0.8182,44,63,17,-25,,,,0.1852,3,1,0.0909,-2.2727,83.3,1.6296,4,-1.3207,4.8889,7,1.8889,1,16.3668,16.3668,0.2157,4.4,13.4,8.9,13.4,17.9,13.4,8.9,13.4,13.4,13.4,8.9,17.9,13.4,17,0.0741,1,0.0909,,,0.7407,,,
Kalif Raymond,DET,WR,18,No,No,No,10,6,No,Yes,6,1,0.6,6,1,45,70,9,-25,1,0.1667,,0.3,6,5,0.8333,-4.1667,137.5,4.5,7.5,3.0628,7.5,11.6667,1.5,2,9.2494,9.2494,0.3333,10.5,16.5,13.5,16.5,16.5,16.5,13.5,16.5,16.5,16.5,13.5,16.5,16.5,12,0.7,,,1,2,,,,
Stefon Diggs,HST,WR,47,Yes,No,Yes,30,7,No,Yes,7,1,0.2333,7,1,24,56,21,-32,1,0.1429,,0.5667,6,5,0.7143,-4.5714,81,0.8,3.4286,-0.9462,3.4286,8,3,1,9.9502,9.9502,0.1489,2.92,9.92,6.42,9.92,9.92,9.92,6.42,9.92,9.92,9.92,6.42,10.05,10.05,8,0.4,,,,1,0.0333,,,
Ben Sinnott,WAS,TE,19,No,No,No,5,1,No,Yes,1,1,0.2,1,1,3,5,3,-2,,,,0.4,1,1,1,-2,79.2,0.6,3,-1.8511,3,5,3,,1.5148,1.5148,0.0526,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,0.2,,,,,0.4,,,
Zay Jones,ARZ,WR,34,No,No,No,21,1,No,Yes,1,1,0.0476,1,1,3,5,2,-2,,,,0.2381,1,1,1,-2,79.2,0.1429,3,-2.4991,3,5,2,1,1.4828,1.4828,0.0294,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,11,0.7619,,,,,,,,
Daniel Bellinger,NYG,TE,30,No,Yes,No,13,3,No,Yes,3,1,0.2308,3,1,13,16,9,-3,,,,0.3846,1,,,-1,84.7,1,4.3333,-0.6805,4.3333,5.3333,3,,4.5201,4.5201,0.1,1.3,4.3,2.8,4.3,5.8,4.3,2.8,4.3,4.3,4.3,2.8,5.8,4.3,17,,,,,1,0.6154,,,
Drew Sample,CIN,TE,59,No,Yes,No,29,10,Yes,Yes,10,1,0.3448,10,1,35,49,13,-14,,,0.1724,0.0345,3,1,0.1,-1.4,81.3,1.2069,3.5,-1.764,3.5,4.9,1.3,2,14.6352,14.6352,0.1695,3.5,13.5,8.5,13.5,18.5,13.5,8.5,13.5,13.5,13.5,8.5,18.5,13.5,17,0.0345,,,,1,0.7586,,,
Devontez Walker,BLT,WR,6,No,No,Yes,3,,No,Yes,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.6667,,,,,,,,
Austin Ekeler,WAS,RB,41,No,No,No,32,26,No,Yes,25,0.9615,0.8125,24,0.9231,205,296,79,-97,5,0.2083,0.5938,0.1562,14,13,0.5,-3.7308,99.5,6.4062,7.8846,2.2234,8.5417,12.3333,3.2917,7,36.7981,36.7981,0.6341,20.5,44.5,32.5,56.5,44.5,47.5,35.5,44.5,44.5,44.5,32.5,44.5,44.5,12,0.25,1,0.0385,,1,,,,
Jaheim Bell,NE,TE,8,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,1,3,1,-2,,,,0.3333,1,1,1,-2,79.2,0.3333,1,-3.8511,1,3,1,,1.7831,1.7831,0.125,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,13,0.6667,,,,,,,,
Tanner Hudson,CIN,TE,14,No,Yes,No,9,5,Yes,Yes,5,1,0.5556,4,0.8,26,33,10,-7,,,0.2222,0.4444,2,,,-1.4,88.3,2.8889,5.2,-0.242,6.5,8.25,2.5,3,8.6904,8.6904,0.3571,2.6,6.6,4.6,6.6,8.6,6.6,4.6,6.6,6.6,6.6,4.6,8.6,6.6,11,,,,,1,0.3333,,,
Curtis Samuel,BUF,WR,43,No,No,No,34,17,No,Yes,14,0.8235,0.5,14,0.8235,61,101,21,-46,3,0.2143,0.0588,0.5588,16,12,0.7059,-2.7059,81.6,1.7941,3.5882,-1.4796,4.3571,7.2143,1.5,1,27.6112,27.6112,0.3953,6.1,20.1,13.1,20.1,20.1,20.1,13.1,20.1,20.1,20.1,13.1,20.1,20.1,14,0.3824,,,,,,,1,1
Chase Brown,CIN,RB,56,No,No,Yes,38,23,No,Yes,23,1,0.6053,21,0.913,103,182,44,-84,7,0.3333,0.8158,0.0526,9,8,0.3478,-3.6522,99.8,2.7105,4.4783,-1.24,4.9048,8.6667,2.0952,5,35.129,35.129,0.4107,16.3,37.3,26.8,47.8,37.3,40.3,29.8,37.3,37.3,37.3,26.8,37.3,37.3,16,0.1316,1,0.0435,1,3,,,1,
Najee Harris,PIT,RB,49,No,Yes,No,39,30,Yes,Yes,27,0.9,0.7692,22,0.7333,156,245,60,-112,7,0.3182,1,,12,11,0.3667,-3.7333,84.9,4,5.2,-0.4389,7.0909,11.1364,2.7273,7,42.902,42.902,0.6122,15.6,37.6,26.6,48.6,37.6,40.6,29.6,37.6,37.6,37.6,26.6,37.6,37.6,17,,5,0.1667,,3,,,2,1
Will Shipley,PHI,RB,2,No,Yes,No,1,1,No,Yes,1,1,1,1,1,13,19,3,-6,1,1,1,,,,,-6,118.8,13,13,7.9107,13,19,3,1,0.9524,0.9524,0.5,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,13,,,,,,,,,
Kyren Williams,LA,RB,74,No,Yes,No,37,22,No,Yes,21,0.9545,0.5946,20,0.9091,78,141,49,-80,4,0.2,0.973,0.027,8,8,0.3636,-3.6364,81.4,2.1081,3.5455,-2.0911,3.9,7.05,2.45,2,39.2426,39.2426,0.2973,7.8,27.8,17.8,37.8,27.8,27.8,17.8,27.8,27.8,27.8,17.8,27.8,27.8,16,,1,0.0455,,6,,,,
Tucker Kraft,GB,TE,91,Yes,No,No,45,17,No,Yes,14,0.8235,0.3778,14,0.8235,122,141,74,-26,4,0.2857,,0.2889,13,10,0.5882,-1.5294,136.2,2.7111,7.1765,1.7776,8.7143,10.0714,5.2857,8,32.9909,32.9909,0.1868,30.2,44.2,37.2,44.2,51.2,47.2,40.2,44.2,44.2,44.2,37.2,51.2,44.2,17,0.0444,,,3,6,0.6667,,,
Payne Durham,TB,TE,47,No,No,No,16,,No,Yes,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.125,,,,,0.6875,,,
Dawson Knox,BUF,TE,60,No,No,Yes,36,5,No,Yes,4,0.8,0.1389,4,0.8,14,20,4,-8,,,,0.2222,3,2,0.4,-1.6,79.2,0.3889,2.8,-2.5233,3.5,5,1,1,8.809,8.809,0.0833,1.4,5.4,3.4,5.4,7.4,5.4,3.4,5.4,5.4,5.4,3.4,7.4,5.4,16,0.1944,,,,,0.5833,,,
Trey Palmer,TB,WR,40,No,No,No,24,4,No,Yes,3,0.75,0.1667,3,0.75,15,27,5,-13,,,,0.4583,3,2,0.5,-3.25,80.2,0.625,3.75,-1.1984,5,9,1.6667,,5.6409,5.6409,0.1,1.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,15,0.5417,,,,,,,,
Noah Brown,WAS,WR,45,No,Yes,No,20,4,No,Yes,4,1,0.2,4,1,23,30,12,-7,,,,0.2,3,3,0.75,-1.75,90.6,1.15,5.75,0.2275,5.75,7.5,3,1,5.491,5.491,0.0889,2.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,11,0.8,,,,1,,,,
Marcedes Lewis,CHI,TE,21,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,
Dontayvion Wicks,GB,WR,62,Yes,No,No,29,5,No,Yes,5,1,0.1724,5,1,24,33,10,-9,3,0.6,,0.2069,4,4,0.8,-1.8,86.7,0.8276,4.8,-0.7383,4.8,6.6,2,3,10.0956,10.0956,0.0806,2.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,17,0.7586,,,,1,0.0345,,,
Trey McBride,ARZ,TE,95,No,No,No,73,21,No,Yes,19,0.9048,0.2877,18,0.8571,102,136,45,-37,4,0.2222,,0.411,20,16,0.7619,-1.7619,102.8,1.3973,4.8571,-0.4157,5.6667,7.5556,2.5,4,39.2956,39.2956,0.2211,16.2,34.2,25.2,34.2,43.2,37.2,28.2,34.2,34.2,34.2,25.2,43.2,34.2,16,0.0685,1,0.0476,1,4,0.5205,,,
Patrick Taylor,SF,RB,15,No,No,No,11,4,No,Yes,1,0.25,0.3636,1,0.25,1,3,,-7,,,0.9091,,2,,,-1.75,39.6,0.0909,0.25,-5.6808,1,3,,,6.2898,6.2898,0.2667,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,9,0.0909,,,,1,,,,
Carson Steele,KC,RB,24,Yes,No,No,13,7,No,Yes,6,0.8571,0.5385,6,0.8571,17,35,8,-21,2,0.3333,1,,2,2,0.2857,-3,79.2,1.3077,2.4286,-3.534,2.8333,5.8333,1.3333,,11.2222,11.2222,0.2917,1.7,7.7,4.7,10.7,7.7,7.7,4.7,7.7,7.7,7.7,4.7,7.7,7.7,16,,,,,1,,,,
John Bates,WAS,TE,37,No,No,No,8,3,No,Yes,,,0.375,,,,,,-11,,,,0.125,2,2,0.6667,-3.6667,39.6,,,-5.3679,,,,,4.7373,4.7373,0.0811,,,,,,,,,,,,,,17,,,,,,0.875,,,
Jalen Reagor,LAC,WR,17,Yes,No,No,12,2,No,Yes,2,1,0.1667,2,1,11,20,4,-9,,,,0.9167,1,1,0.5,-4.5,89.6,0.9167,5.5,1.1777,5.5,10,2,1,4.4826,4.4826,0.1176,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,8,0.0833,,,,,,,,
Terry McLaurin,WAS,WR,91,No,No,No,60,12,No,Yes,12,1,0.2,11,0.9167,35,68,17,-37,1,0.0909,,0.2333,12,12,1,-3.0833,79.2,0.5833,2.9167,-2.0142,3.1818,6.1818,1.5455,2,20.4065,20.4065,0.1319,3.5,14.5,9,14.5,14.5,14.5,9,14.5,14.5,14.5,9,14.5,14.5,17,0.7667,1,0.0833,,2,,,,
Ainias Smith,PHI,WR,5,No,Yes,No,5,3,No,Yes,3,1,0.6,3,1,8,17,3,-9,,,,0.6,3,3,1,-3,79.2,1.6,2.6667,-2.3083,2.6667,5.6667,1,,6.2349,6.2349,0.6,0.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,7,0.4,,,,,,,,
Chris Godwin,TB,WR,53,No,No,No,34,13,No,Yes,13,1,0.3824,13,1,182,207,104,-25,5,0.3846,,0.6176,13,12,0.9231,-1.9231,144.4,5.3529,14,8.5129,14,15.9231,8,5,21.1164,21.1164,0.2453,24.2,37.2,30.7,37.2,37.2,40.2,33.7,37.2,37.2,37.2,30.7,37.2,37.2,7,0.3824,,,1,2,,,,
Brevin Jordan,HST,TE,7,No,No,No,5,2,No,Yes,1,0.5,0.4,1,0.5,3,3,1,-4,,,,,1,1,0.5,-2,56.3,0.6,1.5,-4.3127,3,3,1,1,3.031,3.031,0.2857,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,2,,,,,,1,,,
Jayden Reed,GB,WR,78,Yes,No,No,60,29,No,Yes,28,0.9655,0.4833,23,0.7931,143,223,43,-111,1,0.0435,0.0667,0.65,27,25,0.8621,-3.8276,98.7,2.3833,4.931,0.3675,6.2174,9.6957,1.8696,5,50.2048,50.2048,0.3718,20.3,43.3,31.8,43.3,43.3,46.3,34.8,43.3,43.3,43.3,31.8,43.3,43.3,17,0.2667,5,0.1724,1,7,0.0167,1,,
Kyle Pitts,ATL,TE,67,Yes,No,No,26,3,No,Yes,3,1,0.1154,3,1,10,15,11,-5,2,0.6667,,0.4231,1,,,-1.6667,80.6,0.3846,3.3333,-1.5346,3.3333,5,3.6667,,4.3826,4.3826,0.0448,1,4,2.5,4,5.5,4,2.5,4,4,4,2.5,5.5,4,17,0.1154,,,,,0.4615,,,
Dante Pettis,NO,WR,15,No,No,No,13,4,No,Yes,3,0.75,0.3077,2,0.5,10,18,5,-10,,,,0.0769,4,3,0.75,-2.5,56.3,0.7692,2.5,-2.6595,5,9,2.5,,6.148,6.148,0.2667,1,3,2,3,3,3,2,3,3,3,2,3,3,8,0.9231,1,0.25,,1,,,,
Baylor Cupp,KC,TE,2,Yes,No,No,1,1,No,Yes,1,1,1,,,,,,-1,,,,,,,,-1,39.6,,,-4.9014,,,,,1.349,1.349,0.5,,,,,,,,,,,,,,1,,1,1,,,1,,,
Raheem Mostert,MIA,RB,32,No,No,No,20,9,No,Yes,9,1,0.45,9,1,42,74,19,-32,1,0.1111,0.65,0.3,6,5,0.5556,-3.5556,86.1,2.1,4.6667,-0.9202,4.6667,8.2222,2.1111,3,13.0573,13.0573,0.2812,4.2,13.2,8.7,17.7,13.2,13.2,8.7,13.2,13.2,13.2,8.7,13.2,13.2,13,0.05,,,,,,,,
Jalen Coker,CAR,WR,45,Yes,No,No,34,2,No,Yes,2,1,0.0588,2,1,18,24,11,-6,1,0.5,,0.5,2,2,1,-3,104.2,0.5294,9,4.0592,9,12,5.5,1,2.9779,2.9779,0.0444,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,11,0.5,,,,,,,,
Marvin Mims,DEN,WR,66,Yes,No,No,57,29,No,Yes,29,1,0.5088,28,0.9655,251,369,61,-121,3,0.1071,0.1404,0.386,27,24,0.8276,-4.1724,137.2,4.4035,8.6552,4.1573,8.9643,13.1786,2.1786,9,49.3785,49.3785,0.4394,43.1,71.1,57.1,71.1,71.1,74.1,60.1,71.1,71.1,71.1,57.1,71.1,71.1,17,0.4737,1,0.0345,3,5,,,,
Calvin Ridley,TEN,WR,90,No,No,No,60,10,No,No,10,1,0.1667,10,1,43,65,20,-22,3,0.3,0.0167,0.2167,9,8,0.8,-2.2,84.6,0.7167,4.3,-1.084,4.3,6.5,2,1,16.59,16.59,0.1111,4.3,14.3,9.3,14.3,14.3,14.3,9.3,14.3,14.3,14.3,9.3,14.3,14.3,17,0.7667,,,,1,,,,
Roschon Johnson,CHI,RB,19,Yes,No,No,10,7,No,Yes,6,0.8571,0.7,5,0.7143,26,52,25,-29,1,0.2,1,,4,4,0.5714,-4.1429,77.1,2.6,3.7143,-1.7632,5.2,10.4,5,1,13.2771,13.2771,0.3684,2.6,7.6,5.1,10.1,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,13,,,,,1,,,1,
David Moore,CAR,WR,46,Yes,No,No,33,2,No,Yes,1,0.5,0.0606,1,0.5,3,6,,-3,1,1,,0.1515,2,1,0.5,-1.5,56.3,0.0909,1.5,-3.9897,3,6,,,2.7033,2.7033,0.0435,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,17,0.8485,,,,,,,,
Dallas Goedert,PHI,TE,29,No,Yes,No,21,8,No,Yes,8,1,0.381,8,1,15,30,11,-15,,,,0.4286,5,5,0.625,-1.875,79.2,0.7143,1.875,-3.4889,1.875,3.75,1.375,,13.9055,13.9055,0.2759,1.5,9.5,5.5,9.5,13.5,9.5,5.5,9.5,9.5,9.5,5.5,13.5,9.5,10,0.2381,,,,2,0.3333,,,
Justin Shorter,LV,TE,2,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,
Amon-Ra St. Brown,DET,WR,106,No,No,No,61,13,No,Yes,12,0.9231,0.2131,12,0.9231,75,101,23,-27,2,0.1667,0.0164,0.5082,11,11,0.8462,-2.0769,130.3,1.2295,5.7692,0.3953,6.25,8.4167,1.9167,5,24.7472,24.7472,0.1226,19.5,31.5,25.5,31.5,31.5,31.5,25.5,31.5,31.5,31.5,25.5,31.5,31.5,17,0.4754,,,2,7,,,,
