id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
00-0033040,,,,21,0,0,1,0,4,0,118,19,1,19,0.2161,76.799,19.835,1,1,2,1,0,208,0,191,3,8,0,90,3,20,2,0,0,0,0,26,75,0,0,15,61,208,23,78,35,37,6,4,72,154,2,4,33,73,190
00-0036613,Jaylen Waddle,WR,DEN,68,8,15,3,4,14,3,408,84,5,56,0.1034,181.74600000000004,34.452999999999975,8,4,11,3,0,716,34,590,5,18,2,176,2,7,12,3,0,0,0,81,156,0,0,39,303,778,185,531,84,125,15,29,189,367,5,12,12,305,754
00-0036223,J'Mari Taylor,RB,JAX,52,3,5,0,3,3,0,100,9,7,25,0.1421,86.80199999999999,10.178,0,0,4,2,0,-36,-1,-9,0,1,0,0,431,304,9,1,19,0,0,145,84,0,0,24,23,23,235,155,18,51,1,5,218,204,16,18,0,326,275
00-0038997,Josh Downs,WR,IND,63,7,14,2,4,4,0,116,72,6,44,-0.0118,79.01399999999998,8.658999999999985,3,2,15,4,0,448,23,211,3,8,0,93,8,0,18,1,4,0,0,116,184,1,12,35,78,70,182,276,280,465,11,22,170,248,0,14,19,250,359
00-0039890,Adonai Mitchell,WR,NYJ,40,4,17,4,4,6,1,224,64,1,26,-0.3659,-135.893,-16.107999999999997,7,2,8,1,0,464,63,638,4,19,1,172,0,0,12,0,0,0,0,65,80,0,0,19,237,420,151,258,55,33,5,33,134,189,5,7,6,227,373
00-0033217,,,,14,1,2,1,1,1,0,20,10,1,12,-0.1674,-13.054000000000002,-0.8589999999999982,1,1,6,1,0,39,-1,54,0,0,0,0,1,16,3,0,0,116,57,56,22,46,37,9,1,7,85,39,11,0,1,5,80,73,2,10,5,119,95
00-0035125,,,,10,1,1,1,1,1,0,22,6,0,3,-0.1605,-1.509999999999998,-0.37200000000000005,0,0,0,0,0,25,7,16,0,0,0,0,98,36,1,0,0,3,0,25,9,26,13,6,12,0,73,34,16,3,2,1,77,18,1,5,0,130,43
00-0037348,,,,10,1,1,1,0,1,0,28,9,0,6,-0.2114,-13.215000000000002,-6.509,1,0,3,0,0,72,0,47,0,1,0,0,3,0,3,0,0,22,36,30,24,29,20,7,14,0,49,43,48,35,0,4,64,48,1,3,0,86,67
00-0039880,Malik Washington,WR,MIA,47,3,7,0,0,2,0,51,28,11,26,-0.2979,-82.87400000000001,-9.821,3,3,11,3,0,73,0,264,0,5,0,0,24,56,13,2,-2,0,0,68,41,0,0,27,158,114,164,113,159,154,5,13,165,211,6,10,2,271,285
00-0039040,De'Von Achane,RB,MIA,73,0,5,1,6,4,1,95,19,16,35,0.1091,113.17900000000003,-10.227000000000004,2,1,11,3,0,-36,18,71,0,2,0,0,268,369,5,3,9,0,0,73,61,4,20,42,34,16,165,142,75,76,9,9,203,330,20,10,0,305,411
