player,pos,team,age,posRank_fpg,ceilingRank,floor,p25,median,p75,ceiling
Elijah Arroyo,TE,SEA,22,TE46 · 2.6,TE46,0.1,1.6,2.6,3.6,5.1
Devin Singletary,RB,NYG,28,RB61 · 3.1,RB62,0.2,1.9,3.1,3.9,4.9
Malik Davis,RB,DAL,27,RB63 · 2.8,RB63,0.2,1.7,2.8,3.6,4.8
Van Jefferson,WR,TEN,29,WR128 · 1.4,WR128,0.0,0.1,1.4,2.7,4.7
Sean Tucker,RB,TB,24,RB64 · 2.3,RB64,0.5,1.3,2.3,3.3,4.7
Keaton Mitchell,RB,LAC,24,RB66 · 2.2,RB65,0.4,1.2,2.2,3.2,4.6
Darren Waller,TE,MIA,33,TE47 · 2.1,TE47,0.0,1.1,2.1,3.1,4.6
David Sills,WR,ATL,30,WR129 · 1.2,WR129,0.0,0.0,1.2,2.5,4.5
Isaiah Williams,WR,NYJ,25,WR130 · 1.2,WR130,0.0,0.0,1.2,2.5,4.5
Jaylen Wright,RB,MIA,22,RB67 · 1.9,RB66,0.4,0.9,1.9,2.9,4.3
Adam Thielen,WR,PIT,35,WR131 · 0.8,WR131,0.0,0.0,0.8,2.1,4.1
Demarcus Robinson,WR,SF,31,WR132 · 0.8,WR132,0.0,0.0,0.8,2.1,4.1
Tyler Lockett,WR,LV,33,WR133 · 0.8,WR133,0.0,0.0,0.8,2.1,4.1
Michael Carter,RB,ARI,26,RB68 · 1.5,RB67,0.2,0.5,1.5,2.4,3.7
Kareem Hunt,RB,KC,30,RB65 · 2.2,RB68,0.0,0.9,2.2,2.8,3.7
Arian Smith,WR,NYJ,24,WR134 · -0.2,WR134,0.0,0.0,0.0,1.3,3.3
Chris Moore,WR,WAS,32,WR135 · -0.5,WR135,0.0,0.0,0.0,1.3,3.3
Zonovan Knight,RB,ARI,24,RB69 · 0.8,RB69,0.2,0.2,0.8,1.8,3.2
Trey Benson,RB,ARI,23,RB72 · 0.5,RB70,0.1,0.1,0.5,1.5,2.9
Nick Chubb,RB,HOU,30,RB70 · 0.7,RB71,0.0,0.0,0.7,1.3,2.2
James Conner,RB,ARI,30,RB71 · 0.6,RB72,0.0,0.0,0.6,1.2,2.1
