,2025 WAR by FP/G and Total FP,,,,,,,,,,,,,,2025 Surplus WAR (War Over Expected),,,,,,,,,FP/G,Total FP,,,FP/G,Total FP,,Expected War By Round,
,Player,Position,FP/G,Total FP,GP,Rep. FP/G,Rep. FP,SD FP/G > Repl.,SD FP > Repl.,Weekly FP/G WPA,Weekly FP WPA,Total FP/G WPA (WAR),Total FP WPA (WAR),,Player,ADP,Actual War,ADP Round,ADP Slope,Expected WAR,Surplus WAR,,SD_Team,22,484,,QB,18,282.9,,Slope,Intercept
,Patrick Mahomes II,QB,21.2,296.7,14,18.00,282.90,3.20,13.80,0.04,0.01,0.70,0.14,,DK Metcalf,49.3,0.59,5,3.90,0.55,0.03,,,,,,,,,,,
,Jacory Croskey-Merritt,RB,8.3,140.3,17,9.10,128.90,0.00,11.40,0.00,0.01,0.00,0.11,,Las Vegas Raiders,267.3,0,23,5.59,-0.03,0.03,,,,,,,,,,,
,Brian Thomas Jr.,WR,9.9,138.8,14,8.90,127.90,1.00,10.90,0.01,0.01,0.22,0.11,,Tahj Brooks,267.2,0.00,23,5.59,-0.03,0.03,,,,,,,,,,,
,Marquise Brown,WR,8.6,137.7,16,8.90,127.90,0.00,9.80,0.00,0.01,0.00,0.10,,Noah Gray,267,0.00,23,5.59,-0.03,0.03,,,,,,,,,,,
,Bucky Irving,RB,13.9,138.5,10,9.10,128.90,4.80,9.60,0.06,0.01,1.04,0.10,,Calvin Austin III,265.5,0.00,23,5.58,-0.03,0.03,,,,,,,,,,,
,Josh Downs,WR,8.5,136.4,16,8.90,127.90,0.00,8.50,0.00,0.00,0.00,0.08,,Elijah Mitchell,265.3,0,23,5.58,-0.03,0.03,,,,,,,,,,,
,Jordan Addison,WR,9.7,135.1,14,8.90,127.90,0.80,7.20,0.01,0.00,0.17,0.07,,Devin Singletary,265.3,0.00,23,5.58,-0.03,0.03,,,,,,,,,,,
,Omarion Hampton,RB,15.1,135.7,9,9.10,128.90,6.00,6.80,0.08,0.00,1.30,0.07,,Indianapolis Colts,264.8,0,23,5.58,-0.03,0.03,,,,,,,,,,,
,Christian Watson,WR,13.2,132.4,10,8.90,127.90,4.30,4.50,0.05,0.00,0.93,0.04,,Daniel Jones,263.3,0.00,22,5.57,-0.03,0.03,,,,,,,,,,,
,Oronde Gadsden II,TE,8.8,131.4,15,9.80,127.80,0.00,3.60,0.00,0.00,0.00,0.04,,Jalen Coker,263,0.00,22,5.57,-0.02,0.02,,,,,,,,,,,
,Mark Andrews,TE,7.7,131.0,17,9.80,127.80,0.00,3.20,0.00,0.00,0.00,0.03,,Kendre Miller,255,0,22,5.54,-0.01,0.01,,,,,,,,,,,
,Colby Parkinson,TE,8.7,129.8,15,9.80,127.80,0.00,2.00,0.00,0.00,0.00,0.02,,Jalen McMillan,254.7,0,22,5.54,-0.01,0.01,,,,,,,,,,,
,Jayden Higgins,WR,7.6,129.5,17,8.90,127.90,0.00,1.60,0.00,0.00,0.00,0.02,,Miami Dolphins,254,0,22,5.54,-0.01,0.01,,,,,,,,,,,
,Baker Mayfield,QB,16.6,282.9,17,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Mike Gesicki,252.8,0.00,22,5.53,-0.01,0.01,,,,,,,,,,,
,Sam Darnold,QB,14.7,249.4,17,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Cole Kmet,250.5,0.00,21,5.52,-0.01,0.01,,,,,,,,,,,
,Jaxson Dart,QB,17.6,246.6,14,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Kenneth Walker III,41,0.62,4,3.71,0.62,0.00,,,,,,,,,,,
,Jordan Love,QB,16.1,241.1,15,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Cairo Santos,247.7,0,21,5.51,0.00,0.00,,,,,,,,,,,
,Jacoby Brissett,QB,16.8,235.4,14,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Joshua Karty,247,0,21,5.51,0.00,0.00,,,,,,,,,,,
,Daniel Jones,QB,18.0,234.4,13,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Miles Sanders,244,0,21,5.50,0.00,0.00,,,,,,,,,,,
