Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero
Hassan Haskins,LAC,RB,8,Yes,No,Yes,1,No,Yes,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,15,Yes,No,No,4,No,No,0.25,0.25,17,1,1,1,0.25,1,1,8,11,,-3,,,,1,1,1,-3,100,2,8,2.1348,8,11,,1,1.6569,1.6569,0.0667,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,0.5,,,,,,,
Jaylen Warren,PIT,RB,19,Yes,No,No,12,No,Yes,0.0833,,15,8,7,0.875,0.6667,7,0.875,53,86,34,-38,2,0.2857,0.8333,8,8,1,-4.75,94.3,4.4167,6.625,0.9646,7.5714,12.2857,4.8571,2,11.9396,11.9396,0.4211,5.3,12.3,8.8,15.8,12.3,12.3,8.8,12.3,12.3,12.3,8.8,12.3,12.3,0.0833,,,,,,,
Kendrick Bourne,NE,WR,27,Yes,No,No,6,No,Yes,0.1667,0.8333,12,3,3,1,0.5,3,1,6,13,1,-7,,,,3,3,1,-2.3333,79.2,1,2,-3.313,2,4.3333,0.3333,,5.0107,5.0107,0.1111,0.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,,,,,,,,
Jameson Williams,DET,WR,50,No,No,No,18,No,Yes,0.4444,0.5556,15,9,8,0.8889,0.5,8,0.8889,28,58,12,-35,2,0.25,,9,9,1,-3.8889,79.6,1.5556,3.1111,-1.4723,3.5,7.25,1.5,2,15.9991,15.9991,0.18,2.8,10.8,6.8,10.8,10.8,10.8,6.8,10.8,10.8,10.8,6.8,10.8,10.8,,,,1,,,,
Eric Gray,NYG,RB,7,Yes,No,No,5,No,Yes,0.2,,16,4,4,1,0.8,4,1,53,79,13,-26,2,0.5,0.8,4,4,1,-6.5,118.8,10.6,13.25,8.441,13.25,19.75,3.25,2,6.2213,6.2213,0.5714,5.3,9.3,7.3,11.3,9.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,,,,,,,,
Trenton Irwin,CIN,WR,10,Yes,No,No,2,No,Yes,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Ernest Johnson,JAX,RB,14,Yes,No,No,9,No,No,0.1111,0.1111,13,5,5,1,0.5556,5,1,25,51,12,-26,,,0.7778,5,5,1,-5.2,87.5,2.7778,5,-0.3111,5,10.2,2.4,1,7.4898,7.4898,0.3571,2.5,7.5,5,10,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,,,,,,,,
Theo Johnson,NYG,TE,28,Yes,No,No,9,No,Yes,0.1111,0.2222,12,3,3,1,0.3333,2,0.6667,19,27,4,-12,,,0.1111,3,3,1,-4,84,2.1111,6.3333,0.8084,9.5,13.5,2,1,6.3778,6.3778,0.1071,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,0.5556,1,,,,,,
Jahan Dotson,PHI,WR,21,Yes,No,No,9,No,Yes,0.6667,0.3333,17,5,5,1,0.5556,5,1,25,43,13,-18,2,0.4,,5,5,1,-3.6,87.5,2.7778,5,0.217,5,8.6,2.6,2,8.9701,8.9701,0.2381,2.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,,,,,,,,
