Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Scott Miller,PIT,WR,4,Yes,No,Yes,4,No,No,,,13,1,,0.25,7,0.25,0.75,1,7,,39.6,-7.0645,1.9492,1.9492,0.25,1,,,
Rashod Bateman,BLT,WR,8,No,Yes,No,8,Yes,No,,,13,2,,0.25,13,0.125,0.875,1,6.5,,39.6,-7.0836,3.266,3.266,0.25,,,,
Grant Calcaterra,PHI,TE,3,No,Yes,No,1,No,No,,,15,,,,,1,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,5,Yes,No,No,5,No,No,,,15,2,2,0.4,30,0.4,0.6,2,15,,39.6,-10.2899,5.8129,5.8129,0.4,2,,,
Mike Gesicki,CIN,TE,6,No,No,Yes,6,No,No,,,13,,,,,0.6667,0.3333,,,,,,,,,,,,
Deebo Samuel,WAS,WR,10,No,Yes,No,10,No,No,0.1,,16,1,,0.1,17,0.7,0.2,1,17,,39.6,-11.6653,2.0244,2.0244,0.1,,,,
Julius Chestnut,TEN,RB,3,No,Yes,No,1,No,No,,,17,1,,1,5,,1,,5,,39.6,-7.233,1.4355,1.4355,0.3333,,,,
Wan'Dale Robinson,NYG,WR,14,Yes,No,No,14,No,No,0.0714,,16,5,,0.3571,71,0.8571,0.0714,4,14.2,1,39.6,-9.3784,9.5765,9.5765,0.3571,,,,1
Devin Duvernay,CHI,WR,2,No,No,No,2,No,No,,,17,1,,0.5,12,,1,1,12,,39.6,-9.0461,1.6192,1.6192,0.5,,,,
Jake Tonges,SF,TE,6,No,No,No,6,No,No,,0.5,16,1,,0.1667,2,0.3333,0.1667,1,2,,39.6,-6.3701,1.4126,1.4126,0.1667,,,,
Ben Skowronek,PIT,WR,2,Yes,No,Yes,2,No,No,,,16,1,,0.5,4,1,,,4,,39.6,-6.0498,1.3495,1.3495,0.5,,,,
Beaux Collins,NYG,WR,1,No,No,No,1,No,No,,,9,,,,,,1,,,,,,,,,,,,
Roman Wilson,PIT,WR,4,No,No,No,4,No,No,,,13,,,,,0.25,0.75,,,,,,,,,,,,
Trey Benson,ARZ,RB,2,No,Yes,Yes,2,No,No,0.5,,4,,,,,0.5,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,9,No,No,No,3,No,No,1,,13,2,,0.6667,,,,1,,,39.6,-6.3143,3.3331,3.3331,0.2222,1,,,
RJ Harvey,DEN,RB,7,No,No,No,7,No,No,0.8571,,17,,,,,,0.1429,,,,,,,,,,,,
Mason Tipton,NO,WR,7,Yes,No,No,7,No,No,,,13,,,,,0.4286,0.5714,,,,,,,,,,,,
Savion Williams,GB,WR,1,No,No,Yes,1,No,No,,,12,,,,,1,,,,,,,,,,,,,
Derius Davis,LAC,WR,3,No,No,No,3,No,No,0.3333,,11,,,,,,0.6667,,,,,,,,,,,,
Kylen Granson,PHI,TE,2,No,Yes,No,2,No,No,,0.5,17,,,,,0.5,,,,,,,,,,,,,
Konata Mumpfield,LA,WR,4,No,Yes,No,4,No,No,,,17,2,,0.5,24,0.5,0.5,1,12,,39.6,-8.9241,4.9908,4.9908,0.5,,,,
Kaleb Johnson,PIT,RB,2,No,Yes,No,2,No,No,0.5,,10,,,,,0.5,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,8,Yes,Yes,Yes,4,No,No,1,,14,1,,0.25,16,,,,16,,39.6,-10.6667,2.1536,2.1536,0.125,,,,
Brenton Strange,JAX,TE,16,No,Yes,No,15,No,No,,0.6,12,2,,0.1333,9,0.3333,0.0667,2,4.5,,39.6,-6.2734,3.1235,3.1235,0.125,1,,,
Tory Horton,SEA,WR,6,No,No,No,5,No,No,,,8,2,,0.4,81,0.2,0.8,1,40.5,2,39.6,-13.3582,4.8632,4.8632,0.3333,,,,
Travis Kelce,KC,TE,14,No,No,No,13,No,No,0.0769,0.2308,17,5,,0.3846,51,0.4615,0.2308,3,10.2,1,39.6,-8.3015,9.9139,9.9139,0.3571,1,,,1
Tyreek Hill,MIA,WR,3,No,No,Yes,3,No,No,,,4,,,,,0.6667,0.3333,,,,,,,,,,,,
Cole Kmet,CHI,TE,18,No,No,No,10,No,No,0.1,0.5,16,3,,0.3,38,0.2,0.2,1,12.6667,1,39.6,-7.999,3.5609,3.5609,0.1667,,,,
Demarcus Robinson,SF,WR,7,Yes,Yes,No,7,No,No,,,14,3,,0.4286,34,0.7143,0.2857,1,11.3333,,39.6,-8.5983,5.5488,5.5488,0.4286,1,,,
Johnny Mundt,JAX,TE,5,No,Yes,No,4,No,No,,0.75,16,,,,,0.25,,,,,,,,,,,,,
Xavier Legette,CAR,WR,9,Yes,No,No,9,No,No,,,15,2,2,0.2222,42,0.2222,0.7778,2,21,1,,-11.0747,9.2328,9.2328,0.2222,2,,,
Rashid Shaheed,SEA,WR,11,Yes,Yes,No,11,No,No,,,18,2,,0.1818,24,0.3636,0.6364,2,12,1,39.6,-9.2552,4.1759,4.1759,0.1818,,1,0.5,
Gunnar Helm,TEN,TE,13,No,No,No,12,No,No,,0.5,16,,,,,0.3333,0.1667,,,,,,,,,,,,
Justin Jefferson,MIN,WR,18,No,No,No,18,No,No,,,17,6,1,0.3333,83,0.4444,0.5556,5,13.8333,1,39.6,-8.7086,13.345,13.345,0.3333,2,,,
Greg Dulcich,MIA,TE,4,Yes,Yes,Yes,3,No,No,,1,10,,,,,,,,,,,,,,,,,,
Brock Wright,DET,TE,4,Yes,No,No,2,No,No,,,11,,,,,1,,,,,,,,,,,,,
Brandin Cooks,BUF,WR,6,No,No,No,5,No,No,,,15,,,,,0.2,0.8,,,,,,,,,,,,
A.J. Brown,PHI,WR,17,No,No,No,16,No,No,,,15,6,,0.375,81,0.1875,0.8125,5,13.5,1,39.6,-9.1112,10.7861,10.7861,0.3529,1,,,
Luke McCaffrey,WAS,WR,6,No,No,No,6,No,No,,,9,2,,0.3333,27,0.6667,0.3333,2,13.5,,39.6,-9.7279,3.6922,3.6922,0.3333,,,,
Ryan Miller,TB,WR,1,No,Yes,No,1,No,No,,,13,1,,1,21,,1,1,21,1,39.6,-11.2393,1.6467,1.6467,1,,,,
David Njoku,CLV,TE,14,No,Yes,No,9,No,No,,0.6667,12,2,,0.2222,32,0.2222,0.1111,,16,1,39.6,-8.4317,3.6604,3.6604,0.1429,,,,
Brock Bowers,LV,TE,7,No,No,No,7,No,No,,0.1429,12,1,,0.1429,5,0.7143,0.1429,1,5,,39.6,-6.48,3.1029,3.1029,0.1429,,,,
Jalin Hyatt,NYG,WR,4,No,No,No,4,No,No,,,8,2,1,0.5,57,,1,2,28.5,1,,-12.8954,3.565,3.565,0.5,1,,,
Terrance Ferguson,LA,TE,8,No,No,No,7,No,No,,0.2857,13,2,1,0.2857,38,0.2857,0.4286,2,19,1,39.6,-11.1692,4.5969,4.5969,0.25,1,,,
Lucas Krull,DEN,TE,2,No,Yes,No,2,No,No,,1,3,1,,0.5,4,,,1,4,,39.6,-6.0667,1.4146,1.4146,0.5,,,,
Tyler Johnson,NYJ,WR,5,No,Yes,No,5,No,No,,,12,,,,,0.4,0.6,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,20,No,Yes,No,20,No,No,,0.45,17,3,,0.15,31,0.4,0.15,2,10.3333,,39.6,-9.097,4.7165,4.7165,0.15,,,,
Ke'Shawn Williams,CIN,WR,3,No,No,Yes,3,No,No,,,11,,,,,,1,,,,,,,,,,,,
Nick Kallerup,SEA,TE,1,Yes,Yes,Yes,1,No,No,,1,9,,,,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,2,No,Yes,Yes,2,No,No,1,,17,1,,0.5,1,,,,1,,39.6,-5.7294,1.5482,1.5482,0.5,,,,
Tony Pollard,TEN,RB,16,No,Yes,No,8,No,No,1,,17,1,,0.125,-3,,,,-3,,,-6.1191,1.454,1.454,0.0625,,,,
Ladd McConkey,LAC,WR,17,No,No,No,17,No,No,,,16,7,1,0.4118,81,0.8824,0.1176,5,11.5714,1,39.6,-8.2131,11.8442,11.8442,0.4118,1,,,
JuJu Smith-Schuster,KC,WR,13,No,No,No,13,No,No,,,17,1,,0.0769,16,0.5385,0.4615,1,16,,39.6,-10.0952,3.548,3.548,0.0769,1,,,
Romeo Doubs,GB,WR,12,No,Yes,No,12,Yes,No,,,16,4,,0.3333,55,0.1667,0.8333,2,13.75,,39.6,-9.2817,9.7773,9.7773,0.3333,1,,,1
Austin Trammell,JAX,WR,2,No,No,No,2,No,No,,,6,2,1,1,26,,1,1,13,1,39.6,-8.9869,3.2649,3.2649,1,1,,,
Kene Nwangwu,NYJ,RB,2,No,Yes,Yes,1,No,No,1,,10,,,,,,,,,,,,,,,,,,
Travis Vokolek,ARZ,TE,1,No,No,No,1,No,No,,1,3,,,,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,6,Yes,No,No,6,No,No,,,14,2,,0.3333,14,0.5,0.5,1,7,,39.6,-6.8825,3.0364,3.0364,0.3333,,,,
Noah Fant,CIN,TE,5,No,No,Yes,4,No,No,,0.25,15,,,,,0.5,0.25,,,,,,,,,,,,
Isaiah Likely,BLT,TE,4,Yes,No,Yes,4,No,No,,,14,1,,0.25,4,0.75,0.25,1,4,,39.6,-6.0667,1.4828,1.4828,0.25,,,,
George Kittle,SF,TE,9,Yes,Yes,No,8,No,No,,0.625,11,2,,0.25,12,0.25,0.125,1,6,,39.6,-6.9775,3.394,3.394,0.2222,,,,
Zaire Mitchell-Paden,NO,TE,2,No,Yes,Yes,1,Yes,No,1,,8,,,,,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,21,Yes,Yes,No,20,No,No,,0.5,17,6,2,0.3,64,0.35,0.15,5,10.6667,1,39.6,-8.6139,15.8888,15.8888,0.2857,3,,,
Keenan Allen,LAC,WR,12,No,No,No,12,No,No,,,17,2,,0.1667,26,0.1667,0.8333,1,13,,39.6,-9.4983,3.5111,3.5111,0.1667,,,,
Anthony Gould,IND,WR,2,No,No,No,2,No,No,,,11,,,,,1,,,,,,,,,,,,,
James Cook,BUF,RB,7,No,Yes,Yes,7,No,No,1,,17,2,,0.2857,23,,,1,11.5,,39.6,-8.2225,5.1412,5.1412,0.2857,,,,
Treylon Burks,WAS,WR,4,No,Yes,No,4,No,No,,,8,2,2,0.5,13,,1,2,6.5,,39.6,-7.0068,7.7966,7.7966,0.5,2,,,
Jared Wiley,KC,TE,2,No,No,No,1,No,No,,,4,,,,,,1,,,,,,,,,,,,
Michael Bandy,DEN,WR,1,No,Yes,No,1,No,No,,,4,,,,,1,,,,,,,,,,,,,
