Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsTotal,TouchdownsInEndzone
Jordan Mason,MIN,RB,9,Yes,Yes,Yes,6,No,Yes,,16,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,,,,
Tre Tucker,LV,WR,20,No,No,No,20,Yes,Yes,0.35,17,,3,1,3,1,0.15,1,,,0.3333,8,3,,32,2,0.65,3,10.6667,,42.4,0.4,2.6667,-5.9395,0.6667,8,3,,,5.2247,5.2247,0.15,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,1,,,,,,,
Michael Pittman,IND,WR,25,No,No,No,25,No,Yes,0.16,17,,5,2,5,1,0.2,3,1,,0.6,19,7,6,41,1,0.84,3,8.2,,67.9,0.76,3.8,-3.5744,0.2,6.3333,2.3333,2,2,6.9416,6.9416,0.2,1.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,,,1,0.3333,,,,,
Tim Jones,JAX,WR,1,Yes,No,No,1,No,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Washington,MIA,WR,5,No,No,Yes,5,No,Yes,0.4,17,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,1.5175,1.5175,,,,,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,11,No,No,No,10,No,Yes,0.1,17,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simi Fehoko,ARZ,WR,3,No,No,No,2,No,Yes,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,19,No,No,Yes,19,No,Yes,0.3158,15,0.3684,4,1,4,1,0.2105,3,1,,0.75,49,14,7,41,1,0.3158,4,10.25,1,115.6,2.5789,12.25,4.2328,0.25,16.3333,4.6667,2.3333,3,6.2682,6.2682,0.2105,4.9,7.9,6.4,7.9,9.4,7.9,6.4,7.9,7.9,7.9,6.4,9.4,7.9,,1,,,,,,,
Stone Smartt,NYJ,TE,3,Yes,No,No,2,Yes,Yes,0.5,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Patrick,JAX,WR,11,No,Yes,No,10,Yes,Yes,0.5,16,,3,2,3,1,0.3,,,,,,,,47,2,0.5,3,15.6667,,,,,-10.1104,0.6667,,,,,6.6197,6.6197,0.2727,,,,,,,,,,,,,,1,1,,,,,,,
Josh Reynolds,NYJ,WR,7,No,No,Yes,7,No,Yes,0.2857,5,,1,,1,1,0.1429,1,,,1,8,,,8,,0.7143,1,8,,100,1.1429,8,0.4894,,8,,,1,1.4645,1.4645,0.1429,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,
Noah Gray,KC,TE,17,No,No,No,12,Yes,Yes,0.1667,16,0.6667,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,,,1.8435,1.8435,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas,JAX,WR,29,No,Yes,No,29,Yes,Yes,0.2759,14,,6,2,6,1,0.2069,5,2,1,0.8333,54,33,-1,24,1,0.7241,5,4,,143.8,1.8621,9,2.8592,0.1667,10.8,6.6,-0.2,3,9.1883,9.1883,0.2069,11.4,16.4,13.9,16.4,16.4,16.4,13.9,16.4,16.4,16.4,13.9,16.4,16.4,,1,,,,,,1,
Chimere Dike,TEN,WR,17,No,Yes,No,16,Yes,Yes,0.6875,17,,2,,2,1,0.125,2,,,1,20,2,,18,,0.3125,2,9,,108.3,1.25,10,2.3102,,10,1,,1,5.2145,5.2145,0.1176,2,4,3,4,4,4,3,4,4,4,3,4,4,,1,,,,,,,
Dalton Kincaid,BUF,TE,9,Yes,No,No,9,Yes,Yes,0.6667,12,,4,3,4,1,0.4444,3,2,,0.75,46,4,1,64,,0.3333,3,16,2,152.1,5.1111,11.5,1.3755,,15.3333,1.3333,0.3333,2,8.7553,8.7553,0.4444,10.6,13.6,12.1,13.6,15.1,13.6,12.1,13.6,13.6,13.6,12.1,15.1,13.6,,1,,,,,,1,
Jakobi Meyers,JAX,WR,22,No,Yes,No,22,Yes,Yes,0.4091,16,,3,1,3,1,0.1364,2,,,0.6667,15,4,2,23,,0.5909,2,7.6667,,78.5,0.6818,5,-2.4527,,7.5,2,1,1,5.6278,5.6278,0.1364,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,2,,,,,,,
Hunter Henry,NE,TE,20,No,No,Yes,18,No,Yes,0.6111,17,0.2778,5,1,5,1,0.2778,5,1,,1,59,29,1,30,,0.0556,3,6,,115.8,3.2778,11.8,4.681,,11.8,5.8,0.2,4,8.3407,8.3407,0.25,5.9,10.9,8.4,10.9,13.4,10.9,8.4,10.9,10.9,10.9,8.4,13.4,10.9,,1,,,0.0556,,,,
DeAndre Hopkins,BLT,WR,15,No,No,No,15,Yes,Yes,0.5333,17,,3,1,3,1,0.2,3,1,,1,35,7,,28,,0.4667,3,9.3333,,115.3,2.3333,11.6667,3.8119,,11.6667,2.3333,,1,4.5631,4.5631,0.2,3.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,,,,,,,,,
Jahmyr Gibbs,DET,RB,14,No,No,No,10,No,No,,17,0.1,4,,4,1,0.4,3,,,0.75,31,43,3,-9,1,,3,-2.25,,96.9,3.1,7.75,1.9278,0.25,10.3333,14.3333,1,2,6.2474,6.2474,0.2857,3.1,6.1,4.6,7.6,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,,,,,0.9,1,0.25,,
Cody White,SEA,WR,1,No,No,No,1,Yes,Yes,,9,,1,,1,1,1,1,,,1,21,13,13,8,,1,1,8,,118.8,21,21,13.4894,,21,13,13,1,1.7034,1.7034,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,,1,1,,,,,
Zavier Scott,MIN,RB,5,Yes,Yes,Yes,5,No,Yes,,11,,2,,2,1,0.4,2,,,1,28,34,25,-6,,,2,-3,,118.8,5.6,14,8.5418,,14,17,12.5,2,2.9489,2.9489,0.4,2.8,4.8,3.8,5.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,1,2,1,1,1,0.5,,
Tay Martin,WAS,WR,3,Yes,No,No,1,No,Yes,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabe Davis,BUF,WR,10,Yes,No,No,10,Yes,Yes,0.2,6,,1,1,1,1,0.1,1,1,,1,2,,,11,,0.8,,11,,118.8,0.2,2,-6.3152,,2,,,1,3.8919,3.8919,0.1,6.2,7.2,6.7,7.2,7.2,7.2,6.7,7.2,7.2,7.2,6.7,7.2,7.2,1,1,,,,,,1,1
Ian Thomas,LV,TE,5,No,No,No,3,Yes,Yes,0.3333,15,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,32,No,No,No,32,Yes,Yes,0.2188,17,,10,1,10,1,0.3125,7,,,0.7,127,45,21,98,2,0.7812,6,9.8,2,112.5,3.9688,12.7,4.519,0.2,18.1429,6.4286,3,5,20.0519,20.0519,0.3125,12.7,19.7,16.2,19.7,19.7,22.7,19.2,19.7,19.7,19.7,16.2,19.7,19.7,,1,2,0.2857,,1,0.1,,
Michael Wilson,ARZ,WR,19,No,Yes,No,18,Yes,Yes,0.3333,17,,4,,4,1,0.2222,3,,,0.75,25,5,1,25,1,0.6667,4,6.25,,90.6,1.3889,6.25,-0.5554,0.25,8.3333,1.6667,0.3333,3,5.5886,5.5886,0.2105,2.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,,,,,,,,
Austin Hooper,NE,TE,5,No,No,Yes,5,No,Yes,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Watson,HST,WR,1,No,No,No,1,No,Yes,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,15,No,No,No,15,No,Yes,0.4,8,,7,1,7,1,0.4667,5,,,0.7143,46,22,4,31,1,0.6,5,4.4286,1,128.6,3.0667,6.5714,-0.1751,0.1429,9.2,4.4,0.8,4,14.5992,14.5992,0.4667,10.6,15.6,13.1,15.6,15.6,15.6,13.1,15.6,15.6,15.6,13.1,15.6,15.6,2,2,1,0.2,,3,0.4286,1,1
Britain Covey,PHI,WR,2,No,Yes,No,1,No,Yes,,6,,1,,1,1,1,,,,,,,,3,1,1,,3,,39.6,,,-5.4499,1,,,,,1.3214,1.3214,0.5,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,1,No,No,Yes,1,No,Yes,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ben Yurosek,MIN,TE,4,Yes,Yes,Yes,3,No,Yes,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,19,Yes,No,No,14,No,Yes,,15,,1,,1,1,0.0714,1,,,1,5,4,,1,,0.0714,,1,,87.5,0.3571,5,-0.7294,,5,4,,,1.4873,1.4873,0.0526,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,0.9286,,,,
Michael Mayer,LV,TE,13,No,No,No,11,Yes,Yes,0.3636,13,0.6364,3,,3,1,0.2727,2,,,0.6667,16,10,1,11,1,,1,3.6667,,119.4,1.4545,5.3333,-0.9723,0.3333,8,5,0.5,1,5.1664,5.1664,0.2308,7.6,9.6,8.6,9.6,10.6,9.6,8.6,9.6,9.6,9.6,8.6,10.6,9.6,,1,,,,,,1,
Jelani Woods,NYJ,TE,2,No,No,No,2,No,Yes,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,14,No,No,No,13,No,Yes,0.3077,12,,5,1,5,1,0.3846,3,1,,0.6,59,14,9,85,2,0.6923,4,17,3,101.3,4.5385,11.8,1.5565,0.4,19.6667,4.6667,3,3,7.9781,7.9781,0.3571,5.9,8.9,7.4,8.9,8.9,8.9,7.4,8.9,8.9,8.9,7.4,8.9,8.9,,,,,,,,,
Mo Alie-Cox,IND,TE,4,No,No,No,4,No,Yes,,17,1,1,,1,1,0.25,1,,,1,16,,,,,,1,,,118.8,4,16,16,,16,,,1,,,0.25,1.6,2.6,2.1,2.6,3.1,2.6,2.1,2.6,2.6,2.6,2.1,3.1,2.6,,,,,,,,,
Bryce Oliver,TEN,WR,2,No,Yes,No,2,Yes,Yes,,3,,1,,1,1,0.5,1,,,1,8,3,2,5,,1,1,5,,100,4,8,1.6372,,8,3,2,,1.4109,1.4109,0.5,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,
Ollie Gordon,MIA,RB,4,No,No,Yes,1,No,Yes,,17,,1,,1,1,1,1,,,1,5,7,3,-2,,,1,-2,,87.5,5,5,-1.198,,5,7,3,,1.5483,1.5483,0.25,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,1,1,1,1,1,,
Sean Tucker,TB,RB,5,No,Yes,Yes,3,No,Yes,,17,,1,,1,1,0.3333,1,,,1,4,6,2,-2,,,,-2,,83.3,1.3333,4,-2.198,,4,6,2,,1.4872,1.4872,0.2,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,1,,,,
Brashard Smith,KC,RB,6,No,No,No,6,Yes,Yes,0.1667,17,,3,,3,1,0.5,1,,,0.3333,6,3,1,14,1,0.1667,3,4.6667,,42.4,1,2,-4.5308,0.3333,6,3,1,1,4.9445,4.9445,0.5,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,1,,,0.6667,,,,
John FitzPatrick,GB,TE,9,No,No,No,6,No,Yes,0.1667,15,0.8333,1,,1,1,0.1667,1,,,1,5,-2,1,7,,,1,7,,87.5,0.8333,5,-2.3078,,5,-2,1,1,3.2366,3.2366,0.1111,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,1,,,,,,,
Tank Bigsby,PHI,RB,1,No,Yes,No,1,No,Yes,,16,,1,,1,1,1,,,,,,,,1,1,,,1,,39.6,,,-5.7294,1,,,,,1.5957,1.5957,1,,,,,,,,,,,,,,,,,,1,,,,
Cedrick Wilson,MIA,WR,3,No,No,Yes,3,No,Yes,0.3333,10,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,BUF,WR,7,Yes,No,No,7,Yes,Yes,0.2857,13,,4,1,4,1,0.5714,1,,,0.25,,8,,35,3,0.7143,4,8.75,,39.6,,,-7.5685,0.75,,8,,,5.8716,5.8716,0.5714,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,6,Yes,No,No,6,No,Yes,,10,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,23,Yes,Yes,Yes,23,No,Yes,0.2174,14,,5,1,5,1,0.2174,5,1,,1,111,15,3,96,,0.7826,4,19.2,2,118.8,4.8261,22.2,12.3641,,22.2,3,0.6,3,11.3169,11.3169,0.2174,11.1,16.1,13.6,16.1,16.1,19.1,16.6,16.1,16.1,16.1,13.6,16.1,16.1,,2,,,,,,,
Tyler Lockett,LV,WR,14,No,No,No,14,Yes,Yes,0.7857,17,,5,1,5,1,0.3571,2,,,0.4,9,1,,24,2,0.2143,5,4.8,,47.9,0.6429,1.8,-4.7178,0.4,4.5,0.5,,1,7.5185,7.5185,0.3571,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,,,,,
De'Von Achane,MIA,RB,11,No,No,No,9,Yes,Yes,0.1111,16,,1,,1,1,0.1111,1,,,1,3,4,3,-1,,0.2222,,-1,,79.2,0.3333,3,-2.819,,3,4,3,,1.554,1.554,0.0909,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,0.6667,,,,
Mike Evans,TB,WR,5,No,Yes,Yes,5,No,Yes,0.6,8,,1,1,1,1,0.2,,,,,,,,15,,0.4,,15,,39.6,,,-10.4097,,,,,,1.5507,1.5507,0.2,,,,,,,,,,,,,,,,,,,,,,
Xavier Smith,LA,WR,4,No,Yes,No,4,Yes,Yes,1,16,,1,,1,1,0.25,1,,,1,8,1,,7,,,,7,,100,2,8,0.9355,,8,1,,,1.5355,1.5355,0.25,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,
Kenneth Walker,SEA,RB,8,No,No,No,6,No,Yes,,17,0.1667,2,,2,1,0.3333,2,,,1,17,20,4,-3,,,1,-1.5,,102.1,2.8333,8.5,2.4915,,8.5,10,2,1,3.0015,3.0015,0.25,1.7,3.7,2.7,4.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,,,,,0.8333,,,,
Andrei Iosivas,CIN,WR,17,No,Yes,No,16,No,Yes,0.625,17,,2,,2,1,0.125,1,,,0.5,10,1,,18,1,0.375,2,9,,64.6,0.625,5,-2.4539,0.5,10,1,,,3.3439,3.3439,0.1176,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,,,,,,,,
Hunter Renfrow,CAR,WR,10,No,No,No,10,No,No,0.8,6,,1,,1,1,0.1,1,,,1,5,1,1,4,,0.2,1,4,,87.5,0.5,5,-1.0498,,5,1,1,1,1.4828,1.4828,0.1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,
Isaac TeSlaa,DET,WR,7,No,No,No,5,No,No,,17,,1,,1,1,0.2,1,,,1,12,,,15,,1,1,15,,156.3,2.4,12,1.5903,,12,,,1,2.255,2.255,0.1429,7.2,8.2,7.7,8.2,8.2,8.2,7.7,8.2,8.2,8.2,7.7,8.2,8.2,1,1,,,,,,1,1
Allen Lazard,NYJ,WR,6,No,No,No,6,No,Yes,0.3333,10,,2,1,2,1,0.3333,1,,,0.5,6,1,,37,1,0.6667,2,18.5,1,56.3,1,3,-5.1646,0.5,6,1,,,2.8432,2.8432,0.3333,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,1,,,,,,,
Darnell Mooney,ATL,WR,19,No,No,No,17,No,Yes,0.4118,15,,2,,2,1,0.1176,2,,,1,27,13,6,14,,0.5882,1,7,,118.8,1.5882,13.5,6.6175,,13.5,6.5,3,2,3.2363,3.2363,0.1053,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,,,,,,,,,
Jeremy Ruckert,NYJ,TE,8,Yes,No,No,5,Yes,Yes,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,4,No,No,No,4,No,No,0.25,15,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,NE,WR,14,No,No,Yes,14,No,Yes,0.3571,17,,4,,4,1,0.2857,3,,,0.75,71,30,3,47,1,0.6429,3,11.75,,116.7,5.0714,17.75,8.9725,0.25,23.6667,10,1,3,6.7602,6.7602,0.2857,7.1,10.1,8.6,10.1,10.1,10.1,8.6,10.1,10.1,10.1,8.6,10.1,10.1,,,,,,,,,
Kyle Monangai,CHI,RB,14,No,No,No,9,No,No,,17,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,
Ashton Jeanty,LV,RB,17,No,No,No,15,Yes,Yes,,17,,4,,4,1,0.2667,4,,,1,16,27,6,-11,,0.0667,1,-2.75,,83.3,1.0667,4,-1.7242,,4,6.75,1.5,1,6.5052,6.5052,0.2353,1.6,5.6,3.6,7.6,5.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,,1,,,0.9333,,,,
Ben Sinnott,WAS,TE,3,No,Yes,No,2,No,Yes,0.5,16,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,9,No,No,No,8,No,Yes,0.625,8,,2,1,2,1,0.25,1,,,0.5,4,2,,19,,0.375,2,9.5,,56.3,0.5,2,-6.4999,,4,2,,,2.8925,2.8925,0.2222,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,
Jaylin Noel,HST,WR,3,No,No,No,3,No,Yes,0.6667,17,,1,,1,1,0.3333,1,,,1,-1,1,1,-2,,0.3333,1,-2,,79.2,-0.3333,-1,-6.4991,,-1,1,1,,1.4274,1.4274,0.3333,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,,,,,1,1,,
Daniel Bellinger,NYG,TE,15,Yes,No,No,13,No,Yes,0.3077,16,0.3846,3,,3,1,0.2308,3,,,1,42,22,2,20,,0.2308,2,6.6667,,118.8,3.2308,14,6.5306,,14,7.3333,0.6667,3,4.2978,4.2978,0.2,4.2,7.2,5.7,7.2,8.7,7.2,5.7,7.2,7.2,7.2,5.7,8.7,7.2,,1,,,0.0769,,,,
Drew Sample,CIN,TE,15,No,Yes,No,10,No,Yes,,17,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,
Dylan Drummond,ATL,WR,4,No,No,No,4,No,Yes,0.25,9,,1,,1,1,0.25,1,,,1,3,7,1,-4,,0.75,1,-4,,79.2,0.75,3,-1.4851,,3,7,1,,1.6722,1.6722,0.25,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,1,,,,1,1,,
Devontez Walker,BLT,WR,5,No,No,No,5,Yes,Yes,0.2,11,,1,1,1,1,0.2,,,,,,,,46,,0.8,1,46,1,39.6,,,-15,,,,,,2.5,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,5,No,No,No,4,No,Yes,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Tanner Hudson,CIN,TE,2,No,Yes,No,1,No,Yes,,13,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,4,No,Yes,No,4,No,Yes,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,12,No,Yes,No,11,No,Yes,0.0909,17,,3,2,3,1,0.2727,2,1,,0.6667,19,15,5,29,,0.0909,2,9.6667,1,123.6,1.7273,6.3333,0.2938,,9.5,7.5,2.5,1,5.836,5.836,0.25,7.9,9.9,8.9,10.9,9.9,9.9,8.9,9.9,9.9,9.9,8.9,9.9,9.9,1,1,,,0.8182,,,1,
Will Shipley,PHI,RB,4,No,Yes,No,3,No,Yes,0.3333,15,,1,,1,1,0.3333,1,,,1,-1,5,1,-6,,,1,-6,,79.2,-0.3333,-1,-6.0893,,-1,5,1,,1.3783,1.3783,0.25,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,,,,0.6667,1,1,,
Kyren Williams,LA,RB,15,No,Yes,No,13,Yes,Yes,0.1538,17,,1,,1,1,0.0769,1,,,1,5,1,,4,,,,4,,87.5,0.3846,5,-1.6619,,5,1,,,1.6424,1.6424,0.0667,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,1,,,0.8462,,,,
Payne Durham,TB,TE,3,No,Yes,Yes,3,No,Yes,0.3333,17,0.6667,1,,1,1,0.3333,1,,,1,11,11,1,,,,1,,,112.5,3.6667,11,5.711,,11,11,1,1,1.4663,1.4663,0.3333,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,,,,,
Tucker Kraft,GB,TE,14,Yes,No,No,13,No,Yes,0.2308,8,0.7692,2,,2,1,0.1538,2,,,1,20,7,3,13,,,1,6.5,,108.3,1.5385,10,2.3731,,10,3.5,1.5,,2.9519,2.9519,0.1429,2,4,3,4,5,4,3,4,4,4,3,5,4,,,,,,,,,
Dawson Knox,BUF,TE,14,Yes,No,No,13,Yes,Yes,0.3077,17,0.5385,6,,6,1,0.4615,5,,,0.8333,83,37,5,59,1,0.1538,4,9.8333,,118.8,6.3846,13.8333,5.3233,0.1667,16.6,7.4,1,5,8.8504,8.8504,0.4286,8.3,13.3,10.8,13.3,15.8,13.3,10.8,13.3,13.3,13.3,10.8,15.8,13.3,,,1,0.2,,,,,
Noah Brown,WAS,WR,6,Yes,Yes,No,4,Yes,Yes,0.5,4,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,21,No,Yes,Yes,21,No,Yes,0.381,17,,5,1,5,1,0.2381,3,,,0.6,34,21,7,38,1,0.619,4,7.6,,120,1.619,6.8,-0.7655,0.2,11.3333,7,2.3333,1,7.2269,7.2269,0.2381,9.4,12.4,10.9,12.4,12.4,12.4,10.9,12.4,12.4,12.4,10.9,12.4,12.4,,,,,,1,0.2,1,
Malik Davis,DAL,RB,7,Yes,Yes,No,4,Yes,Yes,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Dontayvion Wicks,GB,WR,13,No,Yes,No,12,No,Yes,0.4167,14,,3,,3,1,0.25,2,,,0.6667,22,4,,33,,0.5833,3,11,,48.6,1.8333,7.3333,-1.4683,,11,2,,1,4.4138,4.4138,0.2308,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,,,,,,,,,
Trey McBride,ARZ,TE,19,No,Yes,No,18,Yes,Yes,0.7778,17,0.0556,6,1,6,1,0.3333,5,1,,0.8333,28,14,9,17,1,0.1667,6,2.8333,,125.7,1.5556,4.6667,-1.5218,0.1667,5.6,2.8,1.8,2,8.815,8.815,0.3158,8.8,13.8,11.3,13.8,16.3,13.8,11.3,13.8,13.8,13.8,11.3,16.3,13.8,,1,2,0.4,,2,0.3333,1,
John Bates,WAS,TE,9,No,Yes,No,4,No,Yes,0.25,15,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dont'e Thornton,LV,WR,6,No,No,No,6,Yes,Yes,0.1667,15,,1,,1,1,0.1667,1,,,1,7,2,2,5,,0.8333,,5,,95.8,1.1667,7,0.6372,,7,2,2,1,1.4446,1.4446,0.1667,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,1,,,,,,,
Cam Skattebo,NYG,RB,8,No,No,Yes,6,No,Yes,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
