Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Cedric Tillman,CLV,WR,13,No,No,No,13,1,No,No,0.0769,2,,,,,2,39.6,-5.3344,1.3748,1.3748,0.0769,13,,0.2308,0.7692,,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,5,No,No,No,5,1,No,No,0.2,9,,1,,,9,39.6,-7.4539,1.5691,1.5691,0.2,7,,0.2,0.8,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,11,No,No,No,11,2,No,No,0.1818,23,,1,,,11.5,39.6,-8.6336,3.2519,3.2519,0.1818,9,,0.3636,0.6364,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,9,No,No,No,9,3,No,No,0.3333,48,,3,,,16,39.6,-9.3757,5.0513,5.0513,0.3333,10,,0.4444,0.5556,1,,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,14,No,No,No,11,4,No,No,0.3636,46,,3,,,11.5,,-9.2149,6.5354,6.5354,0.2857,16,,0.4545,0.0909,,0.4545,,1,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,16,No,No,No,15,3,No,No,0.2,13,,3,1,0.3333,4.3333,,-7.384,4.9202,4.9202,0.1875,17,,0.4667,0.2,,0.3333,,1,,,,,,,,,,,,,
Dante Pettis,NO,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,,8,,0.6667,0.3333,,,,,,,,,,,,,,,,,
Brayden Willis,SF,TE,1,No,No,Yes,1,1,No,No,1,2,,1,,,2,39.6,-6.3701,1.5,1.5,1,6,,1,,,,,,,,,,,,,,,,,,
Dalen Cambre,NYG,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,
TreVeyon Henderson,NE,RB,4,Yes,Yes,No,4,,No,No,,,0.75,,,,,,,,,,17,,,0.25,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,2,Yes,Yes,Yes,2,,No,No,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,
Devin Neal,NO,RB,6,No,No,No,6,,Yes,No,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,13,No,No,No,11,1,No,No,0.0909,16,,1,,,16,39.6,-10.191,1.8493,1.8493,0.0769,15,,0.2727,0.1818,,0.5455,,,,,,,,,,,,,,,
Albert Okwuegbunam,LV,TE,3,No,No,No,3,1,No,No,0.3333,19,,1,,,19,39.6,-10.5955,2.4895,2.4895,0.3333,1,,0.6667,,,0.3333,1,1,,,,,,,,,,,,,
Raheim Sanders,CLV,RB,2,No,No,No,2,,No,No,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
Tyler Warren,IND,TE,23,No,No,No,22,5,No,No,0.2273,42,0.0455,4,,,8.4,,-7.6306,8.8072,8.8072,0.2174,17,,0.6364,0.2273,,0.0909,1,1,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,12,No,No,No,10,2,No,No,0.2,15,,1,,,7.5,39.6,-6.9314,3.193,3.193,0.1667,16,,0.6,0.4,,,,1,,,,,,,,,,,,,
Theo Wease,MIA,WR,2,Yes,Yes,No,2,,No,No,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,
DJ Giddens,IND,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez,WAS,RB,7,No,No,No,6,1,No,No,0.1667,14,1,,,,14,,-9.9318,1.6867,1.6867,0.1429,13,,,,,,,1,,,,,,,,,,,,,
Jaylin Lane,WAS,WR,14,No,Yes,No,12,3,No,No,0.25,17,,2,,,5.6667,39.6,-6.5178,3.9971,3.9971,0.2143,15,,0.1667,0.8333,,,,,,,,,,,,,,,,,
Bo Melton,GB,WR,1,Yes,Yes,Yes,1,1,No,No,1,17,,,,,17,39.6,-11.6653,1.6671,1.6671,1,9,,1,,,,,,,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,16,No,No,No,16,3,No,No,0.1875,29,,1,,,9.6667,39.6,-8.2193,4.6319,4.6319,0.1875,13,,0.5625,0.4375,,,,,,,,,,,,,,,,,
Drake London,ATL,WR,15,No,No,No,14,9,No,No,0.6429,107,,7,,,11.8889,,-8.6408,17.7398,17.7398,0.6,12,2,0.4286,0.5714,2,,1,1,,,,,,,,,,,,,
Alec Pierce,IND,WR,25,No,No,No,25,9,No,No,0.36,234,,8,,,26,,-11.3122,18.3378,18.3378,0.36,15,6,0.12,0.88,4,,2,1,,,,,,,,,,,,,
Sterling Shepard,TB,WR,17,No,No,No,17,2,No,No,0.1176,59,,,,,29.5,39.6,-11.9573,4.1922,4.1922,0.1176,13,,0.2941,0.7059,1,,,,,,,,,,,,,,,,
Khalil Shakir,BUF,WR,19,No,No,No,19,4,Yes,No,0.2105,56,0.0526,2,,,14,,-9.2853,7.2794,7.2794,0.2105,16,,0.6842,0.2632,1,,,1,,,,,,,,,,,,,
Tez Johnson,TB,WR,13,No,No,No,13,,No,No,,,,,,,,,,,,,16,,0.5385,0.4615,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,22,No,No,No,20,3,No,No,0.15,6,0.65,1,1,0.3333,2,,-6.6786,4.3657,4.3657,0.1364,17,1,0.3,0.05,,,,,,,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,9,No,No,No,7,4,No,No,0.5714,66,,2,,,16.5,39.6,-9.8448,7.3608,7.3608,0.4444,17,,,1,1,,,,,,,,,,,,,,,,
Brycen Tremayne,CAR,WR,2,No,No,No,2,1,No,No,0.5,13,,1,,,13,39.6,-8.9145,1.5258,1.5258,0.5,16,,,1,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,2,No,No,No,2,,Yes,No,,,,,,,,,,,,,9,,0.5,0.5,,,,,,,,,,,,,,,,,
Jackson Hawes,BUF,TE,3,Yes,Yes,No,2,1,Yes,No,0.5,27,,1,,,27,39.6,-13.5682,2.4588,2.4588,0.3333,17,1,,,1,1,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,22,No,No,No,22,7,No,No,0.3182,79,,6,,,11.2857,,-8.5207,16.4423,16.4423,0.3182,17,,0.2273,0.7727,1,,1,1,,,,,,,,,,,,,
AJ Dillon,PHI,RB,2,No,No,No,1,,No,No,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,
Dee Eskridge,MIA,WR,5,No,No,No,5,1,No,No,0.2,6,,,,,6,39.6,-6.9491,1.5063,1.5063,0.2,13,,,1,,,,,,,,,,,,,,,,,
Grant Calcaterra,PHI,TE,4,No,No,No,4,,No,No,,,,,,,,,,,,,15,,0.25,0.25,,0.5,,,,,,,,,,,,,,,
Rashod Bateman,BLT,WR,6,No,No,No,5,1,No,No,0.2,7,,1,,,7,39.6,-7.0645,1.3262,1.3262,0.1667,13,,0.2,0.8,,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,21,No,Yes,Yes,21,9,No,No,0.4286,115,,9,,,12.7778,,-8.2372,17.8345,17.8345,0.4286,16,,0.1905,0.8095,2,,1,1,,,,,,,,,,,,,
Tee Higgins,CIN,WR,20,No,No,No,20,6,No,No,0.3,87,,6,,,14.5,,-9.159,11.8163,11.8163,0.3,15,2,0.15,0.85,1,,1,2,,,,,,,,,,,,,
Scott Miller,PIT,WR,5,No,No,No,5,,No,No,,,,,,,,,,,,,13,,0.2,0.8,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,5,No,No,No,5,,No,No,,,0.8,,,,,,,,,,15,,,0.2,,,,,,,,,,,,,,,,,
Cade Stover,HST,TE,2,No,No,No,2,,No,No,,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,
Jerome Ford,CLV,RB,6,No,No,No,3,,No,No,,,0.6667,,,,,,,,,,13,,,0.3333,,,,,,,,,,,,,,,,,
George Pickens,DAL,WR,26,No,No,No,26,8,No,No,0.3077,108,,7,,,13.5,,-9.0176,19.8612,19.8612,0.3077,17,,0.0769,0.9231,2,,2,5,,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,10,No,No,No,4,1,No,No,0.25,7,1,,,,7,,-7.3641,1.5573,1.5573,0.1,17,,,,,,,,,,,,,,,,,,,,
Rico Dowdle,CAR,RB,6,No,No,No,4,1,No,No,0.25,-3,1,1,1,1,-3,39.6,-6.1191,1.488,1.488,0.1667,17,,,,,,,,,,,,,,,,,,,,
Chris Olave,NO,WR,23,No,Yes,No,22,10,No,No,0.4545,189,,9,,,18.9,,-10.7558,20.5612,20.5612,0.4545,16,1,0.2273,0.7727,2,,2,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Ricky Pearsall,SF,WR,13,No,No,Yes,13,6,No,No,0.4615,125,,3,,,20.8333,,-10.6198,19.0391,19.0391,0.4615,9,,0.2308,0.7692,4,,3,2,,,,,,,,,,,,,
Roman Wilson,PIT,WR,7,No,No,No,7,2,No,No,0.2857,49,,1,,,24.5,39.6,-11.1581,3.4854,3.4854,0.2857,13,,,1,2,,,,,,,,,,,,,,,,
Trey Benson,ARZ,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
Jake Tonges,SF,TE,9,No,No,Yes,9,2,No,No,0.2222,19,,2,,,9.5,39.6,-8.3809,4.6701,4.6701,0.2222,16,,0.6667,,,0.3333,,,,,,,,,,,,,,,
Ben Skowronek,PIT,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,16,,0.5,0.5,,,,,,,,,,,,,,,,,
Beaux Collins,NYG,WR,4,No,No,No,4,1,No,No,0.25,38,,1,,,38,39.6,-11.7164,2.5263,2.5263,0.25,9,,0.5,0.5,1,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,25,No,No,No,25,10,No,No,0.4,214,0.04,8,,,21.4,,-10.5977,22.0378,22.0378,0.4,16,2,0.52,0.44,6,,2,2,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,16,No,No,No,16,5,No,No,0.3125,84,,4,,,16.8,,-11.8575,8.7421,8.7421,0.3125,13,,0.8125,0.1875,1,,,1,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,21,No,No,No,21,6,No,No,0.2857,89,,5,,,14.8333,,-9.1085,10.9373,10.9373,0.2857,16,1,0.6667,0.3333,2,,1,,,,,,,,,,,,,,
Devin Duvernay,CHI,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,17,,,1,,,,,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,12,No,No,No,12,4,No,No,0.3333,101,,2,,,25.25,,-11.5043,8.6073,8.6073,0.3333,15,1,0.4167,0.5833,2,,,,,,,,,,,,,,,,
Tory Horton,SEA,WR,6,No,Yes,Yes,6,3,No,No,0.5,56,,3,,,18.6667,39.6,-9.7096,6.7904,6.7904,0.5,8,,0.1667,0.8333,1,,1,1,,,,,,,,,,,,,
Travis Kelce,KC,TE,24,No,Yes,No,21,3,Yes,No,0.1429,19,,3,1,0.3333,6.3333,,-7.9992,6.2,6.2,0.125,17,,0.4286,0.4286,1,0.1429,,,,,,,,,,,,,,,
Cole Kmet,CHI,TE,9,No,No,No,5,2,No,No,0.4,39,,1,,,19.5,,-11.1789,5.0837,5.0837,0.2222,16,,,0.4,1,0.6,1,1,,,,,,,,,,,,,
Tyreek Hill,MIA,WR,7,No,Yes,Yes,7,,No,No,,,,,,,,,,1.4216,1.4216,,4,,0.5714,0.4286,,,,,,,,,,,,,,,,,
Brenton Strange,JAX,TE,14,No,No,No,13,,No,No,,,,,,,,,,,,,12,,0.4615,0.0769,,0.4615,,,,,,,,,,,,,,,
Demarcus Robinson,SF,WR,10,No,No,No,10,1,No,No,0.1,32,,,,,32,39.6,-9.9663,1.7727,1.7727,0.1,14,,0.2,0.8,1,,,,,,,,,,,,,,,,
Kaleb Johnson,PIT,RB,2,No,No,Yes,1,,No,No,,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,9,Yes,Yes,No,5,,No,No,,,1,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,4,No,No,No,3,,No,No,,,,,,,,,,,,,17,,0.6667,,,0.3333,,,,,,,,,,,,,,,
Konata Mumpfield,LA,WR,9,No,No,No,8,1,No,No,0.125,16,,1,,,16,39.6,-10.0952,1.7787,1.7787,0.1111,17,,0.375,0.625,,,,,,,,,,,,,,,,,
Derius Davis,LAC,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,
Savion Williams,GB,WR,1,Yes,No,No,1,,No,No,,,1,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,8,No,No,No,6,,No,No,,,1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
RJ Harvey,DEN,RB,9,No,No,No,8,,No,No,,,0.75,,,,,,,,,,17,,0.25,,,,,,,,,,,,,,,,,,
Mason Tipton,NO,WR,3,No,No,Yes,3,1,No,No,0.3333,15,,1,,,15,,-10.4097,2.0314,2.0314,0.3333,13,,0.3333,0.6667,,,,,,,,,,,,,,,,,
Terrance Ferguson,LA,TE,5,No,No,No,5,1,No,No,0.2,3,,1,,,3,,-6.3218,1.3971,1.3971,0.2,13,,0.4,,,0.6,,,,,,,,,,,,,,,
David Njoku,CLV,TE,14,No,No,No,13,6,No,No,0.4615,56,,3,,,9.3333,,-7.952,9.2623,9.2623,0.4286,12,,0.3846,0.2308,1,0.3846,,1,,,,,,,,,,,,,
Brock Bowers,LV,TE,25,No,Yes,No,23,6,No,No,0.2609,61,,6,,,10.1667,,-8.3423,8.9408,8.9408,0.24,12,1,0.4348,0.1739,1,0.3913,,,,,,,,,,,,,,,
Jalin Hyatt,NYG,WR,5,No,No,No,5,2,No,No,0.4,46,,1,,,23,,-11.5035,2.4631,2.4631,0.4,8,,0.2,0.8,1,,,,,,,,,,,,,,,,
Ryan Miller,TB,WR,2,No,No,No,1,1,No,No,1,15,,,,,15,39.6,-10.4097,1.7196,1.7196,0.5,13,,,1,,,,,,,,,,,,,,,,,
Brock Wright,DET,TE,3,No,No,No,2,,No,No,,,,,,,,,,,,,11,,0.5,0.5,,,,,,,,,,,,,,,,,
Brandin Cooks,BUF,WR,14,No,No,No,14,1,Yes,No,0.0714,22,,1,,,22,39.6,-11.9241,1.4435,1.4435,0.0714,15,,0.7143,0.2857,1,,,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,19,No,No,No,18,8,Yes,No,0.4444,114,,7,,,14.25,,-9.0819,15.052,15.052,0.4211,15,1,0.3333,0.6667,2,,,,,,,,,,,,,,,,
Luke McCaffrey,WAS,WR,4,No,Yes,Yes,3,,No,No,,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,
Greg Dulcich,MIA,TE,7,Yes,Yes,No,7,,No,No,,,,,,,,,,,,,10,,0.5714,0.1429,,0.2857,,,,,,,,,,,,,,,
Samori Toure,NO,WR,3,No,No,No,3,2,No,No,0.6667,34,,2,,,17,,-9.4713,2.9828,2.9828,0.6667,1,,0.6667,0.3333,1,,,1,,,,,,,,,,,,,
Rashid Shaheed,SEA,WR,29,No,No,No,29,8,No,No,0.2759,129,,5,,,16.125,,-9.4145,18.1254,18.1254,0.2759,18,,0.5517,0.4483,3,,1,,,,,,,,,,,,,,
Gunnar Helm,TEN,TE,8,No,Yes,No,5,,No,No,,,,,,,,,,,,,16,,0.8,,,0.2,,,,,,,,,,,,,,,
Justin Jefferson,MIN,WR,22,Yes,Yes,Yes,20,7,No,No,0.35,96,,4,,,13.7143,,-8.8033,13.2215,13.2215,0.3182,17,1,0.3,0.7,1,,1,1,,,,,,,,,,,,,
Xavier Legette,CAR,WR,13,No,No,No,12,5,No,No,0.4167,65,,4,,,13,,-9.1919,11.0219,11.0219,0.3846,15,,0.4167,0.5833,1,,2,2,,,,,,,,,,,,,
Johnny Mundt,JAX,TE,5,No,No,No,5,1,No,No,0.2,16,,,,,16,39.6,-10.191,1.7886,1.7886,0.2,16,,0.2,0.2,,0.6,,,,,,,,,,,,,,,
Durham Smythe,CHI,TE,5,No,No,No,5,,No,No,,,,,,,,,,,,,17,,0.2,,,0.8,,,,,,,,,,,,,,,
Alex Bachman,LV,WR,1,No,Yes,No,1,1,Yes,No,1,5,,,,,5,39.6,-6.3628,1.3673,1.3673,1,13,,,1,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,2,Yes,No,No,2,1,No,No,0.5,11,,1,,,11,,-8.3152,1.6,1.6,0.5,6,,0.5,0.5,,,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,4,Yes,Yes,No,2,1,Yes,No,0.5,7,1,,,,7,39.6,-7.3641,1.4409,1.4409,0.25,17,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,10,No,No,No,9,,No,No,,,0.6667,,,,,,,,,,17,,0.3333,,,,,,,,,,,,,,,,,,
Romeo Doubs,GB,WR,13,No,No,No,13,5,No,No,0.3846,125,,3,,,25,,-10.9718,12.0219,12.0219,0.3846,16,2,0.1538,0.8462,2,,,1,,,,,,,,,,,,,
Drake Dabney,GB,TE,1,Yes,Yes,Yes,1,1,No,No,1,8,,,,,8,39.6,-7.7205,1.8727,1.8727,1,2,,,,,1,,1,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,17,No,No,No,17,6,No,No,0.3529,102,,2,,,17,,-9.8267,19.6439,19.6439,0.3529,16,,0.7059,0.2941,2,,3,3,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,13,No,Yes,No,12,2,Yes,No,0.1667,14,,1,,,7,,-6.8825,4.9499,4.9499,0.1538,17,,0.4167,0.5833,,,1,1,,,,,,,,,,,,,
Nick Kallerup,SEA,TE,2,No,No,No,1,,No,No,,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,1,No,No,No,1,,No,No,,,,,,,,,,3.0723,3.0723,,3,,,,,1,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,5,No,No,Yes,5,,No,No,,,,,,,,,,,,,12,,0.4,0.6,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,18,No,No,No,17,3,No,No,0.1765,17,,3,2,0.6667,5.6667,39.6,-7.097,5.1894,5.1894,0.1667,17,,0.7647,0.1765,1,0.0588,,,,,,,,,,,,,,,
Treylon Burks,WAS,WR,9,No,No,No,9,2,No,No,0.2222,22,,1,,,11,,-8.5222,3.1481,3.1481,0.2222,8,,0.2222,0.7778,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,7,Yes,Yes,No,7,,Yes,No,,,1,,,,,,,1.5281,1.5281,,17,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,11,No,No,No,9,,No,No,,,,,,,,,,,,,11,,0.3333,0.2222,,0.4444,,,,,,,,,,,,,,,
Zaire Mitchell-Paden,NO,TE,2,No,No,No,1,,No,No,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,19,No,No,No,18,,No,No,,,,,,,,,,,,,17,,0.3889,0.1111,,0.5,,,,,,,,,,,,,,,
Anthony Gould,IND,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,
Keenan Allen,LAC,WR,17,No,No,No,17,7,No,No,0.4118,69,,6,,,9.8571,,-7.7395,15.254,15.254,0.4118,17,,0.4706,0.5294,1,,2,2,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,6,No,No,No,5,,No,No,,,,,,,,,,,,,14,,0.4,0.4,,0.2,,,,,,,,,,,,,,,
Noah Fant,CIN,TE,7,No,No,No,6,2,No,No,0.3333,19,,2,,,9.5,39.6,-8.2564,2.8948,2.8948,0.2857,15,,,0.1667,,0.8333,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,21,No,No,No,21,7,No,No,0.3333,88,,5,,,12.5714,,-8.7093,15.6442,15.6442,0.3333,14,1,0.2381,0.7619,2,,2,2,,,,,,,,,,,,,
Nick Vannett,LA,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,
