Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAirTotal,AverageDepthOfTarget,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,TouchdownsInEndzone
Sterling Shepard,TB,WR,8,No,Yes,No,5,No,Yes,0.2,13,3,3,1,0.6,2,0.6667,33,,,,0.8,2,,,103.5,6.6,11,1.5807,16.5,,,4.4831,4.4831,0.375,3.3,5.3,4.3,5.3,5.3,5.3,4.3,5.3,5.3,5.3,4.3,5.3,5.3,39,13,2,,,1,,,,,,,,,,
Brycen Tremayne,CAR,WR,2,Yes,No,Yes,2,No,Yes,,16,1,1,1,0.5,1,1,8,4,2,,1,1,,,100,4,8,1.9502,8,4,2,1.4508,1.4508,0.5,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,4,4,1,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,9,No,No,No,9,No,Yes,0.8889,17,2,2,1,0.2222,2,1,29,4,,,0.1111,1,,,118.8,3.2222,14.5,5.7255,14.5,2,,3.6019,3.6019,0.2222,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,25,12.5,2,,,,,,,,,,,,,
Sam LaPorta,DET,TE,15,Yes,No,No,14,Yes,Yes,0.2143,9,1,1,1,0.0714,1,1,14,12,7,0.5,0.2857,1,,,118.8,1,14,7.6299,14,12,7,1.5302,1.5302,0.0667,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,2,2,1,,,,,,,,,,1,1,,
Jackson Hawes,BUF,TE,3,Yes,No,No,2,Yes,Yes,0.5,17,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Eskridge,MIA,WR,2,No,No,No,2,No,No,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Dwelley,DET,TE,3,No,No,No,3,Yes,Yes,,10,1,1,1,0.3333,,,,,,1,,1,,,39.6,,,-5.7754,,,,1.3873,1.3873,0.3333,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,
Rashod Bateman,BLT,WR,9,Yes,No,Yes,7,No,Yes,0.8571,13,1,1,1,0.1429,1,1,15,,,,0.1429,1,,,118.8,2.1429,15,4.5903,15,,,1.6356,1.6356,0.1111,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,15,15,,,,1,1,,,,1,,,,,
Grant Calcaterra,PHI,TE,5,Yes,Yes,No,3,Yes,Yes,0.3333,15,1,1,1,0.3333,1,1,16,12,3,0.3333,0.3333,1,,,118.8,5.3333,16,9.9333,16,12,3,1.5677,1.5677,0.2,1.6,2.6,2.1,2.6,3.1,2.6,2.1,2.6,2.6,2.6,2.1,3.1,2.6,4,4,1,,,,,,,,,,,,,
Cade Stover,HST,TE,4,Yes,No,No,4,No,Yes,,9,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
