Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,InterceptionsTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,TowThrowPercentage,AttemptsInEndzoneTotal,HeroThrowPercentage
Geno Smith,LV,QB,96,96,96,0.875,75,0.7812,0.8526,0.0767,96,708,7.375,0.4266,5.7083,580,No,Yes,34.0331,-0.167,No,0.7083,2.6302,6.0729,83.5,No,Yes,28.32,28.32,28.32,28.32,28.32,31.32,31.32,24.32,24.32,24.32,24.32,35.4,31.4,15,1,18,0.1875,0.1146,0.6875,2.3611,38,4,,,49,0.0625,0.0104,0.0417,,
Justin Herbert,LAC,QB,96,96,96,0.8438,75,0.7812,0.8316,0.076,96,692,7.2083,0.315,6.4271,670,No,Yes,33.4638,-0.0465,Yes,0.6771,2.5958,7.0833,94.1,No,No,36.68,36.68,36.68,36.68,36.68,39.68,39.68,33.68,33.68,33.68,33.68,43.6,40.6,16,3,29,0.3021,0.125,0.7708,2.3414,33,3,3,0.0312,21,0.0417,,0.0417,2,0.0208
Patrick Mahomes,KC,QB,84,84,84,0.8452,63,0.75,0.8333,0.0792,84,688,8.1905,0.3648,7.8929,586,Yes,No,27.8405,-0.1052,No,0.7262,2.4964,6.9762,97.7,No,Yes,30.52,30.52,30.52,30.52,30.52,33.52,33.52,29.52,29.52,29.52,29.52,37.4,36.4,14,1,19,0.2262,0.119,0.7143,2.5895,38,1,1,0.0119,53,0.0833,0.0714,0.0357,1,0.0119
J.J. McCarthy,MIN,QB,31,31,31,0.7742,22,0.7097,0.7742,0.0103,31,212,6.8387,0.3443,6.8387,205,No,No,12.0703,0.03,No,0.5484,2.8323,6.6129,89.7,No,Yes,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,10.6,10.6,10,,13,0.4194,0.1935,0.7419,2.5923,12,,,,11,0.0645,0.0323,,1,
Matthew Stafford,LA,QB,81,81,81,0.9136,65,0.8025,0.8395,0.0687,81,572,7.0617,0.3112,6.5062,514,Yes,No,26.2751,-0.0898,No,0.642,2.4556,6.3457,90.9,Yes,Yes,21.88,21.88,21.88,21.88,21.88,24.88,24.88,20.88,20.88,20.88,20.88,27.6,26.6,17,,19,0.2346,0.0741,0.6667,2.5053,32,1,1,0.0123,21,0.037,,0.0247,,0.0123
Aidan O'Connell,LV,QB,5,5,5,1,3,0.6,0.8,0.0981,5,35,7,0.1143,7,50,No,No,1.574,-0.3148,No,1,2.4,10,81.3,No,Yes,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,1,,,,,,,2,,,,5,0.2,,,,
Teddy Bridgewater,TB,QB,2,2,2,0.5,1,0.5,0.5,-0.3045,2,13,6.5,0.6923,6.5,10,No,No,0.4053,-0.2027,No,1,1.75,5,70.8,No,No,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,4,,,,0.5,0.5,,1,,,,,,,,,
Brock Purdy,SF,QB,31,31,31,0.9032,24,0.7742,0.8387,0.12,31,259,8.3548,0.2162,9,273,No,No,13.571,-0.212,No,0.6452,3.1129,8.8065,112.2,No,Yes,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,16.95,16.95,9,1,7,0.2258,0.0323,0.7742,3.2429,18,,,,14,0.0645,,0.0323,1,0.0323
Justin Fields,NYJ,QB,54,54,54,0.9074,45,0.8333,0.8519,0.0901,54,430,7.963,0.307,7.963,373,No,Yes,22.3122,-0.1169,No,0.4074,2.9704,6.9074,99.8,No,Yes,17.2,17.2,17.2,17.2,17.2,20.2,20.2,17.2,17.2,17.2,17.2,21.5,21.5,9,,16,0.2963,0.0926,0.7778,2.7188,18,,2,0.037,5,0.0185,,0.0185,,0.0185
Dillon Gabriel,CLV,QB,23,23,23,0.8696,17,0.7391,0.8261,0.041,23,143,6.2174,0.4895,6.2174,125,No,No,8.0511,-0.1327,No,0.6522,2.6043,5.4348,89.6,No,No,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,7.15,7.15,10,,5,0.2174,0.1304,0.6957,2.86,5,,,,26,0.087,,,1,
