Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TouchdownsInEndzone,ReceptionsHero,DeepTargetTargetsTotal
Deuce Vaughn,DAL,RB,4,No,No,Yes,3,2,Yes,Yes,2,1,,0.6667,2,1,12,6,3,6,0.6667,,,,3,91.7,4,6,-0.4812,6,3,1.5,,2.6843,2.6843,0.5,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,6,,0.3333,,,,,,1,0.5,,,,
Jeff Wilson,MIA,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5,0.5,,,,,,,,,,,
Kenny McIntosh,SEA,RB,8,No,No,No,6,,Yes,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,0.5,,,,,,,,,,,
Kameron Johnson,TB,WR,4,No,Yes,No,4,1,No,Yes,1,1,1,0.25,,,,,,5,,1,,,5,39.6,,,-6.3628,,,,,3.65,3.65,0.25,,,,,,,,,,,,,,1,4,,1,,,,,1,,,1,,,
Dyami Brown,WAS,WR,39,No,No,Yes,38,3,Yes,Yes,3,1,1,0.0789,2,0.6667,18,26,7,3,,3,2,0.6667,1,82.6,0.4737,6,0.2382,9,13,3.5,1,6.5539,6.5539,0.0811,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,1,16,0.2368,0.7632,,,,,1,,,0.3333,,,
Garrett Wilson,NYJ,WR,101,No,No,No,98,23,No,Yes,19,0.8261,2,0.2347,17,0.7391,206,102,24,184,0.0102,17,2,0.087,8,115.5,2.102,8.9565,1.4851,12.1176,6,1.4118,13,38.285,38.285,0.2347,25.6,42.6,34.1,42.6,42.6,45.6,36.1,41.6,41.6,41.6,33.1,42.6,41.6,5,17,0.3061,0.6837,4,3,,1,1,2,0.1176,0.0435,1,1,
Justin Shorter,LV,TE,3,No,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0.3333,,,0.6667,,,,,,,,
Amon-Ra St. Brown,DET,WR,135,No,No,No,131,40,Yes,Yes,37,0.925,1,0.3053,32,0.8,318,91,36,296,0.0076,30,1,0.025,7.4,89.4,2.4275,7.95,0.6201,9.9375,2.8438,1.125,15,63.2893,63.2893,0.3125,31.8,63.8,47.8,63.8,63.8,66.8,50.8,63.8,63.8,63.8,47.8,63.8,63.8,8,17,0.5725,0.4198,6,2,,,1,4,0.125,0.025,,,
David Moore,CAR,WR,52,No,No,No,51,10,No,Yes,9,0.9,2,0.1961,8,0.8,82,5,7,113,,8,,,11.3,134.2,1.6078,8.2,-0.4497,10.25,0.625,0.875,5,26.2797,26.2797,0.1961,14.2,22.2,18.2,22.2,22.2,22.2,18.2,22.2,22.2,22.2,18.2,22.2,22.2,2,17,0.2157,0.7843,3,2,,1,1,,,0.1,1,,
Chris Moore,ARZ,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,
Tutu Atwell,LA,WR,51,No,No,No,51,11,Yes,Yes,9,0.8182,,0.2157,7,0.6364,79,29,2,95,,6,,,8.6364,85,1.549,7.1818,-0.3251,11.2857,4.1429,0.2857,6,17.269,17.269,0.2245,7.9,14.9,11.4,14.9,14.9,14.9,11.4,14.9,14.9,14.9,11.4,14.9,14.9,1,17,0.2549,0.7451,3,1,,,1,,,0.0909,,,
Josh Palmer,LAC,WR,61,No,Yes,Yes,57,9,No,Yes,9,1,1,0.1579,8,0.8889,108,22,3,103,,7,,,11.4444,116.7,1.8947,12,3.1991,13.5,2.75,0.375,8,17.2287,17.2287,0.1579,10.8,18.8,14.8,18.8,18.8,21.8,17.8,18.8,18.8,18.8,14.8,18.8,18.8,1,15,0.4035,0.5965,2,2,,,1,,,0.1111,,,
Antonio Gibson,NE,RB,36,Yes,No,Yes,30,4,No,Yes,4,1,,0.1333,4,1,22,20,6,2,0.7333,1,1,0.25,0.5,89.6,0.7333,5.5,-0.6885,5.5,5,1.5,,6.78,6.78,0.1176,2.2,6.2,4.2,8.2,6.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,,17,,0.2333,1,1,0.0333,,,,,,,,
Charlie Woerner,ATL,TE,17,No,No,No,13,3,No,Yes,2,0.6667,,0.2308,2,0.6667,17,1,,27,0.0769,1,,,9,41.7,1.3077,5.6667,-2.3202,8.5,0.5,,1,4.6155,4.6155,0.1875,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,,16,0.4615,0.1538,,,0.3077,,,,,,,,
Mason Kinsey,TEN,WR,6,No,No,Yes,6,2,No,Yes,2,1,,0.3333,2,1,17,,,17,,2,,,8.5,102.1,2.8333,8.5,0.8678,8.5,,,1,3.2312,3.2312,0.3333,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,,6,1,,,,,,,,,,,,
Harrison Bryant,LV,TE,12,No,No,Yes,10,3,No,No,2,0.6667,,0.3,2,0.6667,20,12,5,15,,,,,5,85.4,2,6.6667,-0.1303,10,6,2.5,1,4.3461,4.3461,0.2727,2,4,3,4,5,4,3,4,4,4,3,5,4,,13,0.5,0.1,,,0.4,,,,,,,,
Tylan Wallace,BLT,WR,22,No,No,Yes,21,4,No,No,4,1,,0.1905,4,1,54,21,8,33,,,,,8.25,118.8,2.5714,13.5,6.0849,13.5,5.25,2,3,5.9434,5.9434,0.1905,5.4,9.4,7.4,9.4,9.4,9.4,7.4,9.4,9.4,9.4,7.4,9.4,9.4,,17,0.1905,0.8095,,,,,,,,,,,
Jonnu Smith,MIA,TE,85,No,No,No,72,28,No,Yes,26,0.9286,1,0.3889,26,0.9286,307,112,54,202,,22,3,0.1071,7.2143,124.3,4.2639,10.9643,3.4011,11.8077,4.3077,2.0769,19,44.8042,44.8042,0.3415,36.7,62.7,49.7,62.7,75.7,65.7,52.7,62.7,62.7,62.7,49.7,75.7,62.7,3,17,0.4167,0.3056,1,1,0.2778,1,,2,0.0769,,,,
Adam Thielen,CAR,WR,50,No,No,No,50,17,No,Yes,17,1,1,0.34,14,0.8235,137,46,14,122,,16,1,0.0588,7.1765,75.7,2.74,8.0588,0.8981,9.7857,3.2857,1,8,26.9072,26.9072,0.3469,13.7,27.7,20.7,27.7,27.7,30.7,23.7,27.7,27.7,27.7,20.7,27.7,27.7,2,10,0.78,0.22,2,1,,,3,1,0.0714,0.1765,,,
Elijah Higgins,ARZ,TE,26,No,No,No,24,4,Yes,Yes,2,0.5,,0.1667,2,0.5,13,11,4,20,,1,,,5,57.3,0.5417,3.25,-3.9234,6.5,5.5,2,,6.0702,6.0702,0.16,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,,17,0.375,0.2083,,,0.4167,,,,,,,,
Dan Chisena,CAR,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,
Braelon Allen,NYJ,RB,24,No,No,No,18,4,No,Yes,3,0.75,,0.2222,2,0.5,19,13,3,4,0.7778,2,1,0.25,1,63.5,1.0556,4.75,-1.4959,9.5,6.5,1.5,1,5.7147,5.7147,0.1739,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,17,0.0556,0.1667,,,,,1,,,0.25,,,
Josiah Deguara,JAX,TE,6,No,Yes,Yes,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.3333,0.1667,,,0.5,,,,,,,,
Ainias Smith,PHI,WR,11,No,Yes,No,11,3,No,No,3,1,,0.2727,2,0.6667,9,8,2,8,,2,1,0.3333,2.6667,70.1,0.8182,3,-2.9708,4.5,4,1,,4.2374,4.2374,0.2727,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,7,0.9091,0.0909,1,,,,1,,,0.3333,,,
Chris Godwin,TB,WR,40,No,No,No,37,15,No,No,13,0.8667,,0.4054,13,0.8667,162,69,27,121,,11,,,8.0667,111.7,4.3784,10.8,3.3462,12.4615,5.3077,2.0769,9,23.659,23.659,0.3846,16.2,29.2,22.7,29.2,29.2,32.2,25.7,29.2,29.2,29.2,22.7,29.2,29.2,1,7,0.6486,0.3514,5,5,,,,2,0.1538,,,,
Terry McLaurin,WAS,WR,104,No,No,Yes,95,11,Yes,Yes,10,0.9091,1,0.1158,7,0.6364,117,55,38,120,,10,,,10.9091,129.7,1.2316,10.6364,2.062,16.7143,7.8571,5.4286,5,21.7674,21.7674,0.1146,17.7,24.7,21.2,24.7,24.7,27.7,24.2,24.7,24.7,24.7,21.2,24.7,24.7,1,17,0.1158,0.8842,5,3,,1,,2,0.2857,,1,,
Brevin Jordan,HST,TE,1,No,No,No,1,1,No,No,1,1,,1,1,1,3,3,1,,,,,,,79.2,3,3,-2.289,3,3,1,1,1.5297,1.5297,1,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,2,,,,,1,,,,,,,,
Jayden Reed,GB,WR,61,No,No,No,57,14,No,Yes,13,0.9286,1,0.2456,11,0.7857,152,81,10,102,0.0175,13,2,0.1429,7.2857,135.7,2.6667,10.8571,3.3617,13.8182,7.3636,0.9091,6,23.3473,23.3473,0.2414,21.2,32.2,26.7,32.2,32.2,35.2,29.7,32.2,32.2,32.2,26.7,32.2,32.2,2,17,0.7544,0.2105,1,,0.0175,1,1,,,0.0714,1,,
Kyle Pitts,ATL,TE,86,No,No,No,83,14,No,Yes,13,0.9286,2,0.1687,11,0.7857,145,56,33,123,,11,,,8.7857,149.4,1.747,10.3571,2.5285,13.1818,5.0909,3,5,25.71,25.71,0.1818,26.5,37.5,32,37.5,43,40.5,35,37.5,37.5,37.5,32,43,37.5,4,17,0.3976,0.3012,4,3,0.3012,2,1,2,0.1818,0.0714,1,,
Brayden Willis,SF,TE,3,No,No,No,2,1,Yes,Yes,1,1,,0.5,,,,,,6,,1,,,6,39.6,,,-7.093,,,,,1.5307,1.5307,0.3333,,,,,,,,,,,,,,,9,0.5,,1,,0.5,,1,,,1,,,
Dante Pettis,NO,WR,20,No,No,Yes,19,1,No,Yes,,,,0.0526,,,,,,3,,,,,3,39.6,,,-5.4499,,,,,1.3137,1.3137,0.05,,,,,,,,,,,,,,,8,0.4211,0.5789,,,,,,,,,,,
Raheem Mostert,MIA,RB,33,No,No,No,28,6,No,Yes,6,1,,0.2143,5,0.8333,54,38,11,18,0.6429,1,,,3,104.2,1.9286,9,2.3418,10.8,7.6,2.2,3,11.9349,11.9349,0.1935,5.4,10.4,7.9,12.9,10.4,10.4,7.9,10.4,10.4,10.4,7.9,10.4,10.4,1,13,0.2857,0.0714,,,,,1,,,0.1667,,,
Jalen Coker,CAR,WR,46,No,No,No,44,11,No,Yes,11,1,,0.25,11,1,134,36,23,98,,9,,,8.9091,117.4,3.0455,12.1818,4.3544,12.1818,3.2727,2.0909,7,17.0149,17.0149,0.2444,13.4,24.4,18.9,24.4,24.4,27.4,21.9,24.4,24.4,24.4,18.9,24.4,24.4,,11,0.7273,0.2727,1,1,,,,1,0.0909,,,,
Dallas Goedert,PHI,TE,21,No,Yes,No,19,3,No,No,3,1,,0.1579,3,1,16,6,1,10,,2,1,0.3333,3.3333,88.9,0.8421,5.3333,-0.7586,5.3333,2,0.3333,,5.9954,5.9954,0.15,1.6,4.6,3.1,4.6,6.1,4.6,3.1,4.6,4.6,4.6,3.1,6.1,4.6,1,10,0.3684,0.2105,,,0.4211,,,,,,,,
Roschon Johnson,CHI,RB,25,No,No,No,19,5,No,Yes,5,1,,0.2632,5,1,26,13,5,13,0.8947,,,,2.6,88.3,1.3684,5.2,-1.3623,5.2,2.6,1,1,8.0413,8.0413,0.2083,2.6,7.6,5.1,10.1,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,,13,,0.1053,,,,,,1,0.2,,,,
Cedric Tillman,CLV,WR,43,Yes,Yes,Yes,40,11,No,No,10,0.9091,,0.275,8,0.7273,100,44,14,87,,7,,,7.9091,93,2.5,9.0909,1.4849,12.5,5.5,1.75,6,17.1421,17.1421,0.2821,16,24,20,24,24,27,23,24,24,24,20,24,24,,11,0.3,0.7,1,,,1,2,3,0.375,0.1818,,,
Marvin Mims,DEN,WR,22,No,No,No,22,2,No,Yes,1,0.5,,0.0909,1,0.5,8,6,2,15,0.1818,1,,,7.5,60.4,0.3636,4,-3.1245,8,6,2,,3.0869,3.0869,0.0952,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,17,0.2273,0.5909,,,,,,,,,,,
Calvin Ridley,TEN,WR,89,No,No,Yes,82,11,No,Yes,11,1,,0.1341,9,0.8182,120,29,19,109,,10,1,0.0909,9.9091,112.1,1.4634,10.9091,2.4931,13.3333,3.2222,2.1111,5,19.59,19.59,0.1279,12,21,16.5,21,21,24,19.5,21,21,21,16.5,21,21,1,17,0.1463,0.8537,2,1,,,1,4,0.4444,0.0909,,1,
Will Shipley,PHI,RB,5,No,Yes,No,4,1,No,No,1,1,,0.25,1,1,13,8,4,5,0.75,,,,5,118.8,3.25,13,5.767,13,8,4,1,1.4992,1.4992,0.2,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,13,,0.25,,,,,,,,,,,
Trey Palmer,TB,WR,21,No,No,Yes,19,2,No,Yes,2,1,1,0.1053,1,0.5,15,,,28,,1,,,14,114.6,0.7895,7.5,-2.1621,15,,,1,5.9377,5.9377,0.0952,7.5,8.5,8,8.5,8.5,8.5,8,8.5,8.5,8.5,8,8.5,8.5,1,15,0.2632,0.7368,1,1,,1,1,,,0.5,1,,
Kyren Williams,LA,RB,86,Yes,Yes,No,63,8,No,No,8,1,1,0.127,8,1,65,35,12,30,0.873,2,,,3.75,140.1,1.0317,8.125,1.3585,8.125,4.375,1.5,4,17.1753,17.1753,0.0988,18.5,26.5,22.5,30.5,26.5,26.5,22.5,26.5,26.5,26.5,22.5,26.5,26.5,2,16,0.0317,0.0952,,,,2,,1,0.125,,1,,
Tucker Kraft,GB,TE,66,No,No,No,57,9,No,Yes,9,1,2,0.1579,9,1,95,36,17,66,0.0175,4,1,0.1111,7.3333,150.2,1.6667,10.5556,2.8108,10.5556,4,1.8889,4,15.9531,15.9531,0.1452,21.5,30.5,26,30.5,35,30.5,26,30.5,30.5,30.5,26,35,30.5,3,17,0.3158,0.1404,,,0.5263,2,,1,0.1111,,2,,1
Payne Durham,TB,TE,28,No,No,Yes,20,5,No,Yes,4,0.8,1,0.25,3,0.6,15,,-3,47,,2,,,9.4,104.2,0.75,3,-5.1184,5,,-1,1,9.0431,9.0431,0.1852,7.5,10.5,9,10.5,12,10.5,9,10.5,10.5,10.5,9,12,10.5,1,16,0.4,0.05,,,0.55,1,,,,,1,,
Dawson Knox,BUF,TE,36,No,Yes,No,34,5,No,Yes,4,0.8,,0.1471,4,0.8,57,24,4,40,,2,,,8,114.2,1.6765,11.4,3.7042,14.25,6,1,1,7.4696,7.4696,0.1429,5.7,9.7,7.7,9.7,11.7,9.7,7.7,9.7,9.7,9.7,7.7,11.7,9.7,,16,0.4706,0.1765,1,1,0.3529,,,,,,,,
Dontayvion Wicks,GB,WR,38,No,No,No,33,14,No,Yes,11,0.7857,2,0.4242,8,0.5714,90,41,24,104,,10,1,0.0714,7.4286,116.1,2.7273,6.4286,-0.9917,11.25,5.125,3,5,29.4665,29.4665,0.3784,21,29,25,29,29,29,25,29,29,29,25,29,29,4,17,0.3636,0.6061,1,,0.0303,2,3,3,0.375,0.2143,2,,
Noah Brown,WAS,WR,56,No,Yes,No,45,9,No,Yes,7,0.7778,,0.2,7,0.7778,89,13,8,99,,7,,,11,107.9,1.9778,9.8889,1.1728,12.7143,1.8571,1.1429,4,13.417,13.417,0.18,8.9,15.9,12.4,15.9,15.9,15.9,12.4,15.9,15.9,15.9,12.4,15.9,15.9,,11,0.2222,0.7778,,,,,,,,,,,
Patrick Taylor,SF,RB,21,No,No,No,18,4,Yes,Yes,3,0.75,,0.2222,2,0.5,24,17,5,13,0.9444,1,,,3.25,68.8,1.3333,6,-0.557,12,8.5,2.5,2,5.353,5.353,0.1905,2.4,4.4,3.4,5.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,,9,,0.0556,,,,,1,,,0.25,,,
Carson Steele,KC,RB,16,No,No,No,15,1,No,Yes,1,1,,0.0667,1,1,2,7,1,-5,0.8667,1,1,1,-5,79.2,0.1333,2,-3.8711,2,7,1,,2.1182,2.1182,0.0667,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,16,0.0667,0.0667,,,,,,,,,,,
Trey McBride,ARZ,TE,87,No,No,No,86,32,Yes,Yes,29,0.9062,1,0.3721,27,0.8438,248,124,55,167,,27,4,0.125,5.2188,99,2.8837,7.75,0.9104,9.1852,4.5926,2.037,16,55.7394,55.7394,0.3951,24.8,51.8,38.3,51.8,65.3,54.8,41.3,51.8,51.8,51.8,38.3,65.3,51.8,3,16,0.5349,0.0698,2,,0.3953,,,5,0.1852,,,,
John Bates,WAS,TE,30,No,No,Yes,21,6,Yes,Yes,5,0.8333,,0.2857,5,0.8333,46,18,,25,,4,1,0.1667,4.1667,98.6,2.1905,7.6667,1.0675,9.2,3.6,,2,8.7329,8.7329,0.2143,3.6,8.6,6.1,8.6,11.1,8.6,5.1,7.6,7.6,7.6,5.1,11.1,7.6,1,17,0.0952,0.0476,1,1,0.8571,,,,,,,,
Jalen Reagor,LAC,WR,10,No,No,Yes,10,1,No,Yes,1,1,,0.1,1,1,,4,3,-4,,1,1,1,-4,79.2,,,-4.4851,,4,3,,1.4077,1.4077,0.1111,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,8,0.5,0.5,,,,,,,,,,,
Daniel Bellinger,NYG,TE,37,No,Yes,No,28,2,No,No,2,1,,0.0714,2,1,17,3,2,14,,2,,,7,102.1,0.6071,8.5,1.6302,8.5,1.5,1,1,3.9541,3.9541,0.0625,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,,17,0.5357,0.1071,,,0.3571,,,,,,,,
Drew Sample,CIN,TE,49,No,No,No,31,5,No,Yes,4,0.8,,0.1613,4,0.8,23,8,5,19,0.0968,2,,,3.8,85.8,0.7419,4.6,-1.6104,5.75,2,1.25,2,7.1209,7.1209,0.1111,2.3,6.3,4.3,6.3,8.3,6.3,4.3,6.3,6.3,6.3,4.3,8.3,6.3,,17,0.0645,0.0645,,,0.7742,,,,,,,,
Austin Ekeler,WAS,RB,45,No,No,Yes,38,11,Yes,Yes,9,0.8182,,0.2895,7,0.6364,82,100,29,-10,0.6842,5,5,0.4545,-0.9091,86.2,2.1579,7.4545,1.5053,11.7143,14.2857,4.1429,4,15.4963,15.4963,0.2683,8.2,15.2,11.7,18.7,15.2,15.2,11.7,15.2,15.2,15.2,11.7,15.2,15.2,1,12,0.2632,0.0263,,,0.0263,,2,3,0.4286,0.1818,,,
Jaheim Bell,NE,TE,5,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5,,,,0.5,,,,,,,,
Devontez Walker,BLT,WR,2,No,No,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,
Curtis Samuel,BUF,WR,23,Yes,No,Yes,23,2,No,Yes,2,1,,0.087,2,1,20,12,3,8,,1,,,4,108.3,0.8696,10,3.9502,10,6,1.5,1,2.6701,2.6701,0.0909,2,4,3,4,4,4,3,4,4,4,3,4,4,,14,0.5217,0.4783,,,,,,,,,,,
Tanner Hudson,CIN,TE,16,No,No,No,14,8,No,Yes,7,0.875,1,0.5714,7,0.875,62,39,10,28,0.0714,4,,,3.5,138.5,4.4286,7.75,1.5114,8.8571,5.5714,1.4286,4,14.2956,14.2956,0.5,11.2,18.2,14.7,18.2,21.7,18.2,13.7,17.2,17.2,17.2,13.7,21.7,17.2,3,11,0.4286,0.2143,,,0.2857,1,,2,0.2857,,1,,
Najee Harris,PIT,RB,35,No,No,No,30,11,No,Yes,11,1,,0.3667,10,0.9091,87,63,31,28,0.9333,3,,,2.5455,99.6,2.9,7.9091,1.5689,8.7,6.3,3.1,5,15.623,15.623,0.3143,8.7,18.7,13.7,23.7,18.7,18.7,13.7,18.7,18.7,18.7,13.7,18.7,18.7,,17,0.0333,0.0333,1,1,,,1,3,0.3,0.0909,,,
Chase Brown,CIN,RB,71,No,No,No,57,9,No,Yes,9,1,1,0.1579,9,1,54,31,10,25,0.8421,4,2,0.2222,2.7778,128.7,0.9474,6,-0.6252,6,3.4444,1.1111,3,18.5065,18.5065,0.1304,11.4,20.4,15.9,24.9,20.4,20.4,15.9,20.4,20.4,20.4,15.9,20.4,20.4,2,16,0.0351,0.1053,,,0.0175,1,,1,0.1111,,1,,
Andrei Iosivas,CIN,WR,108,No,No,No,101,15,No,Yes,11,0.7333,3,0.1485,8,0.5333,70,12,5,138,,8,,,9.2,77.8,0.6931,4.6667,-3.0731,8.75,1.5,0.625,6,28.903,28.903,0.1485,25,33,29,33,33,33,29,33,33,33,29,33,33,4,17,0.5545,0.4455,2,1,,3,3,,,0.2,2,,
Kaden Davis,CLV,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Brandon Aiyuk,SF,WR,31,No,No,No,30,4,No,Yes,4,1,,0.1333,4,1,46,11,4,35,,4,1,0.25,8.75,114.6,1.5333,11.5,3.4352,11.5,2.75,1,3,7.5913,7.5913,0.129,4.6,8.6,6.6,8.6,8.6,8.6,6.6,8.6,8.6,8.6,6.6,8.6,8.6,1,7,0.2,0.8,1,1,,,,,,,,,
Allen Lazard,NYJ,WR,66,No,No,No,58,11,No,Yes,9,0.8182,2,0.1897,6,0.5455,88,25,6,108,,6,,,9.8182,111.2,1.5172,8,-0.0244,14.6667,4.1667,1,6,19.7595,19.7595,0.1719,14.8,20.8,17.8,20.8,20.8,20.8,17.8,20.8,20.8,20.8,17.8,20.8,20.8,3,12,0.3448,0.6552,2,1,,1,2,,,0.1818,1,,1
Darnell Mooney,ATL,WR,93,No,No,Yes,91,8,Yes,Yes,3,0.375,,0.0879,3,0.375,52,18,5,84,0.022,8,,,10.5,60.4,0.5714,6.5,-1.8562,17.3333,6,1.6667,3,14.9142,14.9142,0.0964,5.2,8.2,6.7,8.2,8.2,8.2,6.7,8.2,8.2,8.2,6.7,8.2,8.2,1,16,0.4286,0.5495,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,28,No,No,No,23,3,No,Yes,3,1,,0.1304,3,1,27,13,8,14,,1,,,4.6667,104.2,1.1739,9,2.6167,9,4.3333,2.6667,2,4.7247,4.7247,0.1111,2.7,5.7,4.2,5.7,7.2,5.7,4.2,5.7,5.7,5.7,4.2,7.2,5.7,1,17,0.4348,0.1304,,,0.4348,,,,,,,,
Kalif Raymond,DET,WR,33,No,No,No,33,2,Yes,Yes,2,1,,0.0606,2,1,19,8,2,11,,2,,,5.5,106.3,0.5758,9.5,2.844,9.5,4,1,1,4.3714,4.3714,0.0625,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,12,0.3939,0.6061,,,,,,,,,,,
Stefon Diggs,HST,WR,42,No,No,No,41,13,No,Yes,11,0.8462,1,0.3171,9,0.6923,110,30,12,141,0.0488,11,,,10.8462,102.6,2.6829,8.4615,-0.0542,12.2222,3.3333,1.3333,7,23.9555,23.9555,0.325,23,32,27.5,32,32,35,30.5,32,32,32,27.5,32,32,2,8,0.4634,0.4878,3,1,,2,,,,,1,,1
Ben Sinnott,WAS,TE,10,No,No,Yes,9,,Yes,Yes,,,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1111,0.1111,,,0.6667,,,,,,,,
Zay Jones,ARZ,WR,29,No,No,No,27,2,Yes,Yes,1,0.5,,0.0741,1,0.5,9,,,20,,2,,,10,62.5,0.3333,4.5,-3.3845,9,,,1,3.1327,3.1327,0.0769,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,11,0.1852,0.8148,,,,,,,,,,,
Irv Smith,HST,TE,3,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,
Ramel Keyton,LV,WR,3,No,No,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,
Sean Tucker,TB,RB,7,No,No,Yes,7,3,No,Yes,2,0.6667,,0.4286,2,0.6667,12,4,1,13,1,1,,,4.3333,74.3,1.7143,4,-2.9918,6,2,0.5,,4.314,4.314,0.5,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,17,,,,,,,,,,,,,
John FitzPatrick,GB,TE,5,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.3333,0.3333,,,0.3333,,,,,,,,
Joseph Fortson,KC,TE,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,
Tank Bigsby,JAX,RB,20,No,Yes,Yes,18,,No,No,,,,,,,,,,,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,0.1111,,,,,,,,,,,
