name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Jaydon Blue,RB,DAL,210.59685,213.0,38.94,37.98,31.25,28.74,64.94,31.25,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,45.45,28.31,40.36,42.17,12.91,11,RB-GAP-SCHEME
Eli Stowers,TE,PHI,212.27975,214.0,50.0,48.41,24.6,24.53,72.64,24.6,50.0,50.0,50.0,,50.0,50.0,50.0,,,,49.17,96.67,50.0,50.0,48.83,24.04,8,POLARIZING
Chris Bell,WR,MIA,213.4368,215.0,45.83,45.83,54.17,51.94,52.46,54.17,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,24.5,20.53,50.0,50.0,43.68,12.64,8,
Keon Coleman,WR,BUF,214.30032,216.0,45.19,45.19,30.45,42.43,92.61,30.45,11.84,26.42,97.93,,34.55,48.65,10.14,,59.35,,91.72,8.94,49.01,60.4,46.19,26.79,17,POLARIZING; EFFICIENCY EDGE
Darnell Mooney,WR,NYG,218.81413,217.0,43.91,44.55,51.6,53.35,70.77,51.6,50.0,8.54,90.5,,13.41,64.86,12.84,,53.25,,63.91,72.19,25.25,40.1,47.54,22.53,16,POLARIZING; ZONE-BEATER
Malachi Fields,WR,NYG,214.6708,218.0,44.55,43.91,18.27,25.18,61.62,18.27,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,63.91,72.19,50.0,50.0,43.49,19.93,8,
Jordan James,RB,SF,222.12933,219.0,34.13,37.02,41.83,48.56,99.43,41.83,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,94.95,50.0,50.0,58.05,24.44,8,POLARIZING
Deshaun Watson,QB,CLE,215.75221,220.0,43.75,43.75,43.75,19.53,64.06,43.75,50.0,,,,,,,,,50.0,43.75,98.21,50.0,50.0,50.07,21.35,8,
Shedeur Sanders,QB,CLE,217.63873,221.0,41.96,41.96,38.39,50.0,50.0,38.39,50.0,,,,,,,,,11.22,43.75,98.21,3.06,7.14,36.01,26.97,9,QB-MAN-BEATER
George Holani,RB,SEA,217.776,222.0,37.02,36.06,37.02,40.52,87.93,37.02,50.0,,,50.0,,,50.0,50.0,50.0,,80.3,79.8,31.93,29.52,49.74,20.84,11,RB-ZONE-SCHEME
Michael Penix Jr.,QB,ATL,222.30586,223.0,38.39,40.18,40.18,50.0,50.0,40.18,39.29,,,,,,,,,50.0,58.04,91.07,64.29,80.61,54.22,18.04,10,BOOM MERCHANT
Emanuel Wilson,RB,SEA,219.04271,224.0,36.06,35.1,20.67,2.3,4.02,20.67,50.0,,,50.0,,,50.0,19.79,25.0,,80.3,79.8,52.41,18.67,34.21,24.21,13,POLARIZING
Troy Franklin,WR,DEN,219.17577,225.0,43.27,43.27,26.6,38.91,86.97,26.6,50.0,32.93,25.21,,16.67,61.49,38.51,,71.14,,74.5,27.48,12.38,4.95,39.43,22.59,16,POLARIZING
Demond Claiborne,RB,MIN,219.90318,226.0,35.1,34.13,23.56,22.7,58.05,23.56,50.0,,,50.0,,,50.0,50.0,50.0,,91.41,60.1,50.0,50.0,43.58,22.83,8,POLARIZING
Elijah Sarratt,WR,BAL,220.91122,227.0,42.63,42.63,33.01,44.37,89.79,33.01,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,82.12,66.56,50.0,50.0,54.26,20.8,8,
Kirk Cousins,QB,LV,220.95107,228.0,40.18,38.39,36.61,50.0,50.0,36.61,50.0,,,,,,,,,21.43,33.93,21.43,54.08,44.9,36.4,9.76,9,
Kareem Hunt,RB,FA,223.16814,229.0,32.21,33.17,14.42,50.0,50.0,14.42,50.0,,,50.0,,,50.0,59.38,25.0,,50.0,50.0,98.19,91.57,46.48,29.41,9,BOOM MERCHANT; RB-GAP-SCHEME
Evan Engram,TE,DEN,221.58185,230.0,46.83,46.83,51.59,45.99,56.6,51.59,50.0,23.08,18.27,,10.58,95.83,26.39,,,,68.33,28.33,3.26,7.61,38.74,24.38,15,POLARIZING; EFFICIENCY EDGE; SEPARATION KING; MAN-BEATER
Tanner McKee,QB,PHI,224.37837,231.0,36.61,36.61,34.82,50.0,50.0,34.82,50.0,,,,,,,,,37.76,58.04,94.64,50.0,31.63,46.1,18.94,9,QB-ZONE-BEATER
