name,bestball_note,n_clips
Hunter Henry,“A few tight end names @4for4_John keeps circling in early drafts • Tucker Kraft • Mark Andrews • Hunter Henry • Greg Dulcich • Isaiah Likely Full TE rankings breakdown ⬇️ https://t.co/bZGGXWeLhc” (@4for4football),1
Jordan Mason,"“I think MIN would be a dream landing spot with Aaron Jones taking a pay cut, Jordan Mason on final year of contract and hasn't shown much as a Viking and only drafting a 6th rd Demond Claiborne.” (@smitchell17)",1
Geno Smith,"“- New York Jets: It is super easy to get starting QB Geno Smith late, and if you think he is dog water still, can take a shot on newly drafted Kade Klubnik in the final round for Jets stacks.” (@smitchell17)",1
Kyle Pitts Sr.,“Falcons still don't know who will start at QB Still uncertainty of if the Falcons want to bring back Kyle Pitts beyond this season They are adding more tools to Kyle Pitts toolbox this season” (@dhananizain),1
Breece Hall,“I would rather have Breece Hall &gt; Josh Jacobs at cost and still not sure why Jacobs goes earlier in ADP” (@smitchell17) | “We debated players next to each other in ADP: + Breece Hall vs.” (@haydenwinks),2
KC Concepcion,"“WR24 - KC Concepcion (WR30 ADP) + Really strong prospect with fantasy friendly skillset (YAC, separator) and clear path to strong volume, offense live to be much improved in 2027 w/ new QB.” (@ffdataroma)",1
Rome Odunze,"“WR26 - Rome Odunze (WR20 ADP) + Top 10 pick who appeared to possibly be breaking out in year 2 before some injuries, still very live to be WR1 in one of the league's most exciting offenses.” (@ffdataroma)",1
Cooper Kupp,“Three players in NFL history have averaged 70+ receiving yards/game in their career (including playoffs) and won multiple Super Bowls 🏉HOF Jerry Rice 🏉HOF Michael Irvin …and Cooper Kupp” (@johntoddnfl),1
Keaton Mitchell,"“You know what, let's just draft Keaton Mitchell as much as possible and live with the consequences” (@ihartitz) | “RT @PatKerrane: Huge contingent value if Keaton Mitchell misses time” (@haydenwinks)",5
Jahmyr Gibbs,“My targets in drafts this year 🔥🎯 Jahmyr Gibbs Ja’Marr Chase Puka Nacua Sub for more” (@chessliam) | “Didn't understand why Bijan Robinson opened as the 1.1 in ADP over Jahmyr Gibbs.” (@adamlevitan),2
Rashid Shaheed,“This is why I find the Rashid Shaheed OTA nugget very interesting HA throw rate leads to explosives - could mean big things for Shaheed after building chemistry/timing this offseason” (@dhananizain),1
Kyle Monangai,“My Current Favorite Best Ball Clicks @ ADP: QB: - Drake Maye (71.0 ADP) - Tyler Shough (113.1 ADP) - Michael Penix (213.7 ADP) RB: - KYLE MONANGAI (91.0 ADP) - Chris Rodriguez Jr.” (@smitchell17),1
Tyler Shough,“My Current Favorite Best Ball Clicks @ ADP: QB: - Drake Maye (71.0 ADP) - Tyler Shough (113.1 ADP) - Michael Penix (213.7 ADP) RB: - KYLE MONANGAI (91.0 ADP) - Chris Rodriguez Jr.” (@smitchell17),1
Michael Penix Jr.,“My Current Favorite Best Ball Clicks @ ADP: QB: - Drake Maye (71.0 ADP) - Tyler Shough (113.1 ADP) - Michael Penix (213.7 ADP) RB: - KYLE MONANGAI (91.0 ADP) - Chris Rodriguez Jr.” (@smitchell17),1
De'Von Achane,"“A few examples: * De'Von Achane 29 overall * Colston Loveland 26, Trey McBride 32 * Chris Olave 16 * Josh Downs 68 Live here for anyone with Draft Kit Pro: https://t.co/uPCKvbhDge” (@adamlevitan)",1
Trey McBride,"“A few examples: * De'Von Achane 29 overall * Colston Loveland 26, Trey McBride 32 * Chris Olave 16 * Josh Downs 68 Live here for anyone with Draft Kit Pro: https://t.co/uPCKvbhDge” (@adamlevitan)",1
CeeDee Lamb,"“Last year, CeeDee Lamb and George Pickens combined for the 2nd-most receiving yards out of any WR1/WR2 duo in the league (2,508) 👀 But who is a better draft pick at cost in 2026?” (@fantasypts)",1
Justin Fields,"“It's really, to me, like, about, like, the cost at first because even guys like Justin Fields last year, and we didn't even know Justin Fields was going to be able to start.” (@joshnorris)",1
AJ Barner,"“Franken signing these late round tight ends, he is someone that I really am attacking because I think it's kind of fitting that he's staying next to AJ Barner in drafts.” (@joshnorris)",1
Kirk Cousins,“- Las Vegas Raiders: This is such an easy one to get a back-stack in since you can literally get both Mendoza and presumable starter Kirk Cousins pretty late in drafts.” (@smitchell17),1
Jack Bech,"“Raiders WR room nuggets: 1) Competition between Jack Bech and D’onte Thornton for WR3, with Bech leading right now 2) Raiders taking a WR by Committee approach Quotes 👇” (@dhananizain)",1
Stefon Diggs,“You draft no Wide Receivers in best ball and then finish the draft with: Stefon Diggs Travis Hunter Brandon Aiyuk Tank Dell Deebo Samuel Tyreek Hill And 2 other guys.” (@chessliam),1
Tyreek Hill,“You draft no Wide Receivers in best ball and then finish the draft with: Stefon Diggs Travis Hunter Brandon Aiyuk Tank Dell Deebo Samuel Tyreek Hill And 2 other guys.” (@chessliam),1
Brandon Aiyuk,“You draft no Wide Receivers in best ball and then finish the draft with: Stefon Diggs Travis Hunter Brandon Aiyuk Tank Dell Deebo Samuel Tyreek Hill And 2 other guys.” (@chessliam),1
Deebo Samuel Sr.,“You draft no Wide Receivers in best ball and then finish the draft with: Stefon Diggs Travis Hunter Brandon Aiyuk Tank Dell Deebo Samuel Tyreek Hill And 2 other guys.” (@chessliam),1
Jalen Royals,“If you anticipate Rashee Rice either A.) fucks up again or B.) gets suspended and misses a chunk of the season Why are you not taking Jalen Royals in EVERY draft?” (@smitchell17),1
Ja'Kobi Lane,"“Antonio has it, man, in the biggest way.” 🔥 - New Ravens OC Declan Doyle ""Taking Note"", of rookie standout WR Ja'Kobi Lane after first week of Baltimore's OTAs.” (@smitchell17)",1
Shedeur Sanders,“- Cleveland Browns: Either Brown's QB who wins the starting job are currently free in drafts between veteran QB Deshaun Watson and 2nd-year QB Shedeur Sanders.” (@smitchell17),1
RJ Harvey,"“I deserve to be made fun of for this one, but if RJ Harvey just repeats the exact season he had as a rookie at a 7/8 turn ADP, he'd be a smash best ball pick” (@ryanj_heath)",1
Tory Horton,"“As much as I like Tory Horton, I don’t think you’ll see much of him in 2026 if Seattle stays healthy Also Tory Horton is still working back from his injury” (@dhananizain)",1
Jerome Ford,“We are going to debate JCM vs Rachaad White all offseason just to watch Jerome Ford bust out a 20+ FP game in the fantasy playoffs like 2 seasons ago 😂” (@smitchell17),1
Lamar Jackson,"“You lose Linderbaum, draft a guard inside the top 14, but for the most part, it's kind of the same thing with Lamar Jackson in terms of the skill guys.” (@joshnorris)",1
Chris Godwin Jr.,“Brown (26.6 ADP) - Jaylen Waddle (49.8 ADP) - Chris Godwin (88.9 ADP) - Quentin Johnston (94.4 ADP) TE: - Tucker Kraft (80.9 ADP) - Harold Fannin Jr.” (@smitchell17),1
Harold Fannin Jr.,“Brown (26.6 ADP) - Jaylen Waddle (49.8 ADP) - Chris Godwin (88.9 ADP) - Quentin Johnston (94.4 ADP) TE: - Tucker Kraft (80.9 ADP) - Harold Fannin Jr.” (@smitchell17),1
