name,pos,team,adp,proj_pg,p95,cv,spike,bye,w15_opp,w16_opp,w17_game,w17_blowup_rank,adv_pct,ceil_pct,merged_rank
Chris Brazzell II,WR,CAR,225.71573,3.6941176470588233,13.011701273876534,1.476959976694,0.246,5.0,CIN,PIT,CAR@SEA,5,0.2841726618705036,0.3260869565217391,232.0
Samaje Perine,RB,CIN,225.22914,5.952941176470588,16.788667640398273,0.9743300489446324,0.2175,6.0,CAR,IND,BAL@CIN,2,0.4651162790697674,0.4588235294117647,236.0
Pat Bryant,WR,DEN,224.12537,4.235294117647059,14.06706231097412,1.494816745135822,0.2299166666666666,10.0,LV,BUF,DEN@NE,6,0.381294964028777,0.3768115942028985,235.0
Carson Beck,QB,ARI,228.16779,15.41,30.259896429243,0.5043520582829732,0.1471666666666666,14.0,NYJ,NO,ARI@LV,14,0.4358974358974359,0.3870967741935484,261.0
Jordan James,RB,SF,222.12933,3.552941176470588,11.18041088352834,1.178183673977799,0.253,8.0,LAC,KC,PHI@SF,8,0.313953488372093,0.3176470588235294,237.0
Jerome Ford,RB,WAS,226.44263,,,,,7.0,ATL,MIN,JAX@WAS,12,,,333.0
Ollie Gordon II,RB,MIA,227.52815,1.841176470588236,6.3978929321304605,1.4356226230349824,0.21475,6.0,GB,LAC,BUF@MIA,16,0.1627906976744186,0.1294117647058823,273.0
Quinn Ewers,QB,MIA,228.47058,,,,,6.0,GB,LAC,BUF@MIA,16,,,
Will Shipley,RB,PHI,227.53659,1.3705882352941177,5.911643110416671,1.8236149533216583,0.1976666666666666,10.0,SEA,HOU,PHI@SF,8,0.0813953488372093,0.0941176470588235,254.0
Tyquan Thornton,WR,KC,225.18268,4.582352941176471,15.418378216325092,1.4379180346584588,0.22325,5.0,NE,SF,KC@LAC,9,0.4028776978417266,0.3985507246376811,243.0
Tanner McKee,QB,PHI,224.37837,,,,,10.0,SEA,HOU,PHI@SF,8,,,288.0
Kareem Hunt,RB,FA,223.16814,,,,,,,,,99,,,246.0
J.J. McCarthy,QB,MIN,225.81651,2.6094117647058823,,,,6.0,DET,WAS,MIN@NYJ,7,0.1025641025641025,,241.0
Devin Singletary,RB,NYG,227.18604,1.5823529411764703,5.7679529348413405,1.473956447498357,0.21725,8.0,CLE,DET,DAL@NYG,3,0.127906976744186,0.0823529411764705,302.0
Joe Flacco,QB,CIN,227.30939,0.5682352941176471,,,,6.0,CAR,IND,BAL@CIN,2,0.0256410256410256,,311.0
Nick Chubb,RB,FA,223.00002,,,,,,,,,99,,,240.0
J'Mari Taylor,RB,JAX,228.2037,,,,,7.0,HOU,DAL,JAX@WAS,12,,,389.0
Brashard Smith,RB,KC,228.31035,0.0,,,,5.0,NE,SF,KC@LAC,9,0.0116279069767441,,257.0
Joe Mixon,RB,FA,227.52539,,,,,,,,,99,,,295.0
Rashod Bateman,WR,BAL,227.23001,7.264705882352941,21.076695426157947,1.2220715023558986,0.19875,13.0,PIT,CLE,BAL@CIN,2,0.5539568345323741,0.5507246376811594,297.0
Jaylin Noel,WR,HOU,224.19057,3.182352941176472,11.3092898118388,1.7406903620784695,0.2175,8.0,JAX,PHI,GB@HOU,10,0.237410071942446,0.2028985507246377,245.0
Audric Estime,RB,NO,227.8913,,,,,8.0,TB,ARI,ATL@NO,11,,,251.0
Mac Jones,QB,SF,231.75862,,,,,8.0,LAC,KC,PHI@SF,8,,,376.0
Odell Beckham Jr.,WR,NYG,226.28445,2.2294117647058824,8.971370076810977,1.861399257231722,0.20975,8.0,CLE,DET,DAL@NYG,3,0.1438848920863309,0.1376811594202898,239.0
Brenen Thompson,WR,LAC,228.83261,1.7176470588235295,7.502097650393558,2.0709868369589217,0.1988333333333333,7.0,SF,MIA,KC@LAC,9,0.1079136690647482,0.108695652173913,357.0
Seth McGowan,RB,IND,231.038,0.7117647058823531,3.361699527296366,2.2790249705623435,0.174,13.0,TEN,CIN,CLE@IND,15,0.0465116279069767,0.0470588235294117,378.0
Mack Hollins,WR,NE,227.25612,1.747058823529412,7.707167964229065,2.0421030036952343,0.1998333333333333,11.0,KC,NYJ,DEN@NE,6,0.1151079136690647,0.1159420289855072,315.0
Luke McCaffrey,WR,WAS,228.42908,0.0,,,,7.0,ATL,MIN,JAX@WAS,12,0.0071942446043165,,270.0
