Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsInEndzone,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Ezekiel Elliott,DAL,RB,16,Yes,Yes,No,5,1,No,,Yes,1,1,0.2,1,,,1,15,26,1,-11,,,1,1,,0.2,,-11,,118.8,3,15,10.4713,,15,26,1,1,1.3542,1.3542,0.0769,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,15,0.8,,,,,
Stone Smartt,LAC,TE,8,No,No,No,6,2,Yes,,Yes,1,0.5,0.3333,1,,,0.5,19,9,1,26,,,,,0.3333,0.3333,,13,,83.3,3.1667,9.5,0.5203,,19,9,1,1,2.8884,2.8884,0.2857,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,,14,,,,,,0.3333
Eric Tomlinson,LAC,TE,10,No,Yes,Yes,5,1,No,,No,1,1,0.2,1,,,1,7,10,5,-3,,,1,1,,0.2,,-3,,95.8,1.4,7,1.1348,,7,10,5,,1.5095,1.5095,0.1111,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,9,,,,,,0.8
T.J. Hockenson,MIN,TE,40,No,Yes,No,39,4,No,,No,2,0.5,0.1026,2,,,0.5,13,10,3,31,,,1,0.5,0.1795,0.1538,2,7.75,1,17.7,0.3333,3.25,-4.8542,,6.5,5,1.5,1,7.736,7.736,0.1429,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,2,10,,,,1,,0.6667
Simi Fehoko,LAC,WR,16,No,Yes,No,15,1,No,1,No,1,1,0.0667,,,,,,,,53,,,,,0.0667,0.9333,1,53,1,39.6,,,-15,,,,,,5.0365,5.0365,0.0833,,,,,,,,,,,,,,,8,,,,1,,
Xavier Hutchinson,HST,WR,47,Yes,No,No,44,4,No,,No,1,0.25,0.0909,1,,1,0.25,11,,,66,,,,,0.2955,0.7045,1,16.5,1,,0.25,2.75,-6.6863,,11,,,1,8.6949,8.6949,0.1026,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,1,16,,,,1,,
Josh Reynolds,JAX,WR,17,No,Yes,No,16,2,No,,Yes,1,0.5,0.125,1,,,0.5,49,8,3,56,,,,,0.1875,0.8125,1,28,1,95.8,3.0625,24.5,11.7952,,49,8,3,1,3.9822,3.9822,0.1429,4.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,,9,,,,,,
Noah Gray,KC,TE,62,Yes,No,No,48,9,No,,Yes,6,0.6667,0.1875,6,,,0.6667,55,25,4,65,1,,,,0.2292,0.0833,4,7.2222,,80.6,1.1458,6.1111,-1.3442,,9.1667,4.1667,0.6667,5,20.1313,20.1313,0.1698,11.5,17.5,14.5,17.5,20.5,17.5,14.5,17.5,17.5,17.5,14.5,20.5,17.5,2,17,0.0625,,,1,1,0.625
Brian Thomas,JAX,WR,50,No,Yes,No,49,9,No,,Yes,8,0.8889,0.1837,8,,,0.8889,94,33,8,96,,,,,0.2653,0.7347,5,10.6667,1,110.2,1.9184,10.4444,2.2071,,11.75,4.125,1,4,17.5174,17.5174,0.2432,9.4,17.4,13.4,17.4,17.4,17.4,13.4,17.4,17.4,17.4,13.4,17.4,17.4,1,17,,,,,,
DeAndre Hopkins,KC,WR,43,No,Yes,No,43,9,No,2,Yes,5,0.5556,0.2093,4,1,,0.4444,40,4,,147,,,,,0.2558,0.7442,5,16.3333,2,57.6,0.9302,4.4444,-4.8164,,10,1,,3,23.4514,23.4514,0.2195,4,8,6,8,8,8,6,8,8,8,6,8,8,2,16,,,,2,,
