Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetedReadFirstTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,YardsAfterCatchTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,YardsAfterContactTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Ryan Flournoy,DAL,WR,33,No,Yes,No,31,No,No,,15,0.4839,0.5161,8,2,6,0.75,0.2581,3,,0.375,41,116,14.5,15.1,1.3226,5.125,-4.2268,13.6667,14.7548,14.7548,0.2759,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,4,2,2,7,,,2,1,0.25,2.3333,2,4,,,1.3333,,,,
Jaylen Waddle,MIA,WR,59,No,No,No,58,No,Yes,,16,0.1897,0.8103,7,,5,0.7143,0.1207,5,,0.7143,78,84,12,108,1.3448,11.1429,2.3231,15.6,12.0597,12.0597,0.1522,7.8,12.8,10.3,12.8,12.8,12.8,10.3,12.8,12.8,12.8,10.3,12.8,12.8,5,1,,20,,,,1,,4,5,6,,,1.2,,,,
Tee Higgins,CIN,WR,47,No,Yes,No,47,No,No,,15,0.1277,0.8723,3,1,1,0.3333,0.0638,,,,,40,13.3333,39.6,,,-8.9496,,5.8356,5.8356,0.0968,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,
Josh Jacobs,GB,RB,40,No,Yes,Yes,19,No,No,0.9474,15,0.0526,,3,,3,1,0.1579,3,,1,36,-13,-4.3333,116.7,1.8947,12,6.6674,12,3.9416,3.9416,0.1034,3.6,6.6,5.1,8.1,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,,,,49,,,,,,16.3333,1,21,,,7,,3,1,
Cade Stover,HST,TE,20,Yes,Yes,No,18,No,Yes,,9,0.0556,,10,1,10,1,0.5556,8,1,0.8,59,13,1.3,91.3,3.2778,5.9,0.262,7.375,15.8096,15.8096,0.5263,5.9,13.9,9.9,13.9,17.9,13.9,9.9,13.9,13.9,13.9,9.9,17.9,13.9,9,3,,46,,,1,,0.1,5.75,3,18,,,2.25,0.9444,,,
Scott Miller,PIT,WR,9,No,Yes,Yes,9,No,No,,13,0.2222,0.7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Carlson,CHI,TE,1,No,Yes,Yes,1,No,Yes,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Calcaterra,PHI,TE,26,No,Yes,No,14,No,No,,15,0.2857,0.0714,3,1,2,0.6667,0.2143,1,,0.3333,11,18,6,45.1,0.7857,3.6667,-3.4366,11,5.9396,5.9396,0.15,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,2,1,1,8,,,,,,8,1,1,,,1,0.6429,,,
Rashod Bateman,BLT,WR,42,No,Yes,Yes,42,No,No,,13,0.1429,0.8571,6,,4,0.6667,0.1429,4,,0.6667,75,71,11.8333,109.7,1.7857,12.5,4.2413,18.75,11.7802,11.7802,0.1714,7.5,11.5,9.5,11.5,11.5,11.5,9.5,11.5,11.5,11.5,9.5,11.5,11.5,1,2,,13,,,,1,,3.25,4,5,,,1.25,,2,0.5,
Pharaoh Brown,ARZ,TE,6,Yes,No,Yes,6,No,Yes,,7,,,2,,2,1,0.3333,2,,1,1,-1,-0.5,79.2,0.1667,0.5,-4.8133,0.5,5.6542,5.6542,0.5,0.1,2.1,1.1,2.1,3.1,2.1,1.1,2.1,2.1,2.1,1.1,3.1,2.1,2,1,,2,,,,,,1,,,,,,1,,,
