Rank,Season,Player,Team,Pos.,Pass Snaps,Pass Rushes,Points Saved,PS Per Rush,Points Above Avg,PAA Per Rush,Positive%,PAR,WAR
37,2024,Khalil Mack,Chargers,LB,370,354,24.565649,0.069394,12.668185,0.035785,43,16.364544,0.511354
38,2024,John Franklin-Myers,Broncos,DE,352,347,19.047537,0.054892,8.270878,0.023835,43,12.126316,0.378923
39,2024,Rashan Gary,Packers,DE,394,391,15.545118,0.039757,2.523323,0.006453,49,6.742242,0.210673
40,2024,Andrew Van Ginkel,Vikings,LB,580,376,19.184456,0.051022,7.353732,0.019557,29,11.233325,0.351025
41,2024,Braden Fiske,Rams,DT,406,402,22.159662,0.055123,9.181957,0.02284,47,14.705061,0.459501
42,2024,Derick Hall,Seahawks,LB,385,345,22.025476,0.063841,10.886769,0.031555,43,14.45283,0.451612
43,2024,Odafe Oweh,Ravens,LB,435,403,13.47295,0.033431,0.485325,0.001204,38,4.46041,0.139369
44,2024,Zach Sieler,Dolphins,DT,456,443,19.676468,0.044416,4.665181,0.01053,45,10.774818,0.336694
45,2024,DeMarcus Walker,Bears,DE,405,392,5.588449,0.014256,-7.463073,-0.019038,47,-3.199761,-0.099974
46,2024,Will Anderson Jr.,Texans,DE,351,341,22.598173,0.06627,11.261043,0.033023,39,14.902525,0.465667
47,2024,Dre'Mont Jones,Seahawks,DE,360,346,15.294436,0.044203,4.046118,0.011693,44,7.850795,0.245322
48,2024,Leonard Floyd,49ers,DE,363,355,8.670258,0.024423,-3.1879,-0.00898,44,0.690562,0.021583
49,2024,Montez Sweat,Bears,DE,349,339,17.769413,0.052417,6.458964,0.019052,45,10.14322,0.316947
50,2024,Dorance Armstrong,Commanders,DE,358,343,10.238085,0.029848,-1.20767,-0.00352,41,3.612896,0.112884
51,2024,Vita Vea,Buccaneers,DT,453,442,17.973072,0.040663,3.573265,0.008084,46,9.624396,0.300747
52,2024,Kobie Turner,Rams,DT,488,486,23.105577,0.047542,7.334182,0.01509,48,13.964808,0.43638
53,2024,Arden Key,Titans,DE,398,373,14.513408,0.038909,2.113941,0.005667,43,6.003406,0.187592
54,2024,Jeffery Simmons,Titans,DT,436,421,24.574654,0.058372,10.445377,0.02481,46,15.93392,0.497896
55,2024,Maliek Collins,49ers,DT,415,413,15.059906,0.036464,1.303678,0.003156,45,6.958055,0.217429
56,2024,Dante Fowler Jr.,Commanders,DE,332,303,21.989769,0.072573,11.708615,0.038642,39,14.490202,0.45279
57,2024,Jadeveon Clowney,Panthers,LB,364,317,12.308094,0.038826,2.979697,0.009399,42,6.194696,0.193573
58,2024,Emmanuel Ogbah,Dolphins,DE,437,385,7.457358,0.019369,-5.550237,-0.014416,42,-1.403378,-0.043858
59,2024,Kayvon Thibodeaux,Giants,DE,338,328,14.881005,0.045368,4.303205,0.013119,48,7.470341,0.233429
60,2024,Calijah Kancey,Buccaneers,DT,361,351,14.710307,0.041909,2.972497,0.008468,45,7.683229,0.24008
61,2024,Aidan Hutchinson,Lions,DE,183,177,23.838938,0.134683,18.236513,0.103031,43,20.25246,0.63284
62,2024,Kwity Paye,Colts,DE,371,360,11.611959,0.032255,0.595466,0.001654,46,4.480065,0.139999
63,2024,Joseph Ossai,Bengals,DE,352,319,4.668474,0.014634,-5.415468,-0.016976,44,-2.023965,-0.063249
64,2024,Jarran Reed,Seahawks,DT,390,369,18.583275,0.050361,6.633217,0.017976,41,11.686338,0.365167
65,2024,Calais Campbell,Dolphins,DE,390,374,20.862099,0.055781,8.245251,0.022046,42,12.398591,0.38744
66,2024,Byron Young,Rams,LB,478,336,10.035543,0.029867,-0.807588,-0.002403,35,2.601485,0.081282
67,2024,Tuli Tuipulotu,Chargers,LB,433,361,10.152346,0.028122,-1.926827,-0.005337,37,1.79128,0.055972
68,2024,Laiatu Latu,Colts,DE,363,353,13.135632,0.037211,2.126656,0.006024,50,5.919682,0.184975
69,2024,Bryan Bresee,Saints,DT,444,439,13.041896,0.029708,-0.505793,-0.001152,47,5.506005,0.17206
70,2024,Arnold Ebiketie,Falcons,LB,369,315,11.465007,0.036396,1.312601,0.004166,41,4.552522,0.14225
71,2024,Joey Bosa,Chargers,DE,299,294,12.411708,0.042216,2.905989,0.009884,42,5.979575,0.186848
72,2024,BJ Hill,Bengals,DT,407,399,7.34612,0.018411,-5.205958,-0.013047,50,0.267118,0.008341
73,2024,Levi Onwuzurike,Lions,DT,387,379,7.77551,0.020515,-4.585516,-0.012098,44,-0.489727,-0.015299
74,2024,Tershawn Wharton,Chiefs,DT,435,423,13.643422,0.032253,-0.587205,-0.001388,48,5.152929,0.161026
