"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Kareem Hunt","Chiefs","163","9.47","0.058","4.27","0.026","25.22","0.15","53.4%","9.5","0.3","17.2%","6.7%"
"[object Object]","2025","Brian Robinson Jr.","49ers","92","9.47","0.103","6.55","0.071","-3.02","-0.03","48.9%","9.5","0.3","8.7%","10.9%"
"[object Object]","2025","Kendre Miller","Saints","47","9.46","0.201","7.93","0.169","-0.47","-0.01","44.7%","9.5","0.3","10.6%","8.5%"
"[object Object]","2025","TreVeyon Henderson","Patriots","180","9.05","0.050","2.98","0.017","4.98","0.03","47.2%","8.8","0.3","10.6%","11.1%"
"[object Object]","2025","Audric Estime","Saints","46","8.82","0.192","7.26","0.158","7.57","0.16","43.5%","8.7","0.3","21.7%","4.3%"
"[object Object]","2025","Rhamondre Stevenson","Patriots","130","8.64","0.066","4.23","0.033","-22.72","-0.17","43.1%","8.4","0.3","12.3%","14.6%"
"[object Object]","2025","Puka Nacua","Rams","10","8.42","0.842","8.09","0.809","9.34","0.93","70.0%","8.4","0.3","50.0%","0.0%"
"[object Object]","2025","Tony Pollard","Titans","242","8.20","0.034","-0.17","-0.001","-12.82","-0.05","43.4%","7.6","0.2","8.7%","8.3%"
"[object Object]","2025","Jaleel McLaughlin","Broncos","37","7.87","0.213","6.72","0.182","5.07","0.14","56.8%","7.9","0.2","13.5%","2.7%"
"[object Object]","2025","Tyrod Taylor","Jets","27","7.78","0.288","4.86","0.180","5.60","0.21","51.9%","5.8","0.2","22.2%","0.0%"
"[object Object]","2025","Blake Corum","Rams","145","7.66","0.053","3.09","0.021","2.66","0.02","49.7%","7.8","0.2","11.0%","8.3%"
"[object Object]","2025","Jordan Love","Packers","47","7.48","0.159","4.17","0.089","8.98","0.19","51.1%","5.4","0.2","21.3%","10.6%"
"[object Object]","2025","Rachaad White","Buccaneers","132","7.36","0.056","3.00","0.023","8.74","0.07","48.5%","7.3","0.2","9.8%","6.1%"
"[object Object]","2025","Drake Maye","Patriots","103","7.08","0.069","-1.20","-0.012","13.58","0.13","49.5%","1.7","0.1","20.4%","10.7%"
"[object Object]","2025","Jawhar Jordan","Texans","43","7.01","0.163","5.59","0.130","0.32","0.01","39.5%","7.0","0.2","16.3%","9.3%"
"[object Object]","2025","Trey Lance","Chargers","17","6.99","0.411","5.93","0.349","4.44","0.26","47.1%","6.5","0.2","17.6%","11.8%"
"[object Object]","2025","Jacory Croskey-Merritt","Commanders","175","6.90","0.039","0.53","0.003","-9.26","-0.05","48.0%","6.2","0.2","10.9%","12.0%"
"[object Object]","2025","Trey Benson","Cardinals","29","6.80","0.234","5.82","0.201","-4.03","-0.14","34.5%","6.8","0.2","10.3%","20.7%"
"[object Object]","2025","Derrick Henry","Ravens","307","6.70","0.022","-4.22","-0.014","4.92","0.02","46.6%","5.7","0.2","11.7%","10.7%"
"[object Object]","2025","Zay Flowers","Ravens","10","6.34","0.634","5.99","0.599","3.27","0.33","60.0%","6.3","0.2","20.0%","0.0%"
"[object Object]","2025","Jaret Patterson","Chargers","41","6.32","0.154","5.07","0.124","4.07","0.10","41.5%","6.4","0.2","14.6%","7.3%"
"[object Object]","2025","Jordan Mason","Vikings","159","6.28","0.039","0.53","0.003","11.45","0.07","54.1%","5.7","0.2","13.2%","8.2%"
"[object Object]","2025","Ashton Jeanty","Raiders","266","5.72","0.021","-4.05","-0.015","-44.36","-0.17","40.2%","4.5","0.1","7.1%","13.2%"
"[object Object]","2025","C.J. Stroud","Texans","48","5.51","0.115","1.95","0.041","12.72","0.27","54.2%","3.3","0.1","20.8%","8.3%"
"[object Object]","2025","Kyle Monangai","Bears","169","5.47","0.032","0.31","0.002","8.78","0.05","51.5%","5.8","0.2","14.2%","11.2%"
