Rank,Season,Player,Team,Pos.,Cov. Snaps,Tgts,Points Saved,PS Per Play,Points Above Avg,PAA Per Play,EPA,EPA/Tgt,Positive%,PAR,WAR,Boom%,Bust%
125,2024,Ar'Darius Washington,Ravens,S,453,31,13.259355,0.029662,-1.047753,-0.002343,9.835708,0.31728,48.387096,0.713373,0.022294,0.32258064,0.09677419
126,2024,P.J. Locke,Broncos,S,598,31,19.149961,0.032293,0.846677,0.001427,8.028516,0.258984,61.29032,3.227668,0.10086,0.41935483,0.19354838
127,2024,Camryn Bynum,Vikings,S,669,31,27.989204,0.042089,6.940746,0.010437,-3.245046,-0.104678,41.935482,9.721906,0.303775,0.16129032,0.2580645
128,2024,DJ Turner II,Bengals,CB,300,31,10.228951,0.034325,1.345649,0.004515,-3.13117,-0.101005,41.935482,3.387051,0.105839,0.22580644,0.22580644
129,2024,Roger McCreary,Titans,CB,359,31,9.730825,0.027723,-2.325416,-0.006625,3.66304,0.118162,54.83871,-0.061152,-0.001906,0.16129032,0.12903225
130,2024,Nazeeh Johnson,Chiefs,S,308,31,4.416211,0.014385,-5.809502,-0.018923,12.152364,0.392011,48.387096,-4.530278,-0.141559,0.41935483,0.16129032
131,2024,Pete Werner,Saints,LB,359,30,13.42656,0.039258,2.619898,0.00766,4.542628,0.15142,53.333332,6.026899,0.188334,0.3,0.13333334
132,2024,Foyesade Oluokun,Jaguars,LB,419,30,17.56792,0.044588,5.690259,0.014442,9.529965,0.317665,46.666668,9.661432,0.301891,0.26666668,0.06666667
133,2024,Kamren Curl,Rams,S,515,30,7.466775,0.014526,-9.122609,-0.017748,8.232718,0.274423,46.666668,-7.028433,-0.219628,0.3,0.1
134,2024,Devin Lloyd,Jaguars,LB,427,30,8.416948,0.020937,-3.92394,-0.009761,16.62204,0.554067,53.333332,0.806058,0.025188,0.33333334,0.13333334
135,2024,Zack Baun,Eagles,LB,477,29,18.453815,0.041191,3.118181,0.00696,-7.363093,-0.253899,37.931034,7.704709,0.240758,0.2413793,0.20689656
136,2024,Demario Davis,Saints,LB,558,29,9.019578,0.017547,-6.356197,-0.012366,2.511908,0.086617,51.724136,-0.859266,-0.026849,0.20689656,0.20689656
137,2024,Minkah Fitzpatrick,Steelers,S,622,29,21.510824,0.034694,0.864249,0.001393,7.993219,0.275628,55.172413,3.418361,0.106833,0.41379312,0.20689656
138,2024,Ji'Ayir Brown,49ers,S,458,29,8.687259,0.019009,-6.690631,-0.01464,-1.184892,-0.040858,44.827587,-4.637549,-0.14492,0.2413793,0.20689656
139,2024,Dorian Williams,Bills,LB,297,29,8.365798,0.029251,-0.94522,-0.003304,-1.894136,-0.065315,48.275864,1.889087,0.059029,0.13793103,0.10344828
140,2024,Jakorian Bennett,Raiders,CB,274,29,4.498847,0.016419,-4.430135,-0.016168,-6.520645,-0.224849,37.931034,-2.556239,-0.079866,0.20689656,0.2413793
141,2024,Brandin Echols,Jets,CB,222,29,11.707878,0.052976,4.753017,0.021506,7.107681,0.245092,44.827587,6.287277,0.196462,0.27586207,0.13793103
142,2024,Kenneth Murray Jr.,Titans,LB,371,28,16.427061,0.048032,4.789167,0.014003,9.662117,0.345075,64.28571,8.09581,0.252967,0.25,0.10714286
143,2024,Kevin Byard III,Bears,S,544,28,12.060694,0.022252,-5.885518,-0.010858,6.349948,0.226783,53.57143,-3.674814,-0.114832,0.2857143,0.17857143
144,2024,Reed Blankenship,Eagles,S,486,28,22.676043,0.046754,5.695731,0.011743,12.398147,0.44279,64.28571,7.684763,0.240141,0.32142857,0.17857143
145,2024,Fred Warner,49ers,LB,500,28,33.93743,0.069974,17.734089,0.036565,1.486055,0.053073,53.57143,22.597454,0.70612,0.2857143,0.25
146,2024,Cameron Mitchell,Browns,CB,218,28,2.004657,0.009238,-5.013351,-0.023103,5.594469,0.199802,46.42857,-3.576737,-0.111772,0.35714287,0.14285715
147,2024,Andru Phillips,Giants,CB,315,28,14.22986,0.046051,4.322004,0.013987,8.727375,0.311691,53.57143,7.380109,0.230613,0.21428572,0.14285715
148,2024,Kyzir White,Cardinals,LB,492,28,17.099497,0.036852,1.752656,0.003777,8.948094,0.319574,60.714287,6.32894,0.197776,0.39285713,0.10714286
149,2024,Nate Hobbs,Raiders,CB,292,28,11.915305,0.041372,2.26021,0.007847,-5.399131,-0.192826,42.857143,4.734958,0.147959,0.2857143,0.2857143
150,2024,Mike Hilton,Bengals,CB,395,28,11.210527,0.028453,-1.324846,-0.003362,8.77122,0.313257,60.714287,1.410554,0.044076,0.35714287,0.10714286
151,2024,C.J. Gardner-Johnson,Eagles,S,537,28,29.703766,0.055729,11.417916,0.021421,14.335001,0.511964,50,13.620228,0.425605,0.39285713,0.14285715
152,2024,Darnell Savage,Jaguars,S,419,28,14.155176,0.034274,1.517867,0.003675,5.004746,0.17874,46.42857,3.214642,0.100455,0.2857143,0.21428572
153,2024,Derwin James Jr.,Chargers,S,515,28,18.708954,0.036828,1.974512,0.003886,-9.690806,-0.3461,28.571428,4.110448,0.128437,0.14285715,0.25
154,2024,Grant Delpit,Browns,S,494,28,9.447635,0.019479,-6.513021,-0.013428,6.591118,0.235397,46.42857,-2.718113,-0.084929,0.35714287,0.10714286
155,2024,Cody Barton,Broncos,LB,565,27,23.457376,0.043763,6.817812,0.012719,12.065486,0.446869,55.555557,12.268904,0.383383,0.4074074,0.074074075
156,2024,Robert Spillane,Raiders,LB,551,27,12.582858,0.024059,-4.312521,-0.008245,8.736096,0.323559,74.07407,0.961033,0.030022,0.33333334,0.074074075
157,2024,Christian Rozeboom,Rams,LB,403,27,2.400658,0.0063,-9.93591,-0.026078,6.451135,0.23893,44.444443,-6.128887,-0.191521,0.37037036,0.11111111
158,2024,Caelen Carson,Cowboys,CB,126,27,-8.224492,-0.065273,-12.27626,-0.09743,17.412497,0.644907,66.666664,-11.412908,-0.356622,0.37037036,0.074074075
159,2024,Storm Duck,Dolphins,CB,216,27,1.845068,0.008541,-5.114269,-0.023677,12.183718,0.451248,59.25926,-3.643965,-0.113858,0.25925925,0.11111111
160,2024,E.J. Speed,Colts,LB,483,27,13.119422,0.02852,-0.926817,-0.002014,8.820945,0.326701,59.25926,4.273932,0.13355,0.18518518,0.037037037
