"Rank","Season","Player","Team","Pos.","Pass Snaps","Pass Rushes","Points Saved","PS Per Rush","Points Above Avg","Positive%","PAR","WAR"
"[object Object]","2025","Lukas Van Ness","Packers","DE","148","140","3.0","0.022","-0.01","42.0%","0.6","0.0"
"[object Object]","2025","Micheal Clemons","Jets","DE","303","298","2.8","0.009","-0.02","51.0%","-2.8","-0.1"
"[object Object]","2025","Karl Brooks","Packers","DT","363","353","2.7","0.008","-0.02","45.0%","-3.2","-0.1"
"[object Object]","2025","Chris Braswell","Buccaneers","LB","163","131","2.7","0.020","-0.01","37.0%","-0.1","-0.0"
"[object Object]","2025","Arnold Ebiketie","Falcons","LB","194","172","2.5","0.015","-0.02","37.0%","-1.0","-0.0"
"[object Object]","2025","Jermaine Johnson II","Jets","DE","376","366","2.4","0.006","-0.03","51.0%","-4.0","-0.1"
"[object Object]","2025","Alex Singleton","Broncos","LB","629","77","2.3","0.030","-0.00","4.0%","0.8","0.0"
"[object Object]","2025","Kyle Van Noy","Ravens","LB","360","307","2.2","0.007","-0.02","39.0%","-3.5","-0.1"
"[object Object]","2025","Kayvon Thibodeaux","Giants","DE","302","294","2.0","0.007","-0.02","48.0%","-3.7","-0.1"
"[object Object]","2025","Kenny Clark","Cowboys","DT","429","427","2.0","0.005","-0.03","51.0%","-5.7","-0.2"
"[object Object]","2025","Tershawn Wharton","Panthers","DT","210","210","2.0","0.009","-0.02","52.0%","-2.0","-0.1"
"[object Object]","2025","Devin Lloyd","Jaguars","LB","427","84","1.9","0.022","-0.01","8.0%","0.2","0.0"
"[object Object]","2025","Kingsley Enagbare","Packers","DE","246","223","1.9","0.008","-0.02","43.0%","-2.3","-0.1"
"[object Object]","2025","Brandon Dorlus","Falcons","DE","292","290","1.4","0.005","-0.03","44.0%","-4.1","-0.1"
"[object Object]","2025","Mike Green","Ravens","LB","420","382","1.0","0.003","-0.03","40.0%","-7.1","-0.2"
"[object Object]","2025","David Onyemata","Falcons","DT","306","306","1.0","0.003","-0.03","49.0%","-4.4","-0.1"
"[object Object]","2025","Logan Hall","Buccaneers","DE","342","337","0.8","0.002","-0.03","52.0%","-6.2","-0.2"
"[object Object]","2025","Derrick Harmon","Steelers","DT","266","266","0.7","0.003","-0.03","47.0%","-3.7","-0.1"
"[object Object]","2025","Donovan Ezeiruaku","Cowboys","LB","342","311","0.6","0.002","-0.03","49.0%","-5.4","-0.2"
"[object Object]","2025","Nic Scourton","Panthers","LB","390","332","0.6","0.002","-0.03","44.0%","-6.7","-0.2"
"[object Object]","2025","Ashton Gillotte","Chiefs","DE","269","250","0.6","0.002","-0.03","40.0%","-4.8","-0.1"
"[object Object]","2025","Daiyan Henley","Chargers","LB","548","56","0.6","0.010","-0.03","4.0%","-0.8","-0.0"
"[object Object]","2025","Tyler Davis","Rams","DT","232","232","0.5","0.002","-0.03","49.0%","-3.5","-0.1"
"[object Object]","2025","Nate Landman","Rams","LB","572","57","0.4","0.006","-0.03","3.0%","-0.8","-0.0"
"[object Object]","2025","Grady Jarrett","Bears","DT","376","373","0.3","0.001","-0.03","48.0%","-6.5","-0.2"
"[object Object]","2025","Preston Smith","Commanders","LB","124","123","0.2","0.002","-0.03","53.0%","-2.0","-0.1"
"[object Object]","2025","Jonah Laulu","Raiders","DT","375","368","-0.3","-0.001","-0.03","48.0%","-6.6","-0.2"
"[object Object]","2025","Kenneth Grant","Dolphins","DT","318","312","-0.3","-0.001","-0.04","52.0%","-6.2","-0.2"
"[object Object]","2025","Derrick Barnes","Lions","LB","518","159","-0.4","-0.002","-0.04","12.0%","-3.8","-0.1"
"[object Object]","2025","Bud Dupree","Chargers","LB","220","187","-0.8","-0.004","-0.04","39.0%","-5.4","-0.2"
"[object Object]","2025","Kwity Paye","Colts","DE","434","387","-1.5","-0.004","-0.03","41.0%","-8.0","-0.2"
"[object Object]","2025","Haason Reddick","Buccaneers","LB","368","281","-1.6","-0.006","-0.04","41.0%","-7.7","-0.2"
"[object Object]","2025","Patrick Queen","Steelers","LB","667","69","-2.3","-0.033","-0.06","5.0%","-3.5","-0.1"
"[object Object]","2025","Ruke Orhorhoro","Falcons","DT","363","362","-2.9","-0.008","-0.04","45.0%","-9.2","-0.3"
"[object Object]","2025","Javon Kinlaw","Commanders","DT","373","371","-3.7","-0.010","-0.04","50.0%","-10.1","-0.3"
"[object Object]","2025","D.J. Wonnum","Panthers","DE","402","349","-10.0","-0.029","-0.06","42.0%","-17.6","-0.5"
