"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Marvin Harrison Jr.","Cardinals","WR","22","1.25","0.015","-0.80","-0.010","8.96","0.41","63.6%","0.3","0.0","45.5%","13.6%"
"[object Object]","2025","Mark Andrews","Ravens","TE","23","1.23","0.012","-1.58","-0.015","7.67","0.33","65.2%","-0.1","-0.0","30.4%","13.0%"
"[object Object]","2025","Gunnar Helm","Titans","TE","14","1.22","0.020","-0.34","-0.006","0.77","0.06","50.0%","0.5","0.0","21.4%","7.1%"
"[object Object]","2025","Jalen Tolbert","Cowboys","WR","16","1.19","0.014","-0.74","-0.009","-0.03","-0.00","37.5%","0.3","0.0","31.3%","25.0%"
"[object Object]","2025","Cedric Tillman","Browns","WR","16","1.17","0.012","-1.06","-0.011","1.98","0.12","50.0%","0.1","0.0","25.0%","18.8%"
"[object Object]","2025","Michael Pittman Jr.","Colts","WR","26","1.09","0.008","-2.17","-0.017","-3.78","-0.15","57.7%","-0.5","-0.0","30.8%","26.9%"
"[object Object]","2025","Cole Kmet","Bears","TE","9","1.07","0.014","-0.69","-0.009","0.68","0.08","44.4%","0.3","0.0","33.3%","11.1%"
"[object Object]","2025","Darnell Mooney","Falcons","WR","25","0.94","0.007","-2.21","-0.017","-5.54","-0.22","28.0%","-0.6","-0.0","28.0%","28.0%"
"[object Object]","2025","De'Von Achane","Dolphins","RB","7","0.89","0.018","-0.44","-0.009","-0.26","-0.04","57.1%","0.1","0.0","14.3%","14.3%"
"[object Object]","2025","Mitchell Tinsley","Bengals","WR","10","0.83","0.021","-0.04","-0.001","2.04","0.20","50.0%","0.5","0.0","30.0%","20.0%"
"[object Object]","2025","Treylon Burks","Commanders","WR","11","0.69","0.017","-0.23","-0.006","-0.66","-0.06","27.3%","0.3","0.0","27.3%","18.2%"
"[object Object]","2025","Colston Loveland","Bears","TE","17","0.66","0.007","-1.36","-0.015","8.07","0.47","52.9%","-0.1","-0.0","35.3%","17.6%"
"[object Object]","2025","Darnell Washington","Steelers","TE","6","0.64","0.017","-0.35","-0.009","0.20","0.03","33.3%","0.2","0.0","33.3%","0.0%"
"[object Object]","2025","T.J. Hockenson","Vikings","TE","12","0.54","0.005","-2.49","-0.022","3.98","0.33","58.3%","-0.9","-0.0","25.0%","16.7%"
"[object Object]","2025","Dawson Knox","Bills","TE","11","0.53","0.006","-1.79","-0.019","-1.56","-0.14","45.5%","-0.5","-0.0","36.4%","18.2%"
