Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetsTotal,TargetsPerRoute,YardsAirTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,AlignmentInlineRoutesPercentage,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
James Conner,ARZ,RB,6,Yes,No,No,5,No,No,0.2,16,0.8,,1,0.2,-3,1,-3,,39.6,-6.1191,1.5765,1.5765,0.1667,,,,1,1,
Chris Brooks,GB,RB,1,No,No,No,1,No,No,,13,1,,,,,,,,,,,,,,,,,,
Dallin Holker,NO,TE,1,No,No,No,1,No,No,,12,,,,,,,,,,,,,,1,,,,,
Christian Watson,GB,WR,8,No,No,No,8,No,No,0.5,15,,0.5,4,0.5,57,2,14.25,1,39.6,-7.9893,10.6483,10.6483,0.5,,1,3,,,
Ben Sims,GB,TE,2,No,No,No,1,No,No,,16,,,,,,,,,,,,,,1,,,,,
DeAndre Carter,CHI,WR,1,No,No,No,1,No,No,,13,,1,,,,,,,,,,,,,,,,,
Robbie Chosen,MIA,WR,1,No,No,Yes,1,No,No,,2,,1,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,9,No,No,No,9,No,No,0.6667,15,,0.3333,3,0.3333,40,1,13.3333,,39.6,-9.6442,6.5347,6.5347,0.3333,,1,1,,,
Hunter Long,LA,TE,2,No,Yes,No,1,No,No,,17,,,1,1,-3,1,-3,,39.6,-5.8652,1.6569,1.6569,0.5,1,,,,,
Jonathan Mingo,DAL,WR,12,Yes,No,Yes,10,No,No,0.6,17,,0.3,2,0.2,21,2,10.5,,39.6,-8.229,3.1935,3.1935,0.1667,0.1,,,,,
Cooper Kupp,LA,WR,16,Yes,No,No,15,No,No,0.3333,12,,0.6667,5,0.3333,59,3,11.8,1,39.6,-8.4038,11.5861,11.5861,0.3125,,1,1,,,1
Steven Sims,BLT,WR,1,No,No,No,1,No,No,1,9,,,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,13,No,No,No,9,No,No,0.2222,12,,,2,0.2222,16,,8,,39.6,-7.3664,2.6992,2.6992,0.1538,0.7778,,,,,
Adam Trautman,DEN,TE,10,Yes,No,No,7,No,No,,17,,0.2857,3,0.4286,12,2,4,,39.6,-6.4434,4.0804,4.0804,0.3,0.7143,,,,,
Ja'Marr Chase,CIN,WR,17,No,No,No,17,No,No,0.6471,17,,0.3529,4,0.2353,48,4,12,,,-8.8673,7.0911,7.0911,0.2353,,1,1,,,
D'Andre Swift,CHI,RB,13,No,No,No,11,No,No,0.2727,17,0.6364,0.0909,2,0.1818,-1,1,-0.5,,39.6,-5.823,2.8503,2.8503,0.1538,,,,1,0.5,
Saquon Barkley,PHI,RB,5,Yes,No,No,3,No,No,0.3333,16,0.6667,,1,0.3333,-3,1,-3,,39.6,-6.1191,1.8147,1.8147,0.2,,,,1,1,
Evan Engram,JAX,TE,13,No,No,No,13,No,No,0.2308,9,,0.3077,3,0.2308,21,2,7,,39.6,-7.926,4.3355,4.3355,0.2308,0.4615,,,,,
Jamari Thrash,CLV,WR,5,No,No,No,5,No,No,0.6,9,,0.4,1,0.2,7,,7,,39.6,-7.0645,1.4683,1.4683,0.2,,,,,,
Will Dissly,LAC,TE,10,No,No,No,9,No,No,0.2222,15,,0.4444,3,0.3333,6,1,2,,39.6,-5.9776,4.3487,4.3487,0.3,0.3333,,1,,,
KhaDarel Hodge,ATL,WR,3,No,No,No,2,No,No,1,16,,,1,0.5,15,,15,,39.6,-10.4097,4.0011,4.0011,0.3333,,1,1,,,
Miles Sanders,CAR,RB,8,No,No,No,7,No,No,0.2857,11,0.7143,,2,0.2857,12,,6,,39.6,-6.4333,2.9257,2.9257,0.25,,,,,,
Rasheen Ali,BLT,RB,1,No,No,No,1,No,No,,5,1,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,7,No,No,No,7,No,No,0.7143,14,,0.2857,2,0.2857,24,1,12,1,39.6,-8.3446,3.3675,3.3675,0.2857,,,,,,
Connor Heyward,PIT,TE,1,Yes,No,No,1,No,No,,16,,1,,,,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,12,No,No,No,12,No,No,0.9167,17,,0.0833,7,0.5833,102,7,14.5714,2,39.6,-9.3833,16.3042,16.3042,0.5833,,1,2,,,
Nick Westbrook-Ikhine,TEN,WR,15,No,No,Yes,15,No,No,0.8667,17,,0.1333,4,0.2667,25,4,6.25,,,-6.8025,7.2603,7.2603,0.2667,,,,,,1
Jake Bobo,SEA,WR,3,No,Yes,No,3,No,No,0.6667,17,,0.3333,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,3,Yes,No,Yes,2,No,No,,17,,0.5,,,,,,,,,,,,0.5,,,,,
Tyler Higbee,LA,TE,4,No,Yes,No,3,No,No,0.3333,3,,0.3333,2,0.6667,9,1,4.5,,39.6,-6.8389,2.656,2.656,0.5,0.3333,,2,,,
Ronnie Rivers,LA,RB,2,No,Yes,No,1,No,No,,6,1,,1,1,-4,,-4,,39.6,-5.5699,1.4911,1.4911,0.5,,,,,,
Amari Cooper,BUF,WR,16,No,No,No,15,No,No,0.8667,14,,0.1333,7,0.4667,93,4,13.2857,2,,-8.8263,10.3525,10.3525,0.4375,,,,,,
Darius Slayton,NYG,WR,14,No,No,No,13,No,No,0.8462,16,,0.1538,2,0.1538,42,1,21,1,39.6,-11.1615,6.7515,6.7515,0.1429,,1,,,,
Parris Campbell,PHI,WR,2,Yes,Yes,No,2,No,No,0.5,5,,0.5,,,,,,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,20,No,No,Yes,13,No,No,0.1538,17,0.7692,0.0769,2,0.1538,-1,,-0.5,,39.6,-5.9637,5.8888,5.8888,0.1,,,1,,,
Nico Collins,HST,WR,17,No,No,Yes,17,No,No,0.8824,12,,0.1176,2,0.1176,17,2,8.5,,39.6,-7.7045,4.4922,4.4922,0.1176,,1,1,,,
Jerry Jeudy,CLV,WR,30,No,No,No,29,No,No,0.6552,17,,0.3103,5,0.1724,75,5,15,1,39.6,-9.4758,13.0412,13.0412,0.1667,0.0345,3,3,,,
Jake Ferguson,DAL,TE,17,Yes,No,Yes,15,No,No,0.0667,14,,0.4667,6,0.4,24,6,4,,39.6,-6.5797,10.495,10.495,0.3529,0.4667,1,1,,,
Davante Adams,NYJ,WR,28,No,No,Yes,28,No,No,0.5714,14,,0.4286,11,0.3929,104,8,9.4545,2,39.6,-7.638,19.167,19.167,0.3929,,,1,2,0.1818,
J.K. Dobbins,LAC,RB,6,No,No,No,3,No,No,0.3333,13,0.6667,,,,,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,3,No,No,No,1,No,No,,13,1,,,,,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,6,No,Yes,No,6,No,No,0.6667,15,,0.3333,1,0.1667,5,,5,,39.6,-6.3628,1.6039,1.6039,0.1667,,,,,,
Josh Whyle,TEN,TE,8,No,No,Yes,6,No,No,0.3333,17,,0.6667,1,0.1667,6,1,6,,39.6,-7.093,1.4742,1.4742,0.125,,,,,,
Travis Etienne,JAX,RB,14,No,No,No,10,No,No,0.1,15,0.9,,4,0.4,2,,0.5,,39.6,-5.9425,6.3425,6.3425,0.2857,,,2,,,
Equanimeous St. Brown,NO,WR,1,No,No,No,1,No,No,1,2,,,,,,,,,,,,,,,,,,,
Samaje Perine,KC,RB,5,Yes,No,No,5,No,No,,17,1,,1,0.2,13,,13,,39.6,-7.0476,2.9824,2.9824,0.2,,1,1,,,
