Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone
Chris Godwin,TB,WR,20,No,No,No,19,10,No,1,Yes,10,1,0.5263,9,,0.9,108,58,0.3158,5.8,151.3,5.6842,10.8,4.1135,12,17.4433,17.4433,0.5,22.8,31.8,27.3,31.8,31.8,34.8,30.3,31.8,31.8,31.8,27.3,31.8,31.8,7,,55,15,,1,0.1111,0.6842,8,1,0.1,,,6.1111,1.6667,7,1,,,,2,
Brevin Jordan,HST,TE,3,No,Yes,No,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,
Jayden Reed,GB,WR,28,No,No,Yes,28,9,No,2,Yes,9,1,0.3214,8,1,0.8889,209,150,0.1786,16.6667,158.3,7.4643,23.2222,13.4913,26.125,17.5899,17.5899,0.3214,32.9,40.9,36.9,40.9,40.9,43.9,39.9,40.9,40.9,40.9,36.9,40.9,40.9,17,0.0357,67,37,1,1,0.125,0.7857,8,2,0.2222,4,0.1111,8.375,4.625,6,2,,,,2,
Brayden Willis,SF,TE,2,No,No,No,1,1,Yes,1,Yes,1,1,1,,,,,5,,5,39.6,,,-6.48,,1.4769,1.4769,0.5,,,,,,,,,,,,,,9,,,,,,,1,1,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,24,No,No,No,24,4,No,1,Yes,4,1,0.1667,2,,0.5,60,32,0.25,8,56.3,2.5,15,7.3423,30,9.0672,9.0672,0.1667,6,8,7,8,9,8,7,8,8,8,7,9,8,17,,36,12,1,,,0.4583,3,,,1,0.25,18,6,2,1,0.2917,,,,
Dante Pettis,NO,WR,8,No,No,Yes,8,4,No,,Yes,4,1,0.5,3,,0.75,32,20,0.375,5,97.9,4,8,1.5723,10.6667,5.4648,5.4648,0.5,3.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,8,,15,5,,1,0.3333,0.625,4,,,,,5,1.6667,3,,,,,,
Raheem Mostert,MIA,RB,10,No,Yes,No,9,2,No,,Yes,2,1,0.2222,2,,1,34,11,,5.5,118.8,3.7778,17,9.987,17,2.6083,2.6083,0.2,3.4,5.4,4.4,6.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,13,0.7778,23,10,,2,1,0.2222,,,,,,11.5,5,2,,,,,,
Jalen Coker,CAR,WR,15,No,No,No,14,2,No,1,Yes,2,1,0.1429,2,1,1,29,26,0.3571,13,158.3,2.0714,14.5,5.1376,14.5,4.9008,4.9008,0.1333,8.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,11,,3,1,,,,0.6429,2,,,,,1.5,0.5,2,1,,1,,1,1
Marvin Mims,DEN,WR,13,No,No,No,11,2,No,,Yes,2,1,0.1818,2,,1,-4,-9,0.6364,-4.5,79.2,-0.3636,-2,-6.3223,-2,3.4636,3.4636,0.1538,-0.4,1.6,0.6,1.6,1.6,1.6,0.6,1.6,1.6,1.6,0.6,1.6,1.6,17,0.2727,5,1,,,,0.0909,1,,,,,2.5,0.5,,,,,,,
Dallas Goedert,PHI,TE,19,No,Yes,No,18,6,No,1,Yes,6,1,0.3333,6,1,1,50,11,0.2778,1.8333,101.4,2.7778,8.3333,2.1931,8.3333,9.0772,9.0772,0.3158,5,11,8,11,14,11,8,11,11,11,8,14,11,10,,39,16,,,,0.3333,2,,,,,6.5,2.6667,3,,0.3889,,,,
Roschon Johnson,CHI,RB,9,No,No,Yes,7,2,No,1,Yes,2,1,0.2857,1,,0.5,11,2,,1,66.7,1.5714,5.5,-0.6109,11,3.242,3.242,0.2222,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,13,1,9,5,,1,1,,,,,,,9,5,1,1,,,,,
Cedric Tillman,CLV,WR,27,No,No,No,24,7,No,1,Yes,7,1,0.2917,5,,0.7143,68,75,0.7917,10.7143,62.5,2.8333,9.7143,1.4866,13.6,13.4649,13.4649,0.2593,6.8,11.8,9.3,11.8,11.8,11.8,9.3,11.8,11.8,11.8,9.3,11.8,11.8,11,,10,6,1,1,0.2,0.2083,6,,,1,0.1429,2,1.2,4,,,,,,
Calvin Ridley,TEN,WR,26,No,No,Yes,24,4,Yes,1,Yes,4,1,0.1667,4,1,1,88,80,1,20,118.8,3.6667,22,11.5178,22,7.4537,7.4537,0.1538,8.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,17,,8,1,,,,,4,,,2,,2,0.25,4,,,,,,
Will Shipley,PHI,RB,2,No,Yes,No,2,,No,,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,0.5,,,,,,,,,,,,,,
Payne Durham,TB,TE,9,No,No,Yes,5,,No,,Yes,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,0.4,,,,,,,,,,0.4,,,,
Kyren Williams,LA,RB,24,No,No,No,13,1,No,,Yes,1,1,0.0769,1,,1,6,3,0.0769,3,91.7,0.4615,6,-0.5094,6,1.3137,1.3137,0.0417,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,16,0.9231,3,2,,,,,,,,,,3,2,,,,,,,
Tucker Kraft,GB,TE,33,No,No,Yes,28,1,No,,Yes,1,1,0.0357,1,,1,35,21,0.3214,21,118.8,1.25,35,22.0365,35,1.115,1.115,0.0303,3.5,4.5,4,4.5,5,4.5,4,4.5,4.5,4.5,4,5,4.5,17,,14,6,,,,0.3571,1,,,1,,14,6,1,,0.3214,,,,
Trey Palmer,TB,WR,13,No,No,Yes,13,2,No,,Yes,2,1,0.1538,2,,1,46,34,0.6923,17,118.8,3.5385,23,12.739,23,3.1903,3.1903,0.1538,4.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,15,,12,9,,,,0.3077,1,,,1,,6,4.5,2,1,,,,,
Dawson Knox,BUF,TE,12,No,No,No,11,2,No,,Yes,2,1,0.1818,2,,1,31,26,0.0909,13,118.8,2.8182,15.5,5.7783,15.5,2.5705,2.5705,0.1667,3.1,5.1,4.1,5.1,6.1,5.1,4.1,5.1,5.1,5.1,4.1,6.1,5.1,16,0.0909,5,,,,,0.5455,2,,,1,,2.5,,2,,0.2727,,,,
Noah Brown,WAS,WR,24,No,No,No,24,6,No,1,Yes,6,1,0.25,4,,0.6667,74,91,0.5833,15.1667,109,3.0833,12.3333,3.0828,18.5,10.1704,10.1704,0.25,7.4,11.4,9.4,11.4,11.4,11.4,9.4,11.4,11.4,11.4,9.4,11.4,11.4,11,,9,6,1,,,0.4167,6,,,1,0.1667,2.25,1.5,4,,,,,,
Dontayvion Wicks,GB,WR,21,No,No,Yes,19,5,No,1,Yes,5,1,0.2632,1,,0.2,5,46,0.5789,9.2,39.6,0.2632,1,-6.8736,5,9.4539,9.4539,0.2381,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,17,,2,,2,,,0.4211,4,,,,0.4,2,,1,1,,1,,,
Trey McBride,ARZ,TE,23,No,No,No,23,10,Yes,,Yes,10,1,0.4348,10,,1,134,60,0.087,6,118.8,5.8261,13.4,6.4055,13.4,15.3085,15.3085,0.4348,13.4,23.4,18.4,23.4,28.4,26.4,21.4,23.4,23.4,23.4,18.4,28.4,23.4,16,,74,32,,,,0.3478,9,3,0.3,,,7.4,3.2,5,2,0.5652,,,,
Patrick Taylor,SF,RB,4,No,No,No,3,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,
John Bates,WAS,TE,10,No,No,Yes,6,1,Yes,,Yes,1,1,0.1667,1,,1,9,2,,2,104.2,1.5,9,2.6299,9,1.4126,1.4126,0.1,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,17,,7,3,,,,0.1667,,,,,,7,3,,,0.8333,,,,
Carson Steele,KC,RB,5,No,No,No,4,1,No,,Yes,1,1,0.25,1,,1,8,-1,,-1,100,2,8,2.181,8,1.5328,1.5328,0.2,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,16,1,9,2,,,,,,,,,,9,2,,,,,,,
Jalen Reagor,LAC,WR,3,Yes,No,No,3,2,No,1,Yes,2,1,0.6667,1,,0.5,41,41,,20.5,95.8,13.6667,20.5,10.4436,41,4.1873,4.1873,0.6667,3.1,4.1,3.6,4.1,4.1,4.1,2.6,3.1,3.1,3.1,2.6,4.1,3.1,8,,5,,,,,1,1,,,1,,5,,,,,,,,
Daniel Bellinger,NYG,TE,17,No,Yes,No,12,1,No,,Yes,1,1,0.0833,1,,1,13,10,0.1667,10,118.8,1.0833,13,5.2315,13,1.6704,1.6704,0.0588,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,17,,3,,,,,0.3333,1,,,,,3,,1,,0.5,,,,
Drew Sample,CIN,TE,28,No,Yes,No,19,2,Yes,,Yes,2,1,0.1053,2,,1,20,4,0.0526,2,108.3,1.0526,10,4.3093,10,2.946,2.946,0.0714,2,4,3,4,5,4,3,4,4,4,3,5,4,17,0.0526,16,4,,,,0.1053,1,,,,,8,2,1,,0.7895,,,,
Devontez Walker,BLT,WR,2,No,No,Yes,2,,Yes,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,18,No,No,Yes,12,5,Yes,,Yes,5,1,0.4167,5,,1,52,11,,2.2,110,4.3333,10.4,3.9678,10.4,8.0741,8.0741,0.2778,5.2,10.2,7.7,12.7,10.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,12,0.75,41,11,,1,0.2,0.1667,4,,,,,8.2,2.2,2,1,0.0833,,,,
Tanner Hudson,CIN,TE,4,No,Yes,No,2,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,1,,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,12,No,No,No,12,4,No,2,Yes,4,1,0.3333,4,2,1,37,22,0.5,5.5,144.8,3.0833,9.25,2.1434,9.25,5.9022,5.9022,0.3333,9.7,13.7,11.7,13.7,13.7,13.7,11.7,13.7,13.7,13.7,11.7,13.7,13.7,14,,15,3,,1,0.25,0.5,3,1,0.25,,,3.75,0.75,2,1,,,,1,
Chase Brown,CIN,RB,28,No,No,Yes,22,6,No,,Yes,6,1,0.2727,6,,1,40,14,0.1364,2.3333,134,1.8182,6.6667,0.1402,6.6667,11.2396,11.2396,0.2143,10,16,13,19,16,16,13,16,16,16,13,16,16,16,0.8182,28,9,,1,0.1667,0.0455,2,1,0.1667,,,4.6667,1.5,3,1,,1,,1,1
Najee Harris,PIT,RB,14,No,Yes,No,13,6,Yes,2,Yes,6,1,0.4615,3,1,0.5,20,-17,,-2.8333,57.6,1.5385,3.3333,-2.4873,6.6667,8.8172,8.8172,0.4286,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,17,1,32,6,3,1,0.3333,,2,1,0.1667,,0.5,10.6667,2,1,,,,,,
Andrei Iosivas,CIN,WR,43,No,Yes,No,38,8,Yes,2,Yes,8,1,0.2105,4,,0.5,85,124,0.4737,15.5,88,2.2368,10.625,1.0151,21.25,16.8567,16.8567,0.186,8.5,12.5,10.5,12.5,12.5,12.5,10.5,12.5,12.5,12.5,10.5,12.5,12.5,17,,16,3,3,,,0.5263,6,,,2,0.375,4,0.75,4,,,,1,,
Brandon Aiyuk,SF,WR,18,No,Yes,Yes,17,3,No,2,Yes,3,1,0.1765,1,1,0.3333,14,35,0.9412,11.6667,49.3,0.8235,4.6667,-4.0905,14,6.8044,6.8044,0.1667,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,7,,,,1,,,0.0588,2,,,,0.3333,,,1,,,,,,
Allen Lazard,NYJ,WR,24,No,Yes,No,24,5,No,1,Yes,5,1,0.2083,2,,0.4,31,31,0.625,6.2,61.3,1.2917,6.2,-0.6617,15.5,10.4416,10.4416,0.2083,3.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,12,,22,18,2,1,0.5,0.375,4,,,,0.4,11,9,2,4,,1,,,
Darnell Mooney,ATL,WR,23,No,No,No,23,5,No,1,Yes,5,1,0.2174,4,,0.8,50,49,0.5652,9.8,147.9,2.1739,10,1.7686,12.5,12.5683,12.5683,0.2174,11,15,13,15,15,15,13,15,15,15,13,15,15,16,0.0435,13,9,,2,0.5,0.3913,3,,,,,3.25,2.25,3,1,,,,1,
Jeremy Ruckert,NYJ,TE,10,No,Yes,No,9,2,No,,Yes,2,1,0.2222,2,,1,14,3,0.3333,1.5,95.8,1.5556,7,1.1946,7,2.888,2.888,0.2,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,17,0.2222,11,5,,,,0.2222,2,,,,,5.5,2.5,1,,0.2222,,,,
Kalif Raymond,DET,WR,13,Yes,No,Yes,12,5,No,1,Yes,5,1,0.4167,4,,0.8,72,60,0.5,12,118.8,6,14.4,4.9334,18,7.7382,7.7382,0.3846,7.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,12,,29,3,,,,0.5,4,,,,,7.25,0.75,3,,,,,,
Stefon Diggs,HST,WR,12,No,No,Yes,10,2,No,2,Yes,2,1,0.2,,,,,18,0.7,9,39.6,,,-7.6898,,3.4291,3.4291,0.1667,,,,,,,,,,,,,,8,,,,,,,0.3,2,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,6,No,No,Yes,6,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,0.1667,,,,,,,,,,0.8333,,,,
Zay Jones,ARZ,WR,9,No,No,No,8,2,Yes,1,Yes,2,1,0.25,1,,0.5,7,23,0.875,11.5,58.3,0.875,3.5,-5.1309,7,3.0132,3.0132,0.2222,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,11,,2,,,,,0.125,1,,,,,2,,,,,,,,
Irv Smith,HST,TE,3,No,No,Yes,1,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
Sean Tucker,TB,RB,3,No,No,Yes,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,
Joseph Fortson,KC,TE,2,No,Yes,Yes,2,,Yes,,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0.5,,,,,,,,,,,,,,
John FitzPatrick,GB,TE,2,No,No,Yes,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,1,,,,
Tank Bigsby,JAX,RB,6,No,No,No,4,1,No,,No,1,1,0.25,1,,1,1,-1,,-1,79.2,0.25,1,-4.819,1,1.3659,1.3659,0.1667,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,16,1,2,1,,,,,,,,,,2,1,,,,,,,
Mike Woods,CLV,WR,10,Yes,No,No,10,,Yes,,Yes,,,,,,,,,0.8,,,,,,,1.7526,1.7526,,,,,,,,,,,,,,,5,,,,,,,0.1,,,,,,,,,,0.1,,,,
Zach Pascal,ARZ,WR,1,No,No,No,1,,Yes,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,5,No,Yes,No,5,,No,,Yes,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,0.2,,,,,,,,,,,,,,
Cedrick Wilson,NO,WR,17,No,No,Yes,17,2,No,,Yes,2,1,0.1176,2,,1,43,18,0.6471,9,118.8,2.5294,21.5,13.8613,21.5,3.1677,3.1677,0.1176,4.3,6.3,5.3,6.3,6.3,6.3,5.3,6.3,6.3,6.3,5.3,6.3,6.3,15,,25,6,,,,0.3529,2,,,,,12.5,3,2,,,,,,
Keon Coleman,BUF,WR,10,No,No,No,9,3,No,2,Yes,3,1,0.3333,1,1,0.3333,21,30,1,10,59,2.3333,7,-0.9547,21,7.7409,7.7409,0.3,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,13,,1,,1,,,,3,,,1,0.3333,1,,1,1,,1,1,,
Lil'Jordan Humphrey,DEN,WR,24,No,No,No,22,3,No,,Yes,3,1,0.1364,3,,1,15,8,0.3636,2.6667,87.5,0.6818,5,-1.1942,5,5.3516,5.3516,0.125,1.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,17,,7,4,,,,0.6364,1,,,,,2.3333,1.3333,,1,,,,,
Jordan Addison,MIN,WR,46,Yes,No,Yes,45,9,No,2,Yes,9,1,0.2,6,,0.6667,58,122,0.7333,13.5556,121.5,1.2889,6.4444,-2.3417,9.6667,21.1075,21.1075,0.1957,11.8,17.8,14.8,17.8,17.8,17.8,14.8,17.8,17.8,17.8,14.8,17.8,17.8,15,,14,7,1,1,0.1667,0.2667,5,1,0.1111,2,0.1111,2.3333,1.1667,3,1,,3,,1,1
Tyler Lockett,SEA,WR,53,Yes,Yes,No,50,8,No,3,Yes,8,1,0.16,6,2,0.75,96,109,0.76,13.625,114.6,1.92,12,2.4773,16,17.7159,17.7159,0.1509,9.6,15.6,12.6,15.6,15.6,15.6,12.6,15.6,15.6,15.6,12.6,15.6,15.6,17,,9,4,1,4,0.6667,0.24,7,,,2,0.125,1.5,0.6667,5,1,,1,1,,
De'Von Achane,MIA,RB,12,No,Yes,No,10,2,No,,Yes,2,1,0.2,2,,1,9,4,0.4,2,85.4,0.9,4.5,-1.7445,4.5,4.1369,4.1369,0.1667,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,17,0.5,5,1,,,,0.1,1,,,,,2.5,0.5,,,,,,,
Mike Evans,TB,WR,21,No,No,Yes,21,6,No,1,Yes,6,1,0.2857,4,1,0.6667,70,79,0.6667,13.1667,145.8,3.3333,11.6667,2.3657,17.5,10.6208,10.6208,0.2857,13,17,15,17,17,17,15,17,17,17,15,17,17,14,,15,3,2,,,0.3333,5,,,1,0.3333,3.75,0.75,4,,,1,,1,1
Kenneth Walker,SEA,RB,32,No,Yes,No,24,7,No,1,Yes,7,1,0.2917,6,1,0.8571,27,-16,0.2917,-2.2857,82.7,1.125,3.8571,-1.9086,4.5,9.8523,9.8523,0.2188,2.7,8.7,5.7,11.7,8.7,8.7,5.7,8.7,8.7,8.7,5.7,8.7,8.7,11,0.6667,42,22,1,1,0.1667,0.0417,6,3,0.4286,,0.1429,7,3.6667,3,,,,,,
Austin Hooper,NE,TE,10,No,No,No,10,4,No,1,Yes,4,1,0.4,4,1,1,32,16,0.1,4,100,3.2,8,1.5289,8,7.3555,7.3555,0.4,3.2,7.2,5.2,7.2,9.2,7.2,5.2,7.2,7.2,7.2,5.2,9.2,7.2,17,,16,3,,1,0.25,0.2,1,,,,,4,0.75,3,1,0.7,,,,
Justin Watson,KC,WR,27,No,No,No,25,3,No,1,Yes,3,1,0.12,2,,0.6667,23,24,0.84,8,89.6,0.92,7.6667,0.0626,11.5,4.666,4.666,0.1111,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,17,,5,1,,,,0.12,1,,,,,2.5,0.5,1,,0.04,,,,
Rashee Rice,KC,WR,4,No,No,Yes,4,2,No,,Yes,2,1,0.5,2,,1,18,,1,,104.2,4.5,9,3.5832,9,2.855,2.855,0.5,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,4,,18,10,,2,1,,2,1,0.5,,,9,5,1,,,,,,
Ty Chandler,MIN,RB,7,No,No,No,5,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.6,,,,,,,,,,,,,,,,0.4,,,,
Britain Covey,PHI,WR,4,No,No,No,4,2,Yes,1,Yes,2,1,0.5,2,1,1,15,-1,0.25,-0.5,97.9,3.75,7.5,2.5325,7.5,2.7966,2.7966,0.5,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,5,,16,1,,1,0.5,0.75,,,,,,8,0.5,1,,,,,,
Jaylen Wright,MIA,RB,7,No,Yes,No,5,2,No,,Yes,2,1,0.4,1,,0.5,2,-3,,-1.5,56.3,0.4,1,-5.1329,2,3.01,3.01,0.2857,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,15,0.6,,,1,,,0.4,1,,,,0.5,,,,,,,,,
Ihmir Smith-Marsette,NYG,WR,1,No,Yes,No,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,34,No,Yes,No,28,8,No,,Yes,8,1,0.2857,5,,0.625,19,-18,0.1429,-2.25,27.1,0.6786,2.375,-3.5527,3.8,12.7991,12.7991,0.2353,1.9,6.9,4.4,9.4,6.9,6.9,4.4,6.9,6.9,6.9,4.4,6.9,6.9,17,0.7857,33,12,3,1,0.2,0.0714,3,1,0.125,,0.375,6.6,2.4,,2,,,,,
Michael Mayer,LV,TE,21,No,No,No,17,2,No,,Yes,2,1,0.1176,1,,0.5,11,5,0.0588,2.5,66.7,0.6471,5.5,-0.4211,11,2.8618,2.8618,0.0952,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,11,,7,2,1,,,0.3529,1,,,,0.5,7,2,1,,0.5882,,,,
Marvin Harrison,ARZ,WR,26,No,No,No,24,4,Yes,,Yes,4,1,0.1667,3,,0.75,24,23,0.625,5.75,89.6,1,6,-0.597,8,8.0812,8.0812,0.1538,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,17,,4,3,1,,,0.375,3,,,,0.25,1.3333,1,1,,,,,,
Collin Johnson,CHI,WR,2,No,No,Yes,2,1,No,1,Yes,1,1,0.5,,,,,13,,13,39.6,,,-8.9145,,1.7237,1.7237,0.5,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,14,No,No,No,6,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,0.1667,,,,,,,,,,0.8333,,,,
Bryce Oliver,TEN,WR,2,No,No,Yes,2,1,Yes,,Yes,1,1,0.5,1,,1,33,25,1,25,118.8,16.5,33,21.5113,33,2.4356,2.4356,0.5,3.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,10,,8,1,,,,,1,,,1,,8,1,1,,,,,,
Eric Tomlinson,LAC,TE,4,No,Yes,Yes,3,1,No,,Yes,1,1,0.3333,,,,,5,,5,39.6,,,-6.48,,2.255,2.255,0.25,,,,,,,,,,,,,,9,,,,1,,,,1,,,,1,,,,1,1,,,,
Xavier Hutchinson,HST,WR,11,No,No,Yes,11,3,Yes,1,Yes,3,1,0.2727,2,,0.6667,20,6,0.7273,2,85.4,1.8182,6.6667,0.9087,10,6.6804,6.6804,0.2727,2,4,3,4,4,4,3,4,4,4,3,4,4,16,,18,9,,1,0.5,0.2727,3,1,0.3333,,,9,4.5,,,,,,,
Simi Fehoko,LAC,WR,12,No,No,No,12,1,No,,Yes,1,1,0.0833,1,,1,9,7,0.6667,7,104.2,0.75,9,1.9355,9,1.4549,1.4549,0.0833,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,8,,2,,,,,0.3333,1,,,,,2,,1,,,,,,
Ezekiel Elliott,DAL,RB,9,No,No,No,7,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.7143,,,,,,0.2857,,,,,,,,,,,,,,
Stone Smartt,LAC,TE,10,No,No,No,8,4,No,,Yes,4,1,0.5,4,,1,59,34,0.125,8.5,118.8,7.375,14.75,6.573,14.75,6.3155,6.3155,0.4,5.9,9.9,7.9,9.9,11.9,9.9,7.9,9.9,9.9,9.9,7.9,11.9,9.9,14,,25,2,,,,0.125,1,,,1,,6.25,0.5,4,1,0.75,,,,
T.J. Hockenson,MIN,TE,25,Yes,No,Yes,24,8,No,2,Yes,8,1,0.3333,7,1,0.875,65,68,0.125,8.5,100.5,2.7083,8.125,0.3009,9.2857,11.9403,11.9403,0.32,6.5,13.5,10,13.5,17,13.5,10,13.5,13.5,13.5,10,17,13.5,10,,10,3,,,,0.2083,4,,,,,1.4286,0.4286,5,,0.6667,,,,
Tim Patrick,DET,WR,33,Yes,No,Yes,31,9,No,1,Yes,9,1,0.2903,9,1,1,116,97,0.9032,10.7778,158.3,3.7419,12.8889,4.5471,12.8889,18.2993,18.2993,0.2727,23.6,32.6,28.1,32.6,32.6,35.6,31.1,32.6,32.6,32.6,28.1,32.6,32.6,16,,26,7,,1,0.1111,0.0968,4,,,1,,2.8889,0.7778,6,2,,1,1,2,1
Josh Reynolds,JAX,WR,16,No,No,No,15,1,No,1,No,1,1,0.0667,,,,,15,0.9333,15,39.6,,,-10.4097,,1.523,1.523,0.0625,,,,,,,,,,,,,,9,,,,,,,0.0667,1,,,,,,,,,,,,,
