Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Dawson Knox,BUF,TE,5,No,No,No,4,,No,No,,,0.75,,,,,,,,,16,0.25,,,,,,,
Noah Brown,WAS,WR,4,No,Yes,No,4,2,No,No,0.5,20,,,1,10,39.6,-8.2784,3.2525,3.2525,0.5,11,1,,,,,,,
Dontayvion Wicks,GB,WR,3,No,No,No,3,,No,No,,,,0.3333,,,,,,,,17,0.6667,,,,,,,
Will Shipley,PHI,RB,2,No,No,No,2,,No,No,,,,,,,,,,,,13,0.5,0.5,,,,,,
Kyren Williams,LA,RB,5,No,No,Yes,2,,No,No,,,,,,,,,,,,16,,1,,,,,,
Tucker Kraft,GB,TE,7,No,No,No,5,1,No,No,0.2,,0.4,0.6,,,39.6,-5.289,1.4339,1.4339,0.1429,17,,,,,,,,
Trey Palmer,TB,WR,2,Yes,No,Yes,2,1,No,No,0.5,21,,0.5,,21,39.6,-11.2393,2.9029,2.9029,0.5,15,0.5,,1,,,,,
Marvin Mims,DEN,WR,2,No,No,No,2,1,No,No,0.5,42,,,,42,39.6,-15,3.9,3.9,0.5,17,1,,1,,,,,1
Dallas Goedert,PHI,TE,4,No,No,No,4,1,No,No,0.25,18,0.75,0.25,1,18,,-12.9732,6.3342,6.3342,0.25,10,,,,1,1,,,
Roschon Johnson,CHI,RB,3,No,No,No,1,,No,No,,,,,,,,,,,,13,,1,,,,,,
Cedric Tillman,CLV,WR,3,No,No,No,3,,Yes,No,,,,0.3333,,,,,,,,11,0.6667,,,,,,,
Calvin Ridley,TEN,WR,9,No,No,No,8,3,No,No,0.375,23,,0.625,2,7.6667,39.6,-7.2134,4.7041,4.7041,0.3333,17,0.375,,,,,,,
Raheem Mostert,MIA,RB,2,No,No,No,2,,No,No,,,,0.5,,,,,,,,13,,0.5,,,,,,
Jalen Coker,CAR,WR,5,Yes,No,No,4,1,No,No,0.25,19,,0.5,1,19,39.6,-11.9321,1.9906,1.9906,0.2,11,0.5,,,,,,,
Jayden Reed,GB,WR,3,No,No,No,3,,No,No,,,,0.6667,,,,,,,,17,0.3333,,,,,,,
Kyle Pitts,ATL,TE,4,Yes,No,No,4,,No,No,,,0.25,0.5,,,,,,,,17,0.25,,,,,,,
Terry McLaurin,WAS,WR,8,No,No,No,8,1,No,No,0.125,22,,0.5,1,22,39.6,-11.9241,1.3875,1.3875,0.125,17,0.5,,1,,,,,
Ainias Smith,PHI,WR,1,No,No,No,1,,No,No,,,,1,,,,,,,,7,,,,,,,,
Chris Godwin,TB,WR,3,No,No,No,3,1,No,No,0.3333,13,,0.6667,1,13,39.6,-8.9145,1.4931,1.4931,0.3333,7,0.3333,,,,,,,
Alec Pierce,IND,WR,7,No,No,No,6,1,No,No,0.1667,28,,,,28,39.6,-11.0769,2.3848,2.3848,0.1429,16,1,,1,,,,,
Drake London,ATL,WR,4,Yes,No,No,4,1,No,No,0.25,5,,0.5,1,5,39.6,-6.3628,1.4383,1.4383,0.25,17,0.5,,,,,,,
Jalen Tolbert,DAL,WR,15,No,No,No,15,1,No,No,0.0667,1,,0.3333,1,1,39.6,-5.1211,4.2772,4.2772,0.0667,17,0.6667,,,1,,,,
Olamide Zaccheaus,WAS,WR,5,No,No,No,4,2,No,No,0.5,,,0.5,2,,39.6,-5.1954,4.5927,4.5927,0.4,17,0.5,,,,,1,0.5,
Robert Woods,HST,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,15,1,,,,,,,
Christian McCaffrey,SF,RB,2,No,No,No,2,1,No,No,0.5,4,,,1,4,39.6,-6.6619,1.4495,1.4495,0.5,4,,1,,1,,,,
Khalil Shakir,BUF,WR,2,No,No,No,2,,No,No,,,,1,,,,,,,,15,,,,,,,,
Sterling Shepard,TB,WR,2,Yes,No,Yes,2,,No,No,,,,0.5,,,,,,,,14,0.5,,,,,,,
Parker Hesse,DET,TE,2,No,Yes,Yes,2,,No,No,,,,0.5,,,,,,,,5,0.5,,,,,,,
Jaxon Smith-Njigba,SEA,WR,7,No,No,No,7,1,No,No,0.1429,8,,0.8571,1,8,39.6,-7.5106,1.4949,1.4949,0.1429,17,0.1429,,,,,,,
Sam LaPorta,DET,TE,7,No,No,No,6,1,No,No,0.1667,16,0.3333,0.6667,,16,39.6,-10.191,1.6065,1.6065,0.1429,16,,,,,,,,
Josh Jacobs,GB,RB,6,No,No,No,4,2,No,No,0.5,-5,,,,-2.5,39.6,-6.1586,2.9169,2.9169,0.3333,17,0.25,0.75,,,,,,
Cade Stover,HST,TE,3,No,No,No,3,1,No,No,0.3333,2,0.3333,0.3333,,2,39.6,-6.3701,1.4727,1.4727,0.3333,15,0.3333,,,,,,,
