"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","Chris Johnson","San Diego State","CB","355","47","16.63","0.047","4.24","0.012","1.24","0.026","48.9%","27.7%","21.3%"
"[object Object]","2024","Da'Raun McKinney","Central Michigan","CB","261","39","16.52","0.064","6.34","0.025","-2.19","-0.056","38.5%","23.1%","17.9%"
"[object Object]","2024","Colby Dempsey","UAB","CB","317","43","16.48","0.052","5.48","0.017","-0.54","-0.012","32.6%","27.9%","32.6%"
"[object Object]","2024","David Godsey Jr.","Louisiana-Monroe","CB","371","44","16.46","0.045","2.87","0.008","-0.83","-0.019","34.1%","22.7%","22.7%"
"[object Object]","2024","Deshaun Lee","Iowa","CB","281","42","16.38","0.058","4.50","0.016","25.31","0.603","64.3%","54.8%","11.9%"
"[object Object]","2024","Dorian Strong","Virginia Tech","CB","387","52","16.20","0.042","1.97","0.005","-19.47","-0.374","34.6%","25.0%","40.4%"
"[object Object]","2024","Donte Kent","Central Michigan","CB","359","48","16.10","0.045","2.13","0.006","-3.83","-0.080","31.3%","16.7%","12.5%"
"[object Object]","2024","Jadais Richard","Miami FL","CB","253","39","16.06","0.064","5.91","0.023","-1.40","-0.036","43.6%","23.1%","30.8%"
"[object Object]","2024","Shamari Simmons","Arizona State","S","457","40","15.85","0.035","-2.47","-0.005","19.17","0.479","60.0%","47.5%","17.5%"
"[object Object]","2024","Ceyair Wright","Nebraska","CB","298","44","15.66","0.053","2.55","0.009","-2.73","-0.062","45.5%","22.7%","27.3%"
"[object Object]","2024","Isaiah Brown-Murray","East Carolina","CB","408","42","15.58","0.038","2.35","0.006","10.62","0.253","47.6%","31.0%","16.7%"
"[object Object]","2024","Marcus Allen","North Carolina","CB","350","45","15.35","0.044","1.85","0.005","6.12","0.136","44.4%","33.3%","20.0%"
"[object Object]","2024","Davon Banks","Boise State","CB","257","44","15.02","0.059","4.83","0.019","17.42","0.396","59.1%","43.2%","11.4%"
"[object Object]","2024","Daedae Hill","Florida Atlantic","CB","253","46","14.96","0.061","5.80","0.024","-3.14","-0.068","32.6%","17.4%","15.2%"
"[object Object]","2024","Jacob Finley","Northern Illinois","CB","298","44","14.60","0.050","2.31","0.008","-19.47","-0.443","27.3%","11.4%","27.3%"
