targets,grades_pass_block,grades_offense,yards_after_catch_per_reception,grades_pass_route,draft_season,team_name,yprr,wide_snaps,fumbles,first_downs,jersey_number,inline_snaps,contested_targets,player_game_count,eligible_season,inline_rate,contested_catch_rate,yards,receptions,targeted_qb_rating,interceptions,caught_percent,drop_rate,grades_hands_drop,slot_rate,slot_snaps,penalties,wide_rate,pass_block_rate,team,declined_penalties,route_rate,drops,position,grades_hands_fumble,longest,pass_blocks,routes,pass_plays,yards_per_reception,player,positive_epa_percent,franchise_id,contested_receptions,yards_after_catch,avg_depth_of_target,epa,avoided_tackles,player_id,touchdowns
96,64,67.1,3.7,68.9,2020,SF,1.35,390,1,38,15,0,35,17,2020,0,54.3,711,58,84.2,7,60.4,7.9,63.3,29.9,166,4,70.1,0.7,SF,0,94.4,5,WR,43.6,45,4,525,556,12.3,Jauan Jennings,50.2,28,19,215,10.8,0.07,11,48027,9
95,74.7,67.8,4.5,67.9,2018,CHI,1.24,446,1,37,02,1,14,19,2018,0.1,57.1,798,61,109.9,2,64.2,4.7,76.6,32.1,219,8,65.3,0.3,CHI,0,94,3,WR,82.5,46,2,642,683,13.1,DJ Moore,44.7,6,8,277,12.1,0.04,5,48267,8
94,,74.6,3.3,77.3,2022,GB,1.86,397,1,48,87,0,30,17,2022,0,43.3,848,63,115.9,1,67,6,66.1,18,87,1,82,0,GB,0,94,4,WR,58.3,48,0,455,484,13.5,Romeo Doubs,51.9,12,13,206,12.9,0.19,4,84329,7
92,50.5,85.6,8.1,90.3,2023,DET,1.67,24,0,28,00,0,2,17,2023,0,50,616,77,112.7,0,83.7,4.9,77.1,8,37,1,5.2,17.5,DET,0,79.5,4,HB,75.8,42,81,368,463,8,Jahmyr Gibbs,47.3,11,1,626,0.4,0.1,25,122474,5
90,,65.5,3.4,66.6,2024,JAX,1.45,404,0,35,07,0,30,15,2024,0,36.7,728,50,88.6,1,55.6,13.8,39,24.1,128,2,75.9,0,JAX,0,94.2,8,WR,80,46,0,501,532,14.6,Brian Thomas Jr.,47.7,15,11,171,14.7,0.11,4,146760,3
90,,65.9,5.1,65.7,2023,LV,1.2,505,0,32,01,5,13,17,2023,0.8,38.5,696,57,101,1,63.3,8.1,63,17.2,106,4,81.7,0,LV,0,94.2,5,WR,84.3,61,0,582,618,12.2,Tre Tucker,41.1,23,5,292,10.7,-0.19,9,101106,5
89,55.1,73.1,5.2,73.6,2017,SEA,1.49,273,1,34,10,1,16,19,2017,0.2,43.8,750,62,92.4,3,69.7,6.1,71.7,47,251,1,51.1,0.6,SEA,0,94.2,4,WR,44.8,67,3,503,534,12.1,Cooper Kupp,48.5,29,7,322,8.6,0.04,11,11824,3
87,69.3,72.6,7.2,70.5,2021,PIT,1.44,29,1,23,14,71,4,18,2021,17.6,100,512,77,102.7,0,88.5,3.8,83.9,14.1,57,2,7.2,6.7,PIT,0,88.1,3,HB,67.3,45,27,355,403,6.6,Kenneth Gainwell,41.4,25,4,557,-0.2,-0.08,13,77737,3
86,,61,3,63.4,2025,TEN,1.02,433,0,30,05,1,23,16,2025,0.2,56.5,515,41,67.7,3,47.7,8.9,58.3,18.6,99,2,81.2,0,TEN,0,94.7,4,WR,78.1,39,0,505,533,12.6,Elic Ayomanor,36,31,13,121,12.8,-0.25,4,157263,4
86,27.7,75.1,6.6,71.9,2023,CIN,1.09,19,1,18,30,2,8,17,2023,0.4,62.5,437,69,97.5,2,80.2,5.5,74.7,9.7,46,1,4,11.8,CIN,0,84,4,HB,74.9,23,56,400,476,6.3,Chase Brown,46.7,7,5,452,0.6,-0.12,17,77787,5
85,43.3,89.2,8.2,75,2023,MIA,1.29,42,0,23,28,0,7,16,2023,0,28.6,488,67,96.5,2,78.8,5.6,74.3,24.7,106,1,9.8,7.9,MIA,0,87.9,4,HB,84.8,29,34,377,429,7.3,De'Von Achane,42.8,17,2,551,0.6,-0.06,23,124305,4
85,64.2,66.7,3.9,69.1,2018,PHI,1.34,71,0,36,88,191,9,16,2018,37.1,0,624,64,135,0,75.3,4.5,78.7,48.7,251,0,13.8,4.1,PHI,0,90.5,3,TE,81.4,36,21,466,515,9.8,Dallas Goedert,45.1,24,0,252,7.5,0.07,6,47272,12
84,,77.1,2.5,77.4,2023,IND,1.49,82,0,36,02,0,14,16,2023,0,35.7,566,58,88.7,3,69,4.9,76.6,78.8,319,1,20.2,0,IND,0,93.6,3,WR,83.5,34,0,379,405,9.8,Josh Downs,45.1,14,5,144,8.4,-0.03,7,122832,4
83,,79.3,4,81,2022,IND,2.1,438,0,41,14,0,32,15,2022,0,43.8,1003,47,113.7,2,56.6,2.1,86.2,13.4,68,4,86.6,0,IND,0,94.3,1,WR,79.2,66,0,477,506,21.3,Alec Pierce,47,14,14,188,20,0.03,2,78038,6
83,79.2,78.8,4.6,82.2,2024,LV,1.7,82,0,36,89,143,23,12,2024,32.7,65.2,680,64,113.5,3,77.1,4.5,72.5,47.6,208,0,18.8,3.2,LV,0,91.5,3,TE,81.1,38,14,400,437,10.6,Brock Bowers,42.5,23,15,296,7.5,-0.17,4,146715,7
83,,66.8,4.3,66.9,2023,LAC,1.44,470,1,26,01,0,23,15,2023,0,47.8,755,54,116.3,2,65.1,6.9,67.4,14.5,80,1,85.5,0,LAC,0,95.5,4,WR,40.9,60,0,525,550,14,Quentin Johnston,48,27,11,231,12.9,0.01,12,123085,8
81,34.7,70,2.7,71.9,2025,HST,1.46,362,0,33,81,1,17,19,2025,0.2,41.2,623,50,100,2,61.7,2,86.5,20.4,93,4,79.2,0.7,HST,1,93.4,1,WR,79.3,75,3,427,457,12.5,Jayden Higgins,43.6,13,7,134,12.5,0,3,150240,6
80,71.3,57.4,5.2,58.1,2022,TB,1.08,104,0,25,88,213,20,16,2022,34.1,35,572,59,87.1,2,73.8,3.3,82.9,48.6,304,5,16.6,9.4,TB,0,84.5,2,TE,80.3,27,59,528,625,9.7,Cade Otton,44.2,30,7,307,5.1,-0.02,7,61071,1
77,75,56.9,5.9,57.6,2017,DEN,1.21,55,0,20,01,184,8,18,2017,42.6,50,487,53,84.7,1,68.8,7,67.2,43.1,186,2,12.7,2.8,DEN,0,93.1,4,TE,80,41,12,402,432,9.2,Evan Engram,45.2,10,4,312,4.2,0.05,6,11778,1
77,65.2,76.4,8.1,77.2,2023,KC,2.15,158,1,27,04,0,16,8,2023,0,25,571,53,106.6,1,68.8,10.2,53.9,44.1,127,2,54.9,0.3,KC,0,92,6,WR,25.6,47,1,265,288,10.8,Rashee Rice,44,16,4,427,4.9,-0.01,8,97605,5
76,60.5,59.9,6.2,67.1,2022,TEN,1.33,68,0,24,85,187,7,17,2022,38.4,71.4,560,56,97.5,1,73.7,5.1,76,46,224,3,14,7.2,TEN,0,86.2,3,TE,80.2,43,35,420,487,10,Chigoziem Okonkwo,37.3,31,5,345,4.9,-0.21,13,84000,2
74,72.2,70.8,2.5,71.7,2017,NE,1.72,306,1,33,13,15,16,17,2017,3.6,62.5,679,52,101.1,2,70.3,0,90.5,22.5,94,2,73.4,0.7,NE,1,94.5,0,WR,39.9,54,3,394,417,13.1,Mack Hollins,50.6,19,10,130,14.4,0.13,1,11873,3
74,,64.9,3.2,61.7,2023,MIN,1.36,371,0,26,03,1,13,14,2023,0.2,46.2,610,42,74.7,4,56.8,14.3,36.9,20.9,99,0,78.4,0,MIN,0,94.5,7,WR,78.7,81,0,447,473,14.5,Jordan Addison,42.3,18,6,135,14.5,-0.19,3,123000,3
73,24.1,61.4,4.7,65.1,2025,TEN,1.02,137,0,20,17,0,3,17,2025,0,33.3,423,48,93.6,1,65.8,4,79.6,68,300,4,31.1,0,TEN,1,93.9,2,WR,79.6,38,0,414,441,8.8,Chimere Dike,36.5,31,1,226,8,-0.24,2,129918,4
72,,67,4.9,66.3,2024,KC,1.25,314,0,22,01,0,9,14,2024,0,44.4,532,42,80.3,1,58.3,4.5,76.3,30.3,138,1,69,0,KC,0,93.2,2,WR,81.7,42,0,424,455,12.7,Xavier Worthy,49.5,16,4,207,12.5,0.12,8,144718,1
72,,69.8,3.9,70.4,2019,KC,1.49,260,1,29,05,0,10,16,2019,0,40,587,49,104.3,2,68.1,2,86.2,37.8,159,1,61.8,0,KC,0,93.3,1,WR,36,51,0,393,421,12,Marquise Brown,46.3,16,4,190,11.8,0.06,6,61568,5
72,30.9,60.8,2.6,63.3,2013,WAS,1.37,50,1,25,86,119,14,13,2013,29.2,64.3,504,50,96.1,2,69.4,12.3,47.2,58.3,238,5,12.3,1.2,WAS,0,90.4,7,TE,39.8,30,5,369,408,10.1,Zach Ertz,47.3,32,9,130,9.3,-0.03,2,7816,4
