Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,TargetedReadFirstTotal,DeepTargetTargetsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Luke McCaffrey,WAS,WR,14,No,Yes,No,14,2,No,Yes,2,1,0.1429,2,1,36,34,,0.5,17,118.8,2.5714,18,6.3347,18,2,4.2366,4.2366,0.4,3.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,9,0.5,,,,,,,,2,,1,,,,,,,,1,,
Brock Wright,DET,TE,5,No,Yes,Yes,4,,No,No,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
Ryan Miller,TB,WR,1,No,Yes,No,1,1,No,No,,,1,,,,15,,,15,39.6,,,-10.4097,,,1.7196,1.7196,1,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,
Gunnar Helm,TEN,TE,33,No,Yes,No,29,5,No,Yes,5,1,0.1724,5,1,62,29,0.6897,0.2759,5.8,118.3,2.1379,12.4,4.2724,12.4,3,7.2165,7.2165,0.2941,6.2,11.2,8.7,11.2,13.7,11.2,8.7,11.2,11.2,11.2,8.7,13.7,11.2,16,0.0345,,,,,,,1,33,2,6.6,0.4,1,,,1,1,0.2,,,
Justin Jefferson,MIN,WR,45,No,Yes,Yes,45,7,No,No,3,0.4286,0.1556,2,0.2857,34,86,,0.3111,12.2857,47.3,0.7556,4.8571,-3.952,17,2,12.9079,12.9079,0.4118,3.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,17,0.6889,1,,,1,,0.1429,1,3,1,1.5,0.5,,,,,,,,,
Rashid Shaheed,SEA,WR,41,No,Yes,No,41,3,No,Yes,2,0.6667,0.0732,2,0.6667,21,34,,0.439,11.3333,47.2,0.5122,7,-1.9765,10.5,2,4.2715,4.2715,0.1429,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,18,0.561,,,,,,,,4,,2,,,,,,,,,,
Greg Dulcich,MIA,TE,2,Yes,Yes,No,2,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,0.5,,,,,,,,,,,,,,,
Johnny Mundt,JAX,TE,2,No,Yes,No,2,1,No,No,1,1,0.5,1,1,21,-1,0.5,0.5,-1,118.8,10.5,21,16.0986,21,1,1.3579,1.3579,0.5,2.1,3.1,2.6,3.1,3.6,3.1,2.6,3.1,3.1,3.1,2.6,3.6,3.1,16,,,,,,,,,22,22,22,22,,,,,1,1,,,
Durham Smythe,CHI,TE,13,No,Yes,No,9,1,No,No,1,1,0.1111,1,1,4,4,0.6667,0.2222,4,83.3,0.4444,4,-2.0667,4,,1.44,1.44,0.1111,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,17,0.1111,,,,,,,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,29,No,Yes,No,29,3,Yes,Yes,1,0.3333,0.1034,,,,34,,0.3103,11.3333,39.6,,,-8.4176,,,4.3931,4.3931,0.2727,,,,,,,,,,,,,,15,0.6897,,,,,,,,,,,,,,1,,,,,,
Alex Bachman,LV,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,5,No,Yes,Yes,5,,No,Yes,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,6,0.8,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,35,No,Yes,No,27,2,No,No,1,0.5,0.0741,1,0.5,12,9,,0.0741,4.5,68.8,0.4444,6,-1.109,12,1,2.6231,2.6231,0.1176,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,17,0.037,,,,,0.8889,,,6,,6,,,,,,,,,,
Drake Dabney,GB,TE,3,No,Yes,Yes,2,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,,,,,,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,6,No,No,No,6,3,No,Yes,2,0.6667,0.5,2,0.6667,14,9,,,3,77.1,2.3333,4.6667,-2.1997,7,1,3.8937,3.8937,0.75,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,17,,,,,,1,,1,12,6,6,3,,,,,1,0.5,,,
DeeJay Dallas,JAX,RB,3,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,,,,,0.5,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,66,No,Yes,No,66,12,No,No,7,0.5833,0.1818,4,0.3333,41,196,,0.697,16.3333,71.9,0.6212,3.4167,-6.5337,10.25,4,26.2207,26.2207,0.3871,10.1,14.1,12.1,14.1,14.1,14.1,12.1,14.1,14.1,14.1,12.1,14.1,14.1,16,0.303,4,1,1,,,,3,7,1,1.75,0.25,3,1,2,,2,0.5,,,
JuJu Smith-Schuster,KC,WR,39,No,Yes,No,38,4,No,No,4,1,0.1053,4,1,62,39,,0.5263,9.75,118.8,1.6316,15.5,7.4206,15.5,3,6.6081,6.6081,0.2667,6.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,17,0.4737,,,,,,,,23,6,5.75,1.5,1,,,1,,,,,
Romeo Doubs,GB,WR,41,No,Yes,No,41,3,No,No,2,0.6667,0.0732,1,0.3333,13,32,,0.2195,10.6667,8.3,0.3171,4.3333,-3.8481,13,,4.2279,4.2279,0.2,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,16,0.7805,,,,1,,0.3333,1,3,2,3,2,,,,,1,1,,,
Chig Okonkwo,TEN,TE,45,No,Yes,No,44,,No,No,,,,,,,,0.3636,0.5,,,,,,,,1.3923,1.3923,,,,,,,,,,,,,,,17,0.1364,,,,,,,,,,,,,,,,,,,,
Ke'Shawn Williams,CIN,WR,2,No,Yes,No,2,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,11,0.5,,,,,,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,5,No,Yes,Yes,4,,No,No,,,,,,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,3,0.25,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,11,Yes,Yes,No,11,1,Yes,Yes,1,1,0.0909,1,1,20,18,,0.4545,18,118.8,1.8182,20,9.1009,20,1,1.1406,1.1406,0.2,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,12,0.5455,,,,,,,,2,,2,,,,,,,,,,
James Cook,BUF,RB,34,No,No,No,23,,No,Yes,,,,,,,,,0.0435,,,,,,,,1.3152,1.3152,,,,,,,,,,,,,,,17,,,,,,0.9565,,,,,,,,,,,,,,,
Treylon Burks,WAS,WR,21,No,Yes,No,18,2,No,No,2,1,0.1111,,,,42,,0.2222,21,39.6,,,-11.326,,,3.4718,3.4718,0.3333,,,,,,,,,,,,,,8,0.7778,,,,,,,,,,,,2,,1,,,,,,
Michael Bandy,DEN,WR,3,Yes,Yes,No,3,,No,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
Jared Wiley,KC,TE,2,No,Yes,No,2,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,,,,,,,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,23,No,Yes,Yes,20,3,No,No,2,0.6667,0.15,2,0.6667,42,45,0.25,0.65,15,109.7,2.1,14,4.1279,21,1,7.7477,7.7477,0.375,4.2,6.2,5.2,6.2,7.2,6.2,5.2,6.2,6.2,6.2,5.2,7.2,6.2,14,0.1,,,,,,,,24,2,12,1,,,1,,,,,,
Dalton Schultz,HST,TE,44,No,Yes,No,41,3,No,Yes,3,1,0.0732,3,1,40,23,0.4146,0.5122,7.6667,118.8,0.9756,13.3333,5.9756,13.3333,3,7.8568,7.8568,0.1304,4,7,5.5,7,8.5,7,5.5,7,7,7,5.5,8.5,7,17,0.0488,,,,,0.0244,,,17,8,5.6667,2.6667,,,,,1,0.3333,,,
Anthony Gould,IND,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,19,No,Yes,No,17,1,No,Yes,1,1,0.0588,1,1,20,19,0.7647,0.2353,19,118.8,1.1765,20,9.4045,20,1,2.3146,2.3146,0.2,2,3,2.5,3,3.5,3,2.5,3,3,3,2.5,3.5,3,11,,,,,,,,,1,,1,,,,,,,,,,
Zaire Mitchell-Paden,NO,TE,2,Yes,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,
Keenan Allen,LAC,WR,53,No,Yes,No,53,8,No,No,6,0.75,0.1509,4,0.5,88,162,,0.3962,20.25,129.2,1.6604,11,0.6156,22,4,17.5975,17.5975,0.2963,14.8,18.8,16.8,18.8,18.8,18.8,16.8,18.8,18.8,18.8,16.8,18.8,18.8,17,0.6038,1,1,1,,,,1,14,3,3.5,0.75,1,1,4,,1,0.25,1,,
CeeDee Lamb,DAL,WR,23,No,Yes,No,23,1,No,No,,,0.0435,,,,7,,0.3913,7,39.6,,,-7.0645,,,5.2063,5.2063,0.125,,,,,,,,,,,,,,14,0.6087,,,,,,,,,,,,,,,,,,,,
Noah Fant,CIN,TE,13,No,Yes,No,12,1,No,No,1,1,0.0833,1,1,25,20,0.6667,0.1667,20,118.8,2.0833,25,13.2377,25,1,1.7955,1.7955,0.125,2.5,3.5,3,3.5,4,3.5,3,3.5,3.5,3.5,3,4,3.5,15,0.0833,,,,,0.0833,,,5,4,5,4,,1,1,,,,,,
Kene Nwangwu,NYJ,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,1,,,,,,,,,,,,,,,
Travis Vokolek,ARZ,TE,1,No,Yes,No,1,,No,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Brenden Bates,CLV,TE,8,No,Yes,No,6,,No,No,,,,,,,,0.8333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,56,No,Yes,No,56,10,No,No,6,0.6,0.1786,2,0.2,24,163,,0.4643,16.3,39.6,0.4286,2.4,-7.4807,12,2,16.3102,16.3102,0.3571,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,12,0.5179,,,,2,0.0179,0.2,1,-1,-1,-0.5,-0.5,4,,3,1,,,,,
Jacory Croskey-Merritt,WAS,RB,26,No,Yes,No,19,,No,No,,,,,,,,,0.1053,,,,,,,,1.8658,1.8658,,,,,,,,,,,,,,,17,0.0526,,,,,0.8421,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,19,Yes,Yes,No,17,3,Yes,Yes,2,0.6667,0.1765,,,,30,,0.0588,10,39.6,,,-8.2108,,,4.5394,4.5394,0.5,,,,,,,,,,,,,,16,,,,,2,0.9412,0.6667,,,,,,1,,1,,,,,,
Colby Parkinson,LA,TE,8,No,Yes,No,8,,No,No,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Isaiah Bond,CLV,WR,28,No,Yes,No,27,3,No,No,2,0.6667,0.1111,1,0.3333,52,119,,0.3704,39.6667,81.9,1.9259,17.3333,2.75,52,1,5.6155,5.6155,0.3,5.2,6.2,5.7,6.2,6.2,6.2,5.7,6.2,6.2,6.2,5.7,6.2,6.2,16,0.6296,,,,,,,,9,3,9,3,1,,3,,,,,,
Josh Oliver,MIN,TE,11,No,Yes,Yes,9,1,No,No,1,1,0.1111,1,1,22,3,0.6667,0.2222,3,118.8,2.4444,22,15.6782,22,1,1.4278,1.4278,0.25,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,15,0.1111,,,,,,,,19,4,19,4,,,,,,,,,
Nick Chubb,HST,RB,10,No,Yes,No,7,1,No,No,,,0.1429,,,,2,,,2,39.6,,,-6.3947,,,1.3816,1.3816,0.3333,,,,,,,,,,,,,,15,,,,,,1,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,23,No,Yes,No,19,2,No,No,2,1,0.1053,2,1,10,1,,0.0526,0.5,87.5,0.5263,5,-1.3537,5,,2.8821,2.8821,0.2222,1,3,2,4,3,3,2,3,3,3,2,3,3,13,,,,,,0.9474,,,9,2,4.5,1,,,,,1,0.5,,,
Tyjae Spears,TEN,RB,26,No,Yes,No,22,7,No,No,6,0.8571,0.3182,5,0.7143,25,-34,,,-4.8571,76.5,1.1364,3.5714,-2.1765,5,1,11.3527,11.3527,0.4375,2.5,7.5,5,10,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,13,,,,,1,1,0.1429,1,42,7,8.4,1.4,1,,,1,6,1.2,,,
DJ Moore,CHI,WR,70,No,Yes,No,70,4,No,No,3,0.75,0.0571,2,0.5,18,84,,0.3857,21,102.1,0.2571,4.5,-6.5183,9,2,8.9113,8.9113,0.1081,7.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,17,0.6,2,1,1,,0.0143,,1,3,2,1.5,1,,,2,,1,0.5,,,
Keaton Mitchell,BLT,RB,2,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,1,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,19,No,Yes,No,14,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0714,,,,,0.9286,,,,,,,,,,,,,,,
Zamir White,LV,RB,3,No,Yes,No,3,1,No,No,,,0.3333,,,,1,,,1,39.6,,,-5.7294,,,1.1731,1.1731,0.5,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,
David Sills,ATL,WR,10,No,Yes,Yes,10,1,No,Yes,,,0.1,,,,5,,0.4,5,39.6,,,-6.3628,,,1.4355,1.4355,0.3333,,,,,,,,,,,,,,17,0.6,,,,,,,,,,,,,,,,,,,,
Trayveon Williams,CLV,RB,10,No,Yes,No,8,,No,No,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,6,0.125,,,,,0.75,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,15,No,Yes,No,9,,No,No,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,17,0.1111,,,,,0.7778,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,12,No,Yes,No,11,1,No,No,,,0.0909,,,,27,,0.4545,27,,,,-11.9133,,,1.5519,1.0519,0.25,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13,0.5455,,,,,,,,,,,,,,1,,,,,,
Isaiah Hodgins,NYG,WR,16,No,Yes,No,16,1,No,No,1,1,0.0625,1,1,12,12,,0.3125,12,116.7,0.75,12,2.9539,12,1,1.5535,1.5535,0.5,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,7,0.6875,,,,,,,,,,,,1,,,1,,,,,
KeAndre Lambert-Smith,LAC,WR,6,No,Yes,No,6,,No,No,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,10,0.8333,,,,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,9,No,Yes,No,6,2,No,No,2,1,0.3333,1,0.5,7,-2,1,,-1,58.3,1.1667,3.5,-1.4014,7,,2.9011,2.9011,0.5,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,11,,,,,1,,0.5,,8,4,8,4,,,,,,,,,
Josh Downs,IND,WR,13,No,Yes,No,13,2,No,Yes,2,1,0.1538,2,1,16,10,,0.7692,5,139.6,1.2308,8,1.5775,8,2,3.5319,3.5319,0.6667,7.6,9.6,8.6,9.6,9.6,9.6,8.6,9.6,9.6,9.6,8.6,9.6,9.6,16,0.2308,,1,,,,,1,6,3,3,1.5,,,,,,,,,
Tetairoa McMillan,CAR,WR,36,No,Yes,No,36,5,Yes,Yes,5,1,0.1389,4,0.8,70,80,,0.2222,16,118.8,1.9444,14,3.9276,17.5,3,8.564,8.564,0.4167,7,11,9,11,11,11,9,11,11,11,9,11,11,17,0.7778,,,,,,,,21,3,5.25,0.75,1,,1,,,,,,
Devaughn Vele,NO,WR,31,No,Yes,No,30,5,No,No,4,0.8,0.1667,4,0.8,56,91,,0.4333,18.2,152.9,1.8667,11.2,1.0942,14,4,10.3846,10.3846,0.3846,11.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,13,0.5667,1,1,1,,,,1,-2,-1,-0.5,-0.25,2,,2,2,,,2,,
Khalil Herbert,NYJ,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,7,No,Yes,No,6,1,No,No,1,1,0.1667,,,,5,0.1667,,5,39.6,,,-7.233,,,1.5936,1.5936,0.2,,,,,,,,,,,,,,14,,,,,,0.8333,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,2,Yes,Yes,No,2,,No,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,17,No,Yes,Yes,13,,No,No,,,,,,,,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,16,0.0769,,,,,0.7692,,,,,,,,,,,,,,,
Kendrick Bourne,SF,WR,15,No,Yes,No,15,1,No,Yes,1,1,0.0667,1,1,9,8,,0.3333,8,104.2,0.6,9,1.4894,9,,1.7506,1.7506,0.25,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,16,0.6667,,,,,,,,1,,1,,,,,,,,,,
Jack Bech,LV,WR,18,No,Yes,No,18,1,No,No,1,1,0.0556,1,1,17,17,,0.3333,17,118.8,0.9444,17,5.3347,17,1,1.6027,1.6027,0.1429,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,16,0.6667,,,,,,,,,,,,,,,,,,,,
Hassan Haskins,LAC,RB,8,No,Yes,No,7,,No,No,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,0.8571,,,,,,,,,,,,,,,
Dareke Young,SEA,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,55,No,Yes,Yes,52,2,No,Yes,2,1,0.0385,2,1,50,31,0.2692,0.5,15.5,118.8,0.9615,25,16.2048,25,1,3.2513,3.2513,0.0952,5,7,6,7,8,7,6,7,7,7,6,8,7,17,0.2308,,,,,,,,19,13,9.5,6.5,,,1,,2,1,,,
David Montgomery,DET,RB,5,No,Yes,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,,,,,,,,,,,
Mack Hollins,NE,WR,39,No,Yes,No,33,1,No,No,,,0.0303,,,,8,0.0606,0.2424,8,,,,-7.5106,,,3.6128,3.6128,0.125,,,,,,,,,,,,,,15,0.697,1,,,,,,1,,,,,,,,,,,,,
Tanner Conner,MIA,TE,3,Yes,Yes,Yes,2,,No,No,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
Quintin Morris,JAX,TE,5,No,Yes,No,2,,No,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
Moliki Matavao,NO,TE,5,No,Yes,Yes,4,1,No,Yes,1,1,0.25,1,1,6,,0.75,,,91.7,1.5,6,0.711,6,,1.4316,1.4316,1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,6,0.25,,,,,,,,6,1,6,1,,,,,,,,,
Tahj Washington,MIA,WR,1,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,10,No,Yes,No,10,,No,No,,,,,,,,0.3,0.4,,,,,,,,1.8143,1.8143,,,,,,,,,,,,,,,13,0.3,,,,,,,,,,,,,,,,,,,,
Jahdae Walker,CHI,WR,8,No,Yes,No,8,1,No,No,,,0.125,,,,10,,0.625,10,39.6,,,-7.5,,,1.6556,1.6556,0.25,,,,,,,,,,,,,,7,0.375,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,23,No,Yes,No,22,,No,Yes,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,15,0.9091,,,,,,,,,,,,,,,,,,,,
Teagan Quitoriano,ATL,TE,1,No,Yes,Yes,1,,No,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,3,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,12,No,Yes,No,12,2,No,No,2,1,0.1667,2,1,52,19,,0.6667,9.5,118.8,4.3333,26,18.0682,26,1,2.7672,2.7672,0.25,5.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,15,0.25,,,,,0.0833,,,33,-1,16.5,-0.5,,,,,1,0.5,,,
John Metchie,NYJ,WR,24,No,No,No,24,,No,Yes,,,,,,,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,16,0.9167,,,,,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,41,No,Yes,Yes,41,2,No,No,1,0.5,0.0488,1,0.5,28,41,,0.6585,20.5,95.8,0.6829,14,4.0043,28,1,3.7837,3.7837,0.1333,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,17,0.3415,,,,,,,,,,,,1,,1,1,,,1,,
Marquise Brown,KC,WR,47,No,Yes,No,47,5,No,No,4,0.8,0.1064,3,0.6,87,96,,0.4043,19.2,104.2,1.8511,17.4,7.0881,29,3,10.1224,10.1224,0.2632,8.7,11.7,10.2,11.7,11.7,11.7,10.2,11.7,11.7,11.7,10.2,11.7,11.7,16,0.5957,,,,,,,,23,2,7.6667,0.6667,1,,1,,,,1,,
Kenneth Gainwell,PIT,RB,14,No,Yes,Yes,14,1,No,No,,,0.0714,,,,1,0.0714,0.3571,1,39.6,,,-5.7294,,,1.3329,1.3329,0.1429,,,,,,,,,,,,,,17,0.2143,,,,,0.3571,,,,,,,,,,,,,,,
Bhayshul Tuten,JAX,RB,3,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.3333,,,,,0.6667,,,,,,,,,,,,,,,
Casey Washington,ATL,WR,3,Yes,Yes,No,3,,No,No,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,7,0.6667,,,,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,10,No,Yes,Yes,10,,No,Yes,,,,,,,,,0.3,,,,,,,,4.3427,4.3427,,,,,,,,,,,,,,,8,0.7,,,,,,,,,,,,,,,,,,,,
Tyler Badie,DEN,RB,17,No,Yes,No,12,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.0833,,,,,0.9167,,,,,,,,,,,,,,,
Jalen Brooks,ARZ,WR,5,No,Yes,No,5,,No,No,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,6,0.6,,,,,,,,,,,,,,,,,,,,
Elijah Mitchell,KC,RB,1,No,Yes,No,1,1,No,Yes,,,1,,,,22,,,22,,,,-11.9429,,,3.7471,3.7471,1,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,
J.K. Dobbins,DEN,RB,12,No,Yes,Yes,7,1,No,No,1,1,0.1429,1,1,-2,-3,,,-3,79.2,-0.2857,-2,-8.1191,-2,,1.454,1.454,0.2,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,10,,,,,,1,,,1,,1,,,,,,,,,,
Emari Demercado,ARZ,RB,11,No,Yes,No,6,1,No,No,1,1,0.1667,1,1,34,6,,,6,118.8,5.6667,34,26.2914,34,1,1.5113,1.5113,0.2,3.4,4.4,3.9,4.9,4.4,4.4,3.9,4.4,4.4,4.4,3.9,4.4,4.4,13,,,,,,1,,,28,,28,,,,,,,,,,
Efton Chism,NE,WR,2,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,7,No,Yes,No,7,,No,No,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,17,0.5714,,,,,,,,,,,,,,,,,,,,
Josh Whyle,GB,TE,9,No,Yes,Yes,6,,No,No,,,,,,,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,0.3333,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,9,No,Yes,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,,,,,,,,,,,
Quentin Skinner,NYJ,WR,1,No,No,No,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
