Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DeepTargetTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsHero
Quintin Morris,JAX,TE,2,Yes,Yes,No,2,No,Yes,,13,1,,1,1,1,0.5,2,,1,2,95.8,0.6299,,1.269,1.269,0.5,,,1,,1,7,5,1,3.5,7,7,5,1,,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,,,,,,,,,
Marquise Brown,KC,WR,9,No,No,No,9,No,No,0.2222,16,,0.7778,5,4,0.8,0.5556,69,,5,13.8,114.2,2.8044,,7.7422,7.7422,0.625,,,4,,0.8,57,11,4,6.3333,11.4,14.25,2.75,1,3,5.7,9.7,7.7,9.7,9.7,9.7,7.7,9.7,9.7,9.7,7.7,9.7,9.7,1,,,,,,2,,,
John Metchie,NYJ,WR,5,Yes,No,No,4,No,Yes,0.5,16,,0.5,1,1,1,0.25,11,,1,11,118.8,8.6848,,1.3403,1.3403,0.25,,,1,,1,17,6,,4.25,17,17,6,,1,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,,,,,,,,
Jalen Nailor,MIN,WR,8,No,No,No,6,No,No,0.5,17,,0.5,2,2,1,0.3333,36,,2,18,158.3,9.6005,,4.8071,4.8071,0.5,,1,2,1,1,40,8,2,6.6667,20,20,4,1,2,10,12,11,12,12,12,11,12,12,12,11,12,12,1,1,1,1,,,1,,,
KaVontae Turpin,DAL,WR,4,No,No,No,3,No,No,0.6667,15,,0.3333,1,1,1,0.3333,-4,,1,-4,79.2,-4.4851,,1.659,1.659,0.3333,,,1,,1,,4,1,,,,4,1,,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,,,,,,,,,
Tyler Badie,DEN,RB,1,Yes,No,No,1,No,Yes,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,2,No,No,No,1,No,No,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Washington,ATL,WR,3,No,No,No,3,No,No,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Brooks,ARZ,WR,1,No,No,No,1,No,No,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,4,Yes,Yes,No,3,No,Yes,,17,,,1,1,1,0.3333,4,,,4,108.3,3.3381,,1.8091,1.8091,0.25,1,,1,,1,10,6,,3.3333,10,10,6,,1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,1,,,,,,,,,
Samaje Perine,CIN,RB,2,No,Yes,No,1,No,No,,15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bam Knight,ARZ,RB,2,Yes,No,No,2,No,Yes,,12,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaret Patterson,LAC,RB,3,Yes,No,No,1,No,Yes,,6,,,1,1,1,1,,,1,,83.3,-1.8271,,1.3603,1.3603,0.5,1,,1,,1,4,4,2,4,4,4,4,2,1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,
Jordan Whittington,LA,WR,11,No,No,No,9,No,No,0.5556,17,,0.4444,4,3,0.75,0.4444,2,1,2,0.5,63.5,-1.1742,0.25,6.7125,6.7125,0.3636,,,2,,0.5,19,20,8,2.1111,4.75,9.5,10,4,1,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,,,,,,,,,
Travis Etienne,JAX,RB,8,Yes,Yes,No,2,No,Yes,,17,,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,8,Yes,No,No,2,No,Yes,,10,,,1,1,1,0.5,3,,1,3,95.8,0.4906,,1.3701,1.3701,0.1667,1,,1,,1,7,4,1,3.5,7,7,4,1,,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,,
Emari Demercado,ARZ,RB,1,No,No,No,1,No,No,,13,,,1,,,1,9,,,9,39.6,-7.3944,,1.7185,1.7185,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Whyle,GB,TE,3,No,No,No,3,No,No,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Skinner,NYJ,WR,1,Yes,No,No,1,No,Yes,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,7,No,No,No,7,No,No,0.2857,17,0.7143,,2,2,1,0.2857,-1,,1,-0.5,79.2,-3.5952,,3.0655,3.0655,0.3333,,,2,,1,3,4,1,0.4286,1.5,1.5,2,0.5,,0.3,2.3,1.3,2.3,3.3,2.3,1.3,2.3,2.3,2.3,1.3,3.3,2.3,1,,,,,,,,,
Davante Adams,LA,WR,14,Yes,No,No,14,No,Yes,0.0714,14,,0.9286,2,,,0.1429,38,,2,19,39.6,-9.5752,,5.7986,5.7986,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,
Dare Ogunbowale,HST,RB,3,Yes,No,No,1,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Collins,HST,WR,25,Yes,No,Yes,24,No,Yes,0.0833,15,,0.9167,4,3,0.75,0.1667,24,,4,6,91.7,-0.5905,,9.3272,9.3272,0.1739,,,3,,0.75,26,11,,1.0833,6.5,8.6667,3.6667,,1,2.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,1,1,,,,,,,,
Jerry Jeudy,CLV,WR,22,No,Yes,No,21,No,No,0.1429,17,0.0476,0.8095,6,3,0.5,0.2857,84,,5,14,23.6,-3.9096,,10.0991,10.0991,0.3158,,,3,,0.5,28,10,,1.3333,4.6667,9.3333,3.3333,,2,2.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,,,,,,,2,,,
Elijah Arroyo,SEA,TE,14,Yes,No,No,12,No,Yes,,13,0.75,0.1667,5,3,0.6,0.4167,40,,3,8,8.3,-6.5093,,15.1688,15.1688,0.3846,0.0833,1,2,,0.4,8,7,2,0.6667,1.6,4,3.5,1,,0.8,2.8,1.8,2.8,3.8,2.8,1.8,2.8,2.8,2.8,1.8,3.8,2.8,2,1,,,,,,,,
Darius Slayton,NYG,WR,7,No,No,No,6,No,No,0.3333,14,,0.6667,2,2,1,0.3333,13,,2,6.5,97.9,0.5633,,2.9845,2.9845,0.2857,,,2,,1,15,2,,2.5,7.5,7.5,1,,1,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,,,,,,,,,
Jake Bobo,SEA,WR,3,Yes,No,Yes,3,No,No,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,6,No,No,No,6,No,No,,17,1,,1,1,1,0.1667,7,,1,7,95.8,-0.3078,,1.3,1.3,0.1667,,,1,,1,7,,,1.1667,7,7,,,,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,,,,,,,,,
Tyler Higbee,LA,TE,5,No,No,No,4,No,No,,10,1,,2,1,0.5,0.5,1,,1,0.5,56.3,-5.1357,,3.7598,3.7598,0.4,,,1,,0.5,1,2,1,0.25,0.5,1,2,1,,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,1,,,,,,,,,
Connor Heyward,PIT,TE,3,Yes,Yes,No,3,No,Yes,,16,,,2,2,1,0.6667,16,1,2,8,56.3,-6.7911,0.5,4.1402,4.1402,0.6667,1,,1,,0.5,3,4,,1,1.5,3,4,,,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,1,1,,,,,,1,0.5,
Dylan Sampson,CLV,RB,5,No,Yes,No,5,No,No,,15,0.2,,2,1,0.5,0.4,2,,1,1,56.3,-3.1109,,2.7359,2.7359,0.4,0.8,,1,,0.5,6,6,2,1.2,3,6,6,2,,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,
Adonai Mitchell,NYJ,WR,3,Yes,No,No,2,No,Yes,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,18,Yes,No,No,15,No,No,0.4667,15,,0.5333,1,1,1,0.0667,5,,,5,112.5,4.6372,,1.3194,1.3194,0.0833,,,1,,1,11,6,4,0.7333,11,11,6,4,1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,1,1,,,,
Pat Bryant,DEN,WR,5,Yes,No,No,4,No,Yes,0.5,15,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,PIT,WR,2,Yes,Yes,No,2,No,Yes,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,DAL,RB,3,Yes,Yes,No,1,No,Yes,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,1,Yes,No,No,1,No,Yes,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,6,No,No,No,6,No,Yes,0.3333,9,,0.6667,1,1,1,0.1667,13,1,,13,39.6,-8.9145,1,1.3537,1.3537,0.25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Engram,DEN,TE,5,Yes,No,No,5,No,Yes,,16,0.8,,1,1,1,0.2,4,,,4,39.6,-6.0667,,1.5733,1.5733,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Keleki Latu,BUF,TE,1,Yes,No,No,1,No,Yes,,5,1,,1,1,1,1,,,1,,118.8,8.711,,1.3157,1.3157,1,,,1,,1,14,14,8,14,14,14,14,8,1,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,,,,1,1,,,,
Matthew Golden,GB,WR,4,No,No,No,4,No,No,0.25,14,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Trautman,DEN,TE,15,Yes,No,No,10,No,Yes,,17,1,,4,4,1,0.4,20,,3,5,97.9,0.404,,5.9175,5.9175,0.3636,,2,4,2,1,30,10,2,3,7.5,7.5,2.5,0.5,2,3,7,5,7,9,7,5,7,7,7,5,9,7,,,,,1,0.25,,,,
D'Andre Swift,CHI,RB,9,Yes,Yes,No,3,No,No,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,6,No,Yes,No,6,No,No,,16,,1,2,2,1,0.3333,36,,2,18,118.8,9.0981,,3.4833,3.4833,0.4,,,2,,1,38,2,1,6.3333,19,19,1,0.5,2,3.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,,,,,,,1,,,
Tommy Tremble,CAR,TE,21,Yes,No,Yes,21,No,Yes,0.0952,17,0.7619,0.0476,8,7,0.875,0.381,24,,7,3,98.4,0.8887,,11.6802,11.6802,0.4444,0.0952,1,7,1,0.875,61,55,22,2.9048,7.625,8.7143,7.8571,3.1429,4,6.1,13.1,9.6,13.1,16.6,13.1,9.6,13.1,13.1,13.1,9.6,16.6,13.1,1,,,,,,,,,
Jonathan Mingo,DAL,WR,2,No,No,No,2,No,No,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,SEA,WR,20,Yes,No,Yes,18,No,No,0.2222,16,0.0556,0.7222,1,1,1,0.0556,3,,1,3,91.7,0.5501,,1.251,1.251,0.0526,,,1,,1,6,3,2,0.3333,6,6,3,2,,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,1,1,,,,
Hunter Long,JAX,TE,2,Yes,Yes,No,1,No,No,,9,1,,1,1,1,1,1,1,1,1,39.6,-5.7754,1,2.8756,2.8756,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Kayshon Boutte,NE,WR,4,Yes,No,No,4,No,No,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sims,MIN,TE,3,No,No,No,2,No,No,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Holani,SEA,RB,1,Yes,No,No,1,Yes,Yes,,10,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,1,No,No,No,1,No,No,,17,,,1,1,1,1,2,,1,2,79.2,-4.3947,,1.3189,1.3189,1,1,,1,,1,2,,,2,2,2,,,,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,,,,,,,,,
Christian Watson,GB,WR,6,Yes,No,No,6,No,Yes,0.1667,10,,0.8333,1,1,1,0.1667,17,,1,17,39.6,-11.6653,,2.2645,2.2645,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Williams,NE,WR,3,Yes,No,No,2,No,No,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,1,Yes,Yes,Yes,1,No,Yes,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shedrick Jackson,LV,WR,1,No,No,No,1,No,No,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Firkser,DET,TE,1,Yes,Yes,No,1,No,No,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman,IND,WR,18,Yes,No,No,16,No,No,0.3125,17,0.0625,0.625,3,3,1,0.1875,14,,3,4.6667,79.9,-1.3391,,4.0122,4.0122,0.1875,,1,2,,0.6667,16,9,1,1,5.3333,8,4.5,0.5,1,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,,,,,,,,,
Malik Washington,MIA,WR,22,Yes,No,No,21,No,No,0.2857,17,,0.7143,4,4,1,0.1905,20,,2,5,135.4,0.2864,,9.5963,9.5963,0.2353,,,4,,1,28,14,2,1.3333,7,7,3.5,0.5,2,8.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,2,1,1,1,,,,,,
Jordan Mason,MIN,RB,6,No,No,No,1,No,No,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,9,No,No,No,9,No,No,0.2222,17,0.1111,0.6667,4,3,0.75,0.4444,9,,4,2.25,66.7,-0.7335,,5.7211,5.7211,0.4444,,,2,,0.5,22,23,7,2.4444,5.5,11,11.5,3.5,1,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,,,,,1,0.5,,,,
Jonathan Taylor,IND,RB,18,Yes,No,No,10,No,No,0.1,17,,,1,1,1,0.1,4,,,4,118.8,6.3381,,1.3867,1.3867,0.0625,0.9,,1,,1,13,9,2,1.3,13,13,9,2,1,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,,,,,,,,,
Troy Franklin,DEN,WR,8,Yes,No,No,8,No,Yes,0.25,17,,0.75,2,2,1,0.25,25,,1,12.5,118.8,6.5197,,2.4695,2.4695,0.2857,,,2,,1,31,6,1,3.875,15.5,15.5,3,0.5,2,3.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,,,,,,,,,,
Laquon Treadwell,IND,WR,1,Yes,No,No,1,No,No,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Ertz,WAS,TE,3,Yes,No,Yes,3,Yes,Yes,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,6,Yes,No,No,6,No,Yes,0.1667,16,0.6667,0.1667,1,1,1,0.1667,6,1,,6,39.6,-7.093,1,1.7274,1.7274,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Allen,LA,TE,17,No,No,No,13,No,No,0.0769,17,0.9231,,6,6,1,0.4615,21,1,5,3.5,122.9,-0.6643,0.1667,15.2125,15.2125,0.3529,,1,4,,0.6667,37,20,4,2.8462,6.1667,9.25,5,1,3,9.7,13.7,11.7,13.7,15.7,13.7,11.7,13.7,13.7,13.7,11.7,15.7,13.7,2,1,1,1,,,,,,
Courtland Sutton,DEN,WR,12,Yes,No,No,12,No,Yes,0.0833,17,,0.9167,2,1,0.5,0.1667,39,,2,19.5,29.2,-3.6961,,3.3352,3.3352,0.2222,,,1,,0.5,12,1,1,1,6,12,1,1,1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,,,1,,,
Greg Dortch,ARZ,WR,1,Yes,No,No,1,No,Yes,,12,,1,1,1,1,1,-4,,1,-4,79.2,-2.4851,,1.8308,1.8308,1,,,1,,1,2,6,2,2,2,2,6,2,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,,,,,,,1,1,
Tip Reiman,ARZ,TE,2,Yes,Yes,No,1,No,No,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,5,Yes,No,No,5,No,Yes,0.2,17,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,2,No,No,No,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Thomas,LV,TE,5,No,No,No,4,No,No,,15,1,,1,1,1,0.25,1,,1,1,100,2.2246,,1.3248,1.3248,0.2,,,1,,1,8,7,3,2,8,8,7,3,,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,,,,,,,
Zay Flowers,BLT,WR,2,Yes,Yes,No,2,No,Yes,1,17,,,1,1,1,0.5,2,,1,2,79.2,-2.3344,,1.3786,1.3786,0.5,,,1,,1,3,1,,1.5,3,3,1,,1,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,,,
Cody White,SEA,WR,4,Yes,No,No,4,No,Yes,0.5,9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,1,Yes,No,No,1,No,Yes,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,JAX,WR,12,Yes,Yes,No,12,No,Yes,0.25,16,,0.75,4,4,1,0.3333,8,,4,2,91.7,-0.0902,,5.5494,5.5494,0.3636,,,4,,1,24,16,4,2,6,6,4,1,1,2.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,,,,,,,,,,
Hunter Henry,NE,TE,4,Yes,No,No,1,No,No,,17,1,,1,1,1,1,4,,1,4,158.3,24.9333,,1.4333,1.4333,0.25,,,1,,1,31,27,10,31,31,31,27,10,1,9.1,10.1,9.6,10.1,10.6,10.1,9.6,10.1,10.1,10.1,9.6,10.6,10.1,,,1,,1,1,,,,
Josh Reynolds,NYJ,WR,4,No,No,Yes,4,No,Yes,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Gray,KC,TE,12,No,No,No,6,No,No,,16,0.6667,0.1667,1,1,1,0.1667,-1,,1,-1,79.2,-1.9014,,1.4882,1.4882,0.1111,0.1667,,1,,1,3,4,2,0.5,3,3,4,2,,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,,,,,,,,,
Brian Thomas,JAX,WR,7,Yes,Yes,No,7,No,Yes,,14,,1,2,1,0.5,0.2857,18,1,2,9,39.6,-7.9976,0.5,4.924,4.924,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
Chimere Dike,TEN,WR,3,Yes,Yes,No,3,No,Yes,0.6667,17,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Patrick,JAX,WR,3,Yes,Yes,No,2,No,Yes,,16,,1,2,2,1,1,18,1,1,9,56.3,-6.4688,0.5,5.0138,5.0138,0.6667,,1,1,,0.5,4,4,1,2,2,4,4,1,,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,2,1,,,,,,,,
Gabe Davis,BUF,WR,6,Yes,No,No,6,No,Yes,0.1667,6,0.1667,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,7,No,No,No,6,No,No,0.1667,15,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Smartt,NYJ,TE,2,Yes,No,No,1,No,Yes,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,17,Yes,No,No,17,No,No,0.2941,17,,0.7059,2,2,1,0.1176,9,,2,4.5,118.8,5.7538,,4.8114,4.8114,0.1333,,,2,,1,25,16,2,1.4706,12.5,12.5,8,1,2,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,,,,,,,,,,
Simi Fehoko,ARZ,WR,1,Yes,No,Yes,1,No,Yes,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ollie Gordon,MIA,RB,17,Yes,No,No,4,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,13,Yes,No,No,9,No,No,,17,1,,3,2,0.6667,0.3333,12,,2,4,37.5,-1.9349,,4.5611,4.5611,0.25,,,2,,0.6667,14,13,3,1.5556,4.6667,7,6.5,1.5,,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,2,,,,,,,,,
Devin Culp,TB,TE,1,Yes,No,No,1,No,Yes,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Mayer,LV,TE,6,No,No,No,5,No,No,,13,1,,1,1,1,0.2,6,,,6,100,0.907,,1.6729,1.6729,0.1667,,,1,,1,8,2,2,1.6,8,8,2,2,1,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,,,,,,,
Marvin Harrison,ARZ,WR,4,No,No,No,3,No,No,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,5,Yes,No,No,1,No,No,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,4,Yes,No,No,4,No,Yes,0.5,8,,0.5,1,,,0.25,35,,1,35,39.6,-13.7005,,2.1655,2.1655,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ty Chandler,MIN,RB,1,No,No,No,1,No,No,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,2,Yes,No,No,1,No,No,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Smith,LA,WR,4,No,No,No,4,No,No,1,16,,,2,2,1,0.5,-4,,1,-2,79.2,-2.1403,,3.7864,3.7864,0.5,,,2,,1,5,9,2,1.25,2.5,2.5,4.5,1,,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2,,,,,,,1,0.5,
Kenneth Walker,SEA,RB,19,Yes,No,Yes,5,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,25,No,No,No,8,No,Yes,0.375,16,,,2,2,1,0.25,-4,,2,-2,79.2,-5.9691,,4.7421,4.7421,0.1053,0.625,,2,,1,,4,2,,,,2,1,,,2,1,3,2,2,1,2,2,2,1,2,2,1,,,,,,,,,
