Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsHero,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Devontez Walker,BLT,WR,28,No,Yes,Yes,28,8,Yes,1,Yes,8,1,2,0.2857,6,,0.75,136,22,1,213,,0.1786,0.8214,8,26.625,5,156.3,4.8571,17,5.9621,22.6667,3.6667,0.1667,5,20.4966,20.4966,0.2857,31.6,37.6,34.6,37.6,37.6,40.6,37.6,37.6,37.6,37.6,34.6,37.6,37.6,1,11,,1,0.125,3,,2,,
Austin Ekeler,WAS,RB,20,No,Yes,No,14,,No,,No,,,,,,,,,,,,,0.4286,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,,,,,,,
Daniel Bellinger,NYG,TE,113,No,No,Yes,93,14,No,4,No,14,1,2,0.1505,10,1,0.7143,144,56,17,148,0.3978,0.3978,0.1075,14,10.5714,1,104.5,1.5484,10.2857,1.5772,14.4,5.6,1.7,8,30.0158,30.0158,0.1239,14.4,24.4,19.4,24.4,29.4,27.4,22.4,24.4,24.4,24.4,19.4,29.4,24.4,5,16,0.0968,2,0.1429,,,,,
Drew Sample,CIN,TE,143,No,No,Yes,98,4,No,1,No,4,1,,0.0408,4,1,1,25,24,9,1,0.6429,0.0612,0.0306,4,0.25,,92.7,0.2551,6.25,0.1049,6.25,6,2.25,1,6.2828,6.2828,0.028,2.5,6.5,4.5,6.5,8.5,6.5,4.5,6.5,6.5,6.5,4.5,8.5,6.5,,17,0.2653,,,,,,,
Dylan Drummond,ATL,WR,34,No,Yes,No,34,3,No,1,Yes,3,1,,0.0882,2,,0.6667,12,2,2,22,,0.2941,0.7059,3,7.3333,,74.3,0.3529,4,-3.1868,6,1,1,1,4.12,4.12,0.0882,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,1,9,,1,0.3333,,,,,
Tanner Hudson,CIN,TE,68,No,No,Yes,66,16,No,1,No,14,0.875,3,0.2424,13,,0.8125,99,49,21,94,0.303,0.5152,0.1515,16,5.875,1,87.2,1.5,6.1875,-0.6423,7.6154,3.7692,1.6154,5,28.4193,28.4193,0.2353,15.9,28.9,22.4,28.9,35.4,28.9,22.4,28.9,28.9,28.9,22.4,35.4,28.9,5,13,0.0303,,,1,,1,1,0.0769
Curtis Samuel,BUF,WR,32,No,Yes,No,31,4,No,,No,4,1,,0.129,4,,1,34,18,3,16,,0.3548,0.6452,4,4,,141.7,1.0968,8.5,1.6321,8.5,4.5,0.75,3,7.7899,7.7899,0.125,9.4,13.4,11.4,13.4,13.4,13.4,11.4,13.4,13.4,13.4,11.4,13.4,13.4,1,6,,,,1,,,,
Chase Brown,CIN,RB,247,No,No,Yes,206,21,No,4,No,20,0.9524,2,0.1019,16,2,0.7619,148,89,28,71,0.0097,0.1019,0.0437,21,3.381,1,134.5,0.7184,7.0476,0.1668,9.25,5.5625,1.75,10,37.0981,37.0981,0.085,38.8,54.8,46.8,62.8,54.8,57.8,49.8,54.8,54.8,54.8,46.8,54.8,54.8,9,17,0.8447,2,0.0952,4,,1,4,0.25
Najee Harris,LAC,RB,16,No,No,Yes,10,1,No,,Yes,1,1,,0.1,1,,1,11,10,5,1,,,0.1,1,1,,112.5,1.1,11,5.2706,11,10,5,1,1.3977,1.3977,0.0625,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,3,0.9,,,,,,1,1
Will Shipley,PHI,RB,37,No,No,No,29,2,No,,No,2,1,,0.069,2,,1,6,9,2,-3,,0.2414,0.1724,2,-1.5,,79.2,0.2069,3,-3.1329,3,4.5,1,,3.4697,3.4697,0.0541,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,15,0.5862,,,,,,,
Kyren Williams,LA,RB,266,No,No,Yes,169,12,No,,No,11,0.9167,,0.071,9,,0.75,83,58,6,32,,0.1302,0.0059,12,2.6667,,133,0.4911,6.9167,0.4861,9.2222,6.4444,0.6667,5,18.9262,18.9262,0.0451,26.3,35.3,30.8,39.8,35.3,35.3,30.8,35.3,35.3,35.3,30.8,35.3,35.3,7,17,0.8639,2,0.1667,3,,,,
Payne Durham,TB,TE,57,No,No,No,27,2,No,,Yes,2,1,,0.0741,1,,0.5,11,11,1,-2,0.6667,0.2222,0.0741,2,-1,,66.7,0.4074,5.5,0.4299,11,11,1,1,3.0023,3.0023,0.0351,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,17,0.037,1,0.5,,,,,
Tucker Kraft,GB,TE,117,No,No,Yes,99,24,No,2,No,23,0.9583,2,0.2424,20,2,0.8333,367,232,86,152,0.5455,0.3232,0.1313,24,6.3333,1,158.3,3.7071,15.2917,7.742,18.35,11.6,4.3,14,45.4612,45.4612,0.2051,66.7,86.7,76.7,86.7,96.7,89.7,79.7,86.7,86.7,86.7,76.7,96.7,86.7,6,8,,3,0.125,5,,2,7,0.35
Trey McBride,ARZ,TE,339,No,No,Yes,333,114,No,34,No,98,0.8596,14,0.3423,85,21,0.7456,902,288,113,1014,0.2883,0.6186,0.0901,114,8.8947,8,126.4,2.7087,7.9123,-0.0773,10.6118,3.3882,1.3294,52,209.9796,209.9796,0.3363,150.2,235.2,192.7,235.2,277.7,238.2,195.7,235.2,235.2,235.2,192.7,277.7,235.2,24,17,0.003,2,0.0175,10,1,6,9,0.1059
John Bates,WAS,TE,85,No,No,No,60,10,No,1,No,10,1,1,0.1667,8,,0.8,60,34,9,54,0.8167,0.1333,0.05,10,5.4,,125,1,6,-0.992,7.5,4.25,1.125,3,18.1664,18.1664,0.1176,12,20,16,20,24,20,16,20,20,20,16,24,20,1,15,,1,0.1,1,,1,,
Dont'e Thornton,LV,WR,120,No,No,No,120,26,No,8,Yes,13,0.5,,0.2167,8,3,0.3077,117,23,10,453,,0.25,0.75,26,17.4231,8,14.4,0.975,4.5,-5.5,14.625,2.875,1.25,5,46.8349,46.8349,0.2167,11.7,19.7,15.7,19.7,19.7,22.7,18.7,19.7,19.7,19.7,15.7,19.7,19.7,,15,,1,0.0385,,1,,,
Cam Skattebo,NYG,RB,58,Yes,Yes,No,46,5,No,1,No,4,0.8,,0.1087,3,,0.6,47,32,4,19,,0.0435,0.0652,5,3.8,,130.8,1.0217,9.4,2.7742,15.6667,10.6667,1.3333,3,7.3678,7.3678,0.0862,10.7,13.7,12.2,15.2,13.7,13.7,12.2,13.7,13.7,13.7,12.2,13.7,13.7,1,8,0.8913,,,1,,,,
Dawson Knox,BUF,TE,142,Yes,No,No,128,30,No,3,Yes,26,0.8667,3,0.2344,23,1,0.7667,299,133,32,248,0.5156,0.3438,0.1406,30,8.2667,3,113.1,2.3359,9.9667,1.7993,13,5.7826,1.3913,16,55.8536,55.8536,0.2113,47.9,70.9,59.4,70.9,82.4,73.9,62.4,70.9,70.9,70.9,59.4,82.4,70.9,7,17,,2,0.0667,3,,2,2,0.087
Emeka Egbuka,TB,WR,252,No,No,No,249,90,No,16,Yes,56,0.6222,9,0.3614,41,6,0.4556,645,163,48,1270,,0.3735,0.6265,90,14.1111,18,68.1,2.5904,7.1667,-1.9538,15.7317,3.9756,1.1707,24,177.62,177.62,0.3571,76.5,117.5,97,117.5,117.5,120.5,100,117.5,117.5,117.5,97,117.5,117.5,9,17,,8,0.0889,2,1,2,5,0.122
Noah Brown,WAS,WR,28,No,No,No,28,7,No,2,No,4,0.5714,1,0.25,2,,0.2857,28,4,1,105,,0.1071,0.8929,7,15,2,43.8,1,4,-5.0609,14,2,0.5,1,15.2293,15.2293,0.25,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,2,4,,,,,,,,
Malik Davis,DAL,RB,35,Yes,No,Yes,22,,No,,Yes,,,,,,,,,,,,,0.0455,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.9091,,,,,,,
Marcedes Lewis,DEN,TE,7,No,No,No,2,,No,,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
Dontayvion Wicks,GB,WR,111,No,No,No,105,39,No,6,Yes,30,0.7692,1,0.3714,26,3,0.6667,278,62,27,452,0.0095,0.5143,0.4762,39,11.5897,9,83.1,2.6476,7.1282,-1.1919,10.6923,2.3846,1.0385,18,67.8225,67.8225,0.3514,39.8,65.8,52.8,65.8,65.8,68.8,55.8,65.8,65.8,65.8,52.8,65.8,65.8,3,14,,2,0.0513,2,,1,3,0.1154
Devin Neal,NO,RB,88,No,No,No,67,2,No,,Yes,2,1,,0.0299,2,,1,10,10,,,,0.0149,0.1045,2,,,87.5,0.1493,5,-0.7742,5,5,,,2.7319,2.7319,0.0227,1,3,2,4,3,3,2,3,3,3,2,3,3,1,9,0.8806,,,,,,,
Oronde Gadsden,LAC,TE,193,No,No,No,180,45,No,5,No,38,0.8444,4,0.25,32,2,0.7111,429,157,82,420,0.3667,0.5278,0.1,45,9.3333,5,106.6,2.3833,9.5333,1.3882,13.4062,4.9062,2.5625,19,87.7536,87.7536,0.2332,53.9,85.9,69.9,85.9,101.9,88.9,71.9,84.9,84.9,84.9,68.9,101.9,84.9,11,15,0.0056,3,0.0667,2,,2,5,0.1562
TreVeyon Henderson,NE,RB,132,Yes,No,Yes,112,4,No,,Yes,4,1,,0.0357,4,,1,41,29,4,12,0.0089,0.0446,0.1339,4,3,,109.4,0.3661,10.25,3.6872,10.25,7.25,1,2,5.6811,5.6811,0.0303,4.1,8.1,6.1,10.1,8.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,,17,0.8125,,,,,,,
Jayden Reed,GB,WR,52,Yes,No,Yes,52,11,No,2,Yes,10,0.9091,1,0.2115,9,1,0.8182,153,50,11,143,0.0192,0.75,0.1923,11,13,1,149.1,2.9423,13.9091,4.9839,17,5.5556,1.2222,5,19.846,19.846,0.2115,21.3,30.3,25.8,30.3,30.3,33.3,28.8,30.3,30.3,30.3,25.8,30.3,30.3,1,7,0.0385,,,1,,1,,
Brayden Willis,SF,TE,3,No,No,No,2,1,No,,Yes,,,,0.5,,,,,,,2,,0.5,0.5,1,2,,39.6,,,-6.3701,,,,,1.5,1.5,0.3333,,,,,,,,,,,,,,,6,,,,,,,,
Dalen Cambre,NYG,WR,2,No,No,Yes,2,,No,,No,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Kyle Pitts,ATL,TE,292,No,Yes,No,281,69,No,15,Yes,58,0.8406,3,0.2456,49,8,0.7101,605,218,115,657,0.4021,0.3808,0.2171,69,9.5217,7,105,2.153,8.7681,0.5746,12.3469,4.449,2.3469,36,122.8849,122.8849,0.2363,84.5,133.5,109,133.5,158,136.5,112,133.5,133.5,133.5,109,158,133.5,8,17,,3,0.0435,4,,2,4,0.0816
Dante Pettis,NO,WR,46,No,Yes,No,46,5,No,,Yes,3,0.6,,0.1087,3,,0.6,52,10,1,99,,0.4348,0.5652,5,19.8,2,95.4,1.1304,10.4,-0.2684,17.3333,3.3333,0.3333,2,10.8087,10.8087,0.1087,5.2,8.2,6.7,8.2,8.2,8.2,6.7,8.2,8.2,8.2,6.7,8.2,8.2,,8,,,,,,,,
Harold Fannin,CLV,TE,200,No,No,No,187,64,Yes,14,Yes,56,0.875,2,0.3422,44,5,0.6875,508,212,119,471,0.3797,0.4599,0.1444,64,7.3594,5,110.7,2.7166,7.9375,0.4881,11.5455,4.8182,2.7045,24,107.2817,107.2817,0.32,86.8,130.8,108.8,130.8,152.8,133.8,111.8,130.8,130.8,130.8,108.8,152.8,130.8,7,16,0.016,4,0.0625,6,1,1,11,0.25
Terry McLaurin,WAS,WR,114,No,No,No,113,47,No,13,No,33,0.7021,3,0.4159,28,8,0.5957,450,86,43,658,,0.177,0.823,47,14,10,105.8,3.9823,9.5745,0.5613,16.0714,3.0714,1.5357,25,90.6701,90.6701,0.4123,57,85,71,85,85,88,74,85,85,85,71,85,85,5,10,,1,0.0213,2,1,1,3,0.1071
Chris Godwin,TB,WR,116,No,No,No,110,31,No,7,Yes,26,0.8387,3,0.2818,23,5,0.7419,270,128,33,263,,0.5182,0.4818,31,8.4839,2,121.7,2.4545,8.7097,1.3426,11.7391,5.5652,1.4348,17,53.8307,53.8307,0.2672,39,62,50.5,62,62,65,53.5,62,62,62,50.5,62,62,6,9,,1,0.0323,2,,2,4,0.1739
Zach Horton,DET,TE,1,Yes,Yes,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,
Arian Smith,NYJ,WR,106,Yes,No,No,106,10,No,2,Yes,6,0.6,2,0.0943,4,1,0.4,51,17,15,215,,0.3774,0.6226,10,21.5,5,17.1,0.4811,5.1,-5.5222,12.75,4.25,3.75,4,18.8141,18.8141,0.0943,5.1,9.1,7.1,9.1,9.1,9.1,7.1,9.1,9.1,9.1,7.1,9.1,9.1,,16,,,,,,,1,0.25
Marvin Mims,DEN,WR,126,No,No,No,125,27,No,2,No,16,0.5926,2,0.216,15,1,0.5556,222,78,49,488,,0.288,0.68,27,18.0741,12,95,1.776,8.2222,-1.2189,14.8,5.2,3.2667,8,50.417,50.417,0.2143,28.2,43.2,35.7,43.2,43.2,46.2,38.7,43.2,43.2,43.2,35.7,43.2,43.2,1,15,0.032,1,0.037,1,,1,1,0.0667
Dallas Goedert,PHI,TE,228,No,No,Yes,214,52,No,7,Yes,46,0.8846,4,0.243,39,3,0.75,408,169,71,388,0.3832,0.4813,0.1308,52,7.4615,3,135.7,1.9065,7.8462,0.1051,10.4615,4.3333,1.8205,23,91.997,91.997,0.2281,76.8,115.8,96.3,115.8,135.3,118.8,99.3,115.8,115.8,115.8,96.3,135.3,115.8,9,15,0.0047,4,0.0769,6,,3,1,0.0256
Cedric Tillman,CLV,WR,139,No,No,Yes,136,29,No,5,No,22,0.7586,3,0.2132,18,2,0.6207,237,59,16,352,,0.3088,0.6912,29,12.1379,4,85,1.7426,8.1724,-0.3583,13.1667,3.2778,0.8889,12,61.3913,61.3913,0.2086,29.7,47.7,38.7,47.7,47.7,50.7,41.7,47.7,47.7,47.7,38.7,47.7,47.7,3,13,,1,0.0345,1,,1,1,0.0556
Calvin Ridley,TEN,WR,80,No,No,Yes,80,29,No,4,Yes,20,0.6897,1,0.3625,13,,0.4483,276,74,9,409,,0.2,0.8,29,14.1034,4,79.1,3.45,9.5172,0.3929,21.2308,5.6923,0.6923,12,52.3706,52.3706,0.3625,27.6,40.6,34.1,40.6,40.6,43.6,37.1,40.6,40.6,40.6,34.1,40.6,40.6,1,7,,4,0.1379,,,,1,0.0769
Raheem Mostert,LV,RB,51,No,Yes,Yes,37,1,Yes,,Yes,1,1,,0.027,1,,1,6,4,2,2,,0.027,,1,2,,91.7,0.1622,6,-0.3947,6,4,2,1,1.3,1.3,0.0196,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,12,0.973,,,,,,,
Jalen Coker,CAR,WR,126,No,No,No,125,31,No,7,Yes,25,0.8065,2,0.248,25,7,0.8065,321,75,34,325,,0.608,0.384,31,10.4839,4,142.1,2.568,10.3548,2.1932,12.84,3,1.36,16,53.5813,53.5813,0.246,50.1,75.1,62.6,75.1,75.1,78.1,65.6,75.1,75.1,75.1,62.6,75.1,75.1,2,11,0.008,,,3,,1,1,0.04
Jacoby Jones,WAS,WR,1,No,No,Yes,1,1,Yes,,Yes,1,1,,1,1,,1,25,22,,3,,,1,1,3,,118.8,25,25,19.5501,25,22,,1,1.2729,1.2729,1,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,,1,,,,,,,,
Alec Pierce,IND,WR,289,No,No,No,286,78,No,24,Yes,55,0.7051,11,0.2727,44,9,0.5641,940,165,71,1541,,0.1119,0.8881,78,19.7564,26,108.9,3.2867,12.0513,1.4772,21.3636,3.75,1.6136,39,168.0128,168.0128,0.2699,130,174,152,174,174,177,155,174,174,174,152,174,174,9,15,,1,0.0128,6,2,5,1,0.0227
Jalen Tolbert,DAL,WR,141,No,No,Yes,140,18,No,2,No,13,0.7222,3,0.1286,10,1,0.5556,108,24,7,174,,0.4357,0.5643,18,9.6667,2,68.8,0.7714,6,-1.906,10.8,2.4,0.7,7,34.3429,34.3429,0.1277,16.8,26.8,21.8,26.8,26.8,29.8,24.8,26.8,26.8,26.8,21.8,26.8,26.8,4,13,,1,0.0556,1,,1,1,0.1
Drake London,ATL,WR,212,No,Yes,No,208,92,No,23,Yes,69,0.75,7,0.4423,58,10,0.6304,781,234,89,971,,0.3413,0.6587,92,10.5543,10,99,3.7548,8.4891,0.3125,13.4655,4.0345,1.5345,40,168.0649,168.0649,0.434,107.1,165.1,136.1,165.1,165.1,168.1,138.1,164.1,164.1,164.1,135.1,165.1,164.1,10,12,,3,0.0326,5,3,4,2,0.0345
Jaylin Lane,WAS,WR,89,No,No,No,87,17,No,4,No,13,0.7647,1,0.1954,9,2,0.5294,135,22,21,236,,0.4138,0.5862,17,13.8824,3,54.8,1.5517,7.9412,-1.2857,15,2.4444,2.3333,6,27.488,27.488,0.191,13.5,22.5,18,22.5,22.5,25.5,21,22.5,22.5,22.5,18,22.5,22.5,1,15,,3,0.1765,,,,,
LaJohntay Wester,BLT,WR,7,No,Yes,Yes,7,,Yes,,Yes,,,,,,,,,,,,,0.5714,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Bo Melton,GB,WR,19,Yes,No,Yes,19,7,No,1,Yes,5,0.7143,,0.3684,2,,0.2857,79,7,4,131,,0.5263,0.4737,7,18.7143,2,74.1,4.1579,11.2857,1.3773,39.5,3.5,2,2,13.0231,13.0231,0.3684,13.9,15.9,14.9,15.9,15.9,15.9,14.9,15.9,15.9,15.9,14.9,15.9,15.9,,9,,1,0.1429,1,,,,
DJ Giddens,IND,RB,14,No,No,No,9,2,No,,Yes,,,,0.2222,,,,,,,-5,,,,2,-2.5,,39.6,,,-5.8491,,,,,4.0538,4.0538,0.1429,,,,,,,,,,,,,,1,9,1,,,,,,,
Chris Rodriguez,WAS,RB,56,No,No,No,40,,No,,No,,,,,,,,,,,,,0.15,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.825,,,,,,,
Theo Wease,MIA,WR,20,Yes,No,Yes,19,9,No,2,Yes,7,0.7778,1,0.4737,5,,0.5556,119,62,7,121,,0.1053,0.8947,9,13.4444,2,97.9,6.2632,13.2222,4.0518,23.8,12.4,1.4,5,17.1615,17.1615,0.45,17.9,22.9,20.4,22.9,22.9,25.9,23.4,22.9,22.9,22.9,20.4,22.9,22.9,1,3,,,,1,,,,
Olamide Zaccheaus,CHI,WR,136,Yes,Yes,Yes,131,33,No,5,Yes,24,0.7273,1,0.2519,23,4,0.697,189,73,23,205,,0.542,0.458,33,6.2121,1,84,1.4427,5.7273,-1.0152,8.2174,3.1739,1,8,52.2566,52.2566,0.2426,18.9,41.9,30.4,41.9,41.9,44.9,33.4,41.9,41.9,41.9,30.4,41.9,41.9,4,16,,1,0.0303,,,,1,0.0435
Raheim Sanders,CLV,RB,8,No,No,Yes,6,1,No,,No,1,1,,0.1667,1,,1,10,4,3,6,,,0.3333,1,6,,108.3,1.6667,10,2.2914,10,4,3,,1.3128,1.3128,0.125,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,4,0.6667,,,,,,1,1
Tyler Warren,IND,TE,332,No,No,No,306,79,No,19,Yes,69,0.8734,4,0.2582,54,5,0.6835,616,293,101,582,0.366,0.4804,0.1275,79,7.3671,2,103.1,2.0131,7.7975,0.1471,11.4074,5.4259,1.8704,33,137.0618,137.0618,0.238,85.6,139.6,112.6,139.6,166.6,142.6,115.6,139.6,139.6,139.6,112.6,166.6,139.6,14,17,0.0261,3,0.038,4,1,2,5,0.0926
Will Mallory,IND,TE,7,No,Yes,Yes,6,,Yes,,No,,,,,,,,,,,,0.3333,0.5,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Albert Okwuegbunam,LV,TE,13,No,No,No,13,3,No,,Yes,2,0.6667,1,0.2308,2,,0.6667,12,5,,26,0.4615,0.5385,,3,8.6667,,74.3,0.9231,4,-3.6614,6,2.5,,1,5.2624,5.2624,0.2308,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,1,1,,,,,,,,
Dee Eskridge,MIA,WR,20,No,No,No,20,4,No,1,No,3,0.75,,0.2,3,1,0.75,54,8,6,62,,0.4,0.6,4,15.5,1,116.7,2.7,13.5,4.354,18,2.6667,2,3,7.6204,7.6204,0.2,5.4,8.4,6.9,8.4,8.4,8.4,6.9,8.4,8.4,8.4,6.9,8.4,8.4,,13,,,,,1,,,
Brittain Brown,CHI,RB,2,No,No,Yes,2,,No,,No,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
AJ Dillon,PHI,RB,15,No,No,No,9,,No,,No,,,,,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.8889,,,,,,,
Ross Dwelley,DET,TE,21,No,Yes,No,16,4,Yes,1,Yes,3,0.75,1,0.25,2,,0.5,7,7,4,7,0.6875,0.1875,0.125,4,1.75,,56.3,0.4375,1.75,-4.1116,3.5,3.5,2,,8.5143,8.5143,0.1905,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,2,10,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,254,No,No,No,253,120,Yes,17,Yes,94,0.7833,9,0.4743,83,8,0.6917,1467,404,168,1602,0.0079,0.2134,0.7628,120,13.35,24,119,5.7984,12.225,3.3658,17.6747,4.8675,2.0241,60,231.3831,231.3831,0.4724,194.7,277.7,236.2,277.7,277.7,280.7,239.2,277.7,277.7,277.7,236.2,277.7,277.7,14,17,0.0158,4,0.0333,8,4,3,12,0.1446
Sam LaPorta,DET,TE,150,No,No,No,135,30,No,2,Yes,27,0.9,,0.2222,27,2,0.9,352,188,64,189,0.4,0.4074,0.1926,30,6.3,,126.7,2.6074,11.7333,4.5455,13.037,6.963,2.3704,14,44.4821,44.4821,0.2,41.2,68.2,54.7,68.2,81.7,71.2,57.7,68.2,68.2,68.2,54.7,81.7,68.2,1,9,,,,1,,,5,0.1852
Jackson Hawes,BUF,TE,60,Yes,No,No,31,5,No,1,Yes,3,0.6,,0.1613,3,,0.6,42,32,14,47,0.7742,0.0968,0.129,5,9.4,1,87.1,1.3548,8.4,0.3906,14,10.6667,4.6667,3,8.5353,8.5353,0.0833,4.2,7.2,5.7,7.2,8.7,7.2,5.7,7.2,7.2,7.2,5.7,8.7,7.2,,17,,,,,,,,
Chris Blair,ATL,WR,1,No,No,No,1,,No,,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Mitchell Tinsley,CIN,WR,79,No,No,Yes,76,18,No,5,No,9,0.5,4,0.2368,5,2,0.2778,77,13,4,289,0.0132,0.1974,0.7763,18,16.0556,8,81.9,1.0132,4.2778,-5.4513,15.4,2.6,0.8,4,39.5089,39.5089,0.2278,19.7,24.7,22.2,24.7,24.7,24.7,22.2,24.7,24.7,24.7,22.2,24.7,24.7,5,17,0.0132,2,0.1111,2,1,2,,
Brycen Tremayne,CAR,WR,58,No,No,No,57,14,No,2,Yes,13,0.9286,,0.2456,11,1,0.7857,120,43,12,119,,0.3333,0.6667,14,8.5,1,102.4,2.1053,8.5714,1.0082,10.9091,3.9091,1.0909,5,25.0573,25.0573,0.2414,12,23,17.5,23,23,26,20.5,23,23,23,17.5,23,23,1,16,,,,,1,,1,0.0909
Christian McCaffrey,SF,RB,282,No,No,No,243,33,Yes,4,Yes,32,0.9697,3,0.1358,30,3,0.9091,268,111,65,164,0.0041,0.177,0.0576,33,4.9697,,127.5,1.1029,8.1212,0.9274,8.9333,3.7,2.1667,16,62.137,62.137,0.117,50.8,80.8,65.8,95.8,80.8,83.8,68.8,80.8,80.8,80.8,65.8,80.8,80.8,12,17,0.7613,1,0.0303,4,,3,4,0.1333
Tez Johnson,TB,WR,147,No,No,No,145,28,No,4,Yes,19,0.6786,2,0.1931,16,2,0.5714,201,66,12,382,,0.3517,0.6414,28,13.6429,6,91.5,1.3862,7.1786,-1.8928,12.5625,4.125,0.75,8,52.9675,52.9675,0.1905,26.1,42.1,34.1,42.1,42.1,45.1,37.1,42.1,42.1,42.1,34.1,42.1,42.1,2,16,0.0069,1,0.0357,1,1,,5,0.3125
Khalil Shakir,BUF,WR,168,No,No,Yes,165,43,No,7,Yes,38,0.8837,,0.2606,35,5,0.814,377,204,123,220,0.0061,0.7576,0.2303,43,5.1163,3,91.6,2.2848,8.7674,2.1305,10.7714,5.8286,3.5143,14,65.0815,65.0815,0.256,43.7,78.7,61.2,78.7,78.7,81.7,64.2,78.7,78.7,78.7,61.2,78.7,78.7,5,16,0.0061,1,0.0233,1,1,,7,0.2
Sterling Shepard,TB,WR,158,Yes,No,No,154,24,No,6,Yes,20,0.8333,2,0.1558,17,3,0.7083,161,24,5,220,,0.539,0.461,24,9.1667,3,89.1,1.0455,6.7083,-0.972,9.4706,1.4118,0.2941,8,44.2907,44.2907,0.1519,15.1,32.1,23.6,32.1,32.1,35.1,25.6,31.1,31.1,31.1,22.6,32.1,31.1,4,13,,,,,,,,
Rico Dowdle,CAR,RB,126,No,No,No,94,4,No,1,Yes,3,0.75,1,0.0426,2,,0.5,14,14,1,8,,0.0638,0.2128,4,2,,58.3,0.1489,3.5,-3.1424,7,7,0.5,,7.903,7.903,0.0317,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,2,17,0.7234,1,0.25,,,,,
