Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,TargetsInEndzone,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AveragesPerReceptionYardsAfterContact,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal
Hassan Haskins,LAC,RB,7,No,No,No,6,No,No,0.8333,11,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,7,Yes,Yes,Yes,7,Yes,Yes,,16,2,2,1,0.2857,2,1,27,1,26,,0.5714,0.4286,13,,118.8,3.8571,13.5,3.9404,,13.5,0.5,2,3.2319,3.2319,0.2857,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,,,,,,,,,,,,
Jaylen Warren,PIT,RB,11,No,No,No,9,No,No,0.5556,16,2,2,1,0.2222,2,1,71,58,13,,,0.2222,6.5,,118.8,7.8889,35.5,27.6272,,35.5,29,2,2.956,2.956,0.1818,7.1,9.1,8.1,10.1,9.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,,,52,0.2222,26,,,,,4,2,
Kendrick Bourne,SF,WR,9,No,Yes,No,9,No,Yes,,16,2,2,1,0.2222,2,1,30,-1,31,,0.2222,0.7778,15.5,,118.8,3.3333,15,5.0932,,15,-0.5,2,3.9013,3.9013,0.2222,3,5,4,5,5,5,4,5,5,5,4,5,5,,,1,,0.5,,,,,,,
Ashton Dulin,IND,WR,2,Yes,Yes,No,2,No,No,,12,1,,,0.5,,,,,11,,,1,11,,39.6,,,-8.3152,,,,,1.6607,1.6607,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,8,No,Yes,No,8,No,Yes,,15,,,,,,,,,,,0.5,0.5,,,,,,,,,,,1.59,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,7,No,Yes,No,7,No,Yes,,13,1,1,1,0.1429,1,1,6,,14,,0.7143,0.2857,14,,131.3,0.8571,6,-4.2817,,6,,1,4.3016,4.3016,0.1429,6.6,7.6,7.1,7.6,8.1,7.6,7.1,7.6,7.6,7.6,7.1,8.1,7.6,,1,,,,,,1,1,2,2,1
Jahdae Walker,CHI,WR,5,Yes,Yes,Yes,5,No,No,,7,2,,,0.4,,,,,17,,0.2,0.8,8.5,,39.6,,,-7.2822,,,,,4.4456,4.4456,0.4,,,,,,,,,,,,,,,1,,,,,,,,,,1
Tanner Conner,MIA,TE,4,No,Yes,No,4,No,No,,9,,,,,,,,,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
Quintin Morris,JAX,TE,1,No,No,No,1,No,No,,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
