Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,DeepTargetTargetsTotal
Courtland Sutton,DEN,WR,40,No,Yes,No,35,No,No,0.8286,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1714,,,,,,,,,,,
Tyrell Shavers,BUF,WR,9,No,No,No,6,No,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,6,No,No,No,6,No,Yes,,16,5,5,1,0.8333,5,1,21,44,14,-23,1,1,1,0.2,-4.6,84.2,3.5,4.2,-1.3475,4.2,8.8,2.8,8.3059,8.3059,0.8333,2.1,7.1,4.6,9.6,7.1,7.1,4.6,7.1,7.1,7.1,4.6,7.1,7.1,,,,,1,0.2,,,,,,,
Tre Tucker,LV,WR,29,Yes,No,No,27,No,Yes,0.8519,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1481,,,,,,,,,,,
Michael Pittman,IND,WR,15,No,No,No,13,No,Yes,0.8462,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1538,,,,,,,,,,,
Malik Washington,MIA,WR,22,Yes,No,No,19,No,Yes,0.5263,17,3,3,1,0.1579,3,1,7,18,9,-11,0.0526,2,2,0.6667,-3.6667,79.2,0.3684,2.3333,-2.3813,2.3333,6,3,5.5869,5.5869,0.1364,0.7,3.7,2.2,3.7,3.7,3.7,2.2,3.7,3.7,3.7,2.2,3.7,3.7,,0.4211,,,3,1,,,,,,,
Jakobie Keeney-James,GB,WR,1,No,No,No,1,No,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Jonathan Taylor,IND,RB,11,No,No,No,10,No,Yes,,17,9,9,1,0.9,7,0.7778,67,87,9,-26,0.8,3,1,0.1111,-2.8889,134.7,6.7,7.4444,1.5112,9.5714,12.4286,1.2857,15.0854,15.0854,0.8182,12.7,19.7,16.2,23.2,19.7,19.7,16.2,19.7,19.7,19.7,16.2,19.7,19.7,,0.2,3,1,1,0.1429,1,2,0.2222,,,,
Troy Franklin,DEN,WR,28,No,Yes,No,25,No,No,0.56,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,
Laquon Treadwell,IND,WR,1,No,No,No,1,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Patrick,JAX,WR,7,No,No,No,3,No,Yes,0.3333,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,
Brian Thomas,JAX,WR,14,No,No,No,13,No,Yes,0.9231,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0769,,,,,,,,,,,
DeAndre Hopkins,BLT,WR,6,Yes,No,No,6,No,Yes,0.6667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Josh Reynolds,NYJ,WR,1,No,No,No,1,No,Yes,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Gray,KC,TE,18,Yes,No,No,12,No,Yes,0.1667,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5833,0.25,,,,,,,,,,,
Chimere Dike,TEN,WR,19,No,No,No,17,No,Yes,0.2353,17,3,2,0.6667,0.1765,2,0.6667,,8,2,-12,,2,2,0.6667,-4,70.1,,,-4.4851,,4,1,4.2028,4.2028,0.1579,,2,1,2,2,2,1,2,2,2,1,2,2,,0.7647,1,,,,,,,,,,
Xavier Hutchinson,HST,WR,12,No,No,No,12,No,Yes,0.8333,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,
T.J. Hockenson,MIN,TE,12,No,No,Yes,6,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,
Zay Flowers,BLT,WR,10,Yes,No,No,8,No,Yes,0.625,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,
Michael Wilson,ARZ,WR,15,Yes,No,No,14,No,Yes,0.7857,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2143,,,,,,,,,,,
Hunter Henry,NE,TE,14,Yes,No,No,10,No,Yes,0.4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,
Dalton Kincaid,BUF,TE,8,No,No,No,6,No,Yes,0.1667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,0.1667,,,,,,,,,,,
Jakobi Meyers,JAX,WR,20,No,No,No,19,No,Yes,0.4211,16,1,1,1,0.0526,1,1,9,13,3,-4,,1,1,1,-4,104.2,0.4737,9,4.5149,9,13,3,1.5311,1.5311,0.05,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,0.5789,,,,,,,,,,,
Gabe Davis,BUF,WR,6,No,No,No,6,No,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zavier Scott,MIN,RB,3,No,No,No,3,No,Yes,,11,3,3,1,1,3,1,28,44,27,-16,1,2,1,0.3333,-5.3333,105.6,9.3333,9.3333,3.7228,9.3333,14.6667,9,4.6165,4.6165,1,2.8,5.8,4.3,7.3,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,,,2,,2,0.6667,,,,,,,
Jahmyr Gibbs,DET,RB,18,No,No,No,18,No,No,,17,18,17,0.9444,1,17,0.9444,112,192,20,-84,1,11,5,0.2778,-4.6667,92.6,6.2222,6.2222,0.7105,6.5882,11.2941,1.1765,27.8974,27.8974,1,11.2,28.2,19.7,36.7,28.2,31.2,22.7,28.2,28.2,28.2,19.7,28.2,28.2,,,6,1,5,0.2941,,,,,,,
Cody White,SEA,WR,1,Yes,No,No,1,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,7,Yes,No,No,7,No,Yes,,10,6,5,0.8333,0.8571,3,0.5,13,22,9,-24,0.8571,3,3,0.5,-4,56.3,1.8571,2.1667,-3.4276,4.3333,7.3333,3,8.7577,8.7577,0.8571,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,,0.1429,1,,,,,1,0.1667,2,,,
Austin Hooper,NE,TE,9,Yes,No,No,5,No,Yes,0.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,
Justin Watson,HST,WR,1,No,No,No,1,No,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Rashee Rice,KC,WR,8,No,No,No,8,No,Yes,0.125,8,4,4,1,0.5,4,1,32,51,5,-19,0.125,4,4,1,-4.75,100,4,8,3.759,8,12.75,1.25,6.5211,6.5211,0.5,3.2,7.2,5.2,7.2,7.2,7.2,5.2,7.2,7.2,7.2,5.2,7.2,7.2,,0.75,3,,1,0.25,,,,,,,
Ty Chandler,MIN,RB,1,No,No,No,1,No,Yes,,3,1,1,1,1,1,1,2,8,,-6,1,,,,-6,79.2,2,2,-3.0893,2,8,,1.0944,1.0944,1,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,,,,,,
Britain Covey,PHI,WR,1,No,No,No,1,No,Yes,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Mo Alie-Cox,IND,TE,4,No,No,No,3,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ollie Gordon,MIA,RB,2,Yes,No,No,2,No,Yes,,17,1,1,1,0.5,1,1,-1,4,1,-5,1,1,1,1,-5,79.2,-0.5,-1,-6.8711,-1,4,1,1.3667,1.3667,0.5,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,,,,1,1,,,,,,,
Bryce Oliver,TEN,WR,3,No,No,No,2,No,Yes,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Tyrone Tracy,NYG,RB,14,Yes,No,No,13,No,Yes,,15,13,13,1,1,12,0.9231,43,82,17,-40,0.8462,4,,,-3.0769,80.4,3.3077,3.3077,-2.4557,3.5833,6.8333,1.4167,21.6585,21.6585,0.9286,4.3,16.3,10.3,22.3,16.3,16.3,10.3,16.3,16.3,16.3,10.3,16.3,16.3,,0.1538,3,,2,0.1667,,1,0.0769,1,,,
Michael Mayer,LV,TE,20,Yes,No,No,13,No,Yes,0.1538,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6923,0.1538,,,,,,,,,,,
Ben Yurosek,MIN,TE,5,No,No,No,3,No,Yes,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Devin Culp,TB,TE,2,No,Yes,No,2,No,Yes,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,14,Yes,No,No,13,No,Yes,0.7692,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2308,,,,,,,,,,,
Tank Bigsby,PHI,RB,2,No,No,No,2,No,Yes,,16,2,2,1,1,1,0.5,-1,6,2,-6,1,,,,-3,56.3,-0.5,-0.5,-5.6291,-1,6,2,2.99,2.99,1,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,,,,1,1,,1,0.5,,,,
Cedrick Wilson,MIA,WR,6,Yes,No,No,3,No,Yes,0.6667,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Brashard Smith,KC,RB,9,Yes,No,No,9,No,Yes,0.3333,17,8,7,0.875,0.8889,5,0.625,29,46,8,-23,0.6667,5,2,0.25,-2.875,69.3,3.2222,3.625,-2.3468,5.8,9.2,1.6,11.5173,11.5173,0.8889,2.9,7.9,5.4,10.4,7.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,,,1,1,2,0.4,,1,0.125,,,,
Sean Tucker,TB,RB,5,Yes,No,No,5,No,Yes,,17,5,4,0.8,1,4,0.8,-6,11,5,-13,1,1,1,0.2,-2.6,79.2,-1.2,-1.2,-7.0758,-1.5,2.75,1.25,11.0589,11.0589,1,-0.6,3.4,1.4,5.4,3.4,3.4,1.4,3.4,3.4,3.4,1.4,3.4,3.4,,,,2,,,,,,,,,
John FitzPatrick,GB,TE,6,No,No,No,4,No,Yes,0.25,15,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,
De'Von Achane,MIA,RB,31,No,No,No,28,No,Yes,,16,24,22,0.9167,0.8571,21,0.875,135,220,43,-99,0.8571,4,1,0.0417,-4.125,104,4.8214,5.625,-0.0762,6.4286,10.4762,2.0476,39.2923,39.2923,0.7742,19.5,40.5,30,51,40.5,43.5,33,40.5,40.5,40.5,30,40.5,40.5,0.0357,0.1071,7,2,8,0.381,1,1,0.0417,,,,
Mike Evans,TB,WR,8,Yes,No,No,8,No,Yes,0.875,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,
Kenneth Walker,SEA,RB,8,Yes,Yes,Yes,8,No,Yes,,17,8,8,1,1,8,1,16,53,11,-37,0.875,4,1,0.125,-4.625,79.2,2,2,-3.4041,2,6.625,1.375,11.7093,11.7093,1,1.6,9.6,5.6,13.6,9.6,9.6,5.6,9.6,9.6,9.6,5.6,9.6,9.6,,0.125,1,1,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,7,No,Yes,No,4,No,No,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,BUF,WR,13,No,No,No,12,No,Yes,0.6667,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Tyler Lockett,LV,WR,14,Yes,No,No,12,No,Yes,0.3333,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,
Jordan Addison,MIN,WR,15,No,No,No,10,No,Yes,0.9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,
Jayden Higgins,HST,WR,9,No,No,No,9,No,Yes,0.7778,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2222,,,,,,,,,,,
Skyy Moore,SF,WR,2,Yes,Yes,Yes,2,No,Yes,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Shane Zylstra,DET,TE,3,No,No,No,2,No,No,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,
Malik Heath,GB,WR,5,No,No,No,5,No,No,0.8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Jalen Royals,KC,WR,1,Yes,No,No,1,No,Yes,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Nate Adkins,DEN,TE,7,No,Yes,No,1,No,No,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Tre Harris,LAC,WR,11,No,Yes,No,9,No,No,0.5556,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,6,Yes,No,No,5,No,Yes,0.2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,,,,,,,,,,,
Darius Cooper,PHI,WR,4,No,No,No,3,No,Yes,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stoll,NO,TE,2,No,Yes,No,1,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Jameson Williams,DET,WR,22,No,No,No,19,No,No,0.5789,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4211,,,,,,,,,,,
Jalen McMillan,TB,WR,4,Yes,No,No,3,No,Yes,0.6667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Mitchell Evans,CAR,TE,4,Yes,No,No,4,No,Yes,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,
Jahan Dotson,PHI,WR,18,No,No,No,17,No,Yes,0.6471,17,1,1,1,0.0588,1,1,4,11,1,-7,,,,,-7,83.3,0.2353,4,1.4595,4,11,1,1.7233,1.7233,0.0556,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,0.3529,,,,,,,,,,,
DeVonta Smith,PHI,WR,21,No,No,No,20,No,Yes,0.35,17,1,1,1,0.05,1,1,7,8,2,-1,,,,,-1,95.8,0.35,7,0.8301,7,8,2,1.4882,1.4882,0.0476,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,0.65,1,,,,,,,,,,
Theo Johnson,NYG,TE,17,No,No,Yes,12,No,Yes,0.0833,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.5833,,,,,,,,,,,
Luke Musgrave,GB,TE,10,No,No,No,8,No,Yes,0.125,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,,,
Aaron Jones,MIN,RB,9,Yes,No,Yes,9,No,Yes,,12,8,7,0.875,0.8889,7,0.875,30,73,11,-49,0.8889,5,4,0.5,-6.125,82.3,3.3333,3.75,-1.2969,4.2857,10.4286,1.5714,10.8631,10.8631,0.8889,2,9,5.5,12.5,9,9,4.5,8,8,8,4.5,9,8,,0.1111,2,,1,0.1429,,,,,,,
Luke Farrell,SF,TE,4,Yes,Yes,Yes,2,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Woody Marks,HST,RB,8,No,No,No,6,No,Yes,,16,5,5,1,0.8333,5,1,6,27,8,-21,1,2,,,-4.2,79.2,1,1.2,-4.6002,1.2,5.4,1.6,7.4719,7.4719,0.625,0.6,5.6,3.1,8.1,5.6,5.6,3.1,5.6,5.6,5.6,3.1,5.6,5.6,,,,1,1,0.2,,,,2,2,,
Christian Kirk,HST,WR,8,No,No,No,7,No,Yes,0.2857,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,,,,,,,,,,,
James Proche,TEN,WR,8,No,No,No,8,No,Yes,0.875,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,
Xavier Restrepo,TEN,WR,3,Yes,No,Yes,3,No,Yes,,2,,,,,,,,,,,,,,,,,,,,,,,1.4857,1.4857,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Puka Nacua,LA,WR,7,Yes,No,No,6,No,Yes,0.6667,16,3,3,1,0.5,3,1,13,21,6,-8,,1,1,0.3333,-2.6667,84.7,2.1667,4.3333,-0.9429,4.3333,7,2,4.2862,4.2862,0.4286,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,,0.3333,,,1,0.3333,,,,,,,
Colson Yankoff,WAS,TE,3,No,No,No,1,No,Yes,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Dylan Laube,LV,RB,2,Yes,No,No,2,No,Yes,,17,2,2,1,1,2,1,14,21,13,-7,1,,,,-3.5,95.8,7,7,1.1555,7,10.5,6.5,3.1361,3.1361,1,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,,1,,1,0.5,,,,,,,
Taysom Hill,NO,TE,2,No,Yes,No,2,No,No,,13,1,1,1,0.5,1,1,7,9,3,-2,1,,,,-2,95.8,3.5,7,2.1489,7,9,3,1.5483,1.5483,0.5,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,,,,,,,,,,,,
Cade Otton,TB,TE,25,Yes,No,No,14,No,Yes,0.0714,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6429,0.2857,,,,,,,,,,,
DeMario Douglas,NE,WR,9,Yes,No,No,8,No,Yes,0.25,17,2,1,0.5,0.25,1,0.5,6,10,,-10,,,,,-5,56.3,0.75,3,-1.1135,6,10,,4.8092,4.8092,0.2222,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,0.75,,,,,,,,,,,
Xavier Weaver,ARZ,WR,5,Yes,No,No,5,No,Yes,0.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Malik Nabers,NYG,WR,2,No,No,No,2,No,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Saubert,SEA,TE,3,Yes,Yes,Yes,1,No,Yes,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,9,No,Yes,Yes,8,No,No,0.75,6,1,1,1,0.125,1,1,12,15,10,-3,,1,,,-3,116.7,1.5,12,7.0592,12,15,10,1.6239,1.6239,0.1111,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,0.25,1,,1,1,,,,,,,
Jimmy Horn,CAR,WR,6,Yes,No,No,6,No,Yes,,13,2,2,1,0.3333,2,1,18,29,13,-11,0.1667,,,,-5.5,104.2,3,9,5.0492,9,14.5,6.5,4.1283,4.1283,0.3333,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,0.8333,1,1,2,1,,,,,,,
Brian Robinson,SF,RB,4,Yes,Yes,Yes,4,No,Yes,,17,4,3,0.75,1,3,0.75,7,22,10,-16,0.75,,,,-4,77.1,1.75,1.75,-3.7792,2.3333,7.3333,3.3333,6.5019,6.5019,1,0.7,3.7,2.2,5.2,3.7,3.7,2.2,3.7,3.7,3.7,2.2,3.7,3.7,,0.25,1,1,2,0.6667,,,,,,,
Alvin Kamara,NO,RB,10,No,Yes,No,9,No,Yes,,11,8,8,1,0.8889,8,1,31,58,21,-27,1,3,1,0.125,-3.375,82.8,3.4444,3.875,-1.8449,3.875,7.25,2.625,13.2958,13.2958,0.8,3.1,11.1,7.1,15.1,11.1,11.1,7.1,11.1,11.1,11.1,7.1,11.1,11.1,,,,1,4,0.5,,,,,,,
Tucker Fisk,LAC,TE,1,Yes,No,No,1,No,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunner Olszewski,NYG,WR,6,Yes,No,No,6,No,Yes,0.5,16,1,1,1,0.1667,1,1,6,7,3,-1,,1,1,1,-1,91.7,1,6,-0.1699,6,7,3,1.5152,1.5152,0.1667,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,0.5,1,,,,,,,,,,
Tai Felton,MIN,WR,3,No,No,No,2,No,Yes,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Fidone,NYG,TE,1,No,No,No,1,No,Yes,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Braxton Berrios,HST,WR,3,Yes,No,No,3,No,Yes,,4,1,1,1,0.3333,1,1,-1,7,2,-8,0.3333,,,,-8,79.2,-0.3333,-1,-3.5405,-1,7,2,1.15,1.15,0.3333,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,0.6667,,1,,,,,,,,,
Travis Hunter,JAX,WR,8,Yes,No,No,8,No,No,0.25,7,1,1,1,0.125,1,1,14,16,12,-2,0.125,,,,-2,118.8,1.75,14,8.5009,14,16,12,1.7404,1.7404,0.125,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,0.625,1,,1,1,,,,,,,
DK Metcalf,PIT,WR,26,No,No,Yes,23,No,Yes,0.6957,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3043,,,,,,,,,,,
Mark Andrews,BLT,TE,7,Yes,No,No,4,No,Yes,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,
Parker Washington,JAX,WR,9,No,No,No,7,No,Yes,0.5714,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4286,,,,,,,,,,,
Tyquan Thornton,KC,WR,11,No,No,No,8,No,Yes,0.75,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
Evan Hull,NO,RB,1,No,Yes,No,1,No,No,,6,1,1,1,1,1,1,6,9,1,-3,1,,,,-3,91.7,6,6,-0.1191,6,9,1,1.5235,1.5235,1,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,,
Breece Hall,NYJ,RB,6,No,No,No,6,No,Yes,,16,6,6,1,1,6,1,27,49,9,-22,0.6667,5,3,0.5,-3.6667,85.4,4.5,4.5,-1.128,4.5,8.1667,1.5,9.6722,9.6722,1,2.7,8.7,5.7,11.7,8.7,8.7,5.7,8.7,8.7,8.7,5.7,8.7,8.7,,0.3333,2,1,,,,,,,,,
Trent Sherfield,ARZ,WR,6,No,No,Yes,3,No,Yes,0.6667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Dameon Pierce,KC,RB,1,Yes,No,No,1,No,Yes,,5,1,1,1,1,,,,,,-5,1,1,,,-5,39.6,,,-5.8711,,,,1.873,1.873,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Blake Corum,LA,RB,2,Yes,No,No,1,No,Yes,,17,1,,,1,,,,,,-2,1,,,,-2,39.6,,,-6.198,,,,1.4987,1.4987,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,16,Yes,No,No,6,No,Yes,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
