Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TargetedReadFirstTotal,DeepTargetTargetsTotal
Tyjae Spears,TEN,RB,16,Yes,No,No,16,12,No,Yes,12,1,0.75,11,0.9167,78,74,15,-15,0.875,-1.25,93.8,4.875,6.5,0.5223,7.0909,6.7273,1.3636,2,19.1641,19.1641,0.75,7.8,18.8,13.3,24.3,18.8,18.8,13.3,18.8,18.8,18.8,13.3,18.8,18.8,13,0.0625,,0.0625,,,1,,,1,3,0.2727,0.0833,,
Isaiah Davis,NYJ,RB,14,No,No,No,14,12,No,Yes,11,0.9167,0.8571,10,0.8333,94,84,22,20,0.8571,1.6667,99.3,6.7143,7.8333,1.4298,9.4,8.4,2.2,4,17.347,17.347,0.8571,9.4,19.4,14.4,24.4,19.4,19.4,14.4,19.4,19.4,19.4,14.4,19.4,19.4,16,0.0714,0.0714,,2,,,,1,,2,0.2,,,
Colby Parkinson,LA,TE,29,No,Yes,No,22,4,Yes,Yes,4,1,0.1818,4,1,23,24,5,-1,,-0.25,90.6,1.0455,5.75,0.5579,5.75,6,1.25,,6.1784,6.1784,0.1379,2.3,6.3,4.3,6.3,8.3,6.3,4.3,6.3,6.3,6.3,4.3,8.3,6.3,15,0.0909,0.1818,0.7273,,,1,,,,,,,,
Isaiah Bond,CLV,WR,20,No,Yes,No,20,1,No,No,1,1,0.05,,,,,,-3,,-3,39.6,,,-4.9408,,,,,1.454,1.454,0.05,,,,,,,,,,,,,,16,0.25,0.75,,,,,,,1,,,1,,
Rome Odunze,CHI,WR,18,No,No,Yes,18,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.2778,0.7222,,,,,,,,,,,,
Brenden Bates,CLV,TE,3,No,Yes,No,2,1,No,No,1,1,0.5,1,1,6,3,1,3,,3,91.7,3,6,-0.3218,6,3,1,,1.3701,1.3701,0.3333,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,9,,,1,,,,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,3,Yes,No,Yes,2,1,No,Yes,1,1,0.5,1,1,3,1,1,2,1,2,79.2,1.5,3,-3.3947,3,1,1,,1.3,1.3,0.3333,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,17,,,,,,,,,,,,,,
Kevin Austin,NO,WR,9,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,2,4,1,-2,,-2,79.2,0.2222,2,-3.4991,2,4,1,,1.5074,1.5074,0.1111,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,8,0.2222,0.7778,,,,,,,,,,,,
Tyler Badie,DEN,RB,13,Yes,Yes,No,12,8,No,Yes,5,0.625,0.6667,4,0.5,39,35,5,9,0.9167,1.125,64.1,3.25,4.875,-1.2017,9.75,8.75,1.25,3,10.6614,10.6614,0.6154,3.9,7.9,5.9,9.9,7.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,16,,,0.0833,,,,,,1,,,0.125,,
Jalen Brooks,ARZ,WR,8,No,Yes,No,8,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.375,0.625,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,23,No,Yes,Yes,23,15,No,No,12,0.8,0.6522,12,0.8,78,78,23,7,0.6957,0.4667,88.3,3.3913,5.2,-0.6812,6.5,6.5,1.9167,5,24.3744,24.3744,0.6522,7.8,19.8,13.8,25.8,19.8,19.8,13.8,19.8,19.8,19.8,13.8,19.8,19.8,17,,0.087,0.2174,1,,3,,1,,2,0.1667,,,
Bhayshul Tuten,JAX,RB,5,Yes,No,No,5,5,No,Yes,4,0.8,1,4,0.8,21,14,4,8,1,1.6,84.2,4.2,4.2,-1.8184,5.25,3.5,1,,8.5482,8.5482,1,2.1,6.1,4.1,8.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,15,,,,,,,,,,,,,,
Casey Washington,ATL,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,
John Metchie,NYJ,WR,10,No,No,No,10,1,No,Yes,1,1,0.1,1,1,3,3,,,,,79.2,0.3,3,-3.0386,3,3,,1,1.4028,1.4028,0.1,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,16,0.4,0.6,,,,,,,,,,,,
Jalen Nailor,MIN,WR,11,Yes,No,Yes,11,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7273,0.2727,,,,,,,,,,,,
Marquise Brown,KC,WR,12,No,Yes,Yes,12,1,No,Yes,1,1,0.0833,1,1,5,6,,-1,,-1,87.5,0.4167,5,-1.1699,5,6,,,1.4882,1.4882,0.0833,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,16,0.5,0.5,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,9,No,Yes,Yes,9,2,No,Yes,2,1,0.2222,2,1,18,25,3,-7,,-3.5,104.2,2,9,4.1706,9,12.5,1.5,1,3.3352,3.3352,0.2222,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,15,0.7778,0.2222,,,,,,,,,,,,
Jauan Jennings,SF,WR,43,No,No,No,42,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.1667,0.8333,,,,,,,,,,,,
Teagan Quitoriano,ATL,TE,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,1,,,,,,,,,,,
Tanner Conner,MIA,TE,7,No,No,No,7,1,Yes,Yes,,,0.1429,,,,,,,,,39.6,,,-5.289,,,,,1.3882,1.3882,0.1429,,,,,,,,,,,,,,9,0.8571,0.1429,,,,,,,,,,,,
Quintin Morris,JAX,TE,7,Yes,No,No,6,1,No,Yes,1,1,0.1667,1,1,5,1,,4,0.1667,4,87.5,0.8333,5,-1.0667,5,1,,,1.4953,1.4953,0.1429,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,13,,,0.8333,,,,,,,,,,,
Ashton Dulin,IND,WR,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.6667,0.3333,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,14,No,Yes,No,14,2,No,Yes,2,1,0.1429,2,1,10,11,1,-1,,-0.5,87.5,0.7143,5,-0.0952,5,5.5,0.5,,4.4783,4.4783,0.1429,1,3,2,3,4,3,2,3,3,3,2,4,3,13,0.7143,0.0714,0.2143,,,,,,,3,1.5,,,
Jahdae Walker,CHI,WR,3,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,
Tahj Washington,MIA,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,
Dareke Young,SEA,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,,,,,,,,,,,,
Mack Hollins,NE,WR,20,Yes,Yes,No,20,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.1,0.9,,,,,,,,,,,,
Juwan Johnson,NO,TE,34,No,No,No,34,5,No,Yes,5,1,0.1471,5,1,19,24,8,-5,0.0588,-1,82.5,0.5588,3.8,-2.0497,3.8,4.8,1.6,,7.8001,7.8001,0.1471,1.9,6.9,4.4,6.9,9.4,6.9,4.4,6.9,6.9,6.9,4.4,9.4,6.9,17,0.4706,0.1471,0.3235,,,,,,,,,,,
David Montgomery,DET,RB,9,No,Yes,No,9,8,No,No,6,0.75,0.8889,6,0.75,58,47,16,19,1,2.375,94.8,6.4444,7.25,0.7818,9.6667,7.8333,2.6667,3,10.9887,10.9887,0.8889,5.8,11.8,8.8,14.8,11.8,11.8,8.8,11.8,11.8,11.8,8.8,11.8,11.8,17,,,,1,,,,1,,1,0.1667,,,
Andrew Ogletree,IND,TE,10,Yes,Yes,No,6,1,No,Yes,1,1,0.1667,1,1,11,6,4,5,,5,112.5,1.8333,11,4.52,11,6,4,1,1.5347,1.5347,0.1,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,15,0.1667,0.1667,0.6667,,,,,,,,,,,
Jaylen Warren,PIT,RB,17,No,Yes,Yes,14,13,No,No,11,0.8462,0.9286,10,0.7692,58,62,27,-4,1,-0.3077,84.8,4.1429,4.4615,-1.4356,5.8,6.2,2.7,4,19.0568,19.0568,0.7647,5.8,15.8,10.8,20.8,15.8,15.8,10.8,15.8,15.8,15.8,10.8,15.8,15.8,16,,,,1,,1,,1,1,1,0.1,0.0769,,
Kendrick Bourne,SF,WR,25,No,No,No,25,1,No,Yes,1,1,0.04,,,,,,,,,39.6,,,-6.0386,,,,,1.4663,1.4663,0.04,,,,,,,,,,,,,,16,0.24,0.76,,,,,,,1,,,1,,
Hassan Haskins,LAC,RB,2,Yes,Yes,No,2,2,No,Yes,2,1,1,2,1,11,8,2,3,1,1.5,89.6,5.5,5.5,-0.562,5.5,4,1,,2.5506,2.5506,1,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,11,,,,,,,,,,,,,,
Jack Bech,LV,WR,11,No,Yes,Yes,11,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.2727,0.6364,0.0909,,,,,,,,,,,
Jameson Williams,DET,WR,24,No,Yes,No,24,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2083,0.7917,,,,,,,,,,,,
Jalen McMillan,TB,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,
E.J. Jenkins,PHI,TE,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,
Mitchell Evans,CAR,TE,10,No,No,No,8,1,No,Yes,1,1,0.125,1,1,6,4,1,2,,2,91.7,0.75,6,-0.3701,6,4,1,1,1.256,1.256,0.1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,17,0.25,0.125,0.625,,,,,,,,,,,
Jahan Dotson,PHI,WR,16,Yes,No,Yes,16,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1875,0.8125,,,,,,,,,,,,
DeVonta Smith,PHI,WR,24,Yes,No,Yes,24,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5,0.5,,,,,,,,,,,,
D'Ernest Johnson,NE,RB,2,No,No,Yes,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,28,Yes,No,No,27,5,No,Yes,5,1,0.1852,4,0.8,13,16,4,-5,0.0741,-1,79.2,0.4815,2.6,-2.4561,3.25,4,1,,7.5444,7.5444,0.1786,1.3,5.3,3.3,5.3,7.3,5.3,3.3,5.3,5.3,5.3,3.3,7.3,5.3,15,0.4815,0.1111,0.3333,,,,,,1,,,0.2,1,
Luke Musgrave,GB,TE,10,Yes,No,Yes,10,1,No,Yes,1,1,0.1,1,1,5,5,2,,,,87.5,0.5,5,-0.289,5,5,2,,1.5284,1.5284,0.1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,17,0.5,,0.5,,,,,,,,,,,
Aaron Jones,MIN,RB,9,No,No,No,8,7,No,Yes,6,0.8571,0.875,5,0.7143,31,25,7,11,1,1.5714,80.1,3.875,4.4286,-1.8757,6.2,5,1.4,1,13.1603,13.1603,0.7778,3.1,8.1,5.6,10.6,8.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,12,,,,,,1,,,1,,,0.1429,,
Luke Farrell,SF,TE,18,No,No,No,17,2,No,Yes,2,1,0.1176,2,1,7,7,4,,0.0588,,81.3,0.4118,3.5,-2.5935,3.5,3.5,2,,2.6675,2.6675,0.1111,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,17,0.1176,,0.8235,1,,,,1,,,,,,
Woody Marks,HST,RB,14,No,Yes,No,11,10,No,Yes,10,1,0.9091,8,0.8,87,78,30,10,1,1,102.9,7.9091,8.7,2.4169,10.875,9.75,3.75,1,16.4279,16.4279,0.7143,8.7,16.7,12.7,20.7,16.7,16.7,12.7,16.7,16.7,16.7,12.7,16.7,16.7,16,,,,1,,1,1,,1,2,0.25,0.1,,
Christian Kirk,HST,WR,12,No,Yes,No,12,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.6667,0.3333,,,,,,,,,,,,
James Proche,TEN,WR,7,Yes,No,No,7,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.2857,0.7143,,,,,,,,,,,,
Xavier Restrepo,TEN,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,
Puka Nacua,LA,WR,32,No,Yes,No,31,1,Yes,Yes,1,1,0.0323,1,1,6,9,3,-3,,-3,91.7,0.1935,6,1.0592,6,9,3,,1.6659,1.6659,0.0312,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,16,0.3871,0.6129,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,3,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.3333,,0.6667,,,,,,,,,,,
Jayden Higgins,HST,WR,19,No,Yes,No,19,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2632,0.7368,,,,,,,,,,,,
Skyy Moore,SF,WR,7,No,No,No,7,1,No,Yes,1,1,0.1429,1,1,15,18,15,-3,,-3,118.8,2.1429,15,10.0592,15,18,15,1,1.5573,1.5573,0.1429,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,17,0.2857,0.7143,,,,,,,,2,2,,,
Shane Zylstra,DET,TE,4,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0.5,0.5,,,,,,,,,,,
Malik Heath,GB,WR,6,Yes,No,No,6,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5,0.5,,,,,,,,,,,,
Jalen Royals,KC,WR,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,
Nate Adkins,DEN,TE,3,Yes,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,
Tre Harris,LAC,WR,13,Yes,Yes,No,13,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.0769,0.9231,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,14,No,Yes,Yes,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.375,,0.625,,,,,,,,,,,
Darius Cooper,PHI,WR,8,Yes,No,Yes,7,2,No,Yes,2,1,0.2857,2,1,7,6,1,1,,0.5,81.3,1,3.5,-2.0798,3.5,3,0.5,,2.8326,2.8326,0.25,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,13,0.7143,0.2857,,,,,,,,,,,,
Jack Stoll,NO,TE,6,No,Yes,No,5,1,No,Yes,,,0.2,,,,,,-1,0.6,-1,39.6,,,-4.9014,,,,,1.4407,1.4407,0.1667,,,,,,,,,,,,,,15,,,0.4,,,,,,,,,,,
Braxton Berrios,HST,WR,2,No,Yes,No,2,1,No,Yes,,,0.5,,,,,,1,,1,39.6,,,-5.1211,,,,,1.4292,1.4292,0.5,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,
Travis Hunter,JAX,WR,5,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,11,13,1,-2,,-2,112.5,2.2,11,5.5009,11,13,1,1,1.4366,1.4366,0.2,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,7,1,,,,,,,,,,,,,
Kendre Miller,NO,RB,6,Yes,Yes,Yes,5,4,No,Yes,4,1,0.8,4,1,25,27,10,-2,0.8,-0.5,92.7,5,6.25,0.2678,6.25,6.75,2.5,1,7.7304,7.7304,0.6667,2.5,6.5,4.5,8.5,6.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,7,0.2,,,,,,,,,2,0.5,,,
DK Metcalf,PIT,WR,31,No,No,No,31,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.1935,0.8065,,,,,,,,,,,,
Mark Andrews,BLT,TE,21,No,Yes,Yes,20,1,No,No,1,1,0.05,1,1,1,1,1,,,,79.2,0.05,1,-4.289,1,1,1,,1.559,1.559,0.0476,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,17,0.75,0.15,0.1,,,,,,,,,,,
Parker Washington,JAX,WR,19,Yes,No,No,19,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.4737,0.5263,,,,,,,,,,,,
Tyquan Thornton,KC,WR,6,No,No,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.5,0.5,,,,,,,,,,,,
Evan Hull,NO,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,15,No,No,No,15,13,No,Yes,13,1,0.8667,13,1,154,94,40,60,1,4.6154,116,10.2667,11.8462,4.8113,11.8462,7.2308,3.0769,6,18.9249,18.9249,0.8667,15.4,28.4,21.9,34.9,28.4,31.4,24.9,28.4,28.4,28.4,21.9,28.4,28.4,16,,,,,,,,,,4,0.3077,,,1
Trent Sherfield,ARZ,WR,8,No,Yes,No,8,1,No,Yes,1,1,0.125,1,1,3,1,-1,2,,2,79.2,0.375,3,-2.3344,3,1,-1,,1.3058,1.3058,0.125,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,12,0.5,0.5,,,,,,,,,,,,
Blake Corum,LA,RB,13,No,Yes,No,8,8,Yes,Yes,8,1,1,6,0.75,28,21,5,8,0.875,1,79.2,3.5,3.5,-2.6884,4.6667,3.5,0.8333,2,11.7091,11.7091,0.6154,2.8,8.8,5.8,11.8,8.8,8.8,5.8,8.8,8.8,8.8,5.8,8.8,8.8,17,0.125,,,,,1,,,2,,,0.25,,
Julian Hill,MIA,TE,8,No,No,Yes,7,2,No,Yes,2,1,0.2857,2,1,6,6,2,,,,79.2,0.8571,3,-2.289,3,3,1,,2.7755,2.7755,0.25,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,14,0.2857,,0.7143,,,,,,,,,,,
Colson Yankoff,WAS,TE,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,0.5,0.5,,,,,,,,,,,
Jason Brownlee,KC,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,
Taysom Hill,NO,TE,6,No,No,No,5,2,No,Yes,2,1,0.4,1,0.5,13,10,2,4,0.2,2,70.8,2.6,6.5,0.4514,13,10,2,,3.0737,3.0737,0.3333,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,13,0.6,0.2,,,,,,,1,,,0.5,,
Cade Otton,TB,TE,21,No,No,No,18,3,No,Yes,3,1,0.1667,3,1,14,15,6,-1,,-0.3333,86.1,0.7778,4.6667,-0.5261,4.6667,5,2,,4.4265,4.4265,0.1429,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,16,0.3889,0.1667,0.4444,,,,,,,,,,,
DeMario Douglas,NE,WR,16,No,No,Yes,16,1,No,Yes,1,1,0.0625,1,1,10,13,1,-3,,-3,108.3,0.625,10,5.0592,10,13,1,,1.5263,1.5263,0.0625,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,17,0.875,0.125,,,,,,,,2,2,,,
Xavier Weaver,ARZ,WR,13,No,Yes,No,13,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1538,0.8462,,,,,,,,,,,,
Malik Nabers,NYG,WR,12,No,No,No,12,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0833,0.9167,,,,,,,,,,,,
Eric Saubert,SEA,TE,8,No,No,No,4,1,No,Yes,1,1,0.25,1,1,1,3,,-2,,-2,79.2,0.25,1,-3.8511,1,3,,,1.6469,1.6469,0.125,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,11,,,1,,,1,,,,,,,,
Ray-Ray McCloud,NYG,WR,6,No,Yes,Yes,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.1667,0.8333,,,,,,,,,,,,
Jimmy Horn,CAR,WR,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,1,1,1,,,,79.2,0.25,1,-5.0386,1,1,1,,1.3315,1.3315,0.25,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,13,0.75,0.25,,,,,,,,,,,,
Brian Robinson,SF,RB,4,No,No,No,4,3,No,Yes,3,1,0.75,1,0.3333,4,3,1,5,1,1.6667,42.4,1,1.3333,-4.8396,4,3,1,,4.507,4.507,0.75,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,17,,,,2,,1,,,,,,,,
Alvin Kamara,NO,RB,15,No,No,No,15,12,No,Yes,12,1,0.8,11,0.9167,71,50,10,25,0.9333,2.0833,91.3,4.7333,5.9167,-0.5679,6.4545,4.5455,0.9091,3,17.7024,17.7024,0.8,7.1,18.1,12.6,23.6,18.1,18.1,12.6,18.1,18.1,18.1,12.6,18.1,18.1,11,,0.0667,,1,,,,,,2,0.1818,,,
Tucker Fisk,LAC,TE,8,No,Yes,No,6,1,No,Yes,1,1,0.1667,1,1,12,12,3,,,,116.7,2,12,6.711,12,12,3,1,1.3923,1.3923,0.125,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,10,,,1,,,,,,,,,,,
Gunner Olszewski,NYG,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,
Tai Felton,MIN,WR,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,
Tim Patrick,JAX,WR,7,Yes,No,No,7,1,No,Yes,1,1,0.1429,1,1,4,4,1,,,,83.3,0.5714,4,-2.0386,4,4,1,,3.1425,3.1425,0.1429,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,16,0.1429,0.8571,,,,1,,,,,,,,
Brian Thomas,JAX,WR,15,Yes,No,No,15,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.2,0.8,,,,,,,,,,,,
DeAndre Hopkins,BLT,WR,8,No,Yes,Yes,8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.25,0.75,,,,,,,,,,,,
Josh Reynolds,NYJ,WR,12,No,No,No,12,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.1667,0.8333,,,,,,,,,,,,
Noah Gray,KC,TE,8,No,Yes,Yes,5,2,No,Yes,2,1,0.4,2,1,7,10,3,-3,,-1.5,81.3,1.4,3.5,-2.5559,3.5,5,1.5,,4.3815,4.3815,0.25,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,16,,0.2,0.8,,,,,,,,,,,
Chimere Dike,TEN,WR,26,Yes,No,No,26,1,No,Yes,1,1,0.0385,1,1,-6,2,1,-8,,-8,79.2,-0.2308,-6,-8.5405,-6,2,1,,1.4067,1.4067,0.0385,-0.6,0.4,-0.1,0.4,0.4,0.4,-0.1,0.4,0.4,0.4,-0.1,0.4,0.4,17,0.7308,0.2692,,,,,,,,,,,,
Simi Fehoko,ARZ,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3333,0.6667,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,22,No,Yes,No,22,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.0909,0.9091,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,11,Yes,No,No,11,3,No,Yes,3,1,0.2727,3,1,12,6,1,6,,2,83.3,1.0909,4,-1.9086,4,2,0.3333,,4.3756,4.3756,0.2727,1.2,4.2,2.7,4.2,5.7,4.2,2.7,4.2,4.2,4.2,2.7,5.7,4.2,15,0.2727,0.1818,0.5455,1,,,,1,,,,,,
Stone Smartt,NYJ,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,
