Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Kylen Granson,PHI,TE,34,No,Yes,No,27,No,Yes,0.0741,0.2593,0.0741,17,5,4,0.8,,0.1852,4,0.8,22,5,2,27,,,2,5.4,,85,0.8148,4.4,-2.3959,5.5,1.25,0.5,3,7.3917,7.3917,0.1471,2.2,6.2,4.2,6.2,8.2,6.2,4.2,6.2,6.2,6.2,4.2,8.2,6.2,,1,,0.5926,,1,,,,,
Konata Mumpfield,LA,WR,84,No,No,No,84,No,Yes,,0.1786,0.8214,17,14,10,0.7143,1,0.1667,8,0.5714,80,17,3,138,1,1,6,9.8571,,67.6,0.9524,5.7143,-2.2179,10,2.125,0.375,6,28.8269,28.8269,0.1667,14,22,18,22,22,22,18,22,22,22,18,22,22,4,5,2,,0.1429,4,,,,,
Kaleb Johnson,PIT,RB,7,No,Yes,No,2,No,Yes,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,114,Yes,No,Yes,70,No,Yes,0.9143,,0.0857,14,7,6,0.8571,,0.1,5,0.7143,42,25,4,37,,,4,5.2857,,86.6,0.6,6,-1.3441,8.4,5,0.8,2,10.9228,10.9228,0.0614,4.2,9.2,6.7,11.7,9.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,3,,1,,0.1429,,1,0.2,,,
Brenton Strange,JAX,TE,148,No,Yes,No,130,No,No,0.0154,0.2923,0.1615,12,35,32,0.9143,,0.2692,25,0.7143,312,150,42,221,,,27,6.3143,1,98.8,2.4,8.9143,1.6508,12.48,6,1.68,15,58.8424,58.8424,0.2365,31.2,56.2,43.7,56.2,68.7,59.2,46.7,56.2,56.2,56.2,43.7,68.7,56.2,6,6,4,0.5308,0.1143,3,3,0.12,,,
Tory Horton,SEA,WR,58,No,No,No,55,No,Yes,,0.1636,0.8364,8,12,10,0.8333,3,0.2182,10,0.8333,101,27,16,100,2,2,10,8.3333,1,141.3,1.8364,8.4167,0.9503,10.1,2.7,1.6,4,22.9369,22.9369,0.2069,22.1,32.1,27.1,32.1,32.1,35.1,30.1,32.1,32.1,32.1,27.1,32.1,32.1,2,3,,,,3,1,0.1,,,
Travis Kelce,KC,TE,206,No,No,No,193,No,No,0.0104,0.4767,0.2332,17,58,49,0.8448,1,0.3005,42,0.7241,503,264,104,402,3,1,43,6.931,4,94.3,2.6062,8.6724,1.2968,11.9762,6.2857,2.4762,29,99.6322,99.6322,0.2816,68.3,110.3,89.3,110.3,131.3,113.3,92.3,110.3,110.3,110.3,89.3,131.3,110.3,8,7,6,0.2798,0.1034,6,4,0.0952,,,
Cole Kmet,CHI,TE,158,Yes,Yes,Yes,128,No,Yes,0.0234,0.2266,0.2578,16,21,16,0.7619,,0.1641,14,0.6667,146,83,31,147,,,17,7,2,86.6,1.1406,6.9524,-0.5406,10.4286,5.9286,2.2143,8,34.6175,34.6175,0.1338,14.6,28.6,21.6,28.6,35.6,31.6,24.6,28.6,28.6,28.6,21.6,35.6,28.6,2,2,1,0.4922,0.0476,,1,0.0714,,,
Tyreek Hill,MIA,WR,50,No,No,No,48,No,Yes,,0.2708,0.7292,4,19,16,0.8421,1,0.3958,15,0.7895,186,51,13,217,1,1,14,11.4211,3,103.1,3.875,9.7895,1.5417,12.4,3.4,0.8667,13,33.5418,33.5418,0.38,24.6,39.6,32.1,39.6,39.6,42.6,35.1,39.6,39.6,39.6,32.1,39.6,39.6,1,,,,,,3,0.2,,,
Demarcus Robinson,SF,WR,131,No,No,No,127,Yes,Yes,,0.3858,0.6142,14,16,11,0.6875,1,0.126,10,0.625,127,17,4,172,,,11,10.75,2,87.2,1,7.9375,-0.1829,12.7,1.7,0.4,5,27.192,27.192,0.1221,12.7,22.7,17.7,22.7,22.7,25.7,20.7,22.7,22.7,22.7,17.7,22.7,22.7,1,2,1,,0.0625,2,2,0.2,,,
Kene Nwangwu,NYJ,RB,4,Yes,No,No,3,No,Yes,0.6667,,0.3333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Vokolek,ARZ,TE,3,No,No,No,3,No,No,,,0.3333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
Nick Vannett,LA,TE,9,No,No,No,7,No,Yes,,,0.2857,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,,,,,,,
CeeDee Lamb,DAL,WR,191,No,No,No,191,No,No,0.0052,0.3665,0.6283,14,62,52,0.8387,3,0.3246,43,0.6935,524,148,58,566,,,54,9.129,5,74.9,2.7435,8.4516,0.6748,12.186,3.4419,1.3488,26,116.0554,116.0554,0.3246,52.4,95.4,73.9,95.4,95.4,98.4,76.9,95.4,95.4,95.4,73.9,95.4,95.4,9,9,6,,0.0968,5,3,0.0698,2,,
Noah Fant,CIN,TE,83,No,No,Yes,80,Yes,Yes,,0.2875,0.1,15,20,18,0.9,1,0.25,18,0.9,163,105,31,69,1,1,16,3.45,1,117.3,2.0375,8.15,1.637,9.0556,5.8333,1.7222,8,33.0329,33.0329,0.241,20.3,38.3,29.3,38.3,47.3,41.3,30.3,36.3,36.3,36.3,27.3,47.3,36.3,2,,,0.6125,,,,,,1,0.05
Isaiah Likely,BLT,TE,83,No,Yes,Yes,79,Yes,Yes,,0.7215,0.1392,14,23,19,0.8261,3,0.2911,16,0.6957,194,71,8,188,1,1,14,8.1739,2,109.7,2.4557,8.4348,0.9151,12.125,4.4375,0.5,8,40.1784,40.1784,0.2771,24.4,40.4,32.4,40.4,48.4,43.4,34.4,39.4,39.4,39.4,31.4,48.4,39.4,5,3,2,0.1392,0.087,2,3,0.1875,,,
George Kittle,SF,TE,135,No,No,No,122,Yes,Yes,,0.2541,0.1066,11,40,39,0.975,2,0.3279,34,0.85,408,147,69,322,4,2,32,8.05,1,142.5,3.3443,10.2,2.4473,12,4.3235,2.0294,29,72.9258,72.9258,0.2963,64.8,98.8,81.8,98.8,115.8,101.8,84.8,98.8,98.8,98.8,81.8,115.8,98.8,10,12,3,0.6393,0.075,9,2,0.0588,,1,0.025
Zaire Mitchell-Paden,NO,TE,15,No,No,No,7,No,Yes,0.8571,0.1429,,8,2,2,1,1,0.2857,1,0.5,3,,,11,,,,5.5,,56.3,0.4286,1.5,-5.5212,3,,,,5.0511,5.0511,0.1333,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,1,1,1,,0.5,,,,,,
Dalton Schultz,HST,TE,243,No,No,No,219,No,Yes,0.0091,0.2785,0.1142,17,61,51,0.8361,5,0.2785,49,0.8033,482,234,52,405,3,3,46,6.6393,2,116,2.2009,7.9016,0.6517,9.8367,4.7755,1.0612,28,108.7367,108.7367,0.251,66.2,115.2,90.7,115.2,139.7,118.2,93.7,115.2,115.2,115.2,90.7,139.7,115.2,7,5,1,0.5982,0.0164,4,4,0.0816,1,,
Hayden Rucci,MIA,TE,2,Yes,Yes,No,1,No,No,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Keenan Allen,LAC,WR,193,No,No,No,191,No,Yes,,0.3508,0.6492,17,66,58,0.8788,6,0.3455,46,0.697,449,121,66,520,3,3,50,7.8788,4,103.7,2.3508,6.803,-0.5516,9.7609,2.6304,1.4348,31,116.3428,116.3428,0.342,62.9,108.9,85.9,108.9,108.9,111.9,88.9,108.9,108.9,108.9,85.9,108.9,108.9,9,12,6,,0.0909,7,5,0.1087,,,
Anthony Gould,IND,WR,11,No,No,No,11,Yes,Yes,,0.9091,0.0909,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,106,Yes,No,No,82,No,Yes,0.9756,0.0244,,17,7,7,1,,0.0854,6,0.8571,105,94,5,11,,,5,1.5714,,118.8,1.2805,15,8.6913,17.5,15.6667,0.8333,5,10.231,10.231,0.066,10.5,16.5,13.5,19.5,16.5,19.5,16.5,16.5,16.5,16.5,13.5,16.5,16.5,,,1,,0.1429,,1,0.1667,,,
Treylon Burks,WAS,WR,45,No,Yes,No,44,No,Yes,,0.2955,0.7045,8,10,6,0.6,4,0.2273,4,0.4,49,18,10,123,,,7,12.3,2,55.8,1.1136,4.9,-3.752,12.25,4.5,2.5,3,23.775,23.775,0.2222,4.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,4,2,,,,,,,,,
Jared Wiley,KC,TE,5,No,No,No,4,No,No,0.5,,0.25,4,1,1,1,,0.25,1,1,4,8,4,-4,,,1,-4,,83.3,1,4,-2.3364,4,8,4,1,1.2512,1.2512,0.2,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,,,0.25,,,,,,,
Michael Bandy,DEN,WR,6,No,No,No,6,No,No,,0.8333,0.1667,4,4,4,1,,0.6667,4,1,50,27,2,23,1,,3,5.75,,158.3,8.3333,12.5,5.8152,12.5,6.75,0.5,3,5.4805,5.4805,0.6667,11,15,13,15,15,15,13,15,15,15,13,15,15,1,,,,,,,,,,
Lucas Krull,DEN,TE,10,No,No,Yes,10,No,Yes,,0.4,0.1,3,1,,,,0.1,,,,,,4,,,,4,,39.6,,,-6.0667,,,,,4.5386,4.5386,0.1,,,,,,,,,,,,,,,,,0.5,,,,,,,
Tyler Johnson,NYJ,WR,52,No,No,No,52,No,Yes,,0.3077,0.6923,12,10,8,0.8,,0.1923,7,0.7,111,40,12,132,,,6,13.2,3,106.7,2.1346,11.1,2.434,15.8571,5.7143,1.7143,5,16.5939,16.5939,0.1923,11.1,18.1,14.6,18.1,18.1,21.1,17.6,18.1,18.1,18.1,14.6,18.1,18.1,1,1,1,,0.1,,2,0.2857,,,
Chig Okonkwo,TEN,TE,152,No,Yes,No,143,No,No,,0.4895,0.1469,17,31,26,0.8387,,0.2168,25,0.8065,232,108,27,183,1,,20,5.9032,1,108.6,1.6224,7.4839,0.1651,9.28,4.32,1.08,9,49.8392,49.8392,0.2039,29.2,54.2,41.7,54.2,66.7,57.2,44.7,54.2,54.2,54.2,41.7,66.7,54.2,1,3,1,0.3636,0.0323,3,5,0.2,,3,0.0968
Ke'Shawn Williams,CIN,WR,4,No,No,Yes,4,Yes,Yes,,0.25,0.75,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Kallerup,SEA,TE,11,No,Yes,Yes,5,No,Yes,,,,9,1,1,1,,0.2,,,,,,7,,,,7,,39.6,,,-7.3078,,,,,4.0235,4.0235,0.0909,,,,,,,,,,,,,,1,1,,1,,,,,,,
Ko Kieft,TB,TE,4,No,No,No,1,Yes,Yes,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Ray Davis,BUF,RB,34,Yes,No,No,22,No,Yes,1,,,17,4,3,0.75,,0.1818,3,0.75,21,21,2,7,2,,2,1.75,,126,0.9545,5.25,-1.0992,7,7,0.6667,3,7.5174,7.5174,0.1176,14.1,17.1,15.6,18.6,17.1,17.1,15.6,17.1,17.1,17.1,15.6,17.1,17.1,2,,,,,,,,,,
DeeJay Dallas,JAX,RB,4,No,Yes,No,3,No,No,0.3333,0.3333,0.3333,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,128,No,Yes,No,86,No,No,0.9186,0.0349,0.0465,17,8,8,1,,0.093,7,0.875,51,35,14,17,,,3,2.125,,93.2,0.593,6.375,0.0327,7.2857,5,2,4,10.9927,10.9927,0.0625,5.1,12.1,8.6,15.6,12.1,12.1,8.6,12.1,12.1,12.1,8.6,12.1,12.1,,1,1,,0.125,1,1,0.1429,,,
Drake Dabney,GB,TE,5,Yes,Yes,Yes,2,No,No,,0.5,,2,1,,,,0.5,,,,,,8,,,,8,,39.6,,,-7.7205,,,,,1.8727,1.8727,0.2,,,,,,,,,,,,,,1,,,0.5,,,,,,,
Ladd McConkey,LAC,WR,225,Yes,No,No,221,No,Yes,,0.6244,0.3665,16,60,44,0.7333,8,0.2715,35,0.5833,403,144,42,539,2,2,41,8.9833,4,82.8,1.8235,6.7167,-1.0832,11.5143,4.1143,1.2,20,116.623,116.623,0.2667,52.3,87.3,69.8,87.3,87.3,90.3,72.8,87.3,87.3,87.3,69.8,87.3,87.3,12,6,4,0.009,0.0667,1,7,0.2,,,
JuJu Smith-Schuster,KC,WR,136,No,No,No,130,No,No,,0.4154,0.5769,17,18,14,0.7778,1,0.1385,11,0.6111,120,75,38,97,,,15,5.3889,,41.2,0.9231,6.6667,-0.1239,10.9091,6.8182,3.4545,7,35.2578,35.2578,0.1324,12,23,17.5,23,23,26,20.5,23,23,23,17.5,23,23,4,3,1,0.0077,0.0556,1,3,0.2727,,2,0.1111
Romeo Doubs,GB,WR,170,No,No,No,164,No,Yes,,0.189,0.811,16,49,42,0.8571,4,0.2988,35,0.7143,421,102,32,556,3,3,37,11.3469,5,109.3,2.5671,8.5918,0.2712,12.0286,2.9143,0.9143,27,96.4399,96.4399,0.2882,60.1,95.1,77.6,95.1,95.1,98.1,80.6,95.1,95.1,95.1,77.6,95.1,95.1,10,13,3,,0.0612,8,1,0.0286,,,
Alex Bachman,LV,WR,9,No,No,No,8,No,No,,0.375,0.625,13,3,2,0.6667,,0.375,2,0.6667,12,3,2,14,,,2,4.6667,,74.3,1.5,4,-2.2539,6,1.5,1,2,4.2225,4.2225,0.3333,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,,,,,,,,,
Dalevon Campbell,CAR,WR,2,No,No,No,2,No,Yes,,0.5,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,13,No,No,No,13,Yes,Yes,,0.4615,0.5385,6,3,2,0.6667,,0.2308,1,0.3333,13,1,,21,,,1,7,,8.3,1,4.3333,-2.8196,13,1,,1,4.57,4.57,0.2308,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,2,,,,1,,,,,
Malik Turner,SF,WR,2,No,Yes,Yes,2,No,No,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Eskridge,MIA,WR,25,No,No,No,25,Yes,Yes,,0.28,0.72,13,4,2,0.5,,0.16,2,0.5,14,3,2,33,,,3,8.25,,58.3,0.56,3.5,-3.9582,7,1.5,1,2,6.7952,6.7952,0.16,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,,,,,,,,,,
AJ Dillon,PHI,RB,8,No,Yes,No,3,No,Yes,0.6667,0.3333,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brittain Brown,CHI,RB,2,No,No,Yes,2,No,No,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Dwelley,DET,TE,19,No,No,No,14,Yes,Yes,,0.2143,0.1429,10,3,3,1,,0.2143,2,0.6667,7,7,4,1,,,3,0.3333,,70.1,0.5,2.3333,-3.1178,3.5,3.5,2,,5.0143,5.0143,0.1579,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,1,1,,0.6429,,,,,,,
Jaxon Smith-Njigba,SEA,WR,198,No,No,No,197,Yes,Yes,0.0203,0.1777,0.7919,17,81,68,0.8395,5,0.4112,63,0.7778,831,246,127,777,6,4,65,9.5926,2,123.8,4.2183,10.2593,2.2738,13.1905,3.9048,2.0159,48,156.1786,156.1786,0.4091,119.1,182.1,150.6,182.1,182.1,185.1,153.6,182.1,182.1,182.1,150.6,182.1,182.1,13,11,2,0.0102,0.0247,7,8,0.127,2,,
Sam LaPorta,DET,TE,126,Yes,No,No,115,Yes,Yes,0.0174,0.3391,0.2,9,29,27,0.931,1,0.2522,27,0.931,322,196,63,144,1,1,18,4.9655,,124.4,2.8,11.1034,4.2366,11.9259,7.2593,2.3333,15,44.4235,44.4235,0.2302,38.2,65.2,51.7,65.2,78.7,68.2,54.7,65.2,65.2,65.2,51.7,78.7,65.2,4,3,,0.4435,,3,6,0.2222,1,,
Jackson Hawes,BUF,TE,58,Yes,No,No,28,No,Yes,,0.0714,0.1071,17,6,5,0.8333,,0.2143,5,0.8333,63,41,19,32,,,4,5.3333,,110.4,2.25,10.5,3.761,12.6,8.2,3.8,5,9.2596,9.2596,0.1034,6.3,11.3,8.8,11.3,13.8,11.3,8.8,11.3,11.3,11.3,8.8,13.8,11.3,,,,0.8214,,,,,,,
Mitchell Tinsley,CIN,WR,61,No,No,Yes,59,Yes,Yes,0.0169,0.1695,0.7966,17,13,5,0.3846,1,0.2203,3,0.2308,34,10,1,137,,,9,10.5385,1,39.6,0.5763,2.6154,-5.8409,11.3333,3.3333,0.3333,2,20.8215,20.8215,0.2131,3.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,2,2,2,0.0169,0.1538,1,,,,,
Brycen Tremayne,CAR,WR,44,No,No,No,43,No,Yes,,0.3721,0.6279,16,12,12,1,,0.2791,10,0.8333,137,52,10,114,,,9,9.5,1,114.2,3.186,11.4167,3.4795,13.7,5.2,1,7,22.4585,22.4585,0.2727,13.7,23.7,18.7,23.7,23.7,26.7,21.7,23.7,23.7,23.7,18.7,23.7,23.7,1,3,,,,2,1,0.1,1,,
Tez Johnson,TB,WR,120,No,No,No,118,No,Yes,0.0085,0.4068,0.5847,16,25,20,0.8,3,0.2119,17,0.68,198,50,5,280,2,2,19,11.2,2,118.4,1.678,7.92,-0.8214,11.6471,2.9412,0.2941,11,46.441,46.441,0.2083,31.8,48.8,40.3,48.8,48.8,51.8,43.3,48.8,48.8,48.8,40.3,48.8,48.8,4,5,2,,0.08,4,6,0.3529,,,
Christian McCaffrey,SF,RB,258,No,No,No,227,Yes,Yes,0.7621,0.185,0.0441,17,45,42,0.9333,4,0.1982,38,0.8444,364,214,90,182,6,4,27,4.0444,1,121.4,1.6035,8.0889,1.1291,9.5789,5.6316,2.3684,21,80.7341,80.7341,0.1744,72.4,110.4,91.4,129.4,110.4,113.4,94.4,110.4,110.4,110.4,91.4,110.4,110.4,14,3,3,0.0088,0.0667,2,6,0.1579,,2,0.0444
Sterling Shepard,TB,WR,122,No,Yes,No,119,No,No,,0.563,0.437,13,27,23,0.8519,,0.2269,18,0.6667,197,46,3,261,,,16,9.6667,3,88,1.6555,7.2963,-0.564,10.9444,2.5556,0.1667,11,44.4547,44.4547,0.2213,18.7,36.7,27.7,36.7,36.7,39.7,29.7,35.7,35.7,35.7,26.7,36.7,35.7,1,7,,,,2,3,0.1667,,,
Khalil Shakir,BUF,WR,141,No,No,Yes,138,No,Yes,0.0145,0.6884,0.2899,16,51,46,0.902,1,0.3696,40,0.7843,338,162,68,306,1,1,36,6,4,84.5,2.4493,6.6275,-0.1494,8.45,4.05,1.7,14,80.8214,80.8214,0.3617,38.8,78.8,58.8,78.8,78.8,81.8,60.8,77.8,77.8,77.8,57.8,78.8,77.8,6,10,2,0.0072,0.0392,6,4,0.1,,2,0.0392
Jalen Tolbert,DAL,WR,107,No,No,No,106,No,No,,0.4151,0.5849,13,18,11,0.6111,1,0.1698,9,0.5,96,27,12,152,,,11,8.4444,,42.8,0.9057,5.3333,-2.335,10.6667,3,1.3333,7,32.1727,32.1727,0.1682,9.6,18.6,14.1,18.6,18.6,18.6,14.1,18.6,18.6,18.6,14.1,18.6,18.6,3,2,,,,1,2,0.2222,1,,
Drake London,ATL,WR,152,No,No,No,149,No,Yes,,0.3154,0.6846,12,53,38,0.717,3,0.3557,33,0.6226,446,150,46,500,2,2,47,9.434,6,93.8,2.9933,8.4151,0.4948,13.5152,4.5455,1.3939,21,94.9878,94.9878,0.3487,55.6,88.6,72.1,88.6,88.6,91.6,74.1,87.6,87.6,87.6,71.1,88.6,87.6,5,12,3,,0.0566,6,2,0.0606,4,,
Alec Pierce,IND,WR,205,No,No,No,201,No,Yes,,0.1244,0.8756,15,41,30,0.7317,2,0.204,26,0.6341,422,83,35,571,1,1,38,13.9268,5,95.8,2.0995,10.2927,0.85,16.2308,3.1923,1.3462,22,77.1153,77.1153,0.2,48.2,74.2,61.2,74.2,74.2,77.2,64.2,74.2,74.2,74.2,61.2,74.2,74.2,2,11,,,,4,,,,,
LaJohntay Wester,BLT,WR,8,No,Yes,Yes,8,Yes,Yes,,0.75,0.25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Lane,WAS,WR,68,No,No,No,66,No,Yes,,0.4697,0.5303,15,15,11,0.7333,1,0.2273,7,0.4667,78,14,19,180,,,10,12,1,34.9,1.1818,5.2,-3.6173,11.1429,2,2.7143,5,22.7005,22.7005,0.2206,7.8,14.8,11.3,14.8,14.8,14.8,11.3,14.8,14.8,14.8,11.3,14.8,14.8,1,3,3,,0.2,2,,,,1,0.0667
Bo Melton,GB,WR,14,Yes,Yes,Yes,14,No,No,,0.3571,0.6429,9,4,3,0.75,,0.2857,1,0.25,18,1,1,58,,,3,14.5,,45.8,1.2857,4.5,-5.4175,18,1,1,1,6.4176,6.4176,0.2857,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,2,,,,1,,,,,
DJ Giddens,IND,RB,9,No,No,No,4,No,Yes,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez,WAS,RB,40,No,Yes,No,29,No,Yes,0.8276,0.1379,0.0345,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,132,Yes,Yes,Yes,130,No,Yes,,0.5462,0.4538,16,32,22,0.6875,4,0.2462,18,0.5625,153,60,18,268,1,1,19,8.375,2,66.3,1.1769,4.7812,-2.6647,8.5,3.3333,1,10,55.4848,55.4848,0.2424,21.3,39.3,30.3,39.3,39.3,42.3,33.3,39.3,39.3,39.3,30.3,39.3,39.3,7,3,4,,0.125,3,,,1,,
Theo Wease,MIA,WR,17,Yes,No,Yes,15,No,Yes,,,1,3,8,6,0.75,1,0.5333,4,0.5,58,19,6,103,,,7,12.875,1,34.4,3.8667,7.25,-1.8914,14.5,4.75,1.5,4,15.4656,15.4656,0.4706,5.8,9.8,7.8,9.8,9.8,9.8,7.8,9.8,9.8,9.8,7.8,9.8,9.8,1,2,,,,,,,,,
Albert Okwuegbunam,LV,TE,10,No,No,No,10,No,Yes,,0.6,,1,4,3,0.75,1,0.4,3,0.75,15,10,5,24,,,4,6,,80.2,1.5,3.75,-3.2088,5,3.3333,1.6667,1,6.644,6.644,0.4,1.5,4.5,3,4.5,6,4.5,3,4.5,4.5,4.5,3,6,4.5,1,,,0.4,,,1,0.3333,,1,0.25
Raheim Sanders,CLV,RB,6,No,No,Yes,4,Yes,Yes,0.75,,0.25,4,1,1,1,,0.25,1,1,10,4,3,6,,,1,6,,108.3,2.5,10,2.2914,10,4,3,,1.3128,1.3128,0.1667,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,,,,,,1,1,,,
Tyler Warren,IND,TE,224,No,No,No,208,No,Yes,0.0288,0.4471,0.125,17,63,53,0.8413,5,0.3029,43,0.6825,389,242,89,346,4,2,55,5.4921,1,105.9,1.8702,6.1746,-0.8311,9.0465,5.6279,2.0698,22,107.4876,107.4876,0.2812,62.9,105.9,84.4,105.9,127.4,108.9,87.4,105.9,105.9,105.9,84.4,127.4,105.9,13,15,2,0.399,0.0317,6,5,0.1163,,1,0.0159
Will Mallory,IND,TE,3,No,No,No,2,No,Yes,,0.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Clyde Edwards-Helaire,KC,RB,3,No,No,No,3,No,Yes,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,116,No,No,No,115,No,No,,0.3913,0.6087,15,26,22,0.8462,5,0.2261,18,0.6923,223,84,52,242,3,2,19,9.3077,1,117.9,1.9391,8.5769,0.6649,12.3889,4.6667,2.8889,16,57.3625,57.3625,0.2241,40.3,58.3,49.3,58.3,58.3,61.3,52.3,58.3,58.3,58.3,49.3,58.3,58.3,6,5,2,,0.0769,2,2,0.1111,,,
Mike Gesicki,CIN,TE,98,No,No,Yes,94,Yes,Yes,,0.7872,0.2021,13,21,16,0.7619,1,0.2234,13,0.619,158,19,4,236,1,1,18,11.2381,2,61.3,1.6809,7.5238,-1.3122,12.1538,1.4615,0.3077,12,40.552,40.552,0.2143,21.8,34.8,28.3,34.8,41.3,37.8,31.3,34.8,34.8,34.8,28.3,41.3,34.8,4,7,1,0.0106,0.0476,5,,,,,
Nikko Remigio,KC,WR,2,No,No,Yes,2,No,Yes,,,1,14,1,1,1,,0.5,1,1,21,3,1,18,,,,18,,118.8,10.5,21,10.1009,21,3,1,1,1.8642,1.8642,0.5,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,,,,,,,,,,
Deebo Samuel,WAS,WR,131,No,Yes,No,128,No,Yes,0.0312,0.5859,0.3828,16,35,30,0.8571,2,0.2734,24,0.6857,281,98,48,296,2,1,24,8.4571,,111.7,2.1953,8.0286,0.3144,11.7083,4.0833,2,18,60.62,60.62,0.2672,40.1,64.1,52.1,64.1,64.1,67.1,55.1,64.1,64.1,64.1,52.1,64.1,64.1,4,13,3,,0.0857,8,7,0.2917,,1,0.0286
